Date,Open,High,Low,Close,Volume
2023-01-13,229.19,240.4,229.19,237.78,411500
2023-01-17,232.18,237.61,229.78,233.13,339300
2023-01-18,234.73,246.005,234.12,239.51,327600
2023-01-19,238.15,241.41,235.88,239.66,274500
2023-01-20,240.85,248.67,239.03,248.34,335400
2023-01-23,247.57,250.85,245.27,250.63,308900
2023-01-24,247.21,253.22,242.08,243.6,209900
2023-01-25,239.2,240.56,233.5,238.86,319400
2023-01-26,240.08,245.01,237.14,244.58,251300
2023-01-27,243.54,252.68,242.05,250.44,268800
2023-01-30,248.81,252.17,245.68,250.0,234400
2023-01-31,250.0,252.49,245.89,250.41,352800
2023-02-01,251.55,257.76,250.47,257.3,230900
2023-02-02,258.0,266.63,258.0,265.19,354000
2023-02-03,260.86,266.155,259.75,261.02,210800
2023-02-06,257.88,261.69,256.14,259.69,133400
2023-02-07,258.66,268.49,257.86,267.1,212800
2023-02-08,265.3,269.0,264.11,267.3,217500
2023-02-09,265.59,266.29,259.8,262.02,302000
2023-02-10,260.34,264.82,258.8,264.58,209800
2023-02-13,266.0,268.44,264.61,266.72,169700
2023-02-14,264.82,266.35,260.67,262.6,437400
2023-02-15,261.03,264.235,259.51,264.19,406100
2023-02-16,259.13,269.19,259.13,267.73,505500
2023-02-17,266.31,266.31,259.051,264.69,254000
2023-02-21,260.29,264.46,254.59,258.18,449100
2023-02-22,258.82,263.51,258.31,261.35,291000
2023-02-23,262.64,263.78,257.29,261.72,447700
2023-02-24,259.0,268.605,240.0,267.38,1003500
2023-02-27,270.0,274.71,262.89,264.82,428000
2023-02-28,265.07,271.0,259.73,259.99,436100
2023-03-01,259.48,260.53,255.03,258.38,328100
2023-03-02,256.42,261.26,253.63,260.9,307600
2023-03-03,262.6,262.63,260.35,261.38,292900
2023-03-06,259.48,260.3,254.68,254.7,358100
2023-03-07,254.64,257.82,252.47,254.61,248600
2023-03-08,254.99,254.99,249.75,251.47,347600
2023-03-09,253.15,254.79,249.32,249.68,330600
2023-03-10,249.12,252.48,245.06,246.09,350400
2023-03-13,245.3,256.18,244.71,252.08,327300
2023-03-14,256.69,259.55,253.09,259.36,311600
2023-03-15,254.98,258.26,251.985,257.0,287700
2023-03-16,254.78,267.98,252.51,267.96,378900
2023-03-17,265.83,266.56,262.18,263.0,399500
2023-03-20,262.37,267.25,260.46,266.17,231300
2023-03-21,267.21,270.7,264.8,270.07,281200
2023-03-22,269.8,278.19,267.77,273.61,515800
2023-03-23,276.41,283.42,273.76,277.82,467000
2023-03-24,277.59,278.34,272.61,274.67,307100
2023-03-27,276.96,278.45,274.03,277.16,212500
2023-03-28,278.27,280.46,275.1,275.54,290900
2023-03-29,271.0,279.555,271.0,274.79,307700
2023-03-30,277.95,278.1,273.17,277.09,238800
2023-03-31,278.68,282.68,278.4,278.69,369100
2023-04-03,276.37,281.91,273.63,281.73,305700
2023-04-04,281.73,285.99,280.455,280.82,251200
2023-04-05,280.89,283.64,279.64,282.57,241500
2023-04-06,281.8,281.91,272.35,274.16,269200
2023-04-10,272.81,280.135,271.25,278.82,259200
2023-04-11,280.21,286.68,279.3,286.65,300700
2023-04-12,287.59,287.59,276.74,277.28,204600
2023-04-13,280.06,280.97,276.19,276.97,424800
2023-04-14,275.43,279.99,275.43,277.62,279000
2023-04-17,278.06,280.0,270.6,271.94,286300
2023-04-18,273.45,273.45,266.55,271.54,471600
2023-04-19,272.9,280.49,272.53,274.25,342700
2023-04-20,273.1,275.52,272.0,275.22,408100
2023-04-21,275.99,280.61,275.99,279.9,248800
2023-04-24,280.68,288.88,279.459,288.32,248800
2023-04-25,286.79,287.89,283.75,284.9,291900
2023-04-26,284.34,284.79,280.04,284.18,293400
2023-04-27,283.35,285.28,280.77,283.16,414400
2023-04-28,283.16,287.15,280.0,284.12,605600
2023-05-01,284.25,288.82,282.33,285.46,377900
2023-05-02,283.88,285.48,279.0,281.33,635400
2023-05-03,285.33,306.7,284.32,301.04,1116900
2023-05-04,301.0,310.0,299.16,301.88,549700
2023-05-05,299.17,311.2,297.634,310.08,521000
2023-05-08,308.87,314.915,306.98,310.69,312200
2023-05-09,309.9,317.77,307.75,314.87,334400
2023-05-10,315.39,320.5,313.995,320.0,451700
2023-05-11,320.67,321.43,316.84,317.39,287700
2023-05-12,317.62,324.38,317.38,320.46,351200
2023-05-15,319.71,320.76,313.25,314.92,297200
2023-05-16,312.89,317.23,308.5,315.78,624100
2023-05-17,315.25,316.99,312.01,313.78,234900
2023-05-18,315.39,318.475,314.06,315.1,250000
2023-05-19,316.11,320.83,314.03,317.6,371600
2023-05-22,316.89,322.835,316.68,318.65,321000
2023-05-23,316.64,318.93,301.43,305.72,400900
2023-05-24,303.21,310.76,302.11,307.57,222200
2023-05-25,309.13,309.42,303.48,304.9,334900
2023-05-26,304.94,308.71,303.0,306.5,254300
2023-05-30,306.4,314.29,306.4,310.73,289400
2023-05-31,309.98,310.0,304.538,307.34,267500
2023-06-01,308.2,314.87,305.64,314.24,241800
2023-06-02,315.07,320.94,312.08,320.86,292700
2023-06-05,318.11,323.0,318.0,321.83,244700
2023-06-06,320.85,322.78,319.1,322.37,146700
2023-06-07,322.33,327.04,312.61,312.74,322600
2023-06-08,311.57,316.16,310.16,314.72,225600
2023-06-09,315.8,325.018,315.8,323.09,199200
2023-06-12,324.28,328.24,320.27,328.14,420600
2023-06-13,327.42,334.7,327.42,331.72,325200
2023-06-14,334.89,342.68,334.89,337.53,510100
2023-06-15,336.74,339.285,335.09,338.28,282100
2023-06-16,340.74,344.81,336.75,337.37,558800
2023-06-20,333.97,339.67,332.88,337.77,332000
2023-06-21,337.16,338.485,328.79,336.37,509000
2023-06-22,335.55,342.085,334.92,339.98,300000
2023-06-23,337.23,339.44,333.41,334.1,373300
2023-06-26,334.25,334.25,328.78,329.26,321000
2023-06-27,329.51,332.13,325.77,327.35,346100
2023-06-28,327.13,330.68,327.08,329.43,262300
2023-06-29,329.0,340.7,328.94,340.37,350000
2023-06-30,343.71,348.67,341.39,344.06,378300
2023-07-03,341.45,344.04,338.37,338.77,272400
2023-07-05,338.27,341.23,333.6,337.29,310600
2023-07-06,336.67,339.26,329.38,331.58,313600
2023-07-07,331.15,333.34,326.705,327.37,273200
2023-07-10,329.4,332.52,326.55,327.25,335100
2023-07-11,327.04,328.57,320.809,321.36,464000
2023-07-12,324.5,324.59,316.18,317.96,518000
2023-07-13,318.51,320.16,314.97,319.07,402000
2023-07-14,318.0,323.34,313.29,314.93,414800
2023-07-17,315.26,315.78,312.45,313.49,419900
2023-07-18,312.77,314.74,308.07,314.54,440000
2023-07-19,319.22,319.67,301.68,302.36,725600
2023-07-20,302.94,308.58,302.14,305.86,376100
2023-07-21,305.12,306.82,301.43,303.57,324200
2023-07-24,302.61,304.84,299.93,302.65,381700
2023-07-25,300.74,303.5,300.74,301.84,273400
2023-07-26,300.2,306.545,298.39,304.88,335700
2023-07-27,307.19,307.446,303.63,304.85,267400
2023-07-28,308.12,309.105,304.04,308.06,261700
2023-07-31,309.72,310.51,300.86,303.36,338100
2023-08-01,300.035,301.65,294.28,298.33,490900
2023-08-02,263.83,277.35,261.88,269.46,1621800
2023-08-03,270.06,270.63,255.03,255.28,749900
2023-08-04,254.59,256.245,248.455,252.36,647300
2023-08-07,253.48,261.04,252.09,252.66,440100
2023-08-08,251.0,251.0,244.54,247.89,408700
2023-08-09,248.37,250.25,243.15,246.96,308900
2023-08-10,247.13,251.16,246.63,248.39,291800
2023-08-11,247.15,248.9,246.04,247.44,204100
2023-08-14,246.82,255.74,246.82,255.63,375600
2023-08-15,255.43,261.485,255.355,260.12,415800
2023-08-16,259.95,261.3,254.363,255.43,344700
2023-08-17,255.63,259.11,253.47,254.99,377100
2023-08-18,253.61,253.92,248.03,251.22,454000
2023-08-21,251.53,252.7,246.69,248.71,328900
2023-08-22,249.05,254.09,247.77,252.44,347600
2023-08-23,252.64,254.225,250.2,252.88,207600
2023-08-24,253.46,254.0,248.52,248.71,185000
2023-08-25,249.45,252.18,247.295,251.43,185800
2023-08-28,253.0,256.875,252.37,252.53,223800
2023-08-29,252.04,259.36,252.04,259.01,181400
2023-08-30,259.25,266.82,259.04,263.94,253300
2023-08-31,264.08,268.51,262.445,264.5,358100
2023-09-01,266.62,267.37,262.62,264.12,229100
2023-09-05,263.07,264.41,258.435,262.1,315300
2023-09-06,265.44,281.47,265.44,279.06,510500
2023-09-07,277.86,291.38,277.86,289.53,683300
2023-09-08,288.66,294.0,283.465,292.98,841000
2023-09-11,294.69,302.0,293.804,300.02,433100
2023-09-12,298.97,298.97,288.06,290.22,402300
2023-09-13,288.55,292.26,278.315,279.26,393000
