Date,Open,High,Low,Close,Volume
2023-01-13,58.54,60.18,58.54,60.12,928600
2023-01-17,59.67,60.23,59.23,59.25,1283800
2023-01-18,59.34,59.79,58.92,59.01,1615100
2023-01-19,58.5,58.853,58.31,58.53,1110200
2023-01-20,58.8,59.35,58.45,59.31,688100
2023-01-23,59.09,59.96,59.0,59.61,822800
2023-01-24,59.24,60.14,58.955,59.82,596500
2023-01-25,59.14,60.03,59.01,59.94,639000
2023-01-26,60.2,60.812,59.76,60.42,624400
2023-01-27,60.4,60.55,59.71,59.87,1045500
2023-01-30,59.71,60.39,59.69,59.97,1023000
2023-01-31,59.65,61.38,58.96,61.32,1322300
2023-02-01,61.26,63.01,61.125,62.67,1254700
2023-02-02,62.78,63.13,60.59,60.99,1579500
2023-02-03,60.64,61.46,60.48,61.12,1088900
2023-02-06,61.05,62.08,60.55,61.88,1180800
2023-02-07,61.47,62.14,60.65,61.79,2200900
2023-02-08,60.5,61.53,58.82,59.89,2978900
2023-02-09,60.42,60.63,58.41,58.91,2932800
2023-02-10,58.58,58.86,57.85,58.74,1658900
2023-02-13,59.06,60.13,58.74,60.12,920900
2023-02-14,60.11,60.64,59.71,60.23,1567500
2023-02-15,59.7,60.2,59.35,59.8,1459300
2023-02-16,59.23,60.83,59.13,59.79,780300
2023-02-17,59.79,59.95,59.45,59.81,1354300
2023-02-21,59.21,59.66,58.65,58.67,524400
2023-02-22,58.68,59.02,58.14,58.69,1000300
2023-02-23,58.84,59.39,58.27,58.56,1078500
2023-02-24,58.6,58.9,57.52,58.61,927800
2023-02-27,58.95,58.95,57.8,57.98,747800
2023-02-28,58.03,58.14,56.42,56.59,1729500
2023-03-01,56.31,57.33,56.05,57.3,1120000
2023-03-02,57.11,57.89,56.81,57.71,646300
2023-03-03,57.66,58.18,57.31,57.83,581500
2023-03-06,57.83,58.64,57.5,57.9,1261200
2023-03-07,57.99,58.38,57.17,57.48,847700
2023-03-08,56.39,56.99,55.65,56.91,1640400
2023-03-09,57.26,57.31,55.47,55.48,1813300
2023-03-10,55.16,55.419,53.895,54.6,1149700
2023-03-13,53.88,54.97,53.5,54.0,1332700
2023-03-14,54.98,55.64,53.835,54.42,1294000
2023-03-15,53.02,54.58,52.32,54.52,2664900
2023-03-16,54.01,54.75,52.96,54.72,1346500
2023-03-17,54.85,55.13,53.71,54.52,1927500
2023-03-20,54.82,55.6,54.77,55.24,804100
2023-03-21,55.95,56.98,55.95,56.85,767400
2023-03-22,56.69,57.41,56.09,56.13,741100
2023-03-23,56.49,57.16,55.57,56.01,708600
2023-03-24,55.48,56.99,54.94,56.98,748600
2023-03-27,57.34,58.21,57.27,57.85,796400
2023-03-28,58.01,58.79,57.67,58.15,1049600
2023-03-29,58.82,59.41,58.53,59.07,1686900
2023-03-30,59.14,60.11,59.11,59.62,936700
2023-03-31,60.05,60.75,59.955,60.34,947500
2023-04-03,60.16,60.775,59.96,60.66,773400
2023-04-04,60.89,60.91,59.63,60.0,1172400
2023-04-05,59.54,60.07,59.38,59.94,1071400
2023-04-06,59.67,60.3,59.66,60.0,726300
2023-04-10,59.69,60.63,59.57,60.43,611100
2023-04-11,60.63,61.82,60.51,61.41,804100
2023-04-12,61.73,61.89,60.72,60.75,1109900
2023-04-13,60.75,61.37,59.91,60.54,1639800
2023-04-14,60.51,60.9,60.02,60.3,840900
2023-04-17,60.45,61.44,60.205,61.41,625400
2023-04-18,61.52,62.39,61.44,62.27,1077400
2023-04-19,62.34,62.43,61.55,61.56,736200
2023-04-20,61.21,61.4,60.713,60.93,890700
2023-04-21,61.0,62.0,60.83,61.95,519300
2023-04-24,61.62,61.99,61.03,61.77,752000
2023-04-25,61.33,61.515,60.3,60.33,608200
2023-04-26,60.34,60.81,59.76,60.0,675200
2023-04-27,60.1,61.22,60.01,61.15,582300
2023-04-28,61.29,62.84,60.91,62.69,806600
2023-05-01,62.8,63.22,61.855,62.03,1042500
2023-05-02,62.03,62.22,60.35,61.74,969300
2023-05-03,61.95,62.463,61.58,61.6,749700
2023-05-04,61.41,61.71,60.89,60.93,995900
2023-05-05,61.25,62.08,61.12,62.01,1076400
2023-05-08,62.1,62.335,61.04,61.17,1006000
2023-05-09,60.81,62.032,60.23,61.7,1826600
2023-05-10,61.7,62.375,57.775,59.65,2349300
2023-05-11,60.04,60.87,59.29,60.08,1324000
2023-05-12,60.55,61.17,59.25,60.27,1077500
2023-05-15,60.12,60.12,59.4,59.57,782300
2023-05-16,59.33,59.33,58.25,58.32,750500
2023-05-17,58.54,58.65,57.93,58.21,852700
2023-05-18,58.01,58.2,56.915,57.98,891300
2023-05-19,58.19,58.19,56.93,57.2,575700
2023-05-22,57.34,57.73,57.04,57.43,817800
2023-05-23,56.86,57.05,55.59,55.82,905100
2023-05-24,55.56,56.28,55.32,55.86,824700
2023-05-25,55.63,55.94,55.12,55.49,674100
2023-05-26,55.39,56.74,55.39,56.7,956300
2023-05-30,56.49,56.846,55.08,55.63,972100
2023-05-31,55.52,55.87,54.93,55.29,1181200
2023-06-01,55.18,55.88,55.01,55.65,1349000
2023-06-02,56.24,57.17,55.45,57.15,904300
2023-06-05,56.56,57.08,56.32,56.75,646500
2023-06-06,56.72,57.07,56.37,56.75,530300
