Date,Open,High,Low,Close,Volume
2023-01-13,51.01,52.28,50.51,51.85,145500
2023-01-17,51.82,53.06,51.5,52.93,131100
2023-01-18,52.9,54.01,51.0,51.19,148500
2023-01-19,50.68,51.97,50.11,51.38,108100
2023-01-20,51.98,52.02,48.33,49.22,255200
2023-01-23,49.39,50.27,49.06,49.87,128200
2023-01-24,49.64,50.565,49.28,49.93,90000
2023-01-25,49.49,50.125,49.09,50.0,85200
2023-01-26,50.21,52.285,49.42,50.0,121400
2023-01-27,49.54,50.46,49.3,49.67,104300
2023-01-30,49.18,50.07,49.14,49.81,94100
2023-01-31,49.99,51.28,49.72,51.11,179500
2023-02-01,50.98,52.04,50.24,51.31,171500
2023-02-02,51.5,54.345,51.15,54.24,163400
2023-02-03,53.59,54.18,52.819,53.56,149500
2023-02-06,53.32,53.39,51.3,52.01,97600
2023-02-07,51.82,52.23,51.1,51.55,220300
2023-02-08,51.09,52.475,50.73,50.98,86500
2023-02-09,51.31,51.47,49.77,50.21,84500
2023-02-10,50.23,50.57,49.42,50.08,81700
2023-02-13,50.27,51.24,49.47,50.88,98500
2023-02-14,50.89,50.92,48.84,49.37,101700
2023-02-15,49.31,52.72,49.31,52.51,211100
2023-02-16,52.51,55.07,50.055,53.38,237700
2023-02-17,54.72,58.77,54.02,58.4,395100
2023-02-21,57.46,58.44,56.725,58.31,247500
2023-02-22,58.31,59.98,58.31,58.99,246800
2023-02-23,59.24,60.49,59.065,60.27,220600
2023-02-24,59.55,61.98,59.55,61.04,195600
2023-02-27,61.17,62.789,59.98,60.4,162600
2023-02-28,60.37,61.68,59.62,60.0,134000
2023-03-01,60.03,60.75,59.6,60.7,119500
2023-03-02,60.2,60.63,59.865,60.4,104100
2023-03-03,60.37,60.96,59.62,60.95,86900
2023-03-06,61.07,61.07,59.44,60.43,161300
2023-03-07,60.41,60.83,57.79,59.59,222300
2023-03-08,59.7,61.24,58.79,59.94,159700
2023-03-09,59.97,60.56,58.89,59.11,118200
2023-03-10,58.31,58.48,55.03,55.45,182000
2023-03-13,53.93,55.845,51.56,54.7,128600
2023-03-14,56.63,57.295,55.71,56.47,94800
2023-03-15,54.76,55.09,52.865,54.29,131500
2023-03-16,53.59,55.79,51.34,55.27,230800
2023-03-17,55.07,55.07,50.15,51.45,434500
2023-03-20,52.2,54.96,51.735,53.08,121300
2023-03-21,54.4,56.05,54.4,55.53,111900
2023-03-22,55.43,56.57,54.5,54.5,129600
2023-03-23,54.83,55.14,52.58,53.07,81600
2023-03-24,52.36,53.69,50.815,53.69,78900
2023-03-27,54.55,55.65,53.838,53.93,76900
2023-03-28,53.67,54.46,53.48,53.86,58000
2023-03-29,54.57,55.075,53.79,54.79,81900
2023-03-30,54.94,55.22,53.125,53.48,79100
2023-03-31,53.67,55.87,53.67,55.2,148400
2023-04-03,54.98,55.52,53.2,54.78,116100
2023-04-04,55.04,56.825,52.825,53.2,70700
2023-04-05,54.06,54.94,53.48,53.76,120600
2023-04-06,54.05,55.14,53.76,54.58,70200
2023-04-10,54.56,55.03,54.0,54.91,115700
2023-04-11,55.15,55.48,54.26,54.86,90200
2023-04-12,55.22,55.91,53.77,53.86,94700
2023-04-13,54.36,55.43,53.75,55.07,127400
2023-04-14,54.78,55.1,52.63,53.95,94800
2023-04-17,54.04,54.61,53.58,53.7,86300
2023-04-18,53.89,53.89,52.16,52.36,99300
2023-04-19,52.28,52.74,51.29,52.64,141100
2023-04-20,52.65,54.31,52.65,53.82,133900
2023-04-21,53.86,53.86,52.3,52.85,92300
2023-04-24,53.0,53.49,52.06,52.5,108300
2023-04-25,51.81,52.57,51.62,51.95,85900
2023-04-26,51.81,51.81,49.72,49.96,69600
2023-04-27,50.17,51.4,49.84,50.88,97800
2023-04-28,50.7,51.42,50.19,50.26,114500
2023-05-01,50.43,51.57,50.26,50.54,110900
2023-05-02,50.5,50.85,48.01,48.74,110600
2023-05-03,49.32,50.035,48.5,49.63,264200
2023-05-04,50.73,52.81,48.54,49.14,200400
2023-05-05,49.81,52.25,49.81,51.0,195200
2023-05-08,51.0,51.745,50.39,50.7,123900
2023-05-09,50.5,50.5,48.92,48.96,199300
2023-05-10,49.67,49.97,48.84,49.5,196000
2023-05-11,48.98,49.44,47.91,47.95,161900
2023-05-12,48.15,48.5,46.782,47.03,126000
2023-05-15,47.09,47.58,46.09,47.11,159700
2023-05-16,48.65,53.44,48.62,49.58,257300
2023-05-17,49.72,51.11,49.29,50.06,180600
2023-05-18,49.98,51.07,49.26,50.95,142800
2023-05-19,51.73,52.38,51.19,52.37,149400
2023-05-22,52.49,53.37,52.03,53.05,122800
2023-05-23,52.96,53.65,51.03,51.48,144300
2023-05-24,51.31,51.31,48.99,49.0,75800
2023-05-25,48.85,49.745,47.455,48.8,139800
2023-05-26,48.87,49.09,47.39,47.82,91800
2023-05-30,47.9,48.18,46.67,47.28,115700
2023-05-31,48.83,55.765,48.82,54.66,667900
2023-06-01,54.26,55.12,52.7,52.93,240400
2023-06-02,53.66,54.27,53.02,54.17,126500
2023-06-05,53.6,55.31,52.02,55.16,120300
2023-06-06,55.34,57.9,55.2,56.37,148700
2023-06-07,56.89,59.473,56.75,59.01,165000
2023-06-08,58.9,60.33,58.38,59.43,121000
2023-06-09,59.27,59.7,57.625,59.06,99500
2023-06-12,59.11,59.72,58.26,58.82,118700
2023-06-13,58.98,59.293,57.9,58.17,139300
2023-06-14,58.17,58.5,56.24,56.53,138400
2023-06-15,56.47,57.55,55.74,56.49,170000
2023-06-16,57.17,57.95,55.335,56.11,522600
2023-06-20,56.13,58.97,55.66,58.61,153600
2023-06-21,58.34,58.57,56.475,56.7,205300
2023-06-22,56.7,58.38,56.44,58.2,145100
2023-06-23,57.53,60.69,57.53,60.14,364100
2023-06-26,59.99,60.355,58.02,59.43,191100
2023-06-27,59.59,61.295,59.59,60.16,134900
2023-06-28,59.95,59.95,58.13,58.94,141900
2023-06-29,59.1,59.3,58.27,58.74,161700
2023-06-30,59.01,59.51,58.0,58.04,85800
2023-07-03,57.55,58.74,57.535,58.34,52200
2023-07-05,58.0,58.0,56.16,57.42,112100
2023-07-06,56.9,57.19,55.85,56.18,56500
2023-07-07,56.5,57.145,56.395,56.61,64400
2023-07-10,56.84,57.76,56.77,57.24,94100
2023-07-11,57.24,57.89,56.075,56.28,74500
2023-07-12,56.69,57.46,56.48,56.96,97300
2023-07-13,57.02,57.995,56.875,57.43,89600
2023-07-14,57.36,57.495,56.18,56.21,109800
2023-07-17,55.25,57.86,55.25,57.12,125100
2023-07-18,57.09,57.97,56.17,57.56,126600
2023-07-19,57.6,58.305,57.36,57.74,61800
2023-07-20,57.94,59.06,57.59,59.02,55700
2023-07-21,59.54,59.845,58.065,59.12,97700
2023-07-24,59.13,59.72,58.94,59.14,43900
2023-07-25,58.92,60.17,58.615,59.48,65900
2023-07-26,59.48,60.69,58.77,60.45,58100
2023-07-27,60.6,60.875,59.76,60.69,63400
2023-07-28,61.18,61.57,59.66,60.18,62800
2023-07-31,60.16,61.185,59.77,60.56,88900
2023-08-01,60.48,60.48,59.43,60.16,45200
2023-08-02,59.55,60.23,58.14,60.0,106300
2023-08-03,59.49,59.49,55.365,57.76,189900
2023-08-04,57.83,59.85,57.83,58.52,67900
2023-08-07,58.67,59.13,57.64,58.43,154800
2023-08-08,58.21,58.39,56.6,57.26,120700
2023-08-09,57.1,58.21,56.24,57.64,84400
2023-08-10,57.66,58.17,54.65,56.9,170000
2023-08-11,56.65,57.25,56.06,56.75,130000
2023-08-14,56.61,56.61,54.44,55.24,116400
2023-08-15,54.82,55.14,53.77,53.83,130000
2023-08-16,53.91,57.12,53.91,54.88,64600
2023-08-17,54.975,55.28,54.23,54.41,66700
2023-08-18,54.08,54.67,52.21,52.29,125200
2023-08-21,52.29,52.57,50.83,51.4,79800
2023-08-22,51.64,51.93,50.62,50.93,78700
2023-08-23,51.03,51.7,50.63,50.99,149100
2023-08-24,50.67,51.8,50.67,51.04,67900
2023-08-25,51.19,51.39,50.5,50.55,71900
2023-08-28,50.7,51.06,48.455,48.79,118900
2023-08-29,48.92,51.335,48.905,51.02,111000
2023-08-30,50.73,52.05,50.73,50.95,76600
2023-08-31,50.92,51.68,50.675,51.01,170600
2023-09-01,51.19,52.56,51.19,52.07,75900
2023-09-05,51.66,51.66,49.85,50.08,129500
2023-09-06,50.27,50.625,49.31,49.95,91800
2023-09-07,49.95,51.65,49.345,51.26,129400
2023-09-08,51.22,51.38,50.2,51.27,141400
2023-09-11,51.39,52.417,51.25,51.71,105300
2023-09-12,51.68,52.47,51.1,52.22,86600
2023-09-13,52.17,52.17,50.74,51.19,121300
2023-09-14,51.59,52.53,51.59,52.31,86100
2023-09-15,52.41,52.5,51.015,51.91,423700
2023-09-18,51.98,53.52,51.38,53.24,98400
2023-09-19,53.44,54.28,53.37,53.73,65700
2023-09-20,53.91,54.307,53.36,53.42,104900
2023-09-21,53.18,53.18,51.68,52.05,83900
2023-09-22,51.99,52.23,51.56,51.63,90000
2023-09-25,51.54,51.54,49.775,51.0,93300
2023-09-26,50.43,51.48,50.29,50.33,110100
2023-09-27,50.7,52.0,50.47,51.07,127300
2023-09-28,51.04,51.445,50.02,50.14,125000
2023-09-29,50.23,51.21,49.79,50.75,390600
2023-10-02,50.48,50.9,49.21,49.73,150000
2023-10-03,49.53,49.535,48.53,49.36,73700
2023-10-04,49.31,49.86,48.72,49.47,76100
2023-10-05,49.19,50.63,49.19,50.5,119700
2023-10-06,50.3,51.645,49.623,49.95,238800
2023-10-09,49.39,50.82,48.72,50.79,161100
2023-10-10,50.89,52.275,50.69,50.82,260500
2023-10-11,51.16,52.47,51.16,52.21,146200
2023-10-12,52.21,52.21,50.99,51.51,58400
2023-10-13,51.66,52.29,50.675,50.98,68900
2023-10-16,51.53,52.815,51.31,52.55,105100
2023-10-17,52.34,53.89,52.34,53.25,101800
2023-10-18,53.17,53.55,52.41,52.55,71600
2023-10-19,52.23,52.71,50.9,51.32,103700
2023-10-20,51.43,51.43,49.17,49.35,119400
2023-10-23,49.11,49.75,48.075,48.58,119700
2023-10-24,48.64,50.08,48.23,50.06,135900
2023-10-25,49.72,50.835,49.5,49.68,84600
2023-10-26,49.92,51.02,49.74,50.72,82300
2023-10-27,50.48,50.48,48.655,49.36,125300
2023-10-30,49.94,50.24,49.085,49.87,164500
2023-10-31,49.85,50.355,49.73,50.08,193500
2023-11-01,49.91,51.3,49.91,51.22,218900
2023-11-02,56.8,56.85,54.92,56.37,275700
2023-11-03,57.65,57.65,55.805,56.36,215800
2023-11-06,56.04,57.78,55.13,56.98,130900
2023-11-07,57.46,57.46,55.97,57.13,221400
2023-11-08,56.6,58.635,55.84,58.5,161200
2023-11-09,58.5,58.81,57.205,57.76,128900
2023-11-10,58.27,59.66,58.04,59.6,150000
2023-11-13,59.04,60.75,58.74,60.67,94000
2023-11-14,61.92,62.12,59.665,60.24,124700
2023-11-15,60.0,61.385,58.73,58.87,99200
2023-11-16,59.02,59.13,58.21,58.59,173000
2023-11-17,58.9,60.225,58.9,59.4,137400
2023-11-20,59.1,59.34,58.38,58.53,85400
2023-11-21,58.72,59.77,58.525,59.61,157500
2023-11-22,59.25,59.36,57.4,58.24,147400
2023-11-24,58.03,59.67,58.03,59.67,47300
2023-11-27,59.6,60.14,58.95,59.83,133900
2023-11-28,59.78,59.89,58.841,59.11,121200
2023-11-29,59.59,60.0,58.023,58.42,102900
2023-11-30,58.79,58.79,57.91,58.51,121700
2023-12-01,58.51,59.44,58.091,58.84,123500
2023-12-04,59.02,63.17,59.02,63.15,265200
2023-12-05,63.34,64.41,62.555,63.01,183600
2023-12-06,63.06,63.16,61.36,61.86,175800
2023-12-07,62.45,62.52,59.75,60.15,130600
2023-12-08,59.87,61.18,59.655,61.06,93900
2023-12-11,60.86,61.283,60.42,61.0,99900
2023-12-12,61.19,61.63,60.4,61.23,117700
2023-12-13,61.04,64.035,60.545,63.37,193000
2023-12-14,64.27,64.37,59.7,60.88,201400
2023-12-15,60.84,61.373,57.87,58.25,405800
2023-12-18,58.64,58.81,57.83,58.27,123600
2023-12-19,58.74,59.76,58.025,59.38,259300
2023-12-20,59.41,59.89,57.99,57.99,148600
2023-12-21,58.32,58.365,56.69,57.46,118400
2023-12-22,57.86,59.13,56.87,57.37,91100
2023-12-26,57.74,57.74,56.8,57.0,182700
2023-12-27,56.92,57.47,56.12,56.34,108400
2023-12-28,56.14,56.57,55.53,55.71,87600
2023-12-29,55.56,55.94,55.11,55.5,86700
2024-01-02,54.5,56.68,54.5,56.67,180400
2024-01-03,56.59,57.43,55.995,57.1,133500
2024-01-04,57.98,59.36,57.23,58.48,131100
2024-01-05,58.04,59.12,57.81,57.88,137300
2024-01-08,57.62,57.62,55.78,56.21,106700
2024-01-09,55.93,56.445,54.81,56.1,90800
2024-01-10,56.08,56.69,55.253,56.68,114700
2024-01-11,57.02,59.87,56.67,59.76,179100
2024-01-12,60.0,63.0,59.97,62.72,256000
2024-01-16,62.68,63.05,60.1,61.05,141000
2024-01-17,60.3,61.39,60.23,61.34,131200
2024-01-18,61.47,61.94,60.9,61.7,115300
2024-01-19,62.39,62.71,61.585,62.5,122400
2024-01-22,63.025,63.14,61.37,62.31,170000
2024-01-23,63.0,63.945,61.525,61.73,161900
2024-01-24,62.17,62.17,60.01,60.08,138500
2024-01-25,60.5,61.305,58.06,60.0,112300
2024-01-26,60.57,61.75,60.185,60.93,100500
2024-01-29,60.13,61.62,59.92,61.62,126900
2024-01-30,61.62,62.35,60.03,60.31,92300
2024-01-31,60.45,61.065,59.82,59.87,148600
2024-02-01,59.67,59.84,58.07,59.02,138600
2024-02-02,58.73,59.92,58.27,58.59,60400
2024-02-05,58.39,58.5,57.55,58.27,108300
2024-02-06,58.16,59.345,57.63,58.81,60100
2024-02-07,59.17,59.7,57.68,59.4,94400
2024-02-08,59.17,60.006,58.77,59.73,69100
2024-02-09,59.75,61.244,59.67,60.85,149100
2024-02-12,60.95,61.945,60.75,61.64,114600
2024-02-13,60.88,62.31,59.075,59.43,178400
2024-02-14,59.45,63.215,59.45,62.2,419100
2024-02-15,66.93,73.9,66.81,73.65,558400
2024-02-16,74.36,76.095,73.61,74.13,367400
2024-02-20,73.56,75.8,73.388,75.37,162700
2024-02-21,75.83,75.955,72.87,73.0,332800
2024-02-22,72.97,75.39,72.93,75.28,265900
2024-02-23,75.18,76.65,74.68,75.74,111000
2024-02-26,75.18,76.76,74.87,74.93,97200
2024-02-27,75.51,75.835,74.54,75.17,145000
2024-02-28,75.05,75.58,74.265,75.13,116300
2024-02-29,75.83,76.44,75.18,76.14,119700
2024-03-01,75.87,76.94,75.125,75.46,106700
2024-03-04,75.46,76.416,73.8,73.8,178900
2024-03-05,73.31,74.725,72.85,73.61,116700
2024-03-06,73.82,75.2,73.3,75.05,69100
2024-03-07,75.69,75.69,73.31,73.64,62100
2024-03-08,74.44,75.17,73.88,74.32,78500
2024-03-11,73.43,73.99,72.99,73.3,66100
2024-03-12,73.05,74.82,71.54,74.15,98300
2024-03-13,74.55,76.36,74.273,76.07,192300
2024-03-14,78.18,84.575,78.14,82.85,515700
2024-03-15,81.99,82.78,80.58,82.02,359600
2024-03-18,82.74,86.255,81.985,83.0,205900
2024-03-19,82.33,84.35,82.33,83.69,187200
2024-03-20,83.02,83.85,81.887,82.37,258000
2024-03-21,83.03,83.7,81.75,82.25,247900
2024-03-22,82.54,83.56,81.51,81.7,124600
2024-03-25,82.15,82.43,81.55,82.21,74800
2024-03-26,82.02,84.3,81.96,83.83,144000
2024-03-27,84.79,85.511,83.5,84.25,170400
2024-03-28,83.98,84.71,83.52,83.83,176000
2024-04-01,84.11,84.11,81.62,82.19,94700
2024-04-02,81.52,81.72,80.33,81.59,151400
2024-04-03,81.0,83.87,81.0,82.64,153200
2024-04-04,83.47,83.745,80.47,80.56,95300
2024-04-05,80.64,82.835,80.4,81.47,147300
2024-04-08,79.69,79.86,76.08,78.42,136800
2024-04-09,78.56,79.025,76.505,77.22,100700
2024-04-10,76.24,77.38,75.22,76.94,95700
2024-04-11,77.44,77.518,75.54,75.54,141000
2024-04-12,75.12,76.43,74.09,74.41,142600
2024-04-15,75.6,76.4,74.95,75.21,94700
2024-04-16,75.54,77.17,74.775,76.47,124500
2024-04-17,76.69,77.15,75.49,76.9,138400
2024-04-18,76.8,78.73,76.2,77.77,228900
2024-04-19,77.37,79.42,77.37,79.22,144800
2024-04-22,79.87,80.86,78.572,79.84,226200
2024-04-23,80.24,81.865,80.035,81.81,122100
2024-04-24,81.83,82.06,80.23,81.38,88200
2024-04-25,81.12,81.72,80.561,81.15,161100
2024-04-26,81.44,81.985,77.88,79.5,229800
2024-04-29,80.0,80.525,78.26,80.25,173400
2024-04-30,80.0,81.19,78.59,78.67,200700
2024-05-01,79.03,80.49,77.92,79.04,130900
2024-05-02,79.85,80.34,77.17,77.97,256600
2024-05-03,79.36,82.91,78.52,80.82,290900
2024-05-06,82.05,84.52,81.586,83.39,195600
2024-05-07,83.32,86.25,82.97,85.11,218200
2024-05-08,84.45,85.15,83.92,84.76,101600
2024-05-09,85.24,85.6,84.01,84.07,125200
2024-05-10,83.99,84.3,82.45,83.85,104300
2024-05-13,83.98,84.32,83.11,83.12,204500
2024-05-14,83.43,84.12,82.67,84.06,116900
2024-05-15,84.21,84.99,82.213,83.77,131500
2024-05-16,84.0,85.55,83.8,85.3,106900
2024-05-17,85.8,88.0,85.8,87.1,317300
2024-05-20,88.18,89.22,83.15,83.5,199300
2024-05-21,83.41,84.39,81.53,82.63,197600
2024-05-22,82.93,83.265,80.0,82.8,143400
2024-05-23,83.06,83.06,81.0,81.67,132600
2024-05-24,82.25,82.25,81.308,81.74,92300
2024-05-28,81.74,82.0,79.33,81.17,164300
2024-05-29,82.29,86.07,81.75,84.34,240900
2024-05-30,84.16,86.24,83.5,85.0,110700
2024-05-31,85.0,85.837,83.865,84.84,190800
2024-06-03,85.54,85.54,83.0,84.65,116400
2024-06-04,84.08,85.44,83.76,85.17,105800
2024-06-05,85.43,87.31,82.67,83.06,145900
2024-06-06,82.72,86.29,82.68,86.17,173100
2024-06-07,86.26,88.41,85.558,86.86,289800
2024-06-10,86.17,87.88,84.68,86.0,218300
2024-06-11,85.82,86.188,82.52,83.69,115200
2024-06-12,84.71,86.06,83.795,85.9,92200
2024-06-13,84.79,85.095,82.445,83.1,132800
2024-06-14,82.17,82.35,79.7,80.13,121100
2024-06-17,80.0,81.01,78.99,80.87,78600
2024-06-18,81.0,82.05,80.009,80.97,78200
2024-06-20,80.32,81.98,80.236,81.31,88900
2024-06-21,81.13,81.14,77.51,78.16,311900
2024-06-24,78.02,79.48,77.5,78.86,126000
2024-06-25,78.58,79.96,78.2,79.61,113700
2024-06-26,78.84,78.94,77.275,78.03,228500
2024-06-27,78.67,81.44,78.67,81.28,135600
2024-06-28,81.28,82.21,79.965,81.15,327100
2024-07-01,81.69,83.22,80.61,83.2,149700
2024-07-02,82.83,83.59,81.92,82.4,117900
2024-07-03,82.2,82.53,81.13,82.27,69700
2024-07-05,82.72,82.85,81.25,82.51,96500
2024-07-08,82.53,84.03,82.19,82.9,103400
2024-07-09,83.16,84.155,79.82,80.39,191000
2024-07-10,81.0,81.92,80.71,81.44,111600
2024-07-11,82.2,84.43,81.37,84.24,127100
2024-07-12,85.38,86.56,84.52,85.67,152300
2024-07-15,86.53,89.74,86.368,88.87,153500
2024-07-16,88.19,91.46,88.19,91.31,186800
2024-07-17,90.8,93.12,90.62,91.35,202800
2024-07-18,90.47,93.51,89.66,90.34,129100
2024-07-19,90.55,90.59,88.52,88.79,109000
2024-07-22,88.73,90.325,87.753,90.22,93200
2024-07-23,90.6,92.75,90.435,91.41,112000
2024-07-24,91.07,91.36,88.815,89.02,95000
2024-07-25,89.61,90.93,88.44,88.7,124400
2024-07-26,89.6,91.903,89.4,91.67,122500
2024-07-29,91.39,91.66,88.58,88.77,150000
2024-07-30,89.48,92.58,89.48,92.05,131200
2024-07-31,92.45,93.34,91.695,92.01,113000
2024-08-01,92.01,92.9,88.56,89.58,123700
2024-08-02,86.62,90.665,86.0,90.0,205000
2024-08-05,85.91,88.5,82.545,88.25,218900
2024-08-06,94.0,96.44,90.56,92.99,282800
2024-08-07,94.01,95.33,92.538,94.94,166400
2024-08-08,94.89,95.66,92.83,93.37,98500
2024-08-09,91.77,91.875,86.615,89.91,1091400
2024-08-12,90.95,91.0,87.85,87.9,311400
2024-08-13,89.86,89.86,87.695,89.31,309000
2024-08-14,90.0,91.97,89.56,90.36,346200
2024-08-15,91.0,95.73,90.775,94.91,462100
2024-08-16,94.91,96.12,94.11,94.66,213100
2024-08-19,95.06,95.49,93.32,94.49,154400
2024-08-20,94.6,94.92,93.7,93.94,98400
2024-08-21,94.3,94.62,93.171,94.32,104900
2024-08-22,94.07,97.4,93.6,97.39,172800
2024-08-23,97.68,99.23,96.32,99.04,146200
2024-08-26,99.56,99.61,97.135,97.45,104200
2024-08-27,97.55,98.898,97.18,97.67,95600
2024-08-28,97.67,98.14,96.49,97.33,95200
2024-08-29,97.93,99.25,96.63,98.8,119600
2024-08-30,99.4,99.74,98.22,99.22,169500
2024-09-03,98.74,100.29,97.14,98.1,137700
2024-09-04,98.09,98.855,96.144,97.88,91600
2024-09-05,98.37,98.47,94.3,96.08,121200
2024-09-06,95.65,95.98,93.258,94.51,123900
2024-09-09,94.42,96.2,92.61,95.7,302600
2024-09-10,95.44,96.11,91.85,92.88,144100
2024-09-11,92.88,93.43,91.138,92.56,128100
2024-09-12,93.09,94.05,92.33,92.86,55600
2024-09-13,93.45,95.4,93.435,94.83,102600
2024-09-16,95.44,97.73,95.44,95.78,97300
2024-09-17,96.51,99.32,95.89,97.77,241300
2024-09-18,97.37,98.25,96.17,96.89,90900
2024-09-19,98.25,98.25,95.48,96.74,105900
2024-09-20,96.74,96.74,94.34,95.01,507600
2024-09-23,95.55,95.96,95.14,95.73,195700
2024-09-24,95.73,96.2,94.94,96.19,169700
2024-09-25,96.68,98.1,95.62,97.48,194300
2024-09-26,98.1,99.9,95.11,95.27,170400
2024-09-27,95.59,96.64,94.79,94.82,125500
2024-09-30,94.74,95.86,93.73,94.67,125800
2024-10-01,94.4,95.47,92.86,93.85,159400
2024-10-02,93.54,95.715,93.18,95.09,128100
2024-10-03,95.43,97.54,94.85,97.28,199900
2024-10-04,98.41,103.4,98.274,102.88,199000
2024-10-07,102.61,102.61,93.345,95.49,271700
2024-10-08,96.16,97.92,96.143,96.51,135800
2024-10-09,96.56,97.19,94.25,95.55,189100
2024-10-10,94.59,95.85,92.29,92.39,153500
2024-10-11,92.48,96.52,92.15,96.17,136500
2024-10-14,96.5,98.12,96.07,97.79,75000
2024-10-15,97.65,99.455,97.06,98.18,102900
2024-10-16,98.21,99.57,97.54,98.02,128400
2024-10-17,98.27,98.705,97.26,97.4,106600
2024-10-18,97.93,97.93,96.575,97.09,74300
2024-10-21,97.14,97.62,95.68,96.43,74500
2024-10-22,95.2,95.43,93.65,95.34,57300
2024-10-23,94.94,94.94,93.33,94.19,80200
2024-10-24,94.67,95.29,94.27,94.57,122300
2024-10-25,94.39,95.49,91.08,91.72,177000
2024-10-28,92.31,92.86,90.94,90.97,156200
2024-10-29,90.12,93.39,89.902,93.3,108500
2024-10-30,93.06,95.42,92.73,92.92,76600
2024-10-31,92.42,92.5,89.64,89.77,111900
2024-11-01,89.68,90.255,87.34,88.38,154800
2024-11-04,87.61,89.39,87.61,88.47,128700
2024-11-05,85.0,92.5,85.0,90.3,239300
2024-11-06,97.16,98.74,95.55,96.2,327800
2024-11-07,96.27,96.65,94.45,95.77,114000
2024-11-08,95.93,100.44,95.24,100.1,295600
2024-11-11,102.52,107.0,101.321,101.58,276400
2024-11-12,101.19,102.295,99.15,100.69,158400
2024-11-13,101.33,101.8,100.14,101.0,92700
2024-11-14,101.35,104.52,101.35,104.33,140700
2024-11-15,104.93,105.21,101.09,103.69,223700
2024-11-18,103.44,109.44,103.0,108.48,256300
2024-11-19,107.28,109.16,105.38,107.16,97800
2024-11-20,107.18,108.46,105.66,108.39,163800
2024-11-21,108.7,109.86,107.54,108.67,118900
2024-11-22,109.0,110.98,107.78,108.32,139900
2024-11-25,109.0,110.475,107.84,109.03,237800
2024-11-26,108.58,109.43,107.64,108.8,243400
2024-11-27,109.55,111.27,108.38,108.44,125100
2024-11-29,109.63,110.43,108.155,108.3,85700
2024-12-02,108.46,109.645,105.85,109.03,104000
2024-12-03,108.38,109.78,107.21,108.13,83400
2024-12-04,108.12,112.1,107.85,111.01,112600
2024-12-05,110.58,111.565,105.8,108.42,185900
2024-12-06,109.73,111.36,108.135,110.45,165500
2024-12-09,110.46,110.46,106.26,107.38,122500
2024-12-10,107.6,108.385,103.14,105.68,184200
2024-12-11,106.0,109.365,105.24,108.45,210400
2024-12-12,108.88,109.9,108.41,109.57,98500
2024-12-13,109.77,111.52,109.24,109.67,131900
2024-12-16,110.35,112.5,109.55,112.17,137900
2024-12-17,111.43,112.9,110.03,111.15,201500
2024-12-18,110.85,111.13,104.06,104.74,220700
2024-12-19,105.26,108.18,103.79,103.81,218200
2024-12-20,102.05,105.65,100.31,104.93,433300
2024-12-23,104.53,104.53,102.165,102.57,90400
2024-12-24,102.51,105.41,102.51,105.01,71500
2024-12-26,103.93,105.59,102.935,105.18,83900
2024-12-27,105.1,106.33,103.31,104.39,96000
2024-12-30,102.84,105.209,102.4,104.45,100800
2024-12-31,105.2,106.71,104.54,105.59,125900
2025-01-02,105.86,107.45,103.0,104.38,110400
2025-01-03,105.71,105.91,104.385,104.81,74800
2025-01-06,105.89,108.52,105.15,106.49,169800
2025-01-07,106.49,107.5,104.31,105.47,174600
2025-01-08,104.9,107.1,104.0,105.87,133000
2025-01-10,103.56,103.59,98.42,101.51,158300
2025-01-13,99.56,102.1,99.56,101.85,105800
2025-01-14,102.12,105.525,100.96,105.52,104300
2025-01-15,108.49,108.49,105.995,107.11,127200
2025-01-16,107.65,109.985,107.14,108.37,159200
2025-01-17,109.27,110.78,108.59,110.37,106400
2025-01-21,110.63,111.82,108.51,109.6,139800
2025-01-22,109.65,109.9,107.535,107.84,96500
2025-01-23,106.76,107.63,102.43,102.71,209000
2025-01-24,102.82,104.025,101.64,103.49,230900
2025-01-27,101.69,107.645,101.69,106.24,167700
2025-01-28,106.81,109.5,106.81,109.29,83000
2025-01-29,108.13,110.225,107.985,108.63,96300
2025-01-30,108.34,109.91,106.655,107.44,92900
2025-01-31,106.0,108.09,105.88,107.87,129000
2025-02-03,104.47,107.531,104.47,107.03,120600
2025-02-04,106.85,108.44,106.14,106.74,106500
2025-02-05,107.65,109.46,107.01,109.37,98200
