Date,Open,High,Low,Close,Volume
2023-01-13,83.5,85.25,83.5,83.69,737800
2023-01-17,83.22,83.71,82.44,82.57,877700
2023-01-18,83.23,84.375,82.37,82.94,744900
2023-01-19,82.4,82.73,79.33,80.47,2830200
2023-01-20,81.05,81.6,79.12,79.22,1384000
2023-01-23,79.3,81.18,78.49,80.87,1734400
2023-01-24,80.19,81.74,80.15,80.8,977800
2023-01-25,79.99,81.91,79.29,81.8,810600
2023-01-26,82.37,83.305,81.891,83.23,700800
2023-01-27,83.06,83.48,82.24,82.34,500800
2023-01-30,81.67,82.95,81.575,82.48,590400
2023-01-31,83.2,84.68,82.62,84.65,784900
2023-02-01,84.35,84.92,82.37,83.8,543700
2023-02-02,84.95,85.905,83.15,83.47,909900
2023-02-03,82.39,83.51,81.29,81.92,842800
2023-02-06,81.08,82.98,81.08,81.68,1043200
2023-02-07,81.34,82.55,80.195,82.43,697400
2023-02-08,82.18,83.4,81.65,83.26,586200
2023-02-09,84.09,84.4,80.15,80.31,742100
2023-02-10,79.57,81.43,79.25,81.29,608500
2023-02-13,81.63,82.59,81.11,82.45,480900
2023-02-14,82.22,83.33,81.88,83.05,740700
2023-02-15,82.97,84.66,82.61,84.18,1060400
2023-02-16,82.0,82.44,80.25,80.27,1204700
2023-02-17,80.03,80.135,76.89,77.55,1686400
2023-02-21,76.47,77.51,75.93,76.23,1295800
2023-02-22,76.11,79.545,76.11,79.11,1949900
2023-02-23,82.51,84.0,79.11,83.29,2264500
2023-02-24,83.76,84.25,79.14,80.6,1496700
2023-02-27,81.84,82.133,80.19,80.49,737500
2023-02-28,80.49,82.03,80.3,81.05,746900
2023-03-01,80.84,82.15,79.615,79.8,663200
2023-03-02,79.23,80.52,78.27,80.35,618500
2023-03-03,80.88,81.51,80.35,80.71,468300
2023-03-06,80.72,82.71,80.72,81.88,729000
2023-03-07,82.07,82.49,80.85,81.06,448500
2023-03-08,81.45,81.45,79.11,80.72,746700
2023-03-09,80.57,80.825,77.43,77.72,746600
2023-03-10,77.53,77.53,75.49,76.85,891500
2023-03-13,75.48,76.29,74.55,75.15,907700
2023-03-14,77.03,77.18,74.82,75.44,653900
2023-03-15,74.09,75.65,73.133,75.33,886000
2023-03-16,74.63,76.905,74.06,76.22,642400
2023-03-17,75.77,76.41,73.5,74.0,697400
2023-03-20,74.13,74.935,73.68,74.53,781800
2023-03-21,75.69,77.005,75.37,76.66,907100
2023-03-22,76.81,77.695,75.32,75.38,771000
2023-03-23,75.73,76.62,74.04,74.68,597100
2023-03-24,74.12,74.68,73.22,74.47,704600
2023-03-27,74.36,76.57,74.3,75.79,863500
2023-03-28,75.95,76.82,75.22,76.01,472500
2023-03-29,76.81,76.89,75.185,75.62,507300
2023-03-30,76.55,77.61,76.14,76.71,602300
2023-03-31,77.34,78.13,76.46,77.67,721000
2023-04-03,77.42,77.62,75.97,76.36,763600
2023-04-04,76.45,76.615,74.19,76.39,1019200
2023-04-05,75.73,76.15,74.51,75.83,790000
2023-04-06,75.83,75.95,74.97,75.9,563600
2023-04-10,76.13,78.36,76.13,78.07,890100
2023-04-11,78.45,80.14,78.14,79.13,872800
2023-04-12,79.64,79.64,76.0,76.74,1433000
2023-04-13,76.94,77.74,76.4,77.24,396900
2023-04-14,77.14,77.88,76.03,76.54,595000
2023-04-17,76.66,77.42,76.295,76.68,661300
2023-04-18,77.12,78.49,76.88,78.13,753200
2023-04-19,77.53,77.96,76.9,77.85,708500
2023-04-20,77.19,78.12,77.115,77.59,565200
2023-04-21,77.8,79.76,77.61,79.55,778600
2023-04-24,78.73,79.565,78.49,78.72,697300
2023-04-25,78.83,79.78,78.3,78.65,804900
2023-04-26,78.83,80.73,78.78,79.9,1137700
2023-04-27,80.07,82.27,79.265,82.05,1059900
2023-04-28,81.97,84.06,81.51,83.14,941700
2023-05-01,83.14,84.48,82.69,83.13,944800
2023-05-02,82.84,82.955,81.24,82.63,587800
2023-05-03,82.29,83.115,81.35,81.55,1160500
2023-05-04,73.5,74.0,67.67,68.29,5930100
2023-05-05,69.01,70.5,68.88,69.53,2569200
2023-05-08,69.23,73.13,69.22,72.02,1442500
2023-05-09,71.84,72.33,69.8,70.26,1260800
2023-05-10,70.93,70.965,67.58,69.11,1088400
2023-05-11,68.81,69.82,67.95,69.29,870000
2023-05-12,69.22,69.675,67.44,68.2,965600
2023-05-15,68.34,69.4,68.17,69.0,770400
2023-05-16,69.03,69.35,68.06,69.06,1104900
2023-05-17,69.2,70.05,69.2,69.86,645500
2023-05-18,69.55,70.5,69.29,69.66,797600
2023-05-19,70.25,70.485,67.64,67.73,1076800
2023-05-22,68.02,68.73,67.38,68.0,875900
2023-05-23,67.69,68.37,66.34,66.47,793100
2023-05-24,66.25,67.2,65.82,66.85,676900
2023-05-25,67.04,67.16,65.74,66.61,884600
2023-05-26,66.92,67.32,66.28,66.35,733900
2023-05-30,66.67,66.88,64.65,65.03,859000
2023-05-31,64.51,64.81,63.67,63.94,1056500
2023-06-01,63.92,64.395,62.79,63.13,1659600
2023-06-02,63.12,64.165,60.22,63.71,3486300
2023-06-05,66.65,66.87,63.89,65.99,2221800
2023-06-06,67.56,69.185,67.5,67.56,1762800
2023-06-07,67.62,68.32,66.13,67.47,1402000
2023-06-08,67.12,67.7,66.35,67.2,1006400
2023-06-09,67.21,68.46,66.78,67.27,1144000
2023-06-12,67.8,69.84,67.28,69.42,1494200
2023-06-13,69.61,71.67,69.26,71.14,1865200
2023-06-14,71.88,72.12,70.715,71.0,1466600
2023-06-15,69.8,70.5,68.84,69.96,1489000
2023-06-16,70.1,71.03,69.86,70.66,14185100
2023-06-20,69.9,69.96,67.06,67.21,2512900
2023-06-21,67.38,68.7,66.71,67.25,1597600
2023-06-22,66.76,68.14,66.6,67.86,1270300
2023-06-23,65.1,66.5,64.01,65.7,3226100
2023-06-26,65.6,66.83,65.33,66.35,891400
2023-06-27,66.73,67.59,66.51,67.01,1396500
2023-06-28,67.0,67.25,66.136,66.44,1037700
2023-06-29,66.51,67.92,66.18,67.75,1102800
2023-06-30,67.88,67.88,66.89,67.44,995000
2023-07-03,67.42,68.38,67.42,67.55,414300
2023-07-05,67.53,67.53,65.79,66.01,899200
2023-07-06,65.36,66.08,64.84,66.06,1293500
2023-07-07,66.05,67.15,66.02,66.76,1210700
2023-07-10,66.91,69.565,66.785,69.24,1050500
2023-07-11,69.13,69.67,68.5,69.35,980400
2023-07-12,70.2,70.46,69.01,69.26,954600
2023-07-13,69.5,69.5,68.49,68.87,1132800
2023-07-14,68.72,69.36,68.13,69.07,901600
2023-07-17,68.87,69.35,68.13,68.41,935400
2023-07-18,68.25,69.19,67.7,68.76,1238500
