Date,Open,High,Low,Close,Volume
2023-01-13,342.29,351.8,341.31,349.09,308500
2023-01-17,347.11,355.56,346.9,353.97,451300
2023-01-18,358.52,367.5,357.54,359.65,923200
2023-01-19,355.48,357.89,343.48,344.78,566600
2023-01-20,346.56,353.15,343.93,352.74,335700
2023-01-23,353.0,359.45,349.88,359.28,270900
2023-01-24,357.34,367.36,355.87,364.26,439600
2023-01-25,360.0,364.84,357.0,363.5,323000
2023-01-26,367.24,369.77,359.83,364.41,209600
2023-01-27,363.95,380.21,361.65,379.39,468900
2023-01-30,375.0,378.79,370.73,376.48,638300
2023-01-31,375.29,385.9,375.24,385.61,368100
2023-02-01,384.95,400.59,383.78,398.14,435200
2023-02-02,404.74,423.97,404.74,422.17,688500
2023-02-03,413.1,413.61,400.48,403.57,780700
2023-02-06,390.83,392.49,384.33,392.04,590900
2023-02-07,387.17,393.28,382.05,391.83,431100
2023-02-08,388.58,390.51,383.27,385.13,429300
2023-02-09,388.28,388.61,374.6,376.95,600000
2023-02-10,372.0,372.58,365.99,369.24,597900
2023-02-13,372.36,376.1,368.83,374.85,561600
2023-02-14,374.19,378.4,368.67,375.33,360200
2023-02-15,370.01,385.93,370.01,384.57,645800
2023-02-16,376.87,393.14,372.83,389.7,1152100
2023-02-17,388.45,389.9,369.47,376.58,626300
2023-02-21,370.0,370.0,355.45,357.55,616500
2023-02-22,358.05,362.3,354.68,357.69,405700
2023-02-23,359.24,362.0,353.24,360.57,315000
2023-02-24,353.98,357.76,353.77,356.31,310400
2023-02-27,361.09,364.92,354.08,356.09,301600
2023-02-28,357.47,362.25,354.67,356.86,343500
2023-03-01,354.0,357.43,346.91,348.55,274800
2023-03-02,345.53,354.63,344.14,352.8,282800
2023-03-03,355.5,362.0,354.66,361.55,357400
2023-03-06,363.92,366.1,355.82,357.22,274900
2023-03-07,357.52,359.58,353.84,354.9,220600
2023-03-08,354.72,356.57,351.2,356.57,207900
2023-03-09,355.75,359.74,346.76,349.04,261800
2023-03-10,351.99,353.35,342.48,348.41,390300
2023-03-13,344.61,352.12,342.33,346.27,377200
2023-03-14,349.81,355.43,345.94,350.64,306400
2023-03-15,345.39,349.57,341.23,345.99,300700
2023-03-16,344.04,353.7,344.04,349.51,352900
2023-03-17,349.26,351.02,341.32,341.83,445900
2023-03-20,342.4,346.68,340.52,342.95,320600
2023-03-21,346.11,349.26,343.31,346.72,279800
2023-03-22,346.51,346.51,334.23,334.41,275700
2023-03-23,335.24,338.79,323.08,325.27,449600
2023-03-24,324.18,325.69,315.15,325.23,499400
2023-03-27,326.85,330.84,326.15,328.06,425300
2023-03-28,327.16,330.88,326.38,327.45,224100
2023-03-29,332.71,337.5,331.43,337.38,272300
2023-03-30,342.17,342.66,333.72,335.12,248100
2023-03-31,338.5,344.48,335.86,342.44,485900
2023-04-03,340.42,344.76,335.75,339.25,400700
2023-04-04,341.33,341.6,327.16,327.48,315900
2023-04-05,325.0,325.0,318.46,321.82,418100
2023-04-06,322.93,327.7,320.41,326.26,443100
2023-04-10,323.88,335.23,323.03,335.17,334800
2023-04-11,335.84,347.32,335.84,345.82,481100
2023-04-12,349.18,353.92,332.8,333.9,519800
2023-04-13,335.61,341.85,329.42,340.34,412400
2023-04-14,339.13,340.79,327.52,330.25,625400
2023-04-17,329.77,337.52,329.33,337.43,418300
2023-04-18,340.03,344.67,338.5,338.94,505800
2023-04-19,335.11,338.95,332.3,338.67,490600
2023-04-20,318.0,341.95,317.5,332.39,1294200
2023-04-21,340.56,344.17,336.53,343.24,791200
2023-04-24,341.27,350.43,341.27,350.23,507900
2023-04-25,348.02,349.77,336.2,336.92,413200
2023-04-26,336.14,336.14,331.04,332.25,353700
2023-04-27,335.88,342.48,332.71,342.09,389600
2023-04-28,341.41,352.58,339.55,351.32,400300
2023-05-01,350.66,352.53,344.21,346.78,311300
2023-05-02,346.63,347.78,339.2,346.89,341700
2023-05-03,348.05,358.81,347.42,351.72,393000
2023-05-04,352.26,355.43,342.65,344.87,281000
2023-05-05,351.49,355.83,348.59,353.96,284300
2023-05-08,354.05,355.16,348.59,353.18,207000
2023-05-09,349.22,353.1,347.74,350.98,227900
2023-05-10,356.45,357.15,348.02,351.22,250800
2023-05-11,351.4,351.4,344.73,348.04,255200
2023-05-12,348.13,349.95,336.13,338.65,409500
2023-05-15,338.7,342.38,335.72,342.16,260000
2023-05-16,336.57,342.67,333.93,340.53,368200
2023-05-17,342.93,343.68,337.19,343.29,238900
2023-05-18,343.33,353.73,340.16,353.22,322400
2023-05-19,353.22,353.22,344.92,345.05,317000
2023-05-22,345.37,346.17,341.7,342.7,325200
2023-05-23,341.81,344.93,336.09,338.08,308400
2023-05-24,338.46,339.0,327.55,333.85,265100
2023-05-25,334.02,337.11,326.23,327.08,290700
2023-05-26,326.5,333.25,325.49,328.01,344900
2023-05-30,331.21,332.37,319.69,322.77,400800
2023-05-31,320.0,322.92,309.79,316.23,922000
2023-06-01,317.25,317.25,307.77,313.02,648200
2023-06-02,317.56,326.98,316.46,326.36,448800
2023-06-05,324.99,327.83,320.21,327.39,463200
2023-06-06,326.97,338.39,323.63,336.32,407800
2023-06-07,338.47,344.95,335.37,338.74,409500
2023-06-08,337.8,338.04,323.91,324.64,444200
2023-06-09,323.2,327.64,322.8,326.42,366600
2023-06-12,327.32,334.47,324.88,333.72,280600
2023-06-13,334.61,338.47,333.2,336.91,336500
2023-06-14,339.76,347.63,335.77,345.4,532900
2023-06-15,347.92,359.81,346.51,357.51,754400
2023-06-16,360.46,361.61,352.29,357.95,556600
2023-06-20,354.93,357.0,350.46,353.51,385700
2023-06-21,353.51,357.64,351.46,356.74,314800
2023-06-22,355.97,356.42,349.63,350.28,228300
2023-06-23,349.1,353.88,347.64,352.34,508200
2023-06-26,350.25,356.79,349.01,354.13,292600
2023-06-27,357.98,368.29,353.47,366.2,376000
