Date,Open,High,Low,Close,Volume
2023-01-13,19.4,20.14,19.3,19.86,315500
2023-01-17,19.79,19.96,19.35,19.56,275400
2023-01-18,19.75,20.52,19.66,19.81,699000
2023-01-19,19.46,19.5,18.85,19.13,415600
2023-01-20,19.23,19.94,19.16,19.69,525100
2023-01-23,19.82,20.39,19.77,20.25,311500
2023-01-24,19.96,20.24,19.83,19.96,192500
2023-01-25,19.73,20.22,19.52,20.14,236200
2023-01-26,20.34,20.64,20.12,20.49,475800
2023-01-27,20.59,21.4,20.57,21.4,268100
2023-01-30,21.15,21.72,21.15,21.65,321900
2023-01-31,21.75,22.37,21.58,22.29,584800
2023-02-01,22.17,23.43,22.12,23.15,562200
2023-02-02,23.5,25.2,23.5,25.06,1040300
2023-02-03,24.48,24.98,23.86,24.4,603700
2023-02-06,24.15,24.34,23.65,23.79,373800
2023-02-07,23.56,23.97,23.37,23.96,439200
2023-02-08,23.65,23.7,23.19,23.35,224500
2023-02-09,23.4,23.56,22.39,22.41,536200
2023-02-10,22.21,22.31,21.72,22.24,467600
2023-02-13,22.3,22.87,21.96,22.8,325600
2023-02-14,22.57,23.05,22.4,22.85,244600
2023-02-15,22.61,23.67,22.61,23.65,337400
2023-02-16,23.11,23.8,23.11,23.53,576200
2023-02-17,23.58,23.58,23.08,23.42,387200
2023-02-21,22.95,23.01,22.4,22.69,859600
2023-02-22,23.39,26.99,23.39,24.75,1539200
2023-02-23,24.64,25.08,23.59,24.02,622400
2023-02-24,23.53,24.74,23.38,24.37,531200
2023-02-27,24.8,24.92,24.29,24.6,387100
2023-02-28,24.72,25.44,24.7,24.72,576000
2023-03-01,24.52,24.85,24.24,24.7,352500
2023-03-02,24.25,25.07,24.13,24.82,428900
2023-03-03,25.01,26.69,24.88,26.35,597000
2023-03-06,26.33,26.89,26.05,26.25,576000
2023-03-07,26.14,26.87,26.0,26.08,582000
2023-03-08,26.15,26.82,25.82,26.66,490000
2023-03-09,26.7,26.95,25.7,25.84,482100
2023-03-10,25.58,25.81,24.55,24.7,703800
2023-03-13,23.83,24.33,23.22,23.69,597400
2023-03-14,24.84,25.26,23.83,23.95,991200
2023-03-15,23.02,23.47,22.52,23.07,832700
2023-03-16,22.67,23.98,22.22,23.79,655600
2023-03-17,23.43,23.75,22.85,22.91,2288600
2023-03-20,23.03,23.31,22.22,22.89,649100
2023-03-21,23.65,23.84,23.08,23.47,791500
2023-03-22,23.75,23.75,23.0,23.02,444800
2023-03-23,23.18,23.57,22.43,22.84,500500
2023-03-24,22.56,22.98,22.26,22.96,403300
2023-03-27,23.42,23.46,22.98,23.06,301900
2023-03-28,22.78,23.26,22.53,22.8,321700
