Date,Open,High,Low,Close,Volume
2023-01-13,25.17,25.63,25.0,25.57,362700
2023-01-17,25.6,26.75,25.56,26.42,147000
2023-01-18,26.28,26.51,25.96,26.03,150700
2023-01-19,25.74,26.9,25.74,26.82,105300
2023-01-20,27.06,28.01,26.59,27.97,180600
2023-01-23,27.91,28.89,27.82,28.73,104600
2023-01-24,28.75,29.11,28.37,28.63,60300
2023-01-25,28.41,29.11,27.92,28.96,61500
2023-01-26,29.31,29.43,28.67,29.22,63500
2023-01-27,29.11,29.34,28.53,28.7,78800
2023-01-30,28.44,29.27,28.37,28.99,81400
2023-01-31,29.1,29.95,28.78,29.55,176700
2023-02-01,29.5,29.73,28.84,29.5,262300
2023-02-02,29.9,30.79,29.9,30.6,168400
2023-02-03,30.23,30.52,30.08,30.24,133600
2023-02-06,30.15,30.36,29.48,29.52,109100
2023-02-07,29.34,29.35,28.61,29.22,150800
2023-02-08,28.82,29.11,28.29,28.6,95400
2023-02-09,29.06,29.22,28.08,28.09,99800
2023-02-10,27.4,27.4,24.51,25.79,323100
2023-02-13,25.67,26.67,25.18,26.62,164300
2023-02-14,26.4,26.73,25.94,25.99,91400
2023-02-15,25.71,26.27,25.71,26.02,121700
2023-02-16,25.59,26.95,25.57,26.85,114200
2023-02-17,27.01,27.57,26.59,26.62,96900
2023-02-21,26.12,26.35,25.94,26.0,91800
2023-02-22,26.02,26.3,25.89,25.9,127800
2023-02-23,26.1,26.61,25.9,26.36,121600
2023-02-24,25.81,26.1,25.52,25.94,111900
2023-02-27,26.3,26.35,26.01,26.29,75200
2023-02-28,26.22,26.53,25.69,25.71,135700
2023-03-01,25.77,25.98,24.59,25.1,105000
2023-03-02,25.1,25.1,24.3,24.52,78900
2023-03-03,24.72,25.1,24.17,24.68,82400
2023-03-06,24.72,24.72,23.06,23.2,108900
2023-03-07,23.16,23.18,22.41,23.09,119800
2023-03-08,23.13,23.41,22.84,23.32,151200
2023-03-09,23.3,23.3,22.46,22.77,141100
2023-03-10,22.58,22.58,21.63,21.89,155200
2023-03-13,21.37,21.37,19.62,20.33,146800
2023-03-14,21.03,21.5,20.55,20.98,193400
2023-03-15,20.46,20.8,19.96,20.33,174500
2023-03-16,19.96,20.88,19.78,20.7,107600
2023-03-17,20.35,20.43,19.94,20.15,565600
2023-03-20,20.37,20.7,20.22,20.25,112200
2023-03-21,20.68,21.06,20.29,20.49,189200
2023-03-22,20.52,20.52,19.91,19.95,98200
2023-03-23,20.1,20.1,19.25,19.56,133100
2023-03-24,19.36,19.46,18.91,19.21,93800
2023-03-27,19.56,19.59,19.23,19.35,58500
2023-03-28,19.27,19.96,19.27,19.91,128700
2023-03-29,20.19,20.53,20.15,20.2,107100
2023-03-30,20.41,20.6,20.21,20.42,67400
2023-03-31,20.6,20.93,20.52,20.84,99200
2023-04-03,20.89,21.14,20.17,20.3,106300
2023-04-04,20.46,20.46,19.51,19.59,90300
2023-04-05,19.43,19.43,18.7,18.78,64900
2023-04-06,18.84,18.96,18.55,18.85,61600
2023-04-10,18.74,19.63,18.74,19.48,87800
2023-04-11,19.58,19.88,19.17,19.22,59400
2023-04-12,19.4,19.4,18.68,18.91,75800
2023-04-13,18.99,19.09,18.59,18.87,71200
2023-04-14,18.92,19.22,18.42,19.01,150800
2023-04-17,18.96,19.42,18.88,19.35,80500
2023-04-18,19.5,19.82,19.23,19.57,91700
2023-04-19,19.51,19.74,19.26,19.71,76900
2023-04-20,19.62,20.0,19.6,19.66,100400
2023-04-21,19.74,19.74,18.5,18.52,100200
2023-04-24,18.46,18.94,18.44,18.55,68500
2023-04-25,18.36,18.38,17.57,17.88,151600
2023-04-26,17.66,17.75,17.1,17.38,114000
2023-04-27,17.5,18.24,17.34,18.13,86100
2023-04-28,18.0,19.1,18.0,19.03,91600
2023-05-01,19.0,20.12,19.0,19.59,118800
2023-05-02,19.45,19.56,18.27,18.3,114700
2023-05-03,18.44,19.61,18.44,18.89,96300
2023-05-04,18.82,19.24,18.07,19.15,145600
2023-05-05,20.62,24.3,20.62,22.59,261100
2023-05-08,22.41,22.58,20.91,21.52,247100
2023-05-09,21.37,22.55,21.17,21.78,284100
2023-05-10,22.23,22.39,21.2,21.51,188000
2023-05-11,21.23,21.65,21.02,21.47,110400
2023-05-12,21.76,22.43,21.65,21.87,178500
2023-05-15,21.88,23.12,21.72,22.82,157000
2023-05-16,22.31,22.65,21.75,21.96,99500
2023-05-17,22.14,22.86,21.66,22.83,163100
2023-05-18,22.75,23.96,22.71,23.89,176700
2023-05-19,24.26,24.42,23.73,24.04,133400
2023-05-22,24.17,24.87,23.93,24.76,143900
2023-05-23,24.64,25.21,24.52,25.02,137600
2023-05-24,24.79,24.87,24.67,24.75,151700
2023-05-25,24.6,24.6,23.27,24.1,96800
2023-05-26,24.19,24.19,23.61,23.75,88800
2023-05-30,23.75,23.78,22.79,23.34,135100
2023-05-31,23.21,23.38,22.66,23.22,150400
2023-06-01,23.24,23.92,22.95,23.4,112400
2023-06-02,23.92,25.37,23.73,25.06,191500
2023-06-05,24.73,25.03,23.73,24.67,152100
2023-06-06,24.54,26.25,24.54,25.88,147300
2023-06-07,26.26,26.8,26.0,26.53,167300
2023-06-08,26.4,26.48,25.7,26.38,99200
2023-06-09,26.34,26.49,25.26,25.75,78400
2023-06-12,25.96,26.13,25.35,25.56,93200
2023-06-13,25.54,25.83,25.38,25.45,109600
2023-06-14,25.57,25.57,24.0,24.45,151000
2023-06-15,24.29,24.77,24.17,24.55,116000
2023-06-16,24.9,24.9,24.02,24.33,208700
2023-06-20,24.12,24.78,24.12,24.42,124400
2023-06-21,24.24,24.3,24.08,24.14,79300
2023-06-22,24.1,24.1,23.5,23.87,121900
2023-06-23,23.3,23.73,22.72,23.48,879700
2023-06-26,23.45,24.26,23.37,24.13,61600
2023-06-27,23.83,24.57,23.77,24.27,93200
2023-06-28,25.37,26.9,25.13,25.77,223000
2023-06-29,25.64,27.29,25.64,27.16,188500
2023-06-30,27.55,27.55,26.7,26.88,108500
2023-07-03,26.73,27.13,26.57,27.06,45300
2023-07-05,27.0,27.0,26.3,26.31,111900
2023-07-06,25.82,26.55,25.69,26.28,107500
2023-07-07,26.36,26.95,26.29,26.8,161700
2023-07-10,26.67,27.02,26.45,26.65,94000
2023-07-11,26.84,27.03,26.26,26.51,108100
2023-07-12,27.24,27.69,26.69,27.59,119400
2023-07-13,27.71,27.99,27.43,27.84,95000
2023-07-14,27.63,27.63,26.6,27.34,74200
2023-07-17,27.34,28.17,27.26,27.54,70000
2023-07-18,27.6,28.21,27.6,28.13,74200
2023-07-19,28.21,28.39,27.84,28.28,57000
2023-07-20,28.39,28.39,27.64,27.97,42200
2023-07-21,28.19,28.2,27.55,27.69,66100
2023-07-24,27.88,28.22,27.61,27.9,65300
2023-07-25,27.66,28.15,27.45,27.56,43700
2023-07-26,27.55,28.2,27.51,28.14,69000
2023-07-27,28.18,28.2,27.57,27.91,81300
2023-07-28,28.09,28.37,27.67,27.71,52400
2023-07-31,27.71,28.27,27.51,28.21,80000
2023-08-01,28.04,28.3,27.45,28.28,61500
2023-08-02,27.82,28.53,27.69,28.47,72200
2023-08-03,28.47,28.47,27.13,27.25,65300
2023-08-04,25.16,29.74,25.16,29.06,91500
2023-08-07,29.29,29.94,29.02,29.03,119600
2023-08-08,28.62,29.31,28.39,29.25,93300
2023-08-09,29.24,29.54,28.77,28.89,133400
2023-08-10,29.15,29.64,28.01,28.23,88800
2023-08-11,28.02,28.07,27.61,27.8,82900
2023-08-14,27.67,28.4,27.29,28.38,105900
2023-08-15,28.29,29.24,28.1,29.16,97200
2023-08-16,29.17,29.61,28.79,29.25,92000
2023-08-17,29.42,29.82,28.71,29.15,149800
2023-08-18,28.78,29.59,28.78,29.53,138900
2023-08-21,29.44,29.52,28.44,28.49,83900
2023-08-22,28.53,28.56,27.7,28.21,76500
2023-08-23,28.23,28.78,27.99,28.55,84000
2023-08-24,28.35,28.55,27.92,27.96,107900
2023-08-25,28.19,28.19,27.66,27.97,60700
2023-08-28,28.01,28.21,27.84,28.0,57900
2023-08-29,27.97,28.22,27.9,27.98,59500
2023-08-30,27.81,28.67,27.81,28.62,82700
2023-08-31,28.62,29.01,28.36,28.39,77100
2023-09-01,28.54,29.87,28.54,29.62,102200
2023-09-05,29.15,29.15,27.96,28.63,80700
2023-09-06,28.76,28.76,27.82,27.96,50900
2023-09-07,27.9,27.9,26.59,26.96,132100
2023-09-08,27.06,27.39,26.76,27.16,56800
2023-09-11,27.29,27.39,26.72,27.0,55500
2023-09-12,26.79,27.38,26.77,27.34,46800
2023-09-13,27.27,28.01,27.19,27.4,89000
2023-09-14,27.63,27.88,27.36,27.69,71100
2023-09-15,27.57,28.31,27.53,28.08,323200
2023-09-18,28.23,28.23,27.85,27.89,45600
2023-09-19,27.89,28.16,27.73,27.74,49700
2023-09-20,27.95,28.35,27.46,27.49,42300
2023-09-21,27.29,27.39,26.85,27.26,45000
2023-09-22,27.33,27.42,26.73,26.78,47900
2023-09-25,26.7,26.81,26.4,26.49,39000
2023-09-26,26.24,26.48,25.15,25.18,65000
2023-09-27,25.41,26.03,25.41,25.69,76300
2023-09-28,25.79,26.67,25.79,26.46,92600
2023-09-29,26.76,26.87,26.19,26.2,168400
2023-10-02,26.18,26.46,25.8,26.42,107500
2023-10-03,26.35,26.35,25.98,26.22,110400
2023-10-04,26.11,26.75,26.04,26.5,81700
2023-10-05,26.53,26.93,25.99,26.48,64300
2023-10-06,26.25,26.54,25.66,25.76,75700
2023-10-09,25.61,26.56,25.43,26.53,64500
2023-10-10,26.74,27.08,26.38,26.44,54400
2023-10-11,26.44,26.58,25.88,26.35,53900
2023-10-12,26.5,26.5,25.45,25.62,80800
2023-10-13,25.63,25.63,25.0,25.31,73500
2023-10-16,25.63,26.15,25.36,25.6,70400
2023-10-17,25.65,26.47,25.51,26.14,90600
2023-10-18,25.95,26.02,25.55,25.58,62200
2023-10-19,25.43,25.7,24.65,24.71,70300
2023-10-20,24.83,25.08,24.63,24.72,86500
