Date,Open,High,Low,Close,Volume
2023-01-13,70.18,70.81,69.22,69.81,97200
2023-01-17,69.58,71.22,69.58,70.66,139900
2023-01-18,70.61,71.64,68.12,68.12,127000
2023-01-19,68.0,69.01,67.89,68.07,135500
2023-01-20,68.57,69.76,67.76,69.66,123500
2023-01-23,69.67,71.7,69.17,71.42,112100
2023-01-24,71.03,71.91,70.19,70.62,75300
2023-01-25,69.9,70.44,69.21,70.43,71900
2023-01-26,70.65,71.02,70.01,70.97,64000
2023-01-27,70.56,72.02,70.56,71.89,65200
2023-01-30,71.39,72.72,71.38,72.51,85500
2023-01-31,72.4,74.39,72.4,74.31,136700
2023-02-01,74.25,75.78,73.45,74.87,91500
2023-02-02,75.13,75.92,74.36,75.0,166700
2023-02-03,74.31,75.33,74.31,74.74,124600
2023-02-06,74.69,75.57,73.66,74.24,87100
2023-02-07,73.76,75.01,72.85,74.4,154900
2023-02-08,73.69,73.97,72.88,73.57,64800
2023-02-09,73.93,74.08,72.28,72.8,84500
2023-02-10,72.38,73.18,71.92,72.3,97700
2023-02-13,72.26,73.58,71.92,73.3,76900
2023-02-14,72.95,73.47,71.97,72.8,79300
2023-02-15,71.72,73.26,71.15,73.26,68300
2023-02-16,72.29,73.11,71.58,72.34,75500
2023-02-17,72.54,73.26,72.27,73.02,75800
2023-02-21,72.19,73.37,72.19,72.54,95700
2023-02-22,72.54,73.5,72.01,72.23,154500
2023-02-23,72.32,72.68,70.97,71.31,75700
2023-02-24,70.45,71.01,70.02,70.86,85400
2023-02-27,71.29,71.58,70.23,70.43,61900
2023-02-28,70.25,71.06,69.72,69.72,147300
2023-03-01,69.61,70.9,69.54,69.98,126400
2023-03-02,69.7,70.77,69.24,70.75,105800
2023-03-03,70.8,71.55,69.63,71.29,83700
2023-03-06,71.2,71.41,69.08,69.78,109200
2023-03-07,69.61,69.8,68.5,68.87,69100
2023-03-08,68.6,69.62,68.36,69.46,78300
2023-03-09,69.82,69.82,68.64,68.85,82300
2023-03-10,68.45,68.47,66.54,67.64,84300
2023-03-13,66.91,68.39,66.91,67.8,85600
2023-03-14,69.02,69.98,68.0,68.8,95800
2023-03-15,67.61,68.49,67.06,68.33,104100
2023-03-16,67.67,69.9,67.25,69.76,104800
2023-03-17,69.61,69.61,67.86,68.45,340700
2023-03-20,68.98,70.43,68.19,69.18,110500
2023-03-21,70.02,70.9,69.01,69.97,104100
2023-03-22,69.8,70.59,68.72,68.75,82700
2023-03-23,69.05,69.72,67.97,68.39,77600
2023-03-24,68.04,69.54,67.74,69.54,66200
2023-03-27,70.14,70.16,69.14,69.61,63200
2023-03-28,69.41,70.58,69.41,70.15,68000
2023-03-29,70.64,70.64,69.15,69.29,61900
2023-03-30,69.6,70.57,69.6,69.93,64700
2023-03-31,70.25,71.88,70.25,71.48,152100
2023-04-03,71.32,72.06,70.95,71.94,92700
2023-04-04,71.89,71.89,69.86,70.35,75000
2023-04-05,70.23,70.23,68.93,69.95,77800
2023-04-06,69.93,70.35,69.68,70.15,61000
2023-04-10,70.16,71.08,69.69,70.71,206900
2023-04-11,74.07,79.55,73.97,78.97,348500
2023-04-12,78.84,79.0,76.52,76.93,137500
2023-04-13,77.3,78.0,76.46,77.0,188500
2023-04-14,76.89,77.27,75.93,76.35,128100
2023-04-17,76.49,78.54,76.49,78.22,135100
2023-04-18,78.13,78.95,76.22,76.9,200500
2023-04-19,76.46,76.73,75.75,75.96,166600
2023-04-20,75.7,76.35,75.41,75.69,149400
2023-04-21,75.65,75.98,74.66,74.9,124900
2023-04-24,74.81,75.48,74.78,75.48,134700
2023-04-25,74.96,75.15,74.33,74.36,155800
2023-04-26,74.01,74.01,73.1,73.67,99900
2023-04-27,73.64,74.54,73.61,74.36,147100
2023-04-28,74.23,74.85,73.44,73.68,81900
2023-05-01,73.41,74.31,72.22,72.28,115700
2023-05-02,72.35,72.71,70.86,71.73,182700
2023-05-03,71.95,72.98,70.37,71.23,136100
2023-05-04,70.95,71.33,70.08,71.17,81500
2023-05-05,72.03,72.95,71.98,72.07,78300
2023-05-08,71.93,72.18,71.15,71.25,105000
2023-05-09,70.75,70.92,70.29,70.5,252200
2023-05-10,71.07,71.86,70.05,71.63,110400
2023-05-11,71.3,71.67,70.98,71.26,73500
2023-05-12,71.44,71.44,70.63,71.0,63800
2023-05-15,71.33,71.53,70.43,70.9,89600
2023-05-16,70.52,71.72,70.37,71.02,119700
2023-05-17,71.55,72.46,70.54,72.29,194800
2023-05-18,72.01,72.84,71.66,72.48,110900
2023-05-19,72.89,73.05,71.62,72.73,118900
2023-05-22,72.97,73.73,72.44,73.73,76100
2023-05-23,73.72,74.8,73.08,74.0,198400
2023-05-24,74.03,74.05,73.36,73.79,101600
2023-05-25,73.66,73.8,71.41,72.72,79000
2023-05-26,72.55,73.83,71.55,73.81,72700
2023-05-30,73.83,73.83,72.93,73.52,75500
2023-05-31,73.45,73.86,72.3,72.48,133200
2023-06-01,72.07,73.1,71.46,71.87,90800
2023-06-02,72.51,73.82,71.74,73.4,472700
2023-06-05,72.8,72.86,69.08,71.16,139700
2023-06-06,70.78,73.49,70.13,73.37,136400
2023-06-07,73.44,75.71,73.44,75.11,127100
2023-06-08,75.06,76.1,74.11,75.38,169800
2023-06-09,75.28,75.4,74.25,74.46,91600
2023-06-12,74.69,75.17,74.56,74.9,88000
2023-06-13,74.99,76.26,74.59,75.87,129600
2023-06-14,76.32,76.47,75.23,75.56,120600
2023-06-15,75.6,76.01,74.82,75.78,241800
2023-06-16,76.35,76.36,74.6,74.99,376300
2023-06-20,74.8,75.21,74.44,74.63,89800
2023-06-21,74.6,76.54,74.14,75.9,143100
2023-06-22,75.95,76.03,75.0,75.48,116100
2023-06-23,74.96,76.41,74.0,74.09,260200
2023-06-26,74.09,74.71,73.46,73.49,146900
2023-06-27,73.78,74.69,73.61,73.8,116000
2023-06-28,73.64,73.85,73.08,73.56,85400
2023-06-29,73.52,74.74,73.2,74.66,135400
2023-06-30,74.91,75.45,73.98,74.06,112400
2023-07-03,74.06,74.81,74.06,74.2,59100
2023-07-05,74.07,74.86,73.18,74.81,141300
2023-07-06,74.16,75.64,74.16,75.29,110600
2023-07-07,75.63,75.7,74.83,75.49,118500
2023-07-10,75.87,77.2,75.87,76.89,259100
2023-07-11,76.0,82.0,75.68,77.19,382000
2023-07-12,78.1,78.28,76.05,76.71,225300
2023-07-13,76.56,77.39,76.15,76.4,188300
2023-07-14,76.19,76.39,74.92,76.09,113300
2023-07-17,75.86,78.97,75.86,78.19,136400
2023-07-18,78.48,79.51,77.82,78.44,114800
2023-07-19,78.44,78.69,77.38,77.8,163500
2023-07-20,78.1,78.86,77.48,78.83,109400
2023-07-21,79.31,79.68,78.46,78.61,97800
2023-07-24,78.43,79.25,78.31,78.68,110700
2023-07-25,78.42,79.48,78.33,79.28,160500
2023-07-26,79.19,79.65,78.91,79.22,124500
2023-07-27,79.57,79.74,78.06,78.22,130100
2023-07-28,78.52,79.1,78.02,78.45,78300
2023-07-31,78.33,78.68,77.47,77.73,105500
2023-08-01,77.67,78.21,77.16,77.74,99900
2023-08-02,77.05,78.19,76.83,78.12,82700
2023-08-03,77.88,78.63,77.58,78.43,82300
2023-08-04,78.44,78.83,77.53,77.85,68100
2023-08-07,77.8,78.4,77.44,78.21,249900
2023-08-08,77.51,77.51,76.67,77.43,69200
2023-08-09,77.33,78.0,76.72,77.21,131700
2023-08-10,77.25,77.83,76.74,77.16,118400
2023-08-11,76.82,77.47,76.8,77.37,131700
2023-08-14,76.73,77.06,76.43,76.97,158400
2023-08-15,76.87,77.02,76.07,76.74,93300
2023-08-16,76.92,77.68,76.02,76.03,114100
2023-08-17,76.35,76.61,75.76,76.12,121300
2023-08-18,76.22,77.86,75.98,77.81,208500
2023-08-21,77.75,79.29,77.75,79.04,137400
2023-08-22,78.9,79.32,78.02,78.51,116000
2023-08-23,78.51,80.42,78.39,79.92,140900
2023-08-24,79.45,79.88,78.25,78.49,135300
2023-08-25,78.79,79.25,78.29,79.08,86800
2023-08-28,79.14,80.49,79.14,79.63,141500
2023-08-29,79.75,80.86,79.46,80.79,146100
2023-08-30,80.67,82.63,80.67,82.26,308100
2023-08-31,82.0,82.39,79.41,79.48,134400
