Date,Open,High,Low,Close,Volume
2023-01-13,47.64,49.315,47.36,47.78,1615500
2023-01-17,47.77,48.43,47.32,47.78,1640100
2023-01-18,48.0,48.78,47.06,47.2,649000
2023-01-19,47.21,47.533,46.265,46.5,477500
2023-01-20,47.01,47.75,44.78,47.74,1258000
2023-01-23,47.59,48.38,46.77,47.32,854800
2023-01-24,47.18,48.085,46.445,47.28,795600
2023-01-25,47.51,47.62,45.92,46.37,576100
2023-01-26,46.47,46.99,45.465,45.99,519600
2023-01-27,46.08,46.75,45.481,46.25,588300
2023-01-30,45.96,46.305,45.02,45.51,743300
2023-01-31,45.58,46.0,45.35,45.89,532600
2023-02-01,45.9,47.82,45.76,47.37,567200
2023-02-02,47.56,48.07,46.72,47.36,440900
2023-02-03,46.86,48.24,46.86,48.04,659500
2023-02-06,48.04,49.0,46.05,46.23,466900
2023-02-07,46.29,46.29,43.0,46.23,505500
2023-02-08,45.93,46.48,45.55,45.6,562300
2023-02-09,45.73,46.4,43.84,46.36,505600
2023-02-10,46.26,46.475,45.166,45.5,388200
2023-02-13,45.39,46.12,44.485,45.86,304700
2023-02-14,45.62,46.65,45.15,45.54,365800
2023-02-15,45.14,46.205,44.44,46.14,298700
2023-02-16,45.46,45.91,44.19,44.94,636600
2023-02-17,45.25,46.8,44.905,46.68,589800
2023-02-21,46.29,46.435,44.72,44.72,824400
2023-02-22,45.85,45.85,41.02,44.23,1052100
2023-02-23,44.08,46.11,42.26,43.52,506300
2023-02-24,43.09,43.91,42.94,43.24,611900
2023-02-27,43.25,44.11,42.12,42.19,736100
2023-02-28,42.24,43.89,42.24,43.67,673200
2023-03-01,43.7,46.14,42.69,45.24,1005000
2023-03-02,44.79,45.15,43.94,44.71,509500
2023-03-03,44.86,46.445,43.97,46.1,796300
2023-03-06,46.16,46.555,45.14,45.58,413800
2023-03-07,45.64,47.73,45.21,47.31,833100
2023-03-08,47.37,48.24,47.0,48.19,986900
2023-03-09,48.47,48.74,45.62,45.94,1079300
2023-03-10,45.76,45.76,43.0,44.23,1094400
2023-03-13,43.75,47.44,43.75,46.08,795200
2023-03-14,47.11,47.51,46.04,46.96,676100
2023-03-15,46.43,47.21,45.02,46.74,815700
2023-03-16,46.49,48.33,45.67,48.1,514600
2023-03-17,47.49,47.69,45.01,47.3,1472900
2023-03-20,47.41,48.785,47.09,48.49,442200
2023-03-21,48.77,49.255,47.93,48.46,744200
2023-03-22,48.28,48.28,46.3,46.35,646200
2023-03-23,46.76,47.19,45.82,46.67,498400
2023-03-24,45.27,45.42,42.27,44.17,1977500
2023-03-27,44.33,46.4,43.65,45.76,814700
2023-03-28,45.74,46.66,44.58,45.12,643200
2023-03-29,45.34,48.33,45.0,48.19,603300
2023-03-30,48.48,49.09,47.72,48.86,640900
2023-03-31,49.11,50.2,48.3,48.44,785700
2023-04-03,48.18,49.665,47.09,47.43,726400
2023-04-04,47.7,48.04,47.25,47.5,492800
2023-04-05,47.3,47.99,46.99,47.45,366300
2023-04-06,47.64,49.02,46.525,48.84,652600
2023-04-10,48.57,49.17,47.17,48.63,715000
2023-04-11,48.76,49.365,47.88,48.51,615600
2023-04-12,48.78,48.94,47.85,48.03,338800
2023-04-13,47.99,49.86,47.95,49.42,984900
2023-04-14,49.21,49.7,48.45,49.27,430600
2023-04-17,49.75,51.85,49.7,51.63,925900
2023-04-18,52.0,53.12,51.66,52.96,958100
2023-04-19,52.71,53.74,52.0,53.2,830700
2023-04-20,52.73,54.19,51.93,53.81,979700
2023-04-21,53.75,55.7,53.75,55.13,940000
2023-04-24,55.0,55.48,52.82,52.85,669100
2023-04-25,52.66,52.81,51.045,51.2,658900
2023-04-26,51.02,52.425,51.02,52.24,731900
2023-04-27,52.42,53.0,51.95,52.64,780200
2023-04-28,55.38,55.98,52.69,55.14,1149500
2023-05-01,55.01,56.24,54.182,55.17,760900
2023-05-02,54.98,55.99,53.2,54.97,1088700
2023-05-03,55.06,55.89,54.63,55.41,1129300
2023-05-04,55.2,55.96,54.02,55.86,682300
2023-05-05,56.07,56.72,55.22,55.82,1250300
2023-05-08,56.0,56.0,54.99,55.55,472000
2023-05-09,55.11,56.68,55.01,55.94,488500
2023-05-10,56.5,57.24,55.36,56.88,589300
2023-05-11,56.7,57.42,54.34,54.8,840700
2023-05-12,55.06,56.06,54.61,54.68,470000
2023-05-15,54.99,56.12,54.75,55.3,634000
2023-05-16,54.6,54.6,53.035,54.2,394800
2023-05-17,55.18,58.58,54.63,58.29,1432500
2023-05-18,58.69,59.25,57.16,58.13,865300
2023-05-19,58.95,59.435,57.93,58.37,719200
2023-05-22,58.39,59.84,58.18,59.1,633300
2023-05-23,58.9,59.75,58.185,58.41,782200
2023-05-24,45.99,48.63,42.23,46.95,5831800
2023-05-25,46.76,46.76,42.84,43.46,1671000
2023-05-26,43.25,44.02,42.28,42.66,1076800
2023-05-30,42.49,43.065,41.03,41.16,854300
2023-05-31,41.3,42.35,40.9,41.97,1032600
2023-06-01,41.97,44.225,41.37,43.5,819900
2023-06-02,44.05,44.4,43.06,44.12,678200
2023-06-05,43.83,43.915,42.26,42.57,599400
2023-06-06,42.72,45.4,42.54,45.015,752500
2023-06-07,44.86,45.68,43.275,43.58,507600
2023-06-08,43.37,44.04,42.49,42.56,567600
2023-06-09,42.42,43.42,42.07,43.0,484100
2023-06-12,43.22,44.46,42.97,43.35,636300
2023-06-13,43.22,44.29,42.96,44.07,893000
2023-06-14,44.17,44.565,42.46,43.01,639400
2023-06-15,42.79,44.01,42.49,43.49,508900
2023-06-16,44.11,44.26,42.53,43.03,1969800
2023-06-20,42.77,43.33,41.65,41.93,824400
2023-06-21,42.58,44.66,41.275,43.06,1543400
2023-06-22,42.88,43.31,41.87,41.92,490600
2023-06-23,41.51,42.23,41.23,41.48,1047000
2023-06-26,41.38,41.58,40.3,40.4,726900
2023-06-27,40.4,41.16,40.12,41.13,980700
2023-06-28,41.55,41.925,40.915,41.5,421700
2023-06-29,41.56,41.56,40.78,41.23,509100
2023-06-30,40.99,42.14,39.66,40.67,1164500
2023-07-03,40.68,41.89,40.66,41.41,324200
2023-07-05,41.38,41.93,41.1,41.79,581700
2023-07-06,41.52,42.07,40.975,41.99,549900
2023-07-07,42.16,42.63,41.15,41.21,391400
2023-07-10,41.2,41.45,40.17,40.27,756100
2023-07-11,40.0,40.37,38.61,40.22,565900
2023-07-12,40.9,40.9,39.84,40.15,746200
2023-07-13,40.41,40.41,39.67,39.82,535800
2023-07-14,39.8,39.805,39.021,39.18,528600
2023-07-17,39.42,39.825,38.64,38.67,617900
2023-07-18,38.55,40.1,38.31,39.51,723600
2023-07-19,39.52,40.62,39.52,40.02,634600
2023-07-20,39.99,40.245,38.825,39.15,521700
2023-07-21,39.47,39.98,39.23,39.52,717300
2023-07-24,39.8,39.8,38.48,38.67,447400
2023-07-25,38.56,39.18,37.95,38.82,2619000
2023-07-26,38.93,40.23,38.6,39.92,583100
2023-07-27,40.31,40.31,38.57,38.74,522200
2023-07-28,39.08,41.58,39.08,40.93,953300
2023-07-31,41.03,41.5,39.9,40.34,711500
2023-08-01,40.51,40.76,39.815,40.67,497200
2023-08-02,40.08,41.45,39.865,40.2,347200
2023-08-03,39.83,41.08,39.66,40.32,659500
2023-08-04,41.09,41.15,38.49,38.71,778200
2023-08-07,38.67,38.77,37.74,37.97,815600
2023-08-08,37.87,39.17,37.57,39.02,559500
2023-08-09,39.19,40.095,38.71,39.85,334200
2023-08-10,39.9,41.07,39.75,40.64,400100
2023-08-11,40.64,42.14,40.64,41.68,700800
2023-08-14,40.99,41.91,40.58,41.61,494500
2023-08-15,41.35,41.965,40.705,41.26,439500
2023-08-16,41.21,41.24,40.11,40.37,400600
2023-08-17,40.52,40.58,39.76,40.0,342700
2023-08-18,39.68,40.82,39.37,39.42,628700
2023-08-21,39.28,39.97,38.483,39.8,505700
2023-08-22,39.86,40.09,39.33,39.4,306900
2023-08-23,39.42,40.72,39.42,39.53,407100
2023-08-24,39.41,39.74,38.44,39.0,361400
2023-08-25,39.16,39.87,38.63,39.72,251500
2023-08-28,39.49,40.03,39.16,40.02,307100
2023-08-29,39.8,41.255,39.66,40.78,351800
2023-08-30,40.87,40.99,40.075,40.53,348600
2023-08-31,40.55,40.625,39.47,39.5,352800
2023-09-01,39.66,40.28,39.64,40.08,380800
2023-09-05,40.02,40.02,38.64,38.93,406600
2023-09-06,38.93,40.3,38.93,40.28,362000
2023-09-07,40.14,41.93,40.0,41.8,594300
2023-09-08,41.8,41.8,40.95,40.97,317000
2023-09-11,40.94,41.27,39.98,40.19,435400
2023-09-12,40.0,40.48,39.31,40.38,324000
2023-09-13,40.26,40.86,37.25,38.62,2335500
2023-09-14,38.82,38.94,35.46,37.39,2215400
2023-09-15,25.49,27.53,24.43,26.26,6789000
2023-09-18,25.16,25.17,23.825,24.28,4077600
2023-09-19,23.61,25.7,23.565,25.68,1893100
2023-09-20,25.72,26.89,25.43,25.53,1336500
2023-09-21,25.33,25.775,24.32,24.82,1474300
2023-09-22,24.64,24.97,23.87,23.92,1514700
2023-09-25,23.83,23.876,22.435,22.56,1585100
2023-09-26,22.68,23.65,22.03,22.6,1736300
2023-09-27,22.75,23.545,22.49,23.27,1280000
2023-09-28,23.2,23.27,22.34,22.66,1069900
2023-09-29,22.96,23.37,22.22,22.41,767700
2023-10-02,22.31,22.31,21.03,21.24,1329400
2023-10-03,21.21,21.35,20.4,20.43,1569200
2023-10-04,20.41,21.25,20.17,21.2,1644100
2023-10-05,21.25,22.22,21.25,22.2,1483800
2023-10-06,21.03,22.005,20.901,21.6,1177900
2023-10-09,21.48,21.7,21.11,21.35,2174400
2023-10-10,21.31,22.61,21.31,22.47,3861200
2023-10-11,22.51,22.73,21.71,22.14,761800
2023-10-12,22.0,22.0,20.2,20.51,1707900
2023-10-13,20.51,20.51,19.7,20.39,1145100
2023-10-16,20.42,20.575,19.74,20.02,983900
2023-10-17,19.89,20.98,19.89,20.61,1267700
2023-10-18,20.58,20.87,20.05,20.5,795900
2023-10-19,21.21,25.28,21.0,23.57,5179100
2023-10-20,23.7,23.73,22.62,23.21,1896000
2023-10-23,22.78,23.67,22.48,22.77,1477900
2023-10-24,23.09,23.41,22.665,23.22,757000
2023-10-25,22.91,23.42,22.9,23.28,1187800
2023-10-26,23.46,24.07,23.0,23.95,1025800
2023-10-27,19.36,19.95,18.03,18.51,4879900
2023-10-30,18.58,19.6,18.525,18.74,1819400
2023-10-31,18.55,18.85,17.81,18.75,1851800
2023-11-01,18.7,18.7,17.86,18.45,1750400
2023-11-02,18.6,18.84,17.53,18.07,1674800
2023-11-03,18.32,19.84,18.14,19.53,2373500
2023-11-06,19.52,19.65,18.948,19.43,1824200
2023-11-07,19.52,20.4,18.96,20.26,1135500
2023-11-08,20.25,20.25,19.43,19.6,744200
2023-11-09,19.72,19.72,18.53,18.72,965400
2023-11-10,18.92,18.97,18.28,18.54,756100
2023-11-13,18.53,18.69,18.15,18.53,1062600
2023-11-14,19.05,20.34,19.05,20.33,1118400
2023-11-15,20.27,21.71,20.07,20.77,971600
2023-11-16,20.76,20.95,19.745,20.0,1030900
2023-11-17,20.21,20.56,19.795,20.46,776800
2023-11-20,20.58,22.21,20.495,22.17,1020000
2023-11-21,22.0,22.25,21.575,21.85,920800
2023-11-22,22.15,22.34,21.43,21.62,693400
2023-11-24,21.66,22.32,21.57,21.67,265800
2023-11-27,21.43,21.67,20.745,21.48,695800
2023-11-28,21.38,21.98,21.1,21.89,1010800
2023-11-29,22.1,23.525,21.92,22.96,1133300
2023-11-30,23.11,23.84,22.8,23.02,1036200
2023-12-01,22.96,24.15,22.47,23.99,1117700
2023-12-04,24.08,25.2,24.01,25.08,1109700
2023-12-05,24.71,25.3,24.63,24.94,887600
2023-12-06,25.09,26.41,24.4,25.87,854800
2023-12-07,26.3,26.445,25.7,26.28,860400
2023-12-08,26.28,26.99,25.82,26.39,797400
2023-12-11,26.61,26.91,25.79,25.83,1056700
2023-12-12,25.87,26.37,25.25,26.11,547700
2023-12-13,26.05,28.01,26.05,27.91,966800
2023-12-14,28.65,29.15,26.855,27.6,1769400
2023-12-15,28.48,30.11,27.91,28.39,4132600
2023-12-18,28.08,28.32,27.26,27.52,1036100
2023-12-19,26.45,27.979,26.305,27.6,1561800
