Date,Open,High,Low,Close,Volume
2023-01-13,23.98,24.2,23.95,24.16,352600
2023-01-17,24.18,24.22,23.73,24.08,326200
2023-01-18,24.22,24.67,24.02,24.07,266800
2023-01-19,23.86,24.4,23.74,24.26,286700
2023-01-20,24.47,25.0,24.17,24.99,312600
2023-01-23,24.99,25.4,24.76,25.36,321500
2023-01-24,25.34,25.49,23.93,25.32,556800
2023-01-25,24.97,25.33,24.68,25.26,489500
2023-01-26,25.67,26.0,25.53,25.9,448300
2023-01-27,25.77,26.34,25.77,26.24,269500
2023-01-30,25.95,26.18,25.82,26.06,256100
2023-01-31,26.05,26.81,26.05,26.76,410200
2023-02-01,26.7,27.72,26.7,27.53,370000
2023-02-02,28.22,28.76,27.86,28.17,768600
2023-02-03,27.56,28.36,27.56,27.88,534200
2023-02-06,27.45,28.11,27.09,27.25,433300
2023-02-07,26.98,27.4,26.72,27.23,1075700
2023-02-08,28.1,28.18,23.91,24.71,1223600
2023-02-09,25.1,26.44,25.03,25.44,733900
2023-02-10,25.01,25.38,24.7,24.71,487300
2023-02-13,24.7,25.14,24.57,24.74,480600
2023-02-14,24.61,25.37,24.28,25.19,578600
2023-02-15,25.04,26.06,25.02,26.05,530200
2023-02-16,25.64,25.89,25.52,25.61,275400
2023-02-17,25.67,25.67,25.11,25.14,443200
2023-02-21,24.61,24.93,23.87,24.05,441400
2023-02-22,24.11,24.34,23.68,23.79,726400
2023-02-23,24.08,24.2,23.53,23.92,691000
2023-02-24,23.38,23.84,23.22,23.58,428200
2023-02-27,23.86,23.94,23.38,23.48,369100
2023-02-28,23.48,23.93,23.48,23.63,391200
2023-03-01,23.63,24.02,23.53,23.67,430000
2023-03-02,23.52,24.57,23.48,24.46,458300
2023-03-03,24.73,25.25,24.64,24.75,528200
2023-03-06,24.75,24.81,23.08,23.23,619100
2023-03-07,23.31,24.12,23.27,23.37,935200
2023-03-08,23.33,23.39,22.77,23.0,424600
2023-03-09,23.0,23.32,21.8,21.82,576700
2023-03-10,21.64,21.74,21.02,21.2,734000
