Date,Open,High,Low,Close,Volume
2023-01-13,11.69,12.01,11.64,12.0,337000
2023-01-17,12.06,12.1,11.75,12.08,799300
2023-01-18,12.2,12.42,11.79,11.98,498600
2023-01-19,11.87,12.19,11.738,11.99,348300
2023-01-20,12.1,12.38,11.66,12.21,975000
2023-01-23,12.19,12.49,12.08,12.39,579500
2023-01-24,12.38,12.54,11.8,11.85,1288900
2023-01-25,11.57,12.23,11.39,12.21,345700
2023-01-26,12.37,12.48,12.03,12.37,815200
2023-01-27,12.32,12.395,11.51,11.8,756500
2023-01-30,11.91,12.2,11.659,11.89,566000
2023-01-31,11.93,12.16,11.75,12.06,612500
2023-02-01,12.11,12.55,11.92,12.44,554700
2023-02-02,12.74,13.35,12.491,12.62,1498000
2023-02-03,12.282,13.02,12.21,13.0,767900
2023-02-06,12.91,13.15,12.32,12.68,941700
2023-02-07,12.62,12.8,12.277,12.74,392100
2023-02-08,12.65,12.73,12.315,12.49,405300
2023-02-09,12.74,12.74,12.171,12.21,377500
2023-02-10,12.13,12.18,11.84,12.05,519600
2023-02-13,12.05,12.54,11.78,12.36,382400
2023-02-14,12.29,12.61,11.98,12.38,477600
2023-02-15,12.32,12.72,12.03,12.6,476200
2023-02-16,12.33,12.48,12.045,12.06,487100
2023-02-17,12.09,12.09,11.4,11.76,1096000
2023-02-21,11.5,11.77,11.25,11.56,1182700
2023-02-22,11.58,11.68,11.25,11.65,699900
2023-02-23,13.96,14.32,12.77,14.24,5565900
2023-02-24,13.85,14.215,12.89,14.19,1991300
2023-02-27,14.537,14.96,13.63,13.98,2600300
2023-02-28,14.09,14.87,13.94,14.63,1972600
2023-03-01,14.4,14.65,13.8,14.33,1541000
2023-03-02,14.14,15.01,14.08,14.79,1583800
2023-03-03,14.91,15.3,14.82,15.27,1332500
2023-03-06,15.26,15.62,15.19,15.4,1443700
2023-03-07,15.39,15.92,15.14,15.76,2270500
2023-03-08,15.75,15.89,15.62,15.75,1631100
2023-03-09,15.78,15.79,15.09,15.33,1686100
2023-03-10,15.27,15.5,14.91,15.17,2454400
2023-03-13,14.85,15.25,14.5,15.15,1212400
2023-03-14,15.51,15.6,15.16,15.26,1203700
2023-03-15,14.91,15.37,14.77,15.25,1578100
2023-03-16,15.07,15.92,14.92,15.86,1509300
2023-03-17,15.87,16.26,15.64,16.0,2193700
2023-03-20,16.11,16.32,15.77,16.08,1536200
2023-03-21,16.28,17.01,16.059,16.78,1438100
2023-03-22,16.8,16.89,16.22,16.55,1873600
2023-03-23,16.53,17.03,16.445,16.56,979700
2023-03-24,16.4,16.97,16.4,16.88,839700
2023-03-27,16.45,16.64,16.0,16.41,1151300
2023-03-28,16.35,16.58,16.225,16.35,510000
2023-03-29,16.58,16.85,16.44,16.61,1089400
2023-03-30,16.8,17.13,16.692,16.73,1612500
2023-03-31,16.76,17.13,16.54,16.95,1876500
2023-04-03,16.93,17.13,16.8,17.11,833000
2023-04-04,17.22,17.62,16.9,16.94,800300
2023-04-05,16.82,17.01,16.28,16.49,1057500
2023-04-06,16.33,16.91,16.31,16.9,992900
2023-04-10,16.66,17.17,16.64,17.15,743600
2023-04-11,17.33,17.56,17.07,17.45,792300
2023-04-12,17.82,17.85,17.2,17.27,731300
2023-04-13,17.5,17.76,17.45,17.54,349900
2023-04-14,17.52,17.71,17.12,17.25,387200
2023-04-17,17.35,17.52,17.25,17.41,417600
2023-04-18,17.57,18.06,17.53,17.99,730600
2023-04-19,18.18,18.18,17.74,17.86,605100
2023-04-20,17.68,18.12,17.68,17.88,618300
2023-04-21,17.8,18.01,17.68,17.97,378100
2023-04-24,17.97,18.15,17.635,17.81,458500
2023-04-25,17.62,17.62,16.61,16.77,839900
2023-04-26,16.84,17.08,16.58,16.64,447100
2023-04-27,16.84,16.84,16.475,16.56,681900
2023-04-28,16.48,16.92,16.126,16.8,934400
2023-05-01,16.79,17.7,16.7,17.31,729600
2023-05-02,17.16,17.2,16.69,16.93,785900
2023-05-03,16.93,17.675,16.78,17.27,703300
2023-05-04,16.58,18.555,16.58,18.28,1414000
2023-05-05,18.35,18.4,17.62,18.28,1393800
2023-05-08,18.3,18.54,18.07,18.18,673600
2023-05-09,18.08,18.4,17.81,18.08,630300
2023-05-10,18.36,18.38,17.9,18.22,643700
2023-05-11,18.14,18.36,18.005,18.09,679800
2023-05-12,18.21,18.51,18.075,18.37,851800
2023-05-15,18.44,19.04,18.33,19.0,933200
2023-05-16,18.91,18.99,18.5,18.52,639800
2023-05-17,18.56,19.068,18.44,18.92,806700
2023-05-18,18.88,19.09,18.64,19.0,627100
2023-05-19,19.12,19.28,18.69,18.83,415500
2023-05-22,18.75,18.95,18.03,18.75,864200
2023-05-23,18.63,18.83,18.17,18.36,780300
2023-05-24,18.15,18.15,17.73,17.79,693200
2023-05-25,17.88,17.88,17.18,17.5,618900
2023-05-26,17.53,17.826,17.03,17.09,1027000
2023-05-30,17.18,17.61,16.92,17.38,1355300
2023-05-31,17.39,18.43,17.26,18.34,3045200
2023-06-01,18.26,18.67,17.89,18.55,1068100
2023-06-02,18.62,19.21,18.51,19.19,1345500
2023-06-05,19.03,19.6,18.975,19.59,1292000
2023-06-06,19.6,20.0,19.26,19.99,1559200
2023-06-07,19.97,20.03,19.705,19.74,1107600
2023-06-08,19.66,19.834,19.355,19.42,529300
2023-06-09,19.52,19.77,19.17,19.2,546600
2023-06-12,19.25,19.953,19.21,19.94,611800
2023-06-13,19.97,20.02,19.815,20.0,3753900
2023-06-14,19.9,19.9,18.57,19.13,1452200
2023-06-15,18.99,19.295,18.625,19.17,1109100
2023-06-16,19.4,19.4,18.73,18.76,1220400
2023-06-20,18.525,18.885,18.433,18.81,799100
2023-06-21,18.72,18.78,18.32,18.58,737500
2023-06-22,18.43,18.565,18.29,18.42,576000
2023-06-23,18.18,18.92,18.07,18.87,2660600
2023-06-26,18.81,19.16,18.03,18.04,1019700
2023-06-27,18.17,18.74,17.81,18.48,545500
2023-06-28,18.54,19.03,18.54,18.7,592700
2023-06-29,18.76,19.12,18.71,18.88,556300
2023-06-30,19.08,19.14,18.73,18.82,864500
2023-07-03,18.74,18.99,18.61,18.75,398900
2023-07-05,18.71,18.74,18.28,18.63,662900
2023-07-06,18.39,18.4,17.9,18.06,624300
2023-07-07,18.08,18.48,18.08,18.14,544900
2023-07-10,18.09,18.515,18.01,18.51,465700
2023-07-11,18.54,19.05,18.46,18.94,529400
2023-07-12,19.27,19.3,18.78,19.11,429600
2023-07-13,19.24,19.98,19.24,19.95,687300
2023-07-14,19.99,20.02,19.33,19.45,644400
2023-07-17,19.49,19.92,19.44,19.64,479500
2023-07-18,19.6,19.87,19.56,19.62,431500
2023-07-19,19.62,19.805,18.745,18.93,612800
2023-07-20,18.76,18.98,18.55,18.67,404100
2023-07-21,18.92,19.395,18.78,19.11,518200
2023-07-24,19.23,20.27,19.22,20.15,1058900
2023-07-25,20.23,20.39,19.46,19.57,499900
2023-07-26,19.51,19.58,19.18,19.48,603500
2023-07-27,19.66,19.66,18.16,18.36,648000
2023-07-28,18.69,18.86,18.451,18.76,470300
2023-07-31,18.93,19.39,18.82,19.28,597800
2023-08-01,19.07,19.76,18.92,19.67,598600
2023-08-02,19.31,19.31,18.24,18.27,1492500
2023-08-03,20.98,24.51,20.65,22.03,9288200
2023-08-04,22.0,22.51,21.09,22.29,2342500
2023-08-07,22.56,22.8,21.47,21.99,885900
2023-08-08,21.88,23.03,21.85,23.01,1183900
2023-08-09,22.71,22.94,22.43,22.47,4312800
2023-08-10,22.62,22.89,21.95,22.44,840000
2023-08-11,22.3,24.01,22.3,23.79,1895500
2023-08-14,23.65,23.73,23.04,23.11,933100
2023-08-15,23.07,23.92,22.93,23.28,910700
2023-08-16,23.07,23.63,22.99,23.05,592200
2023-08-17,23.16,23.34,22.57,23.12,907400
2023-08-18,22.7,24.1,22.325,23.99,1359300
2023-08-21,23.99,24.53,23.878,24.45,1472500
2023-08-22,25.0,25.39,24.48,24.9,1029600
2023-08-23,24.9,25.13,24.6,24.89,1018600
2023-08-24,25.08,25.08,24.24,24.47,692900
2023-08-25,24.47,25.03,24.34,24.9,1359700
2023-08-28,25.0,25.56,24.54,24.71,1928400
2023-08-29,24.63,25.39,24.4,24.83,950400
2023-08-30,24.38,24.89,24.27,24.83,947500
2023-08-31,24.5,25.27,24.428,25.15,1499300
2023-09-01,25.17,25.8,24.71,25.38,1229700
2023-09-05,25.22,25.7,24.84,25.48,1500900
2023-09-06,25.48,25.75,24.9,24.98,1153700
2023-09-07,24.48,25.14,24.3,25.1,1258800
2023-09-08,25.29,25.47,25.031,25.2,1643600
2023-09-11,25.39,25.64,24.97,25.32,1051100
2023-09-12,25.36,25.78,25.17,25.39,1830100
2023-09-13,25.42,25.53,24.97,25.01,1340000
2023-09-14,25.08,25.63,25.08,25.25,1071000
2023-09-15,25.25,26.025,25.19,26.0,9525300
2023-09-18,26.16,26.44,25.62,25.99,2873400
2023-09-19,25.95,26.35,25.34,26.26,1132500
2023-09-20,26.33,26.35,25.16,25.28,1026800
2023-09-21,24.72,25.28,24.4,24.86,970500
2023-09-22,25.06,25.18,24.51,24.66,1027900
2023-09-25,24.54,24.715,24.27,24.64,506400
2023-09-26,24.48,24.79,24.025,24.12,629100
2023-09-27,24.12,24.91,24.1,24.73,758500
2023-09-28,24.68,25.76,24.57,25.38,775700
2023-09-29,25.52,25.77,25.07,25.22,580600
2023-10-02,25.17,25.54,24.91,25.16,895600
2023-10-03,25.03,25.14,24.31,24.53,864700
2023-10-04,24.66,24.88,24.27,24.86,586900
2023-10-05,24.81,26.11,24.53,25.87,1437700
2023-10-06,25.7,26.73,25.59,26.64,1062000
2023-10-09,26.73,27.12,26.23,26.44,970700
2023-10-10,26.5,26.75,25.78,25.85,1020000
2023-10-11,26.05,26.329,24.695,25.49,1207400
2023-10-12,25.85,26.19,25.19,25.47,1357900
2023-10-13,25.59,26.36,25.46,26.22,1839100
2023-10-16,26.24,27.03,26.2,26.84,2273400
2023-10-17,26.87,27.5,26.87,27.14,2453000
2023-10-18,27.45,27.45,26.72,26.95,2066800
2023-10-19,27.39,27.95,26.845,26.98,1211700
2023-10-20,26.93,26.93,25.8,26.25,1803200
2023-10-23,26.03,27.22,25.965,26.69,1020500
2023-10-24,27.0,27.47,26.72,27.17,1636200
2023-10-25,27.03,27.23,26.01,26.31,2581200
2023-10-26,26.17,26.61,24.99,25.62,2103300
2023-10-27,25.71,26.12,25.49,25.82,1347700
2023-10-30,26.09,26.47,25.65,26.11,965900
2023-10-31,26.06,27.12,26.06,26.93,1601300
2023-11-01,26.98,27.62,26.89,27.59,2643800
2023-11-02,19.6,21.3,17.83,18.8,10232800
2023-11-03,19.06,20.12,18.915,19.0,4127300
2023-11-06,19.61,20.75,19.6,19.75,2588700
2023-11-07,20.1,20.99,19.675,20.78,1947200
2023-11-08,20.75,20.75,20.21,20.69,1853100
2023-11-09,20.85,21.11,20.37,20.38,1108000
2023-11-10,20.39,21.45,20.25,21.3,1521200
2023-11-13,21.15,21.4,20.542,20.77,1205100
2023-11-14,21.55,22.11,21.52,22.06,1417600
2023-11-15,22.18,23.01,22.15,22.32,1424600
2023-11-16,22.08,22.26,21.48,21.78,1054000
2023-11-17,21.9,22.21,21.71,22.08,997900
2023-11-20,22.15,22.42,21.69,21.73,1034800
2023-11-21,21.63,21.73,21.18,21.57,840200
2023-11-22,21.78,21.97,21.59,21.66,722100
2023-11-24,21.58,22.32,21.53,22.31,346500
2023-11-27,22.09,22.49,21.82,21.85,798900
2023-11-28,21.98,22.09,21.56,21.59,914200
2023-11-29,21.67,21.86,21.17,21.27,1309900
2023-11-30,21.43,21.66,21.21,21.54,1880500
2023-12-01,20.89,21.09,20.21,20.93,2404000
2023-12-04,20.77,21.35,20.64,21.08,1205800
2023-12-05,20.84,21.055,19.91,20.2,1826400
2023-12-06,20.3,20.39,19.61,19.66,1416400
2023-12-07,19.67,19.67,18.625,19.01,2359400
2023-12-08,18.81,19.49,18.68,19.27,1729900
2023-12-11,19.17,19.69,19.06,19.53,1356700
2023-12-12,19.61,19.755,19.3,19.48,926000
2023-12-13,19.45,19.9,19.075,19.78,1460800
2023-12-14,20.0,20.09,19.05,19.14,2223800
2023-12-15,19.25,19.25,17.744,17.87,4946800
2023-12-18,17.97,18.55,17.9,18.2,2058500
2023-12-19,18.33,18.605,18.2,18.6,2489900
2023-12-20,18.71,18.77,18.025,18.04,1722800
2023-12-21,18.24,18.87,18.19,18.75,2131800
2023-12-22,18.77,19.145,18.59,18.93,2106800
2023-12-26,18.99,19.09,18.79,19.0,901600
2023-12-27,19.14,19.49,19.095,19.32,1014000
2023-12-28,19.29,19.66,19.25,19.46,748600
2023-12-29,19.43,19.61,19.27,19.42,1021300
2024-01-02,19.16,19.2,18.65,19.0,1259600
2024-01-03,19.0,19.12,18.73,18.74,2103800
2024-01-04,18.63,18.86,18.41,18.73,1426100
2024-01-05,18.51,18.92,18.45,18.6,1045100
2024-01-08,18.69,18.86,18.38,18.84,1145000
2024-01-09,18.59,18.775,18.38,18.4,1052000
2024-01-10,18.3,18.365,17.665,18.28,1250900
2024-01-11,18.25,18.31,17.88,18.17,1094200
2024-01-12,18.46,18.56,18.06,18.07,778500
2024-01-16,17.96,18.095,17.71,17.87,1123400
2024-01-17,16.76,17.13,16.27,16.4,1937300
2024-01-18,16.45,16.45,15.94,16.16,1703300
2024-01-19,16.26,16.41,15.94,16.18,2146800
2024-01-22,16.38,16.83,16.38,16.5,1991000
2024-01-23,16.75,16.79,16.11,16.16,1419000
2024-01-24,16.26,16.68,15.83,16.36,1728800
2024-01-25,16.55,16.75,16.15,16.7,1234000
2024-01-26,16.85,16.96,16.68,16.9,987400
2024-01-29,16.9,17.5,16.76,17.45,982800
2024-01-30,17.48,17.51,16.925,17.07,1184300
2024-01-31,16.74,17.51,16.51,17.14,1484700
2024-02-01,17.18,17.48,16.91,17.35,1427800
2024-02-02,17.16,17.86,17.06,17.85,1162700
2024-02-05,17.81,18.215,17.565,18.09,1234900
2024-02-06,18.05,18.32,17.69,17.9,1905100
2024-02-07,17.91,18.02,17.605,17.89,1267400
2024-02-08,17.93,18.5,17.93,18.1,1280300
2024-02-09,18.35,18.35,18.04,18.21,955000
2024-02-12,18.28,18.58,18.17,18.45,1065000
2024-02-13,17.86,18.182,17.48,17.67,1782400
2024-02-14,17.6,18.175,17.52,18.07,1003500
2024-02-15,18.28,18.61,18.08,18.44,995500
2024-02-16,18.45,18.555,18.16,18.38,893100
2024-02-20,18.01,18.4,17.93,18.0,1082200
2024-02-21,17.57,18.0,17.505,17.69,1869800
2024-02-22,22.05,22.08,20.15,20.87,5912400
2024-02-23,20.84,21.78,20.63,21.14,3051900
2024-02-26,21.23,21.64,20.66,21.02,2359400
2024-02-27,21.02,21.41,20.91,21.33,1085800
2024-02-28,21.04,21.65,20.83,20.91,1488100
2024-02-29,20.88,21.11,20.38,20.62,1528500
2024-03-01,20.65,20.65,20.17,20.49,1759000
2024-03-04,20.4,20.688,20.18,20.6,1444300
2024-03-05,20.57,20.59,20.19,20.48,1147600
2024-03-06,20.53,21.13,20.49,20.86,1307000
2024-03-07,20.86,21.0,20.5,20.7,1180300
2024-03-08,20.7,21.01,20.585,20.95,1013600
2024-03-11,20.78,21.09,20.59,20.64,1210300
2024-03-12,20.63,20.74,20.278,20.55,1010600
2024-03-13,20.61,20.87,20.45,20.66,903100
2024-03-14,20.57,20.66,19.81,20.2,1281800
2024-03-15,20.03,20.32,19.87,20.13,1588600
2024-03-18,20.29,20.43,20.025,20.14,668100
2024-03-19,20.16,20.21,19.712,20.13,733800
2024-03-20,20.45,21.02,20.22,20.99,933300
2024-03-21,21.07,21.79,21.03,21.42,1348600
2024-03-22,21.37,21.41,20.53,20.77,941700
2024-03-25,20.82,20.93,20.65,20.71,679800
2024-03-26,20.76,21.14,20.62,20.82,924200
2024-03-27,21.02,21.08,20.535,20.92,654800
2024-03-28,20.99,21.25,20.72,20.74,892900
2024-04-01,20.71,20.76,20.36,20.5,889900
2024-04-02,20.18,20.88,19.91,20.68,1086600
2024-04-03,20.63,20.66,20.23,20.63,741100
2024-04-04,20.9,21.14,20.41,20.42,739400
2024-04-05,20.49,20.96,20.25,20.65,619600
2024-04-08,20.57,21.11,20.57,20.97,952200
2024-04-09,21.15,21.2,20.83,21.16,623700
2024-04-10,20.84,20.84,20.0,20.25,1146200
2024-04-11,20.27,20.27,19.0,19.52,2249200
2024-04-12,19.48,19.56,19.04,19.09,1287900
2024-04-15,19.28,19.28,18.47,18.52,1703500
2024-04-16,18.45,18.66,18.14,18.25,1191200
2024-04-17,18.55,18.98,18.55,18.59,759200
2024-04-18,18.72,19.16,18.47,18.6,664000
2024-04-19,18.58,18.73,18.32,18.51,664900
2024-04-22,18.67,18.7,18.3,18.4,727100
2024-04-23,18.57,19.1,18.349,18.84,814000
2024-04-24,18.8,18.8,18.1,18.43,926400
2024-04-25,18.09,18.29,17.74,17.77,905300
2024-04-26,17.74,18.24,17.6,18.06,1288900
2024-04-29,18.14,18.3,17.85,17.9,1387100
2024-04-30,17.86,17.94,17.62,17.83,1429300
2024-05-01,17.55,17.78,17.02,17.54,2983500
2024-05-02,14.0,16.16,13.6,15.4,7458000
2024-05-03,15.53,15.95,14.87,14.91,3020900
2024-05-06,14.9,15.65,14.86,15.41,2205100
2024-05-07,15.39,15.47,15.13,15.22,1600200
2024-05-08,15.19,15.24,14.76,14.86,2294400
2024-05-09,14.81,14.95,14.4,14.68,2484200
2024-05-10,14.62,14.68,14.13,14.33,3514800
2024-05-13,14.52,14.59,14.225,14.29,3053100
2024-05-14,14.46,14.51,14.145,14.24,2091300
2024-05-15,14.32,14.4,14.14,14.23,2908400
2024-05-16,14.12,14.35,14.11,14.2,2908300
2024-05-17,14.29,14.56,13.97,14.24,3401800
2024-05-20,14.25,14.79,14.11,14.42,1548900
2024-05-21,14.33,14.358,13.98,14.01,1335100
2024-05-22,13.64,14.175,13.635,13.74,1521500
2024-05-23,13.74,13.8,13.49,13.63,1484800
2024-05-24,13.64,13.865,13.545,13.7,1542700
2024-05-28,13.15,13.79,13.15,13.48,1886500
2024-05-29,13.28,13.38,13.12,13.26,2400000
2024-05-30,13.34,13.39,13.02,13.06,1807100
2024-05-31,13.15,13.235,12.9,12.995,1792500
2024-06-03,13.0,13.15,12.76,12.97,1798400
2024-06-04,12.97,13.15,12.83,12.93,1437900
2024-06-05,13.02,13.2,12.71,13.18,3374300
2024-06-06,13.2,14.15,13.11,13.51,3158800
2024-06-07,13.34,13.5,13.15,13.26,1456500
2024-06-10,12.96,13.11,12.805,13.09,1661300
2024-06-11,12.99,13.12,12.83,12.99,1649700
2024-06-12,13.3,13.64,12.97,13.09,1397200
2024-06-13,13.05,13.05,12.54,12.55,1463900
2024-06-14,12.49,12.49,12.18,12.32,1766800
2024-06-17,12.24,12.415,12.0,12.09,1123600
2024-06-18,12.09,12.31,11.76,11.77,1427100
2024-06-20,11.73,11.9,11.6,11.61,1518600
2024-06-21,11.63,12.17,11.63,12.08,3709800
2024-06-24,12.08,12.32,11.9,12.02,1718700
2024-06-25,11.97,11.97,11.64,11.89,1343600
2024-06-26,11.79,12.13,11.68,12.05,1819300
2024-06-27,12.12,12.175,11.77,12.17,1527600
2024-06-28,12.2,12.26,11.965,12.12,8132600
2024-07-01,12.2,12.2,11.92,12.07,2710700
2024-07-02,12.13,12.48,12.05,12.45,5071800
2024-07-03,12.5,12.64,12.42,12.45,733400
2024-07-05,12.57,12.9,12.34,12.83,2297200
2024-07-08,12.81,12.98,12.559,12.68,2712200
2024-07-09,12.65,12.9,12.55,12.74,3570400
2024-07-10,12.86,12.86,12.33,12.52,2417300
