Date,Open,High,Low,Close,Volume
2023-01-13,75.15,77.63,75.11,77.5,680600
2023-01-17,77.27,77.89,75.92,76.82,1346200
2023-01-18,77.44,78.19,76.28,76.81,993600
2023-01-19,76.4,77.13,75.02,75.72,1141100
2023-01-20,76.03,78.46,75.46,78.27,796500
2023-01-23,78.62,80.36,78.1,79.75,970300
2023-01-24,78.97,79.62,78.52,79.1,814600
2023-01-25,78.13,79.37,77.25,78.88,970900
2023-01-26,79.5,81.11,79.3,80.81,1396100
2023-01-27,79.73,85.54,79.73,85.2,2121500
2023-01-30,84.3,84.71,82.21,82.47,1047900
2023-01-31,82.75,84.13,82.35,83.96,982400
2023-02-01,83.42,86.09,82.17,85.59,1254700
2023-02-02,86.5,89.1,85.66,88.71,1346700
2023-02-03,87.38,89.78,86.83,87.06,1104100
2023-02-06,86.02,86.75,84.25,84.77,746000
2023-02-07,84.33,85.18,83.01,84.91,856400
2023-02-08,84.22,85.12,83.97,84.39,668500
2023-02-09,85.13,85.81,82.39,82.7,762700
2023-02-10,84.79,86.25,84.16,84.67,1616400
2023-02-13,84.38,85.01,83.5,84.4,1045700
2023-02-14,83.95,84.6,82.6,83.67,1018500
2023-02-15,83.29,84.52,82.71,84.43,699100
2023-02-16,83.17,83.4,82.11,82.9,803400
2023-02-17,82.52,82.72,81.14,82.42,891000
2023-02-21,81.42,81.71,79.86,79.98,868000
2023-02-22,79.98,80.67,79.12,80.47,981100
2023-02-23,80.38,80.96,78.82,79.54,789400
2023-02-24,78.55,78.87,78.1,78.57,586900
2023-02-27,79.56,80.25,79.01,79.68,986400
2023-02-28,79.66,81.59,79.57,80.62,1792100
2023-03-01,80.5,81.4,80.1,80.84,722300
2023-03-02,80.29,80.84,79.76,80.62,679700
2023-03-03,81.08,81.94,80.62,81.32,870300
2023-03-06,81.51,82.25,81.1,81.25,986900
2023-03-07,81.38,82.23,80.23,80.68,651400
2023-03-08,80.87,81.09,79.58,80.56,575500
2023-03-09,80.71,80.89,78.84,78.84,952500
2023-03-10,78.58,79.34,76.87,77.41,947700
2023-03-13,76.5,78.57,75.76,77.33,1435700
2023-03-14,78.67,79.39,76.07,77.15,1168000
2023-03-15,75.7,76.13,74.46,75.34,1367300
2023-03-16,74.67,75.55,73.59,75.06,1175900
2023-03-17,75.01,75.01,72.34,73.38,4813900
2023-03-20,73.66,76.02,73.66,75.42,1148000
2023-03-21,76.65,77.51,75.77,77.26,1013000
2023-03-22,77.14,77.58,74.54,74.63,980400
2023-03-23,74.7,75.69,73.55,74.06,554400
2023-03-24,73.55,74.74,73.12,74.7,625000
2023-03-27,75.6,76.34,75.02,76.2,747000
2023-03-28,75.99,76.91,75.57,76.3,637200
2023-03-29,77.35,77.55,76.57,77.15,491900
2023-03-30,78.01,78.12,77.38,77.95,629300
2023-03-31,78.5,80.78,78.01,80.57,1036100
2023-04-03,80.33,80.47,78.39,79.62,952400
2023-04-04,79.87,80.31,77.07,77.48,615100
2023-04-05,77.02,77.1,74.78,75.04,804500
2023-04-06,74.62,75.19,73.91,74.01,813400
2023-04-10,74.01,74.99,73.83,74.96,693400
2023-04-11,75.19,75.73,74.71,75.51,630500
2023-04-12,76.43,76.44,73.67,73.94,795900
2023-04-13,74.34,75.74,74.01,75.55,767700
2023-04-14,75.62,76.62,74.44,75.32,649800
2023-04-17,75.41,76.2,75.15,76.18,680600
2023-04-18,76.52,76.61,75.4,75.66,596900
2023-04-19,75.42,75.64,74.75,75.55,570200
2023-04-20,74.5,75.21,73.1,74.66,1460900
2023-04-21,74.75,74.91,72.98,73.3,1145000
2023-04-24,73.4,73.87,72.59,72.86,998000
2023-04-25,72.12,72.46,71.0,71.7,1294500
2023-04-26,71.6,72.06,70.35,70.63,1218600
2023-04-27,72.68,73.54,71.51,73.13,1598000
2023-04-28,72.97,73.32,72.14,73.0,868300
2023-05-01,73.01,74.24,72.84,73.16,588400
2023-05-02,72.94,72.94,69.93,70.97,1513900
2023-05-03,71.15,71.46,68.66,68.9,1532600
2023-05-04,68.21,68.81,66.31,67.42,1922700
2023-05-05,68.35,69.01,68.02,69.0,1003600
2023-05-08,69.13,69.53,67.03,67.17,1886500
2023-05-09,66.58,66.89,65.46,66.87,1759700
2023-05-10,67.77,67.96,66.76,67.54,791400
2023-05-11,67.05,67.66,66.1,67.15,894400
2023-05-12,67.35,67.74,66.57,67.08,672700
2023-05-15,67.2,67.7,66.87,67.64,690000
2023-05-16,67.38,67.55,66.18,66.2,845700
2023-05-17,66.42,67.3,65.83,67.28,1019600
2023-05-18,67.19,68.68,66.89,68.58,598700
2023-05-19,69.09,69.22,67.57,68.36,794600
2023-05-22,68.35,69.11,67.76,68.51,842900
2023-05-23,68.33,69.51,68.19,68.52,588600
2023-05-24,68.02,68.05,66.99,67.63,774600
2023-05-25,67.49,67.59,66.69,67.16,1337300
2023-05-26,67.3,68.24,67.07,67.5,708900
2023-05-30,67.87,68.08,66.39,66.77,581400
2023-05-31,66.39,67.1,64.65,65.02,2813400
2023-06-01,66.16,66.76,65.22,66.36,1250600
2023-06-02,67.19,70.01,67.19,69.88,1058800
2023-06-05,69.46,70.24,68.94,69.61,803200
2023-06-06,69.31,71.67,69.24,71.5,792800
2023-06-07,71.89,73.27,71.53,72.71,941200
2023-06-08,72.99,73.18,72.28,72.89,778700
2023-06-09,72.96,73.79,72.5,72.72,820800
2023-06-12,72.65,73.57,72.46,73.43,641100
2023-06-13,73.72,75.28,73.5,74.92,587900
2023-06-14,74.85,75.79,70.97,71.37,1119900
2023-06-15,70.85,73.38,70.81,73.28,731300
2023-06-16,73.52,73.84,73.1,73.42,1385900
2023-06-20,72.97,73.04,71.56,71.56,905100
2023-06-21,71.12,72.46,70.67,71.74,739700
2023-06-22,71.35,71.58,70.18,70.91,1038500
2023-06-23,70.07,71.21,69.99,70.53,2589800
2023-06-26,70.62,72.18,70.53,71.87,812500
2023-06-27,72.08,72.36,71.2,72.06,644600
2023-06-28,72.33,72.89,71.58,72.35,719600
2023-06-29,72.59,74.16,72.45,74.07,770400
2023-06-30,74.38,76.34,74.01,75.22,1204900
2023-07-03,74.63,76.01,74.61,75.54,455300
2023-07-05,75.78,78.13,75.05,77.33,1814900
2023-07-06,76.56,77.36,75.77,76.87,1427600
2023-07-07,76.96,78.79,76.61,77.53,1378300
2023-07-10,77.35,79.19,77.0,79.04,1157000
2023-07-11,79.24,80.89,79.16,80.82,1025500
2023-07-12,81.86,82.23,80.86,81.08,1189900
2023-07-13,81.4,82.46,80.98,82.23,725600
2023-07-14,81.9,82.89,81.73,82.68,872500
2023-07-17,82.1,83.48,81.93,83.38,887400
2023-07-18,83.18,84.64,83.08,84.42,968000
2023-07-19,84.53,84.85,83.69,84.56,812100
2023-07-20,83.19,83.4,80.4,81.64,2072200
2023-07-21,81.91,82.4,78.41,78.64,1082000
2023-07-24,78.37,80.48,78.37,80.09,852900
2023-07-25,79.26,80.77,79.16,80.21,1316700
2023-07-26,72.0,76.39,70.64,75.43,4185800
2023-07-27,75.57,76.74,72.8,73.15,2144500
2023-07-28,74.45,75.13,73.47,74.56,1441200
2023-07-31,74.72,74.96,73.55,74.15,1416600
2023-08-01,73.72,74.05,72.82,73.92,1350800
2023-08-02,72.63,74.47,72.63,74.3,837300
2023-08-03,74.25,75.98,74.0,75.72,1067800
2023-08-04,75.82,76.22,74.95,75.11,830900
2023-08-07,75.77,76.53,75.28,75.54,830200
2023-08-08,74.53,76.03,74.05,75.82,695200
2023-08-09,76.05,76.74,75.55,76.28,779100
2023-08-10,76.26,76.91,75.46,76.26,994500
2023-08-11,76.01,76.6,75.82,76.19,629700
2023-08-14,75.95,76.13,75.29,76.02,556200
2023-08-15,75.4,75.4,74.53,74.86,453500
2023-08-16,74.73,75.53,74.1,74.1,371900
2023-08-17,74.17,74.57,73.81,73.96,686300
2023-08-18,73.44,74.95,73.44,74.65,535400
2023-08-21,74.77,75.32,74.39,75.07,632200
2023-08-22,75.03,75.92,75.01,75.22,662200
2023-08-23,75.41,75.65,74.6,75.27,965000
2023-08-24,74.98,75.54,74.21,74.22,691200
2023-08-25,74.87,75.35,74.29,74.96,422800
2023-08-28,75.08,75.61,74.44,74.67,482500
2023-08-29,74.44,75.54,74.02,75.4,605500
2023-08-30,75.4,75.91,75.0,75.59,450600
2023-08-31,75.13,75.35,73.84,73.96,1235000
2023-09-01,74.8,75.29,74.39,74.98,478600
2023-09-05,74.39,74.6,72.79,73.65,613700
2023-09-06,73.63,74.19,72.07,72.26,727300
2023-09-07,71.92,73.56,71.48,73.27,1551700
2023-09-08,73.52,73.6,72.8,73.2,669000
2023-09-11,73.42,73.49,72.18,72.35,468500
2023-09-12,72.06,72.77,71.75,72.34,386900
2023-09-13,72.77,73.01,71.78,72.63,531000
2023-09-14,73.19,74.72,73.19,74.65,579300
2023-09-15,74.8,75.51,74.51,75.1,1627000
2023-09-18,74.95,74.95,73.6,74.15,554000
2023-09-19,74.05,75.06,73.53,74.9,709800
2023-09-20,76.0,76.64,74.21,74.33,502300
2023-09-21,73.81,74.3,73.05,73.55,783400
2023-09-22,73.7,74.06,72.86,72.92,490800
2023-09-25,72.6,74.16,72.55,73.85,531000
2023-09-26,73.34,73.44,71.53,71.59,784600
2023-09-27,72.15,73.17,72.02,73.14,913100
2023-09-28,72.98,73.97,72.63,73.2,503200
2023-09-29,73.69,74.17,73.17,73.28,556000
