Date,Open,High,Low,Close,Volume
2023-01-13,313.82,319.0,308.88,310.38,858900
2023-01-17,306.89,311.52,305.9,309.25,777800
2023-01-18,310.89,313.55,298.61,300.43,766600
2023-01-19,295.75,297.19,290.0,292.7,606600
2023-01-20,293.36,299.77,287.21,299.17,576200
2023-01-23,301.02,311.99,300.5,311.22,692500
2023-01-24,308.0,311.61,304.16,306.42,327900
2023-01-25,301.51,308.12,297.33,308.12,344500
2023-01-26,312.0,314.6,303.47,308.99,327900
2023-01-27,307.0,312.7,305.19,310.65,426500
2023-01-30,305.35,313.7,305.0,305.52,462500
2023-01-31,307.19,312.0,307.19,311.99,703900
2023-02-01,311.06,325.75,307.75,323.99,818800
2023-02-02,329.89,351.53,325.1,347.05,1538100
2023-02-03,338.74,347.5,338.73,343.62,628300
2023-02-06,325.39,330.99,312.92,318.43,1740500
2023-02-07,315.42,320.73,312.09,319.25,996200
2023-02-08,318.9,326.08,312.72,320.81,632100
2023-02-09,325.66,327.48,314.25,316.0,527800
2023-02-10,312.91,315.18,305.21,306.23,500200
2023-02-13,306.91,321.08,303.75,320.18,547600
2023-02-14,317.3,326.96,314.71,326.78,497400
2023-02-15,324.68,334.38,323.33,331.79,569000
2023-02-16,325.59,328.3,321.0,321.77,398600
2023-02-17,320.0,320.0,309.26,315.88,570600
2023-02-21,307.84,308.68,299.86,304.01,576100
2023-02-22,305.0,308.73,303.36,306.59,393100
2023-02-23,305.27,307.18,299.35,302.82,394300
2023-02-24,297.2,305.13,294.68,303.18,473100
2023-02-27,306.54,307.81,300.6,302.96,329400
2023-02-28,302.57,304.53,299.0,299.03,398600
2023-03-01,295.8,298.71,289.43,291.55,505800
2023-03-02,287.71,294.8,286.0,293.15,355900
2023-03-03,295.23,300.19,290.95,297.21,527400
2023-03-06,288.8,294.07,280.71,282.53,939500
2023-03-07,283.74,287.9,281.55,282.52,734400
2023-03-08,282.81,285.23,278.84,279.75,567300
2023-03-09,276.64,278.26,267.1,267.11,827600
2023-03-10,265.61,267.07,255.82,259.73,1008600
2023-03-13,254.57,258.24,250.08,253.66,760300
2023-03-14,259.23,260.28,247.2,252.08,660300
2023-03-15,247.11,248.85,239.28,244.2,1053500
2023-03-16,241.97,250.62,237.83,248.29,989900
2023-03-17,246.44,248.7,240.33,246.42,749300
2023-03-20,247.0,250.94,244.41,248.63,902600
2023-03-21,252.37,256.88,251.04,256.26,609200
2023-03-22,257.25,257.26,246.54,247.1,653200
2023-03-23,248.72,249.82,237.84,243.65,1134800
2023-03-24,240.13,243.01,235.46,241.94,552000
2023-03-27,244.64,244.64,237.19,241.01,820800
2023-03-28,240.44,246.46,239.8,241.29,790300
2023-03-29,244.21,246.28,239.32,245.71,2599500
2023-03-30,238.0,249.94,234.0,237.63,4109800
2023-03-31,238.59,244.9,238.59,243.55,1332000
2023-04-03,243.0,246.11,239.74,241.83,1146600
2023-04-04,243.0,243.5,233.92,241.7,1205800
2023-04-05,238.95,239.64,231.86,232.18,1190100
2023-04-06,231.84,239.15,230.65,236.93,878700
2023-04-10,235.29,240.88,234.64,240.61,444500
2023-04-11,242.05,242.39,236.6,239.17,739800
2023-04-12,244.43,246.32,235.24,235.46,649400
2023-04-13,236.69,238.19,234.3,235.74,655100
2023-04-14,236.26,238.25,230.75,233.88,733100
2023-04-17,233.67,239.25,232.54,239.17,591700
2023-04-18,241.73,245.57,240.45,245.27,712600
2023-04-19,242.71,251.93,241.29,250.14,688900
2023-04-20,247.81,251.71,245.28,245.99,588100
2023-04-21,247.4,249.05,244.16,245.15,424500
2023-04-24,245.76,252.45,245.76,251.4,901500
2023-04-25,251.28,251.56,245.33,245.65,553100
2023-04-26,247.21,248.19,244.45,245.2,735100
2023-04-27,247.65,256.84,246.2,254.75,486200
2023-04-28,254.57,256.57,251.7,255.13,607200
2023-05-01,256.14,262.7,254.97,259.36,808100
2023-05-02,257.56,260.94,251.46,257.8,576100
2023-05-03,256.94,263.45,256.16,256.57,530100
2023-05-04,255.64,256.99,251.79,252.49,554500
2023-05-05,256.38,263.69,255.05,261.72,755500
2023-05-08,261.55,262.75,254.86,257.42,903300
2023-05-09,255.2,266.18,254.94,262.72,674800
2023-05-10,266.21,269.3,259.45,262.26,727200
2023-05-11,263.01,265.47,260.08,265.01,797800
2023-05-12,264.47,264.91,257.83,259.73,635900
2023-05-15,259.27,264.67,258.53,264.63,1088100
2023-05-16,254.55,255.23,240.17,241.41,1790400
2023-05-17,242.0,259.41,240.13,258.59,1285600
2023-05-18,260.13,265.99,257.45,265.62,754400
2023-05-19,264.16,265.05,257.11,261.42,688700
2023-05-22,260.19,261.0,254.94,256.69,931300
2023-05-23,260.0,265.29,254.72,256.68,1099800
2023-05-24,254.69,261.86,251.21,259.77,891100
2023-05-25,261.14,262.3,253.01,254.63,790500
2023-05-26,243.74,249.59,235.64,246.82,1811600
2023-05-30,249.5,252.0,244.6,251.67,838000
2023-05-31,252.0,252.9,242.01,244.98,591400
2023-06-01,243.86,246.98,236.66,244.64,536700
2023-06-02,247.99,254.55,247.85,252.21,490400
2023-06-05,252.69,256.86,250.01,256.51,362700
2023-06-06,257.06,267.9,255.71,265.8,650400
2023-06-07,268.99,275.68,265.96,267.1,706400
2023-06-08,267.78,269.91,263.31,264.34,389500
2023-06-09,266.69,268.45,263.34,264.27,372600
2023-06-12,265.0,270.67,264.28,269.59,550500
2023-06-13,270.58,280.27,270.51,280.05,962900
2023-06-14,280.38,287.49,272.81,275.83,855700
2023-06-15,275.84,284.64,275.07,282.86,595800
2023-06-16,285.99,288.79,280.63,282.6,947200
2023-06-20,278.38,291.11,275.19,289.57,1026000
2023-06-21,290.3,292.69,284.76,287.8,1040700
2023-06-22,287.9,297.0,284.5,292.51,874400
2023-06-23,289.84,293.6,286.87,290.89,950400
2023-06-26,291.11,299.54,291.11,297.07,784300
2023-06-27,298.0,308.42,297.4,305.57,1067500
2023-06-28,304.47,313.66,303.5,310.44,979100
2023-06-29,311.0,323.87,309.39,322.24,1445800
2023-06-30,325.57,331.11,319.52,329.59,1017400
2023-07-03,329.86,334.7,325.98,331.79,652500
2023-07-05,330.19,333.29,326.06,332.49,906600
2023-07-06,327.21,328.13,319.19,324.61,1172000
2023-07-07,325.28,334.0,324.75,329.57,801500
2023-07-10,332.0,348.46,331.2,347.26,1259800
2023-07-11,350.0,366.92,348.24,365.68,1330000
2023-07-12,373.42,373.71,365.99,370.58,1170200
2023-07-13,370.69,375.33,367.51,369.68,1339600
2023-07-14,373.0,380.3,372.02,376.97,1347300
2023-07-17,375.61,376.88,362.51,364.99,1391200
2023-07-18,366.82,371.36,365.03,369.27,527100
2023-07-19,372.0,381.56,369.77,381.07,708500
2023-07-20,380.42,383.75,375.79,377.08,611100
2023-07-21,379.35,380.43,374.72,377.72,533600
2023-07-24,378.66,385.39,374.94,381.51,505700
2023-07-25,380.17,386.54,378.23,385.44,468700
2023-07-26,383.8,391.09,382.7,389.93,409700
2023-07-27,394.3,394.3,379.15,381.18,750000
2023-07-28,386.1,388.27,382.26,387.29,385400
2023-07-31,389.11,391.52,383.81,388.17,385600
2023-08-01,386.9,390.33,383.33,390.32,464600
2023-08-02,385.28,388.23,382.03,388.09,401900
2023-08-03,388.09,406.38,386.53,399.95,643900
2023-08-04,398.35,399.08,390.41,392.85,475900
2023-08-07,396.24,405.55,396.02,401.84,682700
2023-08-08,395.21,400.94,392.06,399.57,392500
2023-08-09,402.05,403.04,389.1,390.56,736000
2023-08-10,395.0,396.05,382.78,385.08,631000
2023-08-11,382.09,383.82,368.75,371.55,791500
2023-08-14,370.12,383.65,367.28,382.95,665600
2023-08-15,380.45,380.99,370.82,373.63,546400
2023-08-16,370.17,372.5,364.63,365.12,468200
2023-08-17,365.99,368.19,355.07,356.65,530400
2023-08-18,351.0,356.64,349.5,353.5,908600
2023-08-21,354.7,355.9,342.34,344.18,672800
2023-08-22,344.18,344.88,331.84,333.66,551000
2023-08-23,336.05,361.6,336.05,357.02,1026400
2023-08-24,356.72,360.73,350.26,351.0,509200
2023-08-25,353.46,353.46,336.54,338.73,675700
2023-08-28,340.23,348.73,340.23,346.86,339900
