Date,Open,High,Low,Close,Volume
2023-02-17,17.46,18.545,17.14,18.45,840300
2023-02-21,18.07,18.29,17.18,17.48,1368900
2023-02-22,17.59,18.18,17.45,17.7,698800
2023-02-23,17.78,17.82,16.96,17.43,614800
2023-02-24,19.54,19.54,16.94,17.06,1011900
2023-02-27,17.26,17.42,16.41,16.56,1109500
2023-02-28,16.69,16.9,16.11,16.15,1172100
2023-03-01,16.2,16.39,15.95,16.14,820100
2023-03-02,15.95,16.4,15.81,16.38,692300
2023-03-03,16.44,17.28,16.14,17.13,978100
2023-03-06,17.07,17.07,16.42,16.96,753500
2023-03-07,17.32,18.77,17.14,17.59,1478300
2023-03-08,17.6,17.6,16.77,16.91,890500
2023-03-09,16.84,17.14,15.4,15.57,1619100
2023-03-10,15.6,15.645,14.49,15.33,1666100
2023-03-13,15.1,16.23,15.1,16.01,1179100
2023-03-14,16.52,16.62,15.86,16.22,691600
2023-03-15,15.96,17.0,15.86,16.5,1046700
2023-03-16,16.36,16.57,15.94,16.28,1366400
2023-03-17,16.13,16.445,15.62,15.77,1184900
2023-03-20,15.63,15.96,15.28,15.63,891600
2023-03-21,15.73,16.4,15.38,15.58,696100
2023-03-22,15.47,16.28,15.105,15.21,1233300
2023-03-23,15.49,15.76,15.09,15.48,950400
2023-03-24,15.37,15.48,14.82,15.31,1384700
2023-03-27,15.36,15.95,15.17,15.48,715900
2023-03-28,15.34,15.505,14.765,15.0,602500
2023-03-29,15.2,16.05,15.0,16.01,1301200
2023-03-30,16.06,16.41,15.765,15.91,1330100
2023-03-31,16.02,16.66,15.93,16.47,902000
2023-04-03,16.47,17.08,16.45,16.9,1470900
2023-04-04,16.94,17.21,16.26,16.89,903600
2023-04-05,16.69,17.99,16.69,17.23,1288100
2023-04-06,17.44,18.23,17.335,17.97,1129600
2023-04-10,17.91,18.37,17.21,18.27,1365900
2023-04-11,18.24,19.23,17.78,18.02,1190500
2023-04-12,18.36,18.38,15.85,16.01,1845200
2023-04-13,16.07,18.48,16.07,18.22,3372600
2023-04-14,18.31,18.67,17.08,17.44,1388200
2023-04-17,17.56,18.32,17.07,18.22,1867400
2023-04-18,17.98,18.0,10.85,11.62,13936800
2023-04-19,12.23,13.055,11.8,12.35,5973200
2023-04-20,12.115,12.96,12.07,12.47,2740700
2023-04-21,12.55,12.82,12.06,12.74,1637900
2023-04-24,12.82,12.82,12.01,12.05,1649300
2023-04-25,11.9,12.28,11.68,11.78,1338500
2023-04-26,11.73,11.92,10.97,11.39,1736100
2023-04-27,11.43,11.67,11.07,11.3,1358100
2023-04-28,11.16,11.645,10.935,11.37,1019200
2023-05-01,11.48,11.665,11.14,11.44,1383800
2023-05-02,11.15,11.29,10.4,10.44,1583700
2023-05-03,10.43,11.34,10.43,11.21,1757100
2023-05-04,11.1,11.35,10.57,11.22,2149200
2023-05-05,10.54,11.67,10.54,11.27,1703500
2023-05-08,11.24,11.42,10.74,10.82,1509900
2023-05-09,10.67,10.905,10.55,10.62,1421000
2023-05-10,10.84,10.96,10.24,10.71,1126900
2023-05-11,10.66,10.82,10.23,10.36,1027400
