Date,Open,High,Low,Close,Volume
2023-01-13,35.74,37.03,35.74,36.26,772700
2023-01-17,35.82,36.9,34.78,36.5,932800
2023-01-18,37.28,38.59,36.22,36.34,1083500
2023-01-19,35.67,36.15,34.5,34.61,1404800
2023-01-20,34.85,36.42,34.71,36.39,1628000
2023-01-23,36.48,38.32,35.99,38.11,1569700
2023-01-24,37.8,39.28,37.16,37.97,1321300
2023-01-25,36.83,37.57,34.82,37.52,1420900
2023-01-26,38.66,39.0,37.06,38.42,987700
2023-01-27,38.0,40.07,37.98,39.94,1042900
2023-01-30,39.11,39.56,37.51,37.6,1068300
2023-01-31,37.73,39.05,37.73,39.03,1031300
2023-02-01,39.27,42.48,38.6,42.28,1662800
2023-02-02,43.17,48.12,43.17,46.07,3485600
2023-02-03,43.98,45.97,43.51,44.72,1516900
2023-02-06,43.87,44.75,42.64,42.74,1569300
2023-02-07,42.84,45.53,42.02,45.28,1328100
2023-02-08,45.42,45.42,43.62,44.21,1039000
2023-02-09,44.89,45.2,43.04,43.2,1068500
2023-02-10,42.34,42.59,40.73,41.3,1667700
2023-02-13,41.79,43.98,41.6,43.36,1267300
2023-02-14,42.6,45.17,42.1,44.95,1607900
2023-02-15,45.77,49.32,45.77,48.41,3562300
2023-02-16,41.04,41.2,36.79,37.07,13393600
2023-02-17,36.9,37.03,35.64,36.97,3806000
2023-02-21,36.54,36.54,35.03,35.49,2828600
2023-02-22,35.45,36.38,35.43,36.14,1996800
2023-02-23,36.34,36.55,34.34,35.36,1644100
2023-02-24,34.52,35.19,34.3,34.74,2074200
2023-02-27,35.01,35.3,33.71,33.95,1921200
2023-02-28,33.88,34.34,33.03,33.04,2856500
2023-03-01,32.96,33.36,32.52,33.04,2578600
2023-03-02,32.68,34.07,32.29,33.84,2841000
2023-03-03,34.04,37.09,33.84,36.79,3240200
2023-03-06,36.93,37.34,35.75,35.89,2180100
2023-03-07,35.97,36.92,35.14,35.43,1679700
2023-03-08,35.45,35.73,34.57,34.8,1529700
2023-03-09,34.5,35.86,33.75,33.86,2127600
2023-03-10,33.55,33.65,31.64,32.84,2211000
2023-03-13,32.59,32.59,30.52,31.46,3414800
2023-03-14,32.18,32.68,31.23,31.59,2080300
2023-03-15,31.32,32.55,30.99,32.38,1694200
2023-03-16,32.42,32.58,31.18,31.97,1495200
2023-03-17,31.0,31.34,29.62,30.07,3398000
2023-03-20,29.79,29.96,28.08,28.23,3518400
2023-03-21,28.49,29.53,28.16,29.49,3839900
2023-03-22,29.41,29.45,27.55,27.68,2847300
2023-03-23,28.05,28.77,27.01,27.24,3020900
2023-03-24,27.32,27.34,26.47,26.86,2958600
2023-03-27,27.13,27.7,26.89,27.44,1445300
2023-03-28,27.39,28.57,27.21,28.54,2524600
2023-03-29,28.9,29.4,28.4,29.33,2054800
2023-03-30,29.48,30.14,29.46,29.56,1257700
2023-03-31,29.92,30.88,29.72,30.67,1693000
2023-04-03,30.29,30.77,29.9,30.44,1534200
2023-04-04,30.7,30.91,29.76,30.18,1589700
2023-04-05,29.87,30.19,28.42,29.09,1325900
2023-04-06,28.98,29.73,28.37,29.71,1111600
2023-04-10,29.13,29.6,28.74,29.36,1259800
2023-04-11,29.17,29.55,28.58,28.98,1840600
2023-04-12,29.82,29.96,28.2,28.59,1271000
2023-04-13,29.04,29.74,28.96,29.15,1015900
2023-04-14,28.89,29.21,28.33,28.95,1022000
2023-04-17,29.03,29.37,28.81,29.04,1069800
2023-04-18,29.7,29.82,28.75,29.15,1366400
2023-04-19,28.55,29.42,28.41,29.17,1247200
2023-04-20,28.5,28.96,28.12,28.57,2024800
2023-04-21,28.7,29.0,28.25,28.79,1181700
2023-04-24,28.67,28.95,27.76,28.49,2158600
2023-04-25,28.12,28.15,27.1,27.12,2167500
2023-04-26,27.83,28.27,27.62,28.03,1709800
2023-04-27,28.58,28.88,27.72,27.72,1326200
2023-04-28,27.37,28.02,27.13,27.56,1125900
2023-05-01,27.42,28.2,27.15,27.96,1126900
2023-05-02,27.68,28.0,26.64,26.65,1588200
2023-05-03,26.2,27.01,25.86,25.91,1981400
2023-05-04,26.1,26.3,25.32,25.35,3154400
2023-05-05,25.88,26.43,25.56,26.04,3433500
2023-05-08,26.48,26.8,25.9,26.69,1968000
2023-05-09,26.13,26.79,25.87,26.5,3013900
2023-05-10,29.31,31.78,28.36,30.3,8438400
2023-05-11,30.29,31.25,28.71,28.74,3608800
2023-05-12,28.44,28.66,27.14,27.4,2699800
2023-05-15,27.48,28.57,27.2,28.4,2359700
2023-05-16,28.0,28.26,26.74,26.89,3638100
2023-05-17,26.89,29.48,26.83,29.23,2901600
2023-05-18,29.49,31.19,29.45,31.03,2167100
2023-05-19,32.01,32.01,30.47,31.02,1796200
2023-05-22,31.0,32.18,30.69,32.02,1888500
2023-05-23,31.66,32.61,31.33,31.35,2299000
2023-05-24,30.78,31.4,30.15,30.53,1474400
2023-05-25,30.84,31.15,28.8,29.5,2230000
2023-05-26,30.82,35.58,30.13,34.78,5752400
