Date,Open,High,Low,Close,Volume
2023-01-13,50.73,51.75,50.34,51.48,92300
2023-01-17,51.37,52.22,49.87,49.87,95500
2023-01-18,50.27,51.8,49.97,50.02,84600
2023-01-19,49.5,49.93,48.22,48.68,73900
2023-01-20,49.21,49.23,48.16,49.2,98100
2023-01-23,49.2,50.22,48.92,50.22,71100
2023-01-24,50.11,51.2,49.65,50.8,60500
2023-01-25,50.47,50.96,50.0,50.93,95500
2023-01-26,51.25,51.71,50.49,51.64,78800
2023-01-27,51.42,52.05,51.4,51.92,55400
2023-01-30,51.47,52.06,51.21,51.29,52900
2023-01-31,51.36,54.13,51.36,53.57,202200
2023-02-01,53.59,55.02,52.97,54.48,155100
2023-02-02,54.95,57.54,54.74,57.31,196400
2023-02-03,56.34,57.39,56.22,56.91,140200
2023-02-06,56.33,56.91,55.47,56.23,82300
2023-02-07,56.11,56.8,55.44,56.62,101900
2023-02-08,56.42,56.54,54.96,55.79,65300
2023-02-09,56.06,57.0,55.52,55.92,176400
2023-02-10,55.73,56.12,55.3,55.65,90500
2023-02-13,55.55,57.03,54.82,57.0,79400
2023-02-14,56.53,57.02,54.79,56.11,450100
2023-02-15,55.8,57.02,55.6,56.6,160900
2023-02-16,55.56,56.28,55.4,55.88,174800
2023-02-17,56.06,56.15,54.88,55.52,217000
2023-02-21,54.72,55.1,51.33,52.79,140100
2023-02-22,48.61,53.4,47.17,53.0,405500
2023-02-23,52.71,53.3,51.23,52.38,249400
2023-02-24,51.56,52.66,51.38,52.46,157600
2023-02-27,53.15,54.0,52.85,53.27,218400
2023-02-28,53.07,54.0,53.07,53.41,285500
2023-03-01,53.52,54.35,53.43,53.44,165600
2023-03-02,53.1,54.01,52.53,53.48,133700
2023-03-03,53.61,54.3,52.97,54.0,171000
2023-03-06,54.23,54.23,50.83,52.32,301000
2023-03-07,52.35,52.41,51.22,51.88,162500
2023-03-08,52.13,52.58,51.5,52.54,159400
2023-03-09,52.54,52.63,50.9,50.9,155700
2023-03-10,50.83,50.83,48.85,49.44,182600
2023-03-13,49.13,49.13,47.0,47.34,126500
2023-03-14,49.1,49.68,47.8,48.46,166600
2023-03-15,47.05,48.8,46.14,47.38,177900
2023-03-16,46.76,48.92,46.36,48.5,145200
2023-03-17,47.84,47.84,46.25,46.47,553600
2023-03-20,47.19,48.17,46.86,46.87,128800
2023-03-21,47.84,48.98,47.71,47.91,140800
2023-03-22,47.91,48.26,46.67,46.77,133300
2023-03-23,47.07,47.5,45.58,45.97,103300
2023-03-24,45.36,46.54,44.98,46.43,124800
2023-03-27,47.19,48.49,46.41,47.32,100300
2023-03-28,47.32,48.16,47.22,47.72,124500
2023-03-29,48.03,48.75,47.62,48.09,100100
2023-03-30,48.52,48.67,47.48,47.57,93200
2023-03-31,48.04,48.65,47.93,48.5,627000
2023-04-03,48.6,49.24,47.69,48.69,237300
2023-04-04,48.89,48.89,46.33,46.52,134900
2023-04-05,46.17,46.57,45.73,46.41,125700
2023-04-06,46.33,46.55,45.77,46.43,107300
2023-04-10,46.52,47.81,46.32,47.29,155600
2023-04-11,47.76,48.0,47.17,47.5,154400
2023-04-12,47.93,48.52,47.8,47.92,350300
2023-04-13,47.97,48.15,47.23,48.02,159100
2023-04-14,48.18,49.35,47.36,47.58,180500
2023-04-17,48.07,49.19,48.07,48.6,465000
2023-04-18,48.7,49.03,48.23,48.43,166100
2023-04-19,48.1,48.92,48.1,48.58,227000
2023-04-20,48.39,49.33,48.12,49.26,269200
2023-04-21,49.28,49.63,48.95,49.28,136000
2023-04-24,49.35,49.76,49.03,49.66,250500
2023-04-25,49.16,49.52,48.93,49.29,183300
2023-04-26,49.07,49.16,48.01,48.4,169500
2023-04-27,48.52,49.68,48.52,49.66,130400
2023-04-28,49.64,50.76,48.91,50.04,190300
2023-05-01,50.0,50.59,49.98,50.2,122500
2023-05-02,49.87,50.85,48.77,49.93,229300
2023-05-03,50.64,54.69,50.12,54.33,226000
2023-05-04,54.33,54.67,52.0,52.85,194400
2023-05-05,53.54,54.56,52.71,54.35,169000
2023-05-08,54.52,54.62,53.0,53.62,86700
2023-05-09,53.76,55.33,53.41,55.0,142200
2023-05-10,55.85,55.85,54.26,55.31,152800
2023-05-11,54.75,55.15,54.32,54.63,79000
2023-05-12,54.85,55.19,53.68,54.41,93100
2023-05-15,54.53,55.52,54.14,55.36,93300
2023-05-16,54.84,54.84,54.19,54.73,80900
2023-05-17,55.3,56.25,54.66,55.95,94400
2023-05-18,55.71,57.04,55.58,56.83,85400
2023-05-19,57.69,57.69,56.09,57.16,82300
2023-05-22,57.34,57.73,56.44,57.15,92600
2023-05-23,56.69,57.22,56.44,56.54,113900
2023-05-24,56.43,56.43,54.2,54.71,121600
2023-05-25,54.4,55.41,53.73,54.66,81800
2023-05-26,54.37,55.15,53.98,54.91,80400
2023-05-30,55.08,55.31,54.54,55.14,106900
2023-05-31,55.0,55.11,52.03,52.3,181900
2023-06-01,52.37,53.22,51.36,53.09,142300
2023-06-02,53.91,57.0,53.8,56.77,126400
2023-06-05,56.23,56.23,54.26,56.1,136000
2023-06-06,55.93,58.71,55.93,58.57,135500
2023-06-07,59.06,60.54,58.66,60.3,165900
2023-06-08,59.81,60.23,59.28,59.91,93400
2023-06-09,59.64,59.64,58.25,58.62,129600
2023-06-12,58.83,59.58,58.29,58.98,105600
2023-06-13,59.16,60.19,59.01,59.24,176200
2023-06-14,59.51,59.56,57.35,57.6,189800
2023-06-15,57.49,58.74,56.09,58.53,153800
2023-06-16,58.55,58.62,57.28,58.12,623500
2023-06-20,58.12,59.72,57.83,58.84,131000
2023-06-21,58.38,59.56,58.38,58.97,85300
2023-06-22,58.79,59.24,57.64,58.49,96000
2023-06-23,57.72,58.44,57.28,58.1,800100
2023-06-26,58.09,59.75,58.05,58.93,119600
2023-06-27,59.19,61.42,59.19,60.77,168600
2023-06-28,60.8,61.06,59.96,60.18,204900
2023-06-29,60.45,62.39,60.45,62.16,125200
2023-06-30,62.82,63.25,62.05,62.92,132400
2023-07-03,62.46,63.14,61.44,61.94,71100
2023-07-05,61.42,62.0,60.12,61.06,105900
2023-07-06,60.1,60.54,59.11,59.56,121200
2023-07-07,59.85,60.56,59.37,59.47,128800
2023-07-10,59.53,60.74,59.53,60.39,106200
2023-07-11,60.56,61.08,59.4,60.22,135400
2023-07-12,61.51,62.56,60.97,61.82,115300
2023-07-13,61.84,62.66,61.64,62.16,93700
2023-07-14,61.96,62.3,60.92,61.83,139400
2023-07-17,61.84,63.4,61.84,62.88,181400
2023-07-18,62.95,63.84,62.95,63.47,128400
2023-07-19,63.59,63.89,62.81,63.85,133500
2023-07-20,64.02,64.4,62.85,63.62,110300
2023-07-21,64.08,64.08,62.07,62.39,152300
2023-07-24,62.39,63.17,62.01,62.37,102400
2023-07-25,62.09,63.62,61.84,62.92,77700
2023-07-26,62.68,63.76,62.68,63.58,70700
2023-07-27,64.09,64.34,62.8,63.0,89900
2023-07-28,63.53,63.67,62.36,63.45,102400
2023-07-31,63.83,65.0,63.55,64.67,128800
2023-08-01,64.4,66.43,64.18,66.28,164800
2023-08-02,72.0,74.85,70.06,72.81,421400
2023-08-03,73.0,73.3,71.36,71.77,177800
2023-08-04,71.79,73.45,70.74,73.38,132000
2023-08-07,73.55,74.4,72.52,74.13,197100
2023-08-08,73.32,73.99,71.65,73.19,129600
2023-08-09,72.92,73.4,72.06,72.87,118500
2023-08-10,73.14,73.33,71.42,72.55,104300
2023-08-11,72.7,72.87,72.09,72.27,97400
2023-08-14,72.21,72.49,71.3,72.42,200400
2023-08-15,72.56,73.32,72.27,73.24,153400
2023-08-16,73.2,74.13,72.41,72.58,107100
2023-08-17,72.6,72.93,70.21,70.42,107000
2023-08-18,69.85,70.8,69.85,70.56,165700
2023-08-21,70.56,71.79,70.44,70.89,141900
2023-08-22,71.09,71.88,70.68,71.4,177900
2023-08-23,71.65,73.54,71.6,72.52,238000
2023-08-24,72.33,72.57,71.16,71.5,168000
2023-08-25,71.8,72.53,70.75,71.91,156100
2023-08-28,72.23,72.98,71.83,72.59,245400
2023-08-29,72.77,74.75,72.14,74.37,372700
2023-08-30,74.36,76.03,73.25,75.23,239100
2023-08-31,75.5,75.81,74.47,75.03,535700
2023-09-01,75.98,77.1,75.49,76.4,144200
2023-09-05,75.66,75.81,71.3,72.72,286600
2023-09-06,73.1,74.19,71.92,72.51,161500
2023-09-07,72.43,72.47,71.32,71.8,153400
2023-09-08,71.79,72.32,71.18,71.56,170800
2023-09-11,71.9,72.24,71.21,71.31,112600
2023-09-12,71.13,71.61,70.69,70.88,151800
2023-09-13,70.75,71.4,68.74,69.85,157600
2023-09-14,70.54,71.27,70.01,70.67,135800
2023-09-15,71.15,71.5,69.18,69.93,920700
2023-09-18,69.83,71.09,69.83,69.93,143500
2023-09-19,69.94,70.78,69.54,70.17,110100
2023-09-20,70.47,71.16,69.61,69.61,69300
2023-09-21,69.02,69.02,67.89,68.12,132400
2023-09-22,68.12,68.55,67.29,67.36,95600
2023-09-25,67.16,68.5,67.16,67.72,110200
2023-09-26,67.18,67.91,66.45,66.46,113700
2023-09-27,67.1,68.11,66.66,67.16,141600
2023-09-28,67.31,69.1,67.28,68.72,224100
2023-09-29,69.2,69.47,67.3,67.51,153500
2023-10-02,67.18,67.36,66.33,66.7,161300
2023-10-03,66.65,68.03,65.01,65.14,212500
2023-10-04,65.32,65.67,64.47,65.25,140000
2023-10-05,65.22,65.73,64.5,65.36,225400
2023-10-06,65.14,65.9,64.47,65.06,284900
2023-10-09,64.76,64.99,63.91,64.2,161600
2023-10-10,64.45,65.84,64.1,64.31,371800
