Date,Open,High,Low,Close,Volume
2023-02-21,2.84,2.889,2.69,2.74,1205400
2023-02-22,2.75,2.84,2.64,2.64,1307300
2023-02-23,2.98,3.12,2.63,2.67,2078100
2023-02-24,2.62,2.645,2.4,2.43,1818500
2023-02-27,2.44,2.48,2.3,2.35,1476100
2023-02-28,2.32,2.41,2.32,2.35,1200900
2023-03-01,2.32,2.36,2.25,2.28,1304200
2023-03-02,2.25,2.36,2.202,2.34,1382700
2023-03-03,2.36,2.48,2.32,2.45,970500
2023-03-06,2.45,2.56,2.375,2.39,1000100
2023-03-07,2.38,2.42,2.22,2.25,961200
2023-03-08,2.32,2.45,2.23,2.42,1310000
2023-03-09,2.4,2.565,2.36,2.38,1424400
2023-03-10,2.33,2.33,2.12,2.13,1423800
2023-03-13,2.11,2.14,2.02,2.07,1984700
2023-03-14,2.07,2.22,2.07,2.12,1504300
2023-03-15,2.05,2.16,2.05,2.14,1183900
2023-03-16,2.14,2.18,2.055,2.12,1255700
2023-03-17,2.03,2.1,1.915,1.92,4170900
2023-03-20,1.71,1.87,1.57,1.75,3255900
2023-03-21,1.8,1.94,1.8,1.875,1325300
2023-03-22,1.88,1.88,1.65,1.655,1583800
2023-03-23,1.71,1.995,1.7,1.75,2204000
2023-03-24,1.71,1.785,1.7,1.76,774200
2023-03-27,1.81,1.85,1.7,1.83,1115400
2023-03-28,1.8,1.84,1.75,1.75,789300
2023-03-29,1.8,1.84,1.725,1.79,874600
2023-03-30,1.84,1.87,1.735,1.75,721300
2023-03-31,1.76,1.905,1.76,1.88,1011200
2023-04-03,1.87,1.93,1.745,1.76,1021800
2023-04-04,1.75,1.78,1.61,1.67,1509600
2023-04-05,1.65,1.695,1.579,1.66,1564700
2023-04-06,1.66,1.825,1.61,1.77,1387100
2023-04-10,1.76,1.89,1.72,1.89,847400
2023-04-11,1.88,1.92,1.83,1.84,2370200
2023-04-12,1.88,2.06,1.88,2.01,2370000
2023-04-13,2.06,2.11,1.88,1.9,2120500
2023-04-14,1.9,1.915,1.74,1.79,1125300
2023-04-17,1.82,2.26,1.78,2.24,4267000
2023-04-18,2.21,2.22,2.0,2.17,2810500
2023-04-19,2.14,2.17,1.89,1.92,1775800
2023-04-20,1.91,2.06,1.84,1.88,2657400
2023-04-21,1.87,1.885,1.72,1.78,6889100
2023-04-24,1.72,1.75,1.51,1.52,2827100
2023-04-25,1.52,1.58,1.4,1.435,3085400
2023-04-26,1.43,1.5,1.4,1.45,1300800
2023-04-27,1.41,1.51,1.39,1.49,1295100
2023-04-28,1.47,1.57,1.45,1.46,1237600
2023-05-01,1.44,1.48,1.335,1.36,1611100
2023-05-02,1.35,1.375,1.28,1.32,1875300
2023-05-03,1.33,1.43,1.32,1.33,1557300
2023-05-04,1.32,1.36,1.3,1.31,1413200
2023-05-05,1.34,1.44,1.33,1.35,1200300
2023-05-08,1.4,1.455,1.35,1.39,1376700
2023-05-09,1.4,1.405,1.31,1.35,1400300
2023-05-10,1.3,1.35,1.17,1.195,1940800
2023-05-11,1.24,1.25,1.09,1.11,1608100
2023-05-12,1.1,1.14,1.05,1.13,1304500
2023-05-15,1.13,1.14,1.06,1.08,1440000
2023-05-16,1.08,1.19,1.075,1.13,972400
2023-05-17,1.15,1.24,1.1,1.18,1223900
2023-05-18,1.17,1.24,1.15,1.225,893600
2023-05-19,1.21,1.25,1.12,1.13,824500
2023-05-22,1.15,1.55,1.13,1.44,4466600
2023-05-23,1.43,1.65,1.4,1.41,3730000
2023-05-24,1.41,1.47,1.315,1.34,1353400
2023-05-25,1.34,1.34,1.22,1.27,1129700
2023-05-26,1.25,1.415,1.215,1.37,1738900
2023-05-30,1.38,1.61,1.375,1.55,2390000
2023-05-31,1.55,1.6,1.43,1.56,2261400
2023-06-01,1.54,1.635,1.46,1.59,1551700
2023-06-02,1.59,1.8,1.59,1.76,1745500
2023-06-05,1.78,1.78,1.64,1.71,1705300
2023-06-06,1.75,1.8,1.65,1.69,1597200
2023-06-07,1.7,1.75,1.61,1.75,1297800
2023-06-08,1.72,1.72,1.575,1.615,1035100
2023-06-09,1.6,1.7,1.55,1.55,908000
2023-06-12,1.55,1.745,1.52,1.71,1753000
2023-06-13,1.73,2.065,1.688,2.04,4925200
2023-06-14,2.06,2.16,1.99,2.07,2664600
2023-06-15,2.04,2.16,1.96,2.13,1707100
2023-06-16,2.16,2.17,2.04,2.13,6954200
2023-06-20,2.15,2.169,1.86,1.87,1888700
2023-06-21,1.87,1.9,1.77,1.84,1208600
2023-06-22,1.81,1.9,1.74,1.88,1720600
2023-06-23,1.84,1.95,1.815,1.91,4189200
2023-06-26,1.89,1.98,1.83,1.93,1458800
2023-06-27,1.92,2.16,1.89,2.09,1886500
2023-06-28,2.06,2.2,2.02,2.15,1254400
2023-06-29,2.15,2.29,1.851,1.96,4771100
2023-06-30,1.99,2.94,1.99,2.72,13139600
2023-07-03,2.7,2.7,2.42,2.63,2953800
2023-07-05,2.61,2.89,2.435,2.445,2420200
2023-07-06,2.36,2.42,2.16,2.18,1713400
2023-07-07,2.2,2.58,2.2,2.465,2307900
2023-07-10,2.44,2.585,2.37,2.58,1805800
2023-07-11,2.63,2.69,2.44,2.57,1713000
2023-07-12,2.65,2.729,2.481,2.56,1946400
2023-07-13,2.59,2.74,2.515,2.67,1391300
2023-07-14,2.68,2.68,2.42,2.47,1679300
2023-07-17,2.46,2.56,2.355,2.5,1802100
2023-07-18,2.49,2.76,2.471,2.69,2467400
2023-07-19,2.71,3.1,2.71,2.89,3414600
2023-07-20,2.86,2.87,2.58,2.63,1993100
2023-07-21,2.69,2.7,2.5,2.53,3763200
2023-07-24,2.55,2.7,2.535,2.57,1417300
2023-07-25,2.37,2.568,2.2,2.45,2509900
2023-07-26,2.41,2.53,2.35,2.41,1234200
2023-07-27,2.44,2.51,2.24,2.26,1420600
2023-07-28,2.3,2.37,2.25,2.26,985900
2023-07-31,2.27,2.42,2.26,2.32,1030500
2023-08-01,2.3,2.305,2.21,2.24,1261100
2023-08-02,2.21,2.229,2.07,2.12,898000
2023-08-03,2.135,2.14,1.995,2.03,1168500
2023-08-04,2.04,2.12,2.01,2.04,1524800
2023-08-07,2.09,2.13,1.95,2.13,922400
2023-08-08,2.03,2.27,2.006,2.26,1889200
2023-08-09,2.5,2.6,2.225,2.42,2834100
2023-08-10,2.48,2.5,2.13,2.17,1781300
2023-08-11,2.14,2.295,2.085,2.27,1080200
2023-08-14,2.23,2.24,2.14,2.22,939600
2023-08-15,2.2,2.31,2.17,2.22,865000
2023-08-16,2.22,2.59,2.2,2.44,3033200
2023-08-17,2.42,2.53,2.27,2.31,1247100
2023-08-18,2.27,2.38,2.244,2.255,822500
2023-08-21,2.31,2.31,2.1,2.22,1456400
2023-08-22,2.22,2.31,2.11,2.16,907700
2023-08-23,2.17,2.45,2.1,2.43,1850800
2023-08-24,2.42,2.45,2.25,2.33,1296300
2023-08-25,2.34,2.44,2.24,2.39,721100
2023-08-28,2.38,2.54,2.38,2.44,1069200
2023-08-29,2.42,2.54,2.36,2.5,806800
2023-08-30,2.48,2.52,2.263,2.41,1773400
2023-08-31,2.41,2.515,2.37,2.5,1159800
2023-09-01,2.5,2.66,2.345,2.65,2188800
2023-09-05,2.64,2.64,2.315,2.37,1586100
2023-09-06,2.35,2.42,2.23,2.28,1070700
2023-09-07,2.2,2.22,2.125,2.15,1743500
2023-09-08,2.16,2.17,1.85,1.875,1803200
2023-09-11,1.88,1.91,1.66,1.72,1751600
2023-09-12,1.7,1.74,1.64,1.69,1080500
2023-09-13,1.67,1.67,1.5,1.5,1811900
2023-09-14,1.54,1.65,1.52,1.57,1726500
2023-09-15,1.55,1.6,1.505,1.54,4362500
2023-09-18,1.51,1.56,1.44,1.48,1553100
2023-09-19,1.66,2.1,1.6,2.01,18089300
2023-09-20,1.99,2.31,1.93,2.08,5594800
2023-09-21,2.04,2.167,1.99,2.14,2406500
2023-09-22,2.17,2.32,2.15,2.2,1708400
2023-09-25,2.2,2.22,2.07,2.16,1128300
2023-09-26,2.13,2.215,2.065,2.11,1344300
2023-09-27,2.09,2.19,2.07,2.15,994300
2023-09-28,2.14,2.32,2.115,2.29,1350700
2023-09-29,2.32,2.42,2.27,2.35,1608600
2023-10-02,2.34,2.34,2.165,2.19,1160300
2023-10-03,2.16,2.22,1.98,1.99,1134700
2023-10-04,2.0,2.05,1.69,1.695,2430400
