Date,Open,High,Low,Close,Volume
2023-01-13,6.4,6.82,6.4,6.79,4427500
2023-01-17,6.78,6.91,6.68,6.76,5072600
2023-01-18,6.88,7.047,6.63,6.79,6362300
2023-01-19,6.69,6.87,6.625,6.87,4685800
2023-01-20,6.99,7.17,6.9,7.08,4751000
2023-01-23,7.12,7.19,7.0,7.1,3582200
2023-01-24,7.07,7.22,6.94,6.97,2533500
2023-01-25,6.85,7.02,6.69,6.93,3342000
2023-01-26,7.0,7.13,6.865,7.08,4752800
2023-01-27,7.07,7.11,6.885,7.02,3190400
2023-01-30,6.87,6.98,6.675,6.71,6027800
2023-01-31,6.75,6.825,6.63,6.81,4761000
2023-02-01,6.805,7.12,6.68,7.06,5017500
2023-02-02,7.24,7.48,7.16,7.47,5617900
2023-02-03,7.28,7.92,7.2,7.66,8865800
2023-02-06,7.56,7.68,7.305,7.5,4679100
2023-02-07,7.46,7.66,7.35,7.44,4730700
2023-02-08,7.4,7.46,7.275,7.35,2628700
2023-02-09,7.48,7.55,7.14,7.15,2801400
2023-02-10,7.09,7.09,6.8,6.83,3417800
2023-02-13,6.82,7.155,6.77,6.99,3204800
2023-02-14,6.88,7.14,6.761,6.89,4300700
2023-02-15,6.025,6.26,5.162,5.555,34558100
2023-02-16,5.66,5.86,5.35,5.77,10473600
2023-02-17,5.75,5.75,5.31,5.32,10994500
2023-02-21,5.28,5.34,5.1,5.11,7113700
2023-02-22,5.1,5.22,5.01,5.1,5754000
2023-02-23,5.08,5.2,4.96,5.08,5196700
2023-02-24,5.1,5.25,4.975,5.18,7875800
2023-02-27,5.32,5.375,5.195,5.21,7136600
2023-02-28,5.2,5.265,5.06,5.06,7813800
2023-03-01,5.05,5.101,4.88,4.97,7001800
2023-03-02,4.87,4.955,4.8,4.91,5534100
2023-03-03,5.04,5.4,4.97,5.31,6411000
2023-03-06,5.31,5.39,5.125,5.18,4660700
2023-03-07,5.18,5.365,4.98,5.02,6946800
2023-03-08,4.89,4.955,4.74,4.86,9901100
2023-03-09,4.88,4.88,4.54,4.57,7287800
2023-03-10,4.55,4.6,4.33,4.5,12574700
2023-03-13,4.42,4.42,4.185,4.2,11522000
2023-03-14,4.33,4.43,4.143,4.2,9294100
2023-03-15,4.06,4.097,3.9,4.02,11625300
2023-03-16,4.06,4.07,3.84,4.02,6624400
2023-03-17,3.94,3.97,3.78,3.88,10455700
2023-03-20,3.92,4.05,3.87,3.92,5675500
2023-03-21,3.99,4.26,3.96,4.18,7914400
2023-03-22,4.18,4.185,3.95,3.96,5636000
