Date,Open,High,Low,Close,Volume
2023-01-13,51.875,54.0,51.375,53.8125,103184
2023-01-17,53.5,55.625,53.5,55.25,70288
2023-01-18,55.5,56.6875,53.6875,54.0625,81056
2023-01-19,53.125,54.1875,53.0625,53.625,56176
2023-01-20,53.875,54.5625,52.375,54.4375,69712
2023-01-23,54.375,55.125,53.625,54.4375,63504
2023-01-24,52.1875,55.75,45.625,54.9375,94048
2023-01-25,54.5,55.625,53.75,55.3125,104352
2023-01-26,55.5,56.375,54.8125,56.25,68432
2023-01-27,56.25,57.6875,56.0625,56.9375,88368
2023-01-30,56.1875,57.5625,55.75,57.1875,81648
2023-01-31,54.5625,58.0,54.5625,58.0,163776
2023-02-01,57.625,59.375,56.8125,58.8125,132800
2023-02-02,59.875,60.9375,59.0625,60.25,127504
2023-02-03,59.125,60.0,58.3125,59.625,125968
2023-02-06,58.6875,59.125,57.0,57.9375,101664
2023-02-07,57.3125,58.75,56.6875,58.375,135888
2023-02-08,58.125,58.25,56.375,56.625,69648
2023-02-09,57.375,57.9375,55.375,55.4375,86000
2023-02-10,55.0,55.3125,54.0625,55.0,104416
2023-02-13,55.125,56.0,54.625,55.5625,70592
2023-02-14,55.0625,56.0625,53.9375,55.5,163728
2023-02-15,54.4375,55.6875,54.4375,55.0,131856
2023-02-16,54.0625,54.1875,53.0625,53.875,149024
2023-02-17,54.0,54.25,52.9375,53.875,146496
2023-02-21,52.4375,52.9375,47.75,47.75,266656
2023-02-22,48.0625,48.8125,47.25,48.75,204688
2023-02-23,49.0,49.875,48.0,49.3125,133456
2023-02-24,48.3125,48.8125,47.5625,48.4375,204112
2023-02-27,49.1875,49.625,48.0625,48.125,122016
2023-02-28,48.3125,48.9375,48.0,48.125,280272
2023-03-01,48.125,48.1875,45.8125,46.0,137184
2023-03-02,45.5625,46.625,44.5,46.625,148032
2023-03-03,47.0625,48.625,46.8125,48.1875,244768
2023-03-06,48.125,48.4375,45.625,45.6875,115056
2023-03-07,45.6875,46.0,43.875,44.625,240384
2023-03-08,44.8125,46.3125,44.75,45.8125,243024
2023-03-09,45.8125,46.3125,44.5625,44.625,215248
2023-03-10,44.5,44.75,41.875,43.125,246352
2023-03-13,42.125,42.9375,41.0625,42.125,436432
2023-03-14,43.875,44.375,42.0625,42.5625,224224
2023-03-15,41.1875,43.3125,40.9375,43.1875,301312
2023-03-16,42.375,44.625,41.75,44.0,231728
2023-03-17,43.1875,43.6875,41.6875,42.125,578432
2023-03-20,42.1875,45.875,42.1875,45.4375,322736
2023-03-21,46.0625,46.8125,45.3125,45.5,199600
2023-03-22,45.375,45.4375,42.6875,42.8125,453536
2023-03-23,42.75,43.875,42.4375,42.8125,282864
2023-03-24,42.25,45.4375,41.75,45.4375,334608
2023-03-27,46.1875,46.6875,45.1875,45.3125,180640
2023-03-28,45.25,45.3125,44.3125,45.125,323392
2023-03-29,46.0,47.0625,45.375,46.75,317712
2023-03-30,47.125,48.0,46.875,47.6875,329536
2023-03-31,28.28,30.2,28.02,29.37,1664300
2023-04-03,29.25,29.32,26.9,28.6,1543100
2023-04-04,28.6,30.29,28.6,29.2,846800
2023-04-05,28.88,29.14,27.33,28.17,1024000
2023-04-06,28.12,29.56,27.98,29.56,766900
2023-04-10,29.31,29.96,28.82,29.74,931800
2023-04-11,29.8,29.91,29.14,29.18,755600
2023-04-12,29.51,29.88,28.67,28.72,715900
2023-04-13,28.76,29.34,28.55,28.65,454000
2023-04-14,28.71,29.34,27.99,28.3,569200
2023-04-17,28.49,29.89,28.28,29.47,428600
2023-04-18,29.48,29.89,28.64,28.92,435200
2023-04-19,28.68,30.0,28.66,29.46,515600
2023-04-20,29.2,29.59,28.56,28.7,483300
2023-04-21,28.7,28.99,28.44,28.84,355400
2023-04-24,28.67,29.56,28.67,29.32,451900
2023-04-25,29.0,29.44,28.15,28.18,297000
2023-04-26,28.15,28.66,27.37,27.44,262300
2023-04-27,27.63,28.2,27.1,27.84,311800
2023-04-28,27.82,28.26,27.46,27.72,262600
2023-05-01,27.4,27.89,26.49,26.82,533300
2023-05-02,26.92,27.28,26.26,26.6,524400
2023-05-03,26.85,27.2,26.35,26.41,326300
2023-05-04,26.17,27.24,26.14,27.12,411600
2023-05-05,27.69,28.3,27.49,28.04,417700
2023-05-08,28.13,28.28,27.63,27.98,269700
2023-05-09,27.64,27.81,26.9,27.4,308600
2023-05-10,27.93,28.32,27.59,27.79,389300
2023-05-11,27.48,28.18,27.27,28.1,319300
2023-05-12,28.21,28.37,27.66,28.37,310300
2023-05-15,28.56,29.11,28.4,28.76,359800
2023-05-16,28.74,28.93,27.66,27.68,411000
2023-05-17,27.87,27.96,26.7,27.56,341100
2023-05-18,27.5,27.5,26.95,27.0,317800
2023-05-19,27.34,27.41,26.81,26.86,369300
2023-05-22,26.64,27.23,26.44,26.46,410500
2023-05-23,26.5,27.0,26.07,26.08,299200
2023-05-24,25.87,26.0,24.8,24.83,307600
2023-05-25,24.72,24.93,23.55,24.05,403500
2023-05-26,24.32,24.79,23.75,24.5,274100
2023-05-30,24.75,25.45,24.69,25.11,250000
2023-05-31,25.18,25.9,25.18,25.82,538400
2023-06-01,26.0,26.54,25.51,25.97,293900
2023-06-02,26.39,26.82,26.24,26.7,312800
2023-06-05,26.35,26.4,24.6,25.01,609000
2023-06-06,25.14,25.79,25.04,25.15,404400
2023-06-07,25.35,26.21,25.21,26.19,357700
2023-06-08,25.9,26.13,25.41,25.95,467500
2023-06-09,25.95,26.16,25.26,25.47,312900
2023-06-12,25.5,25.68,24.75,25.39,397500
2023-06-13,25.34,25.65,24.28,24.3,711600
2023-06-14,24.39,24.75,23.64,23.78,578200
2023-06-15,23.6,23.97,23.12,23.96,578000
2023-06-16,24.15,24.32,23.55,23.85,1772700
2023-06-20,23.72,23.85,23.04,23.58,603400
2023-06-21,23.31,23.63,22.91,23.22,573100
2023-06-22,23.21,23.21,22.39,22.6,520300
2023-06-23,22.34,22.54,22.0,22.32,2009500
2023-06-26,22.41,23.4,22.41,23.11,468100
2023-06-27,23.27,23.64,22.88,22.9,356700
2023-06-28,22.84,23.11,22.58,22.88,315500
2023-06-29,22.67,23.12,22.6,23.03,301500
2023-06-30,23.98,23.98,23.19,23.73,485800
2023-07-03,23.67,24.49,23.67,24.35,244300
2023-07-05,24.17,25.1,23.7,24.72,535100
2023-07-06,24.26,24.74,23.72,24.64,416200
2023-07-07,24.55,25.26,24.55,24.76,394000
2023-07-10,24.66,25.05,24.5,25.01,248800
2023-07-11,25.18,25.54,24.95,25.52,245900
2023-07-12,25.99,26.33,25.8,25.8,266700
2023-07-13,25.82,25.84,25.4,25.71,200500
2023-07-14,25.68,25.7,24.79,24.86,188500
2023-07-17,24.57,24.72,23.74,23.9,304800
2023-07-18,23.98,24.55,23.79,24.25,294800
2023-07-19,24.49,24.94,24.35,24.64,220200
2023-07-20,24.32,24.42,23.8,24.21,221100
2023-07-21,24.38,24.39,24.03,24.09,200900
2023-07-24,24.01,24.52,24.0,24.45,191900
2023-07-25,24.67,25.08,24.39,24.87,390200
2023-07-26,24.89,25.72,24.89,25.25,271000
2023-07-27,25.3,25.52,24.68,24.75,255700
2023-07-28,24.96,25.08,24.59,24.73,211500
2023-07-31,24.61,25.02,24.55,24.73,340900
2023-08-01,24.54,24.73,24.16,24.35,193200
2023-08-02,23.97,24.32,23.21,23.23,333300
2023-08-03,23.18,23.61,22.69,23.21,323300
2023-08-04,23.18,23.65,22.64,22.78,259000
2023-08-07,22.7,23.23,22.56,23.15,214400
2023-08-08,20.76,21.34,20.62,20.83,4296700
2023-08-09,20.77,21.09,20.5,20.52,1000200
2023-08-10,20.82,21.22,20.37,20.4,1142400
2023-08-11,20.21,20.36,19.51,20.01,1100500
2023-08-14,20.03,20.46,19.75,20.43,976300
2023-08-15,20.13,20.92,19.95,20.6,585500
2023-08-16,20.6,20.72,20.11,20.15,451100
2023-08-17,20.0,20.41,19.91,20.1,492600
2023-08-18,19.81,20.13,19.71,20.0,330400
2023-08-21,20.12,20.5,19.92,20.49,655500
2023-08-22,20.59,20.59,20.07,20.37,414500
2023-08-23,20.7,20.88,20.45,20.73,503100
2023-08-24,20.51,20.8,20.4,20.56,333200
2023-08-25,20.68,20.7,20.38,20.53,256400
2023-08-28,20.5,21.1,20.5,20.92,456300
2023-08-29,20.85,21.35,20.73,21.03,537400
2023-08-30,21.0,21.12,20.75,20.98,324600
2023-08-31,21.0,21.34,20.98,21.28,474200
2023-09-01,21.39,21.43,20.88,21.0,740100
2023-09-05,20.88,20.88,19.35,19.35,1599100
2023-09-06,19.35,19.83,18.88,19.15,1079200
2023-09-07,19.11,19.74,18.91,19.67,584900
2023-09-08,19.58,19.83,19.5,19.69,517500
2023-09-11,19.78,19.86,19.09,19.11,378100
2023-09-12,18.95,19.45,18.95,19.28,478800
2023-09-13,19.27,19.69,19.24,19.32,683300
2023-09-14,19.42,20.02,19.42,19.56,546300
2023-09-15,19.49,19.84,19.32,19.36,3563300
2023-09-18,19.21,19.34,18.75,19.31,680500
2023-09-19,19.32,19.93,19.32,19.36,635000
2023-09-20,19.52,19.89,19.37,19.45,330000
2023-09-21,19.3,19.3,18.34,18.36,564400
2023-09-22,18.38,18.54,18.27,18.39,509600
2023-09-25,18.27,18.83,18.1,18.49,460400
2023-09-26,18.27,18.39,17.94,18.05,388600
2023-09-27,18.12,18.35,17.55,17.58,352100
2023-09-28,17.36,17.79,17.3,17.49,664400
2023-09-29,17.76,18.02,17.5,17.8,458600
2023-10-02,17.8,17.8,16.63,17.03,838600
2023-10-03,16.82,17.29,16.48,16.57,641900
2023-10-04,16.78,16.88,16.37,16.82,629800
2023-10-05,16.79,16.82,15.95,16.16,3418100
2023-10-06,15.92,16.34,15.72,16.01,1164100
2023-10-09,15.82,16.43,15.78,16.41,334200
2023-10-10,16.5,17.4,16.43,17.24,671300
2023-10-11,17.44,17.6,17.12,17.23,348700
2023-10-12,17.23,17.23,16.58,16.72,379400
2023-10-13,16.95,17.1,16.23,16.42,428500
2023-10-16,16.6,17.07,16.44,16.93,492700
2023-10-17,16.71,17.11,16.64,16.65,333000
2023-10-18,16.44,16.53,15.71,15.79,325100
2023-10-19,15.69,15.98,15.55,15.6,319900
2023-10-20,15.64,15.87,15.31,15.34,535000
2023-10-23,15.18,15.49,15.0,15.07,544000
2023-10-24,15.24,15.75,15.24,15.71,448400
2023-10-25,15.47,15.51,15.03,15.21,376300
2023-10-26,15.37,15.76,15.37,15.62,285200
2023-10-27,15.73,15.73,15.0,15.12,294700
2023-10-30,15.68,16.41,15.43,16.3,938400
2023-10-31,16.39,16.51,16.08,16.27,425300
2023-11-01,16.0,16.28,15.35,15.88,749700
2023-11-02,16.43,16.77,16.14,16.64,542900
2023-11-03,17.07,18.06,16.95,17.79,613600
2023-11-06,17.79,17.92,17.57,17.65,489200
2023-11-07,17.55,17.64,16.84,17.28,450200
2023-11-08,17.21,17.32,16.77,16.9,318900
2023-11-09,17.15,17.32,16.55,16.61,370500
2023-11-10,16.76,17.06,16.27,16.92,650800
2023-11-13,16.74,16.89,16.45,16.75,493400
2023-11-14,17.82,19.33,17.74,19.16,1408500
2023-11-15,19.13,19.93,19.04,19.38,550100
2023-11-16,19.3,19.45,18.63,18.66,318400
2023-11-17,18.86,18.86,18.4,18.57,444700
2023-11-20,18.75,18.93,18.54,18.89,504800
2023-11-21,18.64,18.82,18.17,18.77,474400
2023-11-22,19.12,19.51,19.04,19.34,657900
2023-11-24,19.44,19.69,19.22,19.49,448000
2023-11-27,19.31,19.76,19.17,19.6,409900
2023-11-28,19.36,19.63,19.22,19.3,411000
2023-11-29,19.56,19.98,19.53,19.78,352400
2023-11-30,20.0,20.0,19.5,19.69,706100
