Date,Open,High,Low,Close,Volume
2023-01-13,49.34,49.57,48.06,49.32,193800
2023-01-17,47.62,49.4,47.55,48.5,224400
2023-01-18,48.88,50.39,47.93,48.11,244200
2023-01-19,47.45,48.7,46.51,48.67,280900
2023-01-20,49.01,49.26,48.12,49.25,262600
2023-01-23,49.38,49.79,48.7,48.86,215900
2023-01-24,48.49,49.04,47.86,48.34,174000
2023-01-25,48.35,49.64,47.7,49.6,103700
2023-01-26,49.83,51.05,49.16,51.0,161700
2023-01-27,51.07,51.96,49.67,50.86,291700
2023-01-30,50.37,51.81,50.37,51.32,193200
2023-01-31,51.5,54.12,51.5,53.71,373100
2023-02-01,53.44,56.25,53.31,55.66,322900
2023-02-02,56.0,59.47,56.0,58.23,335000
2023-02-03,57.26,60.11,56.58,58.96,251100
2023-02-06,58.92,59.52,57.69,58.14,202900
2023-02-07,57.9,58.06,56.73,57.8,208900
2023-02-08,57.38,58.28,56.7,57.74,171700
2023-02-09,58.59,59.35,57.78,58.11,243200
2023-02-10,58.02,58.73,57.15,58.42,189200
2023-02-13,58.35,60.31,58.01,60.3,274200
2023-02-14,59.95,61.6,59.42,61.29,285400
2023-02-15,60.5,62.26,59.61,60.64,439100
2023-02-16,58.46,59.67,57.57,58.99,421500
2023-02-17,58.83,60.42,56.11,60.0,909600
2023-02-21,57.69,57.82,53.85,55.26,921800
2023-02-22,55.69,59.04,55.5,57.83,640400
2023-02-23,58.0,58.15,56.83,57.13,625800
2023-02-24,55.85,57.6,55.63,56.27,418600
2023-02-27,56.89,57.97,56.55,56.73,414200
2023-02-28,56.79,58.0,56.79,56.89,509300
2023-03-01,56.56,58.38,56.56,57.78,440800
2023-03-02,57.37,58.76,57.25,58.46,356600
2023-03-03,58.74,59.97,58.56,59.52,266600
2023-03-06,59.33,59.78,58.76,58.84,417800
2023-03-07,58.73,59.8,58.41,58.91,287000
2023-03-08,59.15,60.2,58.62,58.65,406000
2023-03-09,58.81,59.04,57.13,57.42,464500
2023-03-10,56.83,56.83,53.93,55.98,604700
2023-03-13,54.34,55.5,53.28,53.48,722600
2023-03-14,54.75,56.06,52.9,53.38,552900
2023-03-15,51.91,52.43,49.39,51.87,623000
2023-03-16,50.75,51.66,49.56,51.31,467700
2023-03-17,50.45,50.58,49.04,49.53,1809200
2023-03-20,50.27,52.33,50.03,50.79,414300
2023-03-21,52.18,53.36,51.08,51.08,592300
2023-03-22,51.62,52.22,50.47,50.5,330200
2023-03-23,50.76,51.54,49.08,50.23,517100
2023-03-24,49.77,51.56,49.1,51.53,437900
2023-03-27,52.3,52.57,51.62,52.26,295300
2023-03-28,52.06,53.08,51.83,52.23,258000
2023-03-29,52.68,52.74,51.54,52.6,173100
2023-03-30,53.12,53.73,52.76,53.06,202100
2023-03-31,53.55,54.45,52.9,54.34,253900
2023-04-03,54.24,54.97,53.38,53.84,227900
2023-04-04,54.28,54.5,52.2,52.36,197000
2023-04-05,51.74,51.83,50.0,50.82,262600
2023-04-06,50.75,50.98,50.18,50.62,284000
2023-04-10,50.36,51.58,50.02,50.98,349800
2023-04-11,51.8,53.87,51.37,53.32,266000
2023-04-12,53.89,53.92,52.09,52.56,177500
2023-04-13,53.05,53.37,52.06,52.95,140000
2023-04-14,53.45,54.32,53.43,54.19,234200
2023-04-17,54.0,54.05,52.66,53.17,246700
2023-04-18,53.62,54.44,53.29,53.56,219800
2023-04-19,52.51,53.6,50.85,53.44,293900
2023-04-20,52.76,53.57,51.63,52.61,361800
2023-04-21,52.72,53.3,51.43,53.01,178800
2023-04-24,52.81,53.91,52.81,52.88,160600
2023-04-25,52.5,53.35,51.33,51.84,443300
2023-04-26,51.89,52.7,51.4,52.17,436300
2023-04-27,48.11,48.5,45.11,46.07,1046500
2023-04-28,46.0,46.45,44.26,44.52,442200
2023-05-01,43.97,46.5,43.46,46.1,575500
2023-05-02,45.76,45.83,42.4,43.41,441100
2023-05-03,43.48,43.73,41.69,41.75,409200
2023-05-04,41.34,41.5,39.13,39.98,390100
2023-05-05,40.59,41.59,39.95,40.61,282800
2023-05-08,40.83,41.3,39.5,40.22,242600
2023-05-09,39.83,39.96,39.03,39.56,199200
2023-05-10,40.07,40.99,39.76,40.66,250500
2023-05-11,40.0,40.8,40.0,40.58,349800
2023-05-12,40.81,41.34,40.13,40.69,349100
2023-05-15,40.82,40.85,39.51,40.6,211000
2023-05-16,39.9,39.9,39.02,39.07,206700
2023-05-17,39.73,40.74,39.33,40.52,299900
2023-05-18,40.55,41.46,40.43,41.43,326400
2023-05-19,41.59,41.82,40.27,40.52,349900
2023-05-22,40.8,41.22,40.26,40.86,309200
2023-05-23,40.88,43.97,40.42,42.44,687900
2023-05-24,42.49,42.79,41.0,41.75,285200
2023-05-25,41.6,42.0,40.64,41.73,277000
2023-05-26,41.87,42.17,41.33,41.8,209400
2023-05-30,42.29,42.97,41.83,42.84,318100
2023-05-31,41.72,42.66,40.77,41.44,543200
2023-06-01,41.82,41.82,41.02,41.26,255500
2023-06-02,41.97,43.79,41.91,43.61,354800
2023-06-05,43.25,43.39,41.67,42.5,227300
2023-06-06,42.29,45.11,42.17,44.67,229700
2023-06-07,45.38,46.84,44.89,46.41,265600
2023-06-08,46.38,46.99,45.24,46.69,178800
2023-06-09,46.73,46.73,45.39,45.76,220500
2023-06-12,45.94,46.36,45.27,46.01,189800
2023-06-13,46.23,47.75,45.84,46.43,258800
