Date,Open,High,Low,Close,Volume
2023-01-13,347.85,361.58,346.2,357.66,136100
2023-01-17,355.15,371.32,353.96,359.35,171700
2023-01-18,360.37,364.81,346.81,348.14,175800
2023-01-19,347.97,351.42,341.36,348.57,103900
2023-01-20,348.02,358.24,345.63,354.83,117100
2023-01-23,352.7,373.55,352.7,364.76,113300
2023-01-24,366.43,379.0,363.73,378.81,101000
2023-01-25,373.59,382.88,370.22,381.9,97800
2023-01-26,385.86,390.92,375.22,389.92,137200
2023-01-27,386.51,393.81,384.57,392.29,98800
2023-01-30,388.8,394.09,377.02,377.47,121200
2023-01-31,377.47,388.79,374.21,388.61,107900
2023-02-01,391.23,406.27,390.38,401.73,159100
2023-02-02,404.83,420.5,400.21,417.0,235700
2023-02-03,410.11,414.22,400.51,402.99,146500
2023-02-06,399.26,402.23,393.69,395.07,144800
2023-02-07,391.54,391.54,376.05,377.12,202000
2023-02-08,375.09,378.47,368.07,369.94,144700
2023-02-09,372.11,373.06,359.01,364.67,172700
2023-02-10,363.94,363.94,355.46,359.98,126400
2023-02-13,361.85,376.16,358.12,375.0,250000
2023-02-14,373.27,388.97,371.0,385.65,235900
2023-02-15,387.49,396.2,384.17,392.91,260700
2023-02-16,340.07,348.8,330.33,335.01,791500
2023-02-17,330.95,340.13,324.18,329.04,373000
2023-02-21,331.81,334.71,322.54,324.78,262600
2023-02-22,324.8,335.31,324.8,334.09,181200
2023-02-23,334.2,338.0,329.65,336.03,155200
2023-02-24,330.46,334.5,325.45,332.03,114700
2023-02-27,333.78,334.46,324.84,328.2,95700
2023-02-28,328.41,332.62,323.32,323.8,93800
2023-03-01,321.33,322.88,317.09,318.59,151200
2023-03-02,316.11,319.85,313.87,317.23,74300
2023-03-03,317.58,322.0,315.36,319.14,100400
2023-03-06,317.44,320.49,316.8,319.02,95400
2023-03-07,316.58,321.1,316.0,318.76,96400
2023-03-08,317.12,328.99,316.32,328.14,183700
2023-03-09,328.75,333.62,322.95,323.1,206600
2023-03-10,322.19,322.58,305.12,311.97,168300
2023-03-13,309.03,311.16,303.18,306.13,156300
2023-03-14,312.06,312.11,304.03,309.74,137700
2023-03-15,306.03,319.03,306.02,315.48,132000
2023-03-16,312.99,316.51,310.77,315.16,91100
2023-03-17,314.33,314.33,307.79,310.21,168500
2023-03-20,309.6,318.77,309.46,313.95,108000
2023-03-21,316.06,320.98,314.5,319.52,111200
2023-03-22,321.0,329.34,317.99,318.13,145100
2023-03-23,319.5,326.03,319.5,320.94,117300
2023-03-24,321.28,328.41,319.0,325.39,105000
2023-03-27,326.93,328.41,323.65,327.51,118800
2023-03-28,327.21,327.8,324.06,324.07,86300
2023-03-29,326.15,328.89,324.9,326.19,93000
2023-03-30,327.0,329.12,324.47,327.08,120300
2023-03-31,329.62,331.6,326.32,328.7,92500
2023-04-03,327.13,331.71,325.82,328.21,111900
2023-04-04,329.79,330.06,321.02,321.8,110100
2023-04-05,321.35,321.54,318.07,320.19,105900
2023-04-06,319.91,323.24,316.38,319.27,94800
2023-04-10,318.39,325.73,317.65,324.4,109200
2023-04-11,325.26,326.47,322.97,325.19,129400
2023-04-12,326.61,326.61,315.18,317.64,164200
2023-04-13,319.43,321.97,314.29,319.74,167000
2023-04-14,319.11,325.05,319.11,323.13,85100
2023-04-17,323.03,325.4,319.74,325.23,76600
2023-04-18,325.71,325.71,316.49,320.14,82800
2023-04-19,319.41,321.87,319.06,321.53,85800
2023-04-20,319.74,321.63,318.65,320.1,64300
2023-04-21,321.76,322.85,319.37,322.16,91800
2023-04-24,321.14,326.05,319.27,320.42,110500
2023-04-25,319.0,320.29,314.52,315.29,97900
2023-04-26,315.07,315.16,309.98,311.89,150000
2023-04-27,315.25,324.71,314.81,316.16,198400
2023-04-28,310.37,328.5,308.73,317.51,294700
2023-05-01,317.17,323.77,315.15,316.44,131200
2023-05-02,314.64,315.77,309.57,311.31,109600
2023-05-03,312.19,313.31,304.49,304.59,140300
2023-05-04,305.47,305.47,300.68,304.34,137400
2023-05-05,306.43,310.82,304.96,310.31,95800
2023-05-08,308.4,312.1,305.88,312.09,113200
2023-05-09,309.06,312.32,303.17,303.99,97200
2023-05-10,306.0,311.45,304.63,307.22,98800
2023-05-11,307.0,307.82,303.33,306.68,75500
2023-05-12,306.33,309.25,306.04,308.14,78800
2023-05-15,308.18,313.37,306.69,313.27,82400
2023-05-16,312.32,325.19,310.76,319.16,164500
2023-05-17,319.38,322.91,315.46,322.41,126600
2023-05-18,322.21,328.18,321.5,326.2,88800
2023-05-19,327.72,328.99,322.8,325.57,105800
2023-05-22,326.38,335.98,326.38,330.75,162200
2023-05-23,331.32,334.64,329.95,330.68,65900
2023-05-24,329.62,329.65,323.02,327.3,83300
2023-05-25,327.04,327.04,316.89,317.22,86600
2023-05-26,316.8,320.04,316.57,317.85,76900
2023-05-30,329.95,343.45,327.05,334.93,299400
2023-05-31,336.67,342.33,333.79,337.5,152700
2023-06-01,338.0,338.0,331.34,334.5,105200
2023-06-02,335.36,342.82,335.36,342.66,104000
2023-06-05,341.35,342.69,338.56,340.11,151300
2023-06-06,340.2,344.03,334.7,334.73,91100
2023-06-07,335.87,335.87,331.84,332.38,81800
2023-06-08,332.31,335.23,330.2,333.22,76200
2023-06-09,333.7,335.29,328.46,328.49,71000
2023-06-12,331.29,333.09,326.44,330.12,122100
2023-06-13,329.97,336.28,328.74,334.61,117600
2023-06-14,334.81,337.33,332.37,335.21,65900
2023-06-15,335.9,337.01,331.82,336.18,77800
2023-06-16,338.26,338.93,331.37,332.84,112800
2023-06-20,332.2,332.25,325.24,325.52,93500
2023-06-21,325.15,325.54,319.27,324.22,103000
2023-06-22,324.62,324.62,320.05,321.55,67100
2023-06-23,318.8,319.24,312.25,312.7,191700
2023-06-26,313.06,321.88,313.06,319.22,158000
2023-06-27,318.23,319.88,314.45,315.71,96300
2023-06-28,314.0,314.55,308.25,308.5,126700
2023-06-29,308.0,311.51,307.21,309.66,122400
2023-06-30,310.3,311.09,306.81,308.44,155600
2023-07-03,307.55,314.07,307.55,309.54,61400
