Date,Open,High,Low,Close,Volume
2023-01-13,13.2,13.26,13.06,13.12,1135700
2023-01-17,13.18,13.35,13.17,13.24,1007800
2023-01-18,13.25,13.36,12.91,13.08,1786900
2023-01-19,13.06,13.08,12.88,13.03,1421900
2023-01-20,13.1,13.19,12.89,13.19,1632500
2023-01-23,13.21,13.36,13.15,13.31,830500
2023-01-24,13.33,13.37,13.17,13.24,694700
2023-01-25,13.25,13.25,13.05,13.15,1024500
2023-01-26,13.17,13.27,13.12,13.27,816300
2023-01-27,13.3,13.52,13.18,13.46,1013600
2023-01-30,13.36,13.5,13.29,13.32,1176200
2023-01-31,13.37,13.54,13.28,13.5,2226200
2023-02-01,13.51,13.69,13.3,13.52,1264900
2023-02-02,13.58,13.95,13.58,13.86,1723100
2023-02-03,13.82,13.9,13.42,13.59,2022100
2023-02-06,13.52,13.57,13.3,13.5,1632800
2023-02-07,13.4,13.56,13.3,13.32,2037500
2023-02-08,13.25,13.29,13.06,13.12,1971500
2023-02-09,13.27,13.27,12.87,12.93,1466300
2023-02-10,12.79,13.19,12.63,13.13,4028100
2023-02-13,13.07,13.32,13.06,13.22,1423900
2023-02-14,13.18,13.23,12.99,13.09,1089000
2023-02-15,12.91,13.1,12.89,12.99,2074700
2023-02-16,12.86,13.12,12.83,13.05,1748700
2023-02-17,13.14,13.15,12.89,13.02,1193000
2023-02-21,12.9,12.99,12.55,12.7,2985000
2023-02-22,12.89,13.49,12.23,12.47,4405500
2023-02-23,12.55,12.62,12.17,12.39,2844700
2023-02-24,12.3,12.33,12.1,12.2,1619300
2023-02-27,12.25,12.34,12.04,12.15,1503900
2023-02-28,12.21,12.24,11.88,11.91,3962000
2023-03-01,11.85,11.93,11.7,11.8,2603200
2023-03-02,11.76,12.06,11.67,12.04,2388500
2023-03-03,12.16,12.18,11.97,12.02,1388300
2023-03-06,12.04,12.07,11.92,11.94,1194000
2023-03-07,11.95,11.96,11.62,11.66,2359400
2023-03-08,11.7,11.91,11.63,11.88,2058400
2023-03-09,11.8,11.9,11.54,11.57,1852600
2023-03-10,11.53,11.58,11.13,11.2,3024700
2023-03-13,11.09,11.32,11.04,11.22,2171600
2023-03-14,11.4,11.66,11.39,11.54,2546000
2023-03-15,11.31,11.43,11.08,11.35,2063400
2023-03-16,11.16,11.16,10.91,11.06,2428200
2023-03-17,10.92,11.0,10.64,10.69,4488400
2023-03-20,10.82,10.96,10.72,10.79,1946800
2023-03-21,10.92,11.0,10.71,10.82,2115800
2023-03-22,10.76,10.77,10.34,10.36,2184600
2023-03-23,10.37,10.51,10.12,10.15,2157700
2023-03-24,10.15,10.48,10.08,10.46,3760200
2023-03-27,10.53,10.82,10.53,10.7,1876700
2023-03-28,10.63,10.81,10.55,10.78,1901600
2023-03-29,10.88,11.18,10.85,11.14,1963100
2023-03-30,11.24,11.39,11.22,11.3,1471800
2023-03-31,11.39,11.51,11.24,11.5,2713000
2023-04-03,11.52,11.58,11.1,11.16,2562200
2023-04-04,11.22,11.24,10.89,11.01,1825800
2023-04-05,10.97,11.54,10.96,11.35,3033800
2023-04-06,11.43,11.44,11.25,11.41,1487100
2023-04-10,11.4,11.58,11.29,11.55,2638300
2023-04-11,11.58,11.96,11.54,11.82,2764400
2023-04-12,11.88,11.95,11.7,11.75,1974500
2023-04-13,11.74,11.89,11.64,11.76,2925400
2023-04-14,11.83,11.88,11.61,11.65,1683000
2023-04-17,11.69,11.88,11.57,11.66,1659300
2023-04-18,11.64,11.64,11.23,11.28,1801700
2023-04-19,11.2,11.31,11.08,11.29,3034700
2023-04-20,11.04,11.24,11.02,11.17,1414100
2023-04-21,11.22,11.25,10.93,11.18,1532200
2023-04-24,11.15,11.19,10.94,11.0,1191800
2023-04-25,10.96,11.04,10.86,10.89,1125200
2023-04-26,10.88,11.06,10.77,10.93,1966000
2023-04-27,10.94,11.35,10.93,11.3,1554400
2023-04-28,11.3,11.44,11.27,11.4,1617800
2023-05-01,11.38,11.47,11.28,11.36,1321600
2023-05-02,11.3,11.34,11.0,11.16,1641600
2023-05-03,11.22,11.68,11.2,11.34,3638400
2023-05-04,11.49,11.53,10.86,11.1,3021300
2023-05-05,11.26,11.37,11.15,11.29,1584300
2023-05-08,11.24,11.4,11.23,11.35,1260900
2023-05-09,11.31,11.41,11.12,11.33,1591000
2023-05-10,11.47,11.5,11.29,11.49,1542400
2023-05-11,11.41,11.55,11.3,11.53,1306100
2023-05-12,11.55,11.58,11.39,11.57,1551200
2023-05-15,11.28,11.36,11.23,11.25,2224100
2023-05-16,11.26,11.32,11.03,11.04,2026900
2023-05-17,11.1,11.25,11.01,11.22,1913300
2023-05-18,11.13,11.29,11.07,11.1,1503400
2023-05-19,11.23,11.23,10.81,10.88,1745400
2023-05-22,10.88,11.0,10.81,10.88,1680700
2023-05-23,10.9,11.19,10.89,10.96,3052500
2023-05-24,10.9,10.94,10.7,10.74,2022400
2023-05-25,10.71,10.76,10.45,10.48,1783100
2023-05-26,10.47,10.53,10.3,10.51,1697200
2023-05-30,10.51,10.77,10.49,10.68,2569500
2023-05-31,10.75,11.32,10.71,11.26,7298300
2023-06-01,11.34,11.41,11.11,11.15,3543300
2023-06-02,11.32,11.46,11.23,11.35,3436000
2023-06-05,11.32,11.5,11.28,11.48,2615900
2023-06-06,11.48,11.69,11.41,11.68,1835200
2023-06-07,11.76,11.87,11.63,11.87,2827000
2023-06-08,11.84,11.84,11.69,11.71,1792700
2023-06-09,11.72,11.76,11.66,11.72,2532100
2023-06-12,11.73,11.81,11.65,11.76,1805700
2023-06-13,11.74,11.88,11.69,11.83,2189400
2023-06-14,11.85,12.0,11.79,11.86,2345500
2023-06-15,11.87,11.9,11.77,11.9,2955100
2023-06-16,11.93,11.95,11.79,11.9,3230000
2023-06-20,11.9,11.9,11.67,11.72,2115200
2023-06-21,11.68,11.76,11.49,11.73,2664200
2023-06-22,11.75,11.75,11.6,11.7,1847900
2023-06-23,11.57,11.67,11.36,11.43,3603000
