Date,Open,High,Low,Close,Volume
2023-01-13,36.2,36.54,35.92,36.46,56300
2023-01-17,36.29,36.32,36.03,36.19,63800
2023-01-18,36.08,36.82,35.47,35.56,83500
2023-01-19,35.28,35.65,35.19,35.61,64500
2023-01-20,35.95,36.26,35.76,36.22,97300
2023-01-23,36.33,36.69,35.57,36.21,53300
2023-01-24,36.24,36.24,35.78,35.86,46600
2023-01-25,35.76,35.85,35.47,35.77,58400
2023-01-26,35.89,36.01,35.47,35.79,85000
2023-01-27,36.67,36.89,35.98,36.84,90800
2023-01-30,36.42,37.45,36.42,36.7,93000
2023-01-31,36.97,38.0,36.82,37.88,173700
2023-02-01,37.69,38.34,37.4,37.85,124200
2023-02-02,37.96,38.9,37.81,38.89,131500
2023-02-03,38.96,39.77,38.88,39.61,139400
2023-02-06,39.42,39.89,38.9,39.57,111900
2023-02-07,39.36,40.09,39.07,39.97,137700
2023-02-08,39.77,40.24,39.52,40.2,87700
2023-02-09,40.23,40.38,39.46,39.55,99600
2023-02-10,39.51,39.51,39.14,39.41,69500
2023-02-13,39.29,39.74,38.99,39.24,124600
2023-02-14,39.24,39.37,38.38,38.75,71400
2023-02-15,38.17,38.95,38.09,38.95,75500
2023-02-16,38.57,38.88,37.66,38.4,78700
2023-02-17,38.53,39.03,38.49,38.85,92800
2023-02-21,38.72,38.77,38.39,38.58,135200
2023-02-22,38.53,38.7,38.1,38.41,124800
2023-02-23,38.53,38.92,38.39,38.73,59000
2023-02-24,38.45,38.66,38.29,38.6,78100
2023-02-27,38.83,38.92,38.45,38.63,59800
2023-02-28,38.71,38.9,38.19,38.19,126600
2023-03-01,38.13,38.33,37.8,38.02,84600
2023-03-02,38.04,38.15,37.33,37.59,85700
2023-03-03,37.78,38.17,37.46,38.1,78700
2023-03-06,38.09,38.16,37.05,37.4,147300
2023-03-07,37.22,37.22,36.38,36.5,68900
2023-03-08,36.61,36.74,36.15,36.56,96400
2023-03-09,36.32,36.41,34.75,34.99,135600
2023-03-10,34.65,35.5,33.66,34.77,317700
2023-03-13,33.6,35.17,31.81,32.62,350000
2023-03-14,34.97,36.04,33.0,33.6,283500
2023-03-15,32.71,34.07,32.23,34.07,214700
2023-03-16,33.62,35.95,33.13,34.88,206600
2023-03-17,34.24,34.42,32.66,33.08,962100
2023-03-20,34.08,34.93,33.89,34.13,211000
2023-03-21,34.72,35.72,34.31,34.53,125800
2023-03-22,34.5,34.67,33.39,33.55,142100
2023-03-23,33.85,33.85,33.08,33.24,195800
2023-03-24,33.19,34.33,32.92,34.32,108600
2023-03-27,34.44,34.5,33.85,33.89,76100
2023-03-28,33.65,34.22,33.39,33.7,61900
2023-03-29,33.75,33.92,33.3,33.63,91400
2023-03-30,33.65,33.79,32.62,32.9,107300
2023-03-31,32.92,33.34,32.63,33.2,198800
2023-04-03,33.21,33.67,33.03,33.12,196400
2023-04-04,33.33,33.65,32.3,32.6,183200
2023-04-05,32.45,32.74,32.27,32.29,190600
2023-04-06,32.3,32.57,32.23,32.37,119100
2023-04-10,32.31,32.68,32.19,32.45,140400
2023-04-11,32.45,33.11,32.33,32.89,101600
2023-04-12,33.05,33.05,32.53,32.75,95500
2023-04-13,32.75,33.34,32.58,33.1,84500
2023-04-14,33.36,33.87,32.28,32.47,82300
2023-04-17,32.3,32.88,32.1,32.86,104500
2023-04-18,33.06,33.06,32.0,32.21,115000
2023-04-19,32.36,33.06,32.16,32.84,71500
2023-04-20,32.69,32.96,32.5,32.93,150000
2023-04-21,32.79,33.05,32.52,33.01,83400
2023-04-24,32.8,33.19,32.8,33.07,70000
2023-04-25,33.58,33.58,31.42,32.22,157500
2023-04-26,31.96,32.24,31.7,31.94,101900
2023-04-27,31.9,32.07,31.44,31.71,109700
2023-04-28,31.83,32.23,31.67,31.73,123400
2023-05-01,31.56,32.42,31.24,31.3,162600
2023-05-02,31.21,32.13,28.92,29.02,210800
2023-05-03,29.39,29.74,28.22,28.41,199000
2023-05-04,27.86,27.86,26.46,27.25,229600
2023-05-05,28.17,29.5,27.98,28.33,146400
2023-05-08,28.69,28.69,27.46,27.49,122300
2023-05-09,27.49,27.5,26.9,27.03,155300
2023-05-10,27.48,27.7,26.38,26.95,136700
2023-05-11,26.51,27.09,26.4,26.69,208500
2023-05-12,26.86,27.02,26.24,26.59,269800
2023-05-15,26.61,27.27,26.61,27.02,151900
2023-05-16,27.22,27.56,26.8,27.02,137500
2023-05-17,27.45,28.74,27.41,28.66,146400
2023-05-18,28.74,29.23,28.22,28.27,173300
2023-05-19,28.61,28.61,27.19,27.45,211600
2023-05-22,27.33,28.4,26.81,28.08,126400
2023-05-23,28.2,29.22,28.09,28.38,111700
2023-05-24,28.29,28.29,27.54,27.92,130700
2023-05-25,27.62,27.79,27.14,27.24,153900
2023-05-26,27.3,27.53,26.92,27.4,101100
2023-05-30,27.48,27.77,26.91,27.16,151600
2023-05-31,27.07,27.2,26.43,26.5,227800
2023-06-01,26.72,27.47,26.25,27.04,145700
2023-06-02,27.51,28.49,27.19,28.36,174500
2023-06-05,28.23,28.23,27.19,27.61,161800
2023-06-06,27.66,29.53,27.53,28.81,212200
2023-06-07,29.09,29.67,28.9,29.27,219500
2023-06-08,29.33,29.33,28.71,28.99,124100
2023-06-09,28.99,29.22,28.44,28.58,101800
2023-06-12,28.64,29.1,28.08,28.09,132100
2023-06-13,28.09,29.04,28.05,28.68,195300
2023-06-14,28.69,28.93,27.75,27.89,159800
2023-06-15,27.91,28.41,27.9,28.34,113600
2023-06-16,28.58,28.58,27.56,27.68,581300
2023-06-20,27.74,27.74,27.09,27.13,140000
2023-06-21,27.1,27.4,26.63,26.69,121400
2023-06-22,26.61,26.68,25.65,25.9,114100
2023-06-23,25.67,26.08,25.44,25.74,386600
2023-06-26,25.91,26.38,25.81,26.09,127800
2023-06-27,26.28,26.72,25.95,26.38,89500
2023-06-28,26.32,26.32,25.94,26.05,85500
2023-06-29,26.35,26.74,26.34,26.43,100600
2023-06-30,26.56,26.56,26.12,26.16,264900
2023-07-03,26.16,26.7,26.16,26.69,46900
2023-07-05,26.61,26.61,26.02,26.31,143700
2023-07-06,25.95,25.95,25.38,25.63,111800
2023-07-07,25.65,26.03,25.57,25.65,152100
2023-07-10,25.65,26.33,25.59,25.74,163800
2023-07-11,25.75,26.1,25.61,25.81,111400
2023-07-12,26.32,26.58,26.12,26.32,101800
2023-07-13,26.43,26.92,26.33,26.78,166800
2023-07-14,26.89,26.89,26.4,26.84,135600
2023-07-17,26.65,27.0,26.58,26.61,105700
2023-07-18,26.61,27.44,26.61,27.21,147800
2023-07-19,27.34,28.17,27.13,28.09,127700
2023-07-20,28.11,28.23,27.58,28.19,103000
2023-07-21,28.34,28.34,27.57,27.67,118600
2023-07-24,27.62,28.41,27.62,28.27,95300
2023-07-25,29.58,30.74,28.45,30.0,189200
2023-07-26,30.64,33.51,30.63,33.48,210900
2023-07-27,33.62,34.1,32.63,32.94,239700
2023-07-28,33.11,33.71,32.91,33.21,143200
2023-07-31,33.08,33.55,32.84,33.21,168100
2023-08-01,33.03,33.9,32.89,33.85,139400
2023-08-02,33.48,33.8,33.22,33.74,166800
2023-08-03,33.7,34.25,33.13,34.12,98400
2023-08-04,33.96,34.4,33.86,34.01,133000
2023-08-07,34.02,34.04,33.44,33.89,143700
2023-08-08,33.34,33.65,32.56,33.56,93800
2023-08-09,33.42,33.42,32.99,33.08,106800
2023-08-10,33.24,33.33,32.31,32.42,72700
2023-08-11,32.25,32.99,32.22,32.66,69200
2023-08-14,32.43,32.55,31.68,32.24,85300
2023-08-15,31.83,32.24,31.55,31.71,125600
2023-08-16,31.33,31.52,30.89,30.94,75800
2023-08-17,30.96,31.32,30.81,30.93,63000
2023-08-18,30.68,31.25,30.52,30.95,122800
2023-08-21,30.98,31.3,30.28,30.43,73200
2023-08-22,30.35,30.56,29.61,29.95,136000
2023-08-23,29.87,30.31,29.84,30.15,73100
2023-08-24,30.05,30.75,30.05,30.47,97800
2023-08-25,30.61,30.61,29.76,30.22,69600
2023-08-28,30.35,30.63,30.32,30.56,60500
2023-08-29,30.58,30.58,30.17,30.4,80900
2023-08-30,30.41,30.41,29.86,30.1,83000
2023-08-31,30.11,30.34,29.91,30.1,138800
2023-09-01,30.31,30.74,30.31,30.61,108000
2023-09-05,30.4,30.77,29.87,30.0,128500
2023-09-06,29.98,30.31,29.26,29.3,98700
2023-09-07,29.25,29.25,28.6,29.01,127800
2023-09-08,29.19,29.4,28.66,29.16,84500
2023-09-11,29.28,29.48,28.84,29.0,92500
2023-09-12,29.05,29.35,28.85,29.22,84700
2023-09-13,29.35,29.35,28.72,29.15,94400
2023-09-14,29.39,30.07,29.39,30.06,114400
2023-09-15,29.94,30.13,29.43,29.58,528900
2023-09-18,29.62,29.74,28.93,28.96,95300
2023-09-19,28.96,29.56,28.66,28.79,92100
2023-09-20,28.88,29.07,28.59,28.59,71300
2023-09-21,28.31,28.77,28.15,28.41,76500
