Date,Open,High,Low,Close,Volume
2023-01-13,10.79,10.83,10.47,10.72,101000
2023-01-17,10.79,10.86,10.55,10.71,117500
2023-01-18,10.8,10.95,10.14,10.17,162200
2023-01-19,10.06,10.36,10.05,10.27,136800
2023-01-20,10.35,10.36,10.05,10.14,169100
2023-01-23,10.26,10.31,10.02,10.22,130700
2023-01-24,10.08,10.22,10.05,10.15,107800
2023-01-25,10.12,10.44,9.9,10.43,121100
2023-01-26,10.51,10.51,10.1,10.37,102500
2023-01-27,10.38,10.395,10.03,10.13,108600
2023-01-30,9.98,10.22,9.92,10.13,130700
2023-01-31,10.16,10.615,10.11,10.59,553700
2023-02-01,10.59,10.59,10.14,10.44,217500
2023-02-02,10.3,10.3,9.79,10.17,206700
2023-02-03,10.17,10.51,10.12,10.16,122400
2023-02-06,10.17,10.26,9.74,10.21,331000
2023-02-07,10.35,10.62,10.22,10.61,237300
2023-02-08,10.58,10.73,10.41,10.59,177200
2023-02-09,10.65,10.82,10.13,10.14,177100
2023-02-10,10.32,10.6,10.23,10.6,267200
2023-02-13,10.57,10.87,10.42,10.78,225100
2023-02-14,10.73,10.85,10.3,10.38,202500
2023-02-15,10.2,10.55,10.13,10.49,269000
2023-02-16,10.52,10.705,10.4,10.44,145900
2023-02-17,10.4,10.4,9.8,9.98,187200
2023-02-21,9.93,10.12,9.52,9.53,298400
2023-02-22,9.64,9.72,9.31,9.5,417400
2023-02-23,9.21,9.29,8.29,8.79,592300
2023-02-24,8.79,9.28,8.79,9.2,177900
2023-02-27,9.16,9.2,8.913,8.94,217400
2023-02-28,9.0,9.19,8.91,8.93,164800
2023-03-01,8.96,9.175,8.88,9.16,152700
2023-03-02,9.12,9.56,9.08,9.48,206300
2023-03-03,9.91,10.36,9.81,10.12,646700
2023-03-06,10.04,10.14,9.925,9.98,302400
2023-03-07,9.94,10.08,9.89,9.98,231400
2023-03-08,9.98,10.16,9.94,10.01,307800
2023-03-09,10.11,10.19,9.61,9.63,295400
2023-03-10,9.56,9.88,9.4,9.43,384900
2023-03-13,9.0,9.48,8.83,8.93,373800
2023-03-14,9.15,9.465,9.06,9.18,342700
2023-03-15,8.73,8.85,8.53,8.72,554400
2023-03-16,8.4,8.72,8.08,8.54,423000
2023-03-17,8.46,8.46,7.8,7.81,863900
2023-03-20,7.83,8.45,7.8,8.12,471600
2023-03-21,8.34,8.81,8.29,8.3,513000
2023-03-22,8.27,8.52,8.04,8.05,618800
2023-03-23,8.15,8.44,8.07,8.19,453500
2023-03-24,8.05,8.27,8.0,8.16,342300
2023-03-27,8.28,8.505,8.2,8.44,552500
2023-03-28,8.41,8.625,8.41,8.52,293700
2023-03-29,8.6,8.6,8.37,8.48,391000
2023-03-30,8.72,8.847,8.4,8.41,364500
2023-03-31,8.48,8.55,8.24,8.54,406800
2023-04-03,9.25,9.3,8.77,8.87,420800
2023-04-04,8.91,8.91,8.49,8.65,204500
2023-04-05,8.6,8.67,8.42,8.5,156600
2023-04-06,8.49,8.67,8.41,8.42,120800
2023-04-10,8.39,8.6,8.39,8.46,164500
2023-04-11,8.5,8.66,8.4,8.43,225000
2023-04-12,8.48,8.48,8.28,8.31,133000
2023-04-13,8.3,8.38,8.25,8.33,141700
2023-04-14,8.4,8.405,8.195,8.24,142600
2023-04-17,8.24,8.29,8.13,8.19,209400
2023-04-18,8.15,8.19,7.915,8.03,204600
2023-04-19,7.97,8.15,7.87,8.01,243000
2023-04-20,7.88,8.04,7.67,7.74,315300
2023-04-21,7.8,7.98,7.7,7.74,188100
2023-04-24,7.71,8.22,7.71,8.16,185700
2023-04-25,8.03,8.03,7.65,7.71,191400
2023-04-26,7.66,7.72,7.41,7.46,177000
2023-04-27,7.49,7.575,7.33,7.45,172600
2023-04-28,7.36,7.72,7.34,7.68,211900
2023-05-01,7.58,8.065,7.53,7.97,454700
2023-05-02,7.79,7.8,7.15,7.23,628500
2023-05-03,7.21,7.37,7.16,7.28,337700
