Date,Open,High,Low,Close,Volume
2023-01-13,55.18,56.617,54.43,56.36,916900
2023-01-17,54.635,57.81,54.62,57.79,1042000
2023-01-18,58.41,58.61,54.095,54.39,970400
2023-01-19,54.08,55.1,53.07,54.9,775700
2023-01-20,55.79,56.05,54.45,54.75,792300
2023-01-23,54.87,56.23,54.0,56.09,578600
2023-01-24,55.27,56.55,54.72,55.23,480300
2023-01-25,54.26,56.75,53.84,56.51,732600
2023-01-26,57.1,58.26,55.65,56.45,546900
2023-01-27,56.14,57.79,55.819,56.52,473000
2023-01-30,55.54,56.04,54.96,55.49,767600
2023-01-31,55.75,57.36,55.535,56.88,510000
2023-02-01,56.8,58.28,55.748,57.87,634400
2023-02-02,58.74,61.39,58.48,61.0,1310600
2023-02-03,59.69,60.3,58.19,58.29,993900
2023-02-06,57.76,58.82,57.213,57.84,494800
2023-02-07,57.45,59.42,56.81,59.07,586300
2023-02-08,58.51,59.01,57.1,57.89,927600
2023-02-09,58.77,59.21,56.69,56.7,645500
2023-02-10,56.31,57.12,55.34,55.49,938200
2023-02-13,56.06,57.095,55.41,56.83,740300
2023-02-14,56.34,57.3,55.18,56.88,685500
2023-02-15,56.7,59.105,56.32,58.69,1069700
2023-02-16,57.8,58.56,53.63,56.67,2398100
2023-02-17,56.9,56.9,54.11,55.0,1437800
2023-02-21,53.64,55.665,53.51,55.4,1218800
2023-02-22,56.12,57.85,55.57,57.82,984200
2023-02-23,57.96,58.05,55.71,56.6,1082600
2023-02-24,55.36,56.7,55.05,56.54,1307900
2023-02-27,56.61,57.01,54.47,55.28,959300
2023-02-28,55.35,56.61,55.19,55.79,987500
2023-03-01,56.13,57.19,55.12,57.07,1025500
2023-03-02,56.75,57.525,55.3,57.23,584600
2023-03-03,57.38,58.29,56.82,58.0,679200
2023-03-06,58.5,58.67,57.03,57.84,826600
2023-03-07,58.11,59.07,57.655,58.02,801500
2023-03-08,58.0,59.09,57.41,59.08,624000
2023-03-09,59.08,59.5,56.0,56.05,855400
2023-03-10,55.64,56.04,54.1,54.53,951100
2023-03-13,53.42,54.97,52.01,54.48,1105700
2023-03-14,56.12,57.28,55.091,55.99,819600
2023-03-15,55.1,56.04,54.25,55.47,981500
2023-03-16,54.96,56.44,54.24,56.22,832800
2023-03-17,55.7,55.945,53.715,54.91,1338100
2023-03-20,55.03,56.67,54.81,55.39,602000
2023-03-21,56.16,56.62,55.23,55.25,636200
2023-03-22,56.12,56.92,54.996,55.22,635900
2023-03-23,55.7,55.875,53.25,53.96,848100
2023-03-24,53.78,53.89,52.51,52.56,725400
2023-03-27,53.26,53.71,52.4,53.62,865800
2023-03-28,53.36,54.27,52.835,53.1,697900
2023-03-29,53.6,53.88,52.63,53.8,558500
2023-03-30,54.5,54.77,53.35,54.42,578900
2023-03-31,54.89,56.28,54.65,55.49,652900
2023-04-03,55.34,55.94,54.56,55.56,525900
2023-04-04,55.94,56.15,54.83,56.13,709600
2023-04-05,55.85,55.85,54.14,54.85,845400
2023-04-06,54.94,55.25,53.88,55.15,508100
2023-04-10,54.91,56.61,54.85,56.56,870600
2023-04-11,56.75,57.69,56.64,57.22,718900
2023-04-12,57.98,58.19,55.81,55.83,723500
2023-04-13,56.21,56.67,54.78,54.85,1027200
2023-04-14,54.39,55.215,53.4,54.03,760000
2023-04-17,54.57,55.78,54.31,55.25,438000
2023-04-18,55.58,56.14,54.36,54.88,531900
2023-04-19,54.74,55.54,53.915,55.12,591600
2023-04-20,54.93,56.59,54.26,55.6,565500
2023-04-21,55.87,56.14,55.15,55.69,351800
2023-04-24,55.63,56.75,54.93,55.26,599000
2023-04-25,54.92,55.55,53.76,53.9,546100
2023-04-26,54.23,55.38,53.45,53.54,568900
2023-04-27,54.01,54.475,53.41,54.09,387900
2023-04-28,53.9,54.89,53.08,54.81,579300
2023-05-01,54.47,55.74,54.18,54.74,863400
2023-05-02,54.43,54.63,53.05,54.48,844200
2023-05-03,54.6,54.79,52.64,52.82,1548000
2023-05-04,57.99,61.935,57.1,61.57,3911900
2023-05-05,63.0,66.29,61.26,65.53,2289700
2023-05-08,65.9,67.14,65.07,66.92,1355700
2023-05-09,65.93,66.835,65.29,65.96,885400
2023-05-10,66.73,67.5,65.39,66.38,1084600
2023-05-11,66.62,66.897,65.66,66.49,583000
2023-05-12,66.48,66.52,64.68,65.21,705600
2023-05-15,68.5,71.935,68.09,70.3,2889600
2023-05-16,70.08,70.975,67.21,67.24,1160600
2023-05-17,67.76,68.13,66.451,67.4,690300
2023-05-18,67.0,67.8,66.22,66.72,636800
2023-05-19,67.64,69.19,65.885,66.69,823800
2023-05-22,67.0,67.49,66.2,66.67,1127500
2023-05-23,66.28,66.81,65.23,65.25,889100
2023-05-24,65.0,66.32,64.44,65.84,770700
2023-05-25,66.13,66.13,64.66,65.9,548700
2023-05-26,65.84,66.92,65.33,65.4,447700
2023-05-30,65.81,66.58,64.95,65.13,565700
2023-05-31,66.32,66.75,64.28,66.17,799800
2023-06-01,66.17,67.67,65.27,67.54,765700
2023-06-02,68.1,68.65,67.24,68.59,788200
2023-06-05,67.77,69.47,67.77,68.75,595500
2023-06-06,68.75,70.35,68.11,70.0,671700
2023-06-07,70.28,71.21,69.42,70.17,942600
2023-06-08,69.44,70.425,68.92,69.05,469900
2023-06-09,69.17,69.33,68.12,68.76,400700
2023-06-12,68.97,69.18,68.03,68.75,745700
2023-06-13,68.79,70.29,68.42,70.14,543000
2023-06-14,71.04,73.28,70.4,72.74,1256500
2023-06-15,72.53,73.11,71.42,72.13,761000
2023-06-16,72.5,72.783,70.71,71.13,726700
2023-06-20,71.18,74.84,71.11,73.99,1639300
2023-06-21,73.77,76.025,73.48,75.19,1090900
2023-06-22,74.95,76.14,73.74,75.06,955800
2023-06-23,74.25,75.636,73.826,73.95,771900
2023-06-26,73.53,74.82,71.96,73.02,714400
2023-06-27,73.72,75.468,73.58,74.9,502300
2023-06-28,74.72,76.96,74.625,76.87,534900
2023-06-29,77.11,78.71,76.895,77.65,755600
2023-06-30,77.96,79.33,77.19,77.72,773000
2023-07-03,77.92,78.78,77.65,78.1,341200
2023-07-05,77.94,77.94,76.08,77.27,854400
2023-07-06,76.66,77.06,76.06,76.99,540700
2023-07-07,77.3,78.0,76.24,76.26,676000
2023-07-10,76.09,77.28,75.56,76.85,521300
