Date,Open,High,Low,Close,Volume
2023-01-13,10.09,10.11,9.93,9.99,1082700
2023-01-17,10.02,10.15,9.97,10.11,2018300
2023-01-18,10.14,10.18,9.91,9.91,868100
2023-01-19,9.81,9.99,9.78,9.92,1554000
2023-01-20,10.02,10.2,9.88,10.2,983700
2023-01-23,10.18,10.31,10.14,10.27,2116900
2023-01-24,10.27,10.37,10.17,10.28,1085700
2023-01-25,10.21,10.68,10.15,10.67,2606400
2023-01-26,10.72,10.77,10.52,10.74,2495700
2023-01-27,10.76,10.89,10.69,10.86,1449100
2023-01-30,10.74,10.88,10.65,10.65,1316100
2023-01-31,10.65,11.02,10.65,10.99,1907100
2023-02-01,10.92,11.14,10.64,11.04,3058100
2023-02-02,11.17,11.38,11.1,11.26,2174900
2023-02-03,11.04,11.26,10.99,11.1,2439300
2023-02-06,10.99,11.04,10.78,10.83,1060300
2023-02-07,10.73,10.93,10.61,10.85,2157900
2023-02-08,10.74,10.86,10.6,10.64,1311700
2023-02-09,10.77,10.79,10.67,10.72,1200000
2023-02-10,10.68,10.69,10.43,10.52,768300
2023-02-13,10.5,10.78,10.43,10.71,893400
2023-02-14,10.63,10.87,10.57,10.7,1055200
2023-02-15,10.58,10.83,10.58,10.82,1068200
2023-02-16,10.56,10.58,10.23,10.3,1946200
2023-02-17,10.27,10.32,10.07,10.21,1970700
2023-02-21,10.07,10.2,9.97,10.13,2471700
2023-02-22,10.63,10.86,10.21,10.5,3623600
2023-02-23,10.75,11.12,10.45,10.84,4127500
2023-02-24,10.63,10.84,10.53,10.81,1995700
2023-02-27,10.96,11.04,10.81,10.88,1895500
2023-02-28,10.84,10.95,10.56,10.57,3069600
2023-03-01,10.52,10.84,10.52,10.68,3207800
2023-03-02,10.53,10.67,10.38,10.64,3339200
2023-03-03,10.79,10.79,10.62,10.7,1245400
2023-03-06,10.71,10.74,10.47,10.52,1553600
2023-03-07,10.55,10.64,10.3,10.38,1698800
2023-03-08,10.38,10.49,10.3,10.48,1141000
2023-03-09,10.49,10.51,9.86,9.92,1872500
2023-03-10,9.83,9.96,9.63,9.74,2907700
2023-03-13,9.55,9.82,9.44,9.72,3005900
2023-03-14,10.07,10.07,9.7,9.81,1995600
2023-03-15,9.51,9.83,9.5,9.76,2318600
2023-03-16,9.62,9.84,9.51,9.61,2484900
2023-03-17,9.49,9.53,9.22,9.3,5218900
2023-03-20,9.39,9.62,9.38,9.46,2538600
2023-03-21,9.65,9.75,9.53,9.56,2598400
2023-03-22,9.26,9.37,9.01,9.03,4077400
2023-03-23,9.01,9.21,8.84,8.87,2372100
2023-03-24,8.64,8.97,8.6,8.95,2126400
2023-03-27,9.12,9.13,8.98,9.04,1731700
2023-03-28,8.94,9.14,8.87,9.09,1221600
2023-03-29,9.23,9.41,9.18,9.36,2234100
2023-03-30,9.44,9.46,9.26,9.45,1595100
2023-03-31,9.58,9.9,9.56,9.88,2330800
2023-04-03,9.89,9.99,9.63,9.75,2647900
2023-04-04,9.79,9.81,9.55,9.68,1674200
2023-04-05,9.62,9.66,9.5,9.52,2163400
2023-04-06,9.59,9.61,9.46,9.52,2084300
2023-04-10,9.49,9.63,9.36,9.55,3505200
2023-04-11,9.55,9.65,9.49,9.59,2796500
2023-04-12,9.71,9.74,9.44,9.46,2188000
2023-04-13,9.53,9.69,9.47,9.65,1582600
2023-04-14,9.69,9.77,9.47,9.61,1411100
2023-04-17,9.64,9.82,9.57,9.81,2049700
2023-04-18,9.81,9.95,9.68,9.88,1489400
2023-04-19,9.81,9.86,9.73,9.83,1431100
2023-04-20,9.72,9.78,9.52,9.64,3331200
2023-04-21,9.68,9.75,9.57,9.71,1081500
2023-04-24,9.57,9.79,9.55,9.73,1328500
2023-04-25,9.6,9.64,9.36,9.45,1189300
2023-04-26,9.34,9.54,9.34,9.4,934600
2023-04-27,9.46,9.5,9.24,9.39,2292600
2023-04-28,9.4,9.61,9.4,9.53,1630700
2023-05-01,9.54,9.79,9.53,9.67,1696200
2023-05-02,9.61,9.68,9.37,9.54,1674600
2023-05-03,9.58,9.96,9.58,9.68,3670100
2023-05-04,9.56,9.95,9.56,9.94,3543700
2023-05-05,10.45,10.72,9.9,10.22,1731300
2023-05-08,10.19,10.39,10.17,10.29,2305900
2023-05-09,10.15,10.59,10.15,10.43,3123700
2023-05-10,10.58,10.7,10.33,10.49,3658800
