Date,Open,High,Low,Close,Volume
2023-01-13,100.67,107.6,100.67,106.53,315200
2023-01-17,106.2,110.827,102.807,109.0,222000
2023-01-18,111.53,112.29,108.47,110.29,154100
2023-01-19,108.02,108.51,104.68,106.51,210700
2023-01-20,107.82,111.7,106.805,111.44,136900
2023-01-23,112.89,122.68,112.89,121.28,257800
2023-01-24,119.6,120.49,116.12,118.99,308700
2023-01-25,115.72,119.58,112.59,118.08,242900
2023-01-26,120.12,120.87,116.6,120.14,192600
2023-01-27,117.93,121.93,117.93,120.78,149900
2023-01-30,117.84,119.0,113.82,114.47,190800
2023-01-31,113.7,116.18,113.7,115.23,350400
2023-02-01,117.27,123.35,117.27,122.6,727800
2023-02-02,125.0,134.705,123.825,130.23,743900
2023-02-03,125.48,133.015,123.84,127.93,326700
2023-02-06,124.98,127.05,122.75,125.03,288600
2023-02-07,125.54,128.37,122.93,127.32,216300
2023-02-08,126.07,128.88,124.795,124.98,121900
2023-02-09,127.2,131.0,127.2,127.58,286500
2023-02-10,125.62,125.735,122.6,124.48,134300
2023-02-13,124.76,127.44,123.85,126.46,176800
2023-02-14,123.81,129.775,123.81,126.13,117000
2023-02-15,124.12,128.09,124.12,127.32,88200
2023-02-16,124.1,127.01,123.9,124.9,175800
2023-02-17,124.36,124.608,119.98,121.4,163000
2023-02-21,118.41,121.55,117.4,117.92,179200
2023-02-22,117.15,119.41,116.02,117.97,177800
2023-02-23,121.77,122.87,115.1,116.68,189900
2023-02-24,113.77,116.17,112.105,115.6,158500
2023-02-27,117.68,119.76,116.82,118.98,149400
2023-02-28,118.11,124.29,116.655,124.15,227600
2023-03-01,123.86,133.39,122.645,133.19,500800
2023-03-02,130.0,132.98,128.27,131.36,325300
2023-03-03,130.84,134.43,130.0,134.03,252200
2023-03-06,133.87,135.73,129.31,129.98,207900
2023-03-07,130.0,130.82,127.03,129.19,221600
2023-03-08,130.04,133.81,128.75,132.39,217300
2023-03-09,131.32,135.98,131.32,134.42,401800
2023-03-10,133.83,134.84,122.55,126.27,364100
2023-03-13,122.88,131.655,122.43,130.32,332800
2023-03-14,134.0,136.21,129.77,132.21,193600
2023-03-15,129.1,130.125,118.24,128.04,480400
2023-03-16,126.67,135.08,125.94,134.28,204500
2023-03-17,135.12,137.36,130.78,131.12,424900
2023-03-20,131.2,133.05,128.1,132.42,198700
2023-03-21,134.33,136.855,132.33,134.16,103900
2023-03-22,134.16,136.31,131.33,131.51,183000
2023-03-23,133.99,142.88,133.5,142.0,325100
2023-03-24,140.47,140.47,135.33,136.25,150100
2023-03-27,136.78,137.385,131.69,133.21,96400
2023-03-28,132.79,134.3,127.4,131.99,127800
2023-03-29,134.81,136.96,133.13,136.45,122100
2023-03-30,138.01,139.99,137.493,139.15,130100
2023-03-31,138.45,142.35,138.03,142.23,162300
2023-04-03,141.08,141.67,136.11,138.1,181700
2023-04-04,138.38,139.05,134.75,135.51,127400
2023-04-05,134.78,134.95,127.445,129.02,199900
2023-04-06,127.83,131.38,125.41,130.1,140000
2023-04-10,129.13,136.02,128.2,135.54,143100
2023-04-11,135.83,136.9,130.16,130.83,234100
2023-04-12,133.07,134.57,121.35,121.5,256800
2023-04-13,123.22,125.77,121.327,124.43,253500
2023-04-14,124.88,125.365,118.67,121.05,326500
2023-04-17,119.94,125.24,118.53,124.99,162300
2023-04-18,126.27,126.65,119.73,121.15,308100
2023-04-19,119.17,119.5,116.91,118.01,250600
2023-04-20,115.99,118.36,115.31,116.01,187400
2023-04-21,115.56,117.925,114.39,117.46,257800
2023-04-24,117.05,117.6,113.5,115.3,253300
2023-04-25,114.13,114.79,110.23,110.23,293400
2023-04-26,111.79,113.645,110.56,110.76,329600
2023-04-27,111.36,111.36,95.68,108.21,906100
2023-04-28,108.21,109.47,106.65,108.47,244100
2023-05-01,108.49,111.26,108.49,110.36,145800
2023-05-02,110.86,111.23,105.47,106.44,278400
2023-05-03,106.44,108.8,103.81,106.54,249300
2023-05-04,90.69,96.16,83.765,84.5,1662500
2023-05-05,83.98,88.52,81.69,88.29,1228900
2023-05-08,88.48,89.99,84.0,85.18,506900
2023-05-09,83.87,85.555,82.49,83.87,321400
2023-05-10,85.74,85.74,82.58,83.7,390000
2023-05-11,83.32,84.5,81.99,82.76,237200
2023-05-12,83.22,83.533,81.092,82.43,259200
2023-05-15,82.23,85.695,81.82,85.39,251500
2023-05-16,84.74,86.07,83.99,85.48,220000
2023-05-17,85.87,92.07,84.835,90.99,477900
2023-05-18,91.26,97.5,90.82,97.04,701700
2023-05-19,98.04,98.86,93.34,94.94,474200
2023-05-22,93.99,96.98,93.75,96.3,284900
2023-05-23,95.41,96.785,93.91,94.0,191000
2023-05-24,90.78,93.09,89.34,91.58,239600
2023-05-25,94.46,95.21,92.2,94.31,171400
2023-05-26,95.49,104.52,94.75,102.88,404400
2023-05-30,106.09,108.26,100.09,101.7,389600
2023-05-31,99.89,100.9,96.38,99.17,489100
2023-06-01,99.17,103.529,98.685,102.87,248900
2023-06-02,104.18,105.0,99.835,101.92,218000
2023-06-05,101.61,104.71,100.9,103.24,273000
2023-06-06,102.26,108.14,101.54,106.0,239800
2023-06-07,107.14,112.195,106.02,110.45,377700
2023-06-08,110.67,111.03,108.01,109.59,162300
2023-06-09,110.8,112.84,109.45,110.78,167800
2023-06-12,112.33,117.38,111.4,117.0,350900
2023-06-13,119.82,119.95,114.68,116.0,339800
2023-06-14,115.93,118.405,115.0,118.17,401600
2023-06-15,116.08,120.74,116.08,118.91,387900
2023-06-16,121.06,121.06,116.32,117.89,3605000
2023-06-20,116.35,119.38,113.92,118.77,404900
2023-06-21,117.09,120.035,115.16,117.79,290100
2023-06-22,116.75,120.725,116.45,120.67,265600
2023-06-23,117.33,119.0,113.42,114.8,402900
2023-06-26,115.22,119.4,113.94,113.96,211800
2023-06-27,113.85,120.91,113.85,120.88,313200
2023-06-28,118.16,120.43,117.17,118.6,194900
2023-06-29,119.41,121.91,118.4,121.41,237400
2023-06-30,122.81,122.81,117.85,117.97,241000
2023-07-03,118.24,120.79,117.63,120.65,121500
2023-07-05,120.56,120.56,115.98,116.41,231900
2023-07-06,113.63,115.95,112.59,115.34,183200
2023-07-07,115.46,117.57,114.56,115.81,156700
2023-07-10,116.4,119.84,116.4,119.24,195100
2023-07-11,119.49,120.51,117.94,120.51,112800
2023-07-12,123.61,126.741,121.99,126.45,201000
