Date,Open,High,Low,Close,Volume
2023-01-13,17.04,17.35,16.9,17.28,746000
2023-01-17,17.21,17.24,16.83,16.86,1207600
2023-01-18,16.87,16.98,16.69,16.78,986300
2023-01-19,16.5,16.5,15.94,16.05,1175800
2023-01-20,16.18,16.76,16.11,16.58,1733400
2023-01-23,16.66,17.04,16.58,16.99,895200
2023-01-24,16.83,17.01,16.72,16.85,804800
2023-01-25,16.8,17.25,16.7,17.2,1505600
2023-01-26,17.33,17.44,17.1,17.32,894700
2023-01-27,17.4,17.73,17.34,17.6,2494100
2023-01-30,17.48,17.6,16.96,16.97,944700
2023-01-31,17.02,17.58,16.95,17.57,1422700
2023-02-01,17.35,17.91,17.09,17.79,1491700
2023-02-02,17.0,17.17,14.56,14.8,10873200
2023-02-03,14.58,15.3,14.49,15.14,4913900
2023-02-06,14.9,15.41,14.78,15.37,4118200
2023-02-07,15.33,16.02,15.17,15.92,2998900
2023-02-08,15.8,15.8,15.22,15.32,2044100
2023-02-09,15.41,15.52,15.13,15.17,2651600
2023-02-10,15.05,15.39,15.02,15.25,2669300
2023-02-13,15.24,15.27,15.11,15.19,1451100
2023-02-14,15.21,15.29,14.85,15.24,4960100
2023-02-15,15.14,15.39,15.09,15.19,2211200
2023-02-16,15.04,15.11,14.84,14.84,1666400
2023-02-17,14.74,14.78,14.48,14.57,2155500
2023-02-21,14.43,14.62,14.3,14.38,2421900
2023-02-22,14.41,14.47,14.21,14.37,1397200
2023-02-23,14.51,14.7,14.3,14.46,1722700
2023-02-24,14.25,14.42,14.17,14.35,1845200
2023-02-27,14.41,14.58,14.3,14.39,2049500
2023-02-28,14.38,14.51,14.32,14.38,3547500
2023-03-01,14.25,14.44,13.94,14.13,1741600
2023-03-02,13.88,14.04,13.74,14.01,1693400
2023-03-03,14.1,14.35,14.05,14.25,1792800
2023-03-06,14.27,14.39,14.11,14.12,2473900
2023-03-07,14.06,14.2,13.81,13.89,1294600
2023-03-08,13.86,14.09,13.8,13.91,2606000
2023-03-09,13.94,14.24,13.59,13.65,3165400
2023-03-10,13.51,13.54,12.62,12.84,3940700
2023-03-13,12.54,12.54,11.62,12.25,5232900
2023-03-14,12.62,13.04,12.41,12.49,3842500
2023-03-15,12.27,12.39,11.98,12.36,3885000
2023-03-16,12.16,12.72,11.82,12.62,3327700
2023-03-17,12.52,12.52,11.93,11.99,5858600
2023-03-20,12.13,12.37,11.8,11.98,3078900
2023-03-21,12.35,12.6,12.33,12.48,2476000
2023-03-22,12.44,12.53,11.98,12.0,1723300
2023-03-23,12.04,12.18,11.34,11.43,4381100
2023-03-24,11.3,11.32,10.81,11.27,5892600
2023-03-27,11.56,11.75,11.43,11.46,2459200
2023-03-28,11.44,11.65,11.35,11.53,3308400
2023-03-29,11.74,11.94,11.61,11.91,2178700
2023-03-30,12.06,12.35,11.95,12.21,5412600
2023-03-31,12.31,12.49,12.2,12.39,4938400
2023-04-03,12.47,12.7,12.34,12.46,2194200
2023-04-04,12.51,12.51,12.11,12.4,3041100
2023-04-05,12.81,13.1,12.66,13.06,4514000
2023-04-06,13.27,13.27,12.86,12.91,2127300
2023-04-10,12.82,13.17,12.82,13.03,1374100
2023-04-11,13.09,13.58,13.09,13.45,2935900
2023-04-12,13.51,13.55,13.3,13.44,1592900
2023-04-13,13.5,13.83,13.5,13.75,1925400
2023-04-14,14.2,14.36,13.98,14.32,3375200
