Date,Open,High,Low,Close,Volume
2023-01-13,37.2,37.54,36.9,37.43,63700
2023-01-17,37.64,37.8,37.26,37.38,55400
2023-01-18,37.55,37.72,36.84,36.93,130900
2023-01-19,36.74,37.11,36.24,36.97,47300
2023-01-20,37.08,37.4,36.82,37.37,46100
2023-01-23,37.35,38.21,37.35,37.89,46300
2023-01-24,37.78,38.21,37.21,38.08,63300
2023-01-25,37.8,38.47,37.8,38.32,36000
2023-01-26,38.54,38.74,38.41,38.69,37200
2023-01-27,38.67,39.06,38.4,38.67,81300
2023-01-30,38.46,39.04,38.46,38.8,51000
2023-01-31,38.93,40.49,38.93,40.46,120400
2023-02-01,40.29,41.2,39.96,40.79,86900
2023-02-02,40.97,41.54,40.91,41.37,159700
2023-02-03,41.11,42.42,41.09,41.72,158800
2023-02-06,41.38,41.7,40.93,41.22,63600
2023-02-07,40.9,41.44,40.45,41.24,79700
2023-02-08,40.93,41.09,40.52,40.59,59900
2023-02-09,40.83,41.4,40.35,40.59,73100
2023-02-10,40.16,41.03,40.16,40.9,80400
2023-02-13,40.64,40.95,40.33,40.91,104100
2023-02-14,40.41,40.5,39.74,39.78,67600
2023-02-15,39.64,40.6,39.62,40.6,89400
2023-02-16,40.14,40.77,40.01,40.74,110400
2023-02-17,40.95,41.29,40.6,41.17,83900
2023-02-21,40.72,40.92,39.8,39.87,111900
2023-02-22,40.48,41.97,39.71,40.75,197100
2023-02-23,40.48,40.48,38.32,39.45,99200
2023-02-24,38.89,39.28,38.51,39.22,84800
2023-02-27,39.5,39.86,38.58,38.71,62500
2023-02-28,38.59,39.03,38.22,38.97,135900
2023-03-01,38.94,39.92,38.88,39.54,113300
2023-03-02,39.17,39.89,39.0,39.83,97700
2023-03-03,40.09,40.09,39.05,39.38,94500
2023-03-06,39.48,39.48,37.87,38.29,120500
2023-03-07,38.21,38.53,37.73,38.09,107300
2023-03-08,38.22,38.87,37.95,38.77,109900
2023-03-09,38.72,38.76,38.07,38.56,88700
2023-03-10,38.35,38.35,36.98,37.28,102000
2023-03-13,36.41,36.41,34.44,35.03,188700
2023-03-14,35.72,35.87,34.99,35.49,228100
2023-03-15,34.76,35.53,34.49,35.34,208800
2023-03-16,34.86,36.3,34.86,35.98,157300
2023-03-17,35.79,35.79,34.63,34.78,865600
2023-03-20,35.22,35.82,35.22,35.48,152700
2023-03-21,36.02,36.71,36.0,36.34,218400
2023-03-22,36.32,36.4,35.32,35.32,153000
2023-03-23,35.53,35.88,34.87,35.0,95400
2023-03-24,34.77,35.74,34.72,35.7,81300
2023-03-27,35.7,36.14,35.62,35.99,82900
2023-03-28,35.88,36.27,35.8,36.15,100500
2023-03-29,36.47,36.58,36.29,36.37,80500
2023-03-30,36.61,36.8,35.98,36.15,45800
2023-03-31,36.38,37.01,36.36,36.91,152300
2023-04-03,36.78,37.13,36.49,36.58,117500
2023-04-04,36.85,36.85,35.81,36.03,71500
2023-04-05,35.82,35.88,35.45,35.82,74500
2023-04-06,35.92,35.96,35.3,35.3,71800
2023-04-10,35.29,36.16,35.29,35.99,125100
2023-04-11,36.31,36.88,36.31,36.48,89600
2023-04-12,36.69,36.7,36.01,36.2,59800
2023-04-13,36.35,36.69,36.03,36.47,63900
2023-04-14,36.44,36.79,35.96,36.23,68600
2023-04-17,36.21,36.49,35.94,36.24,45100
2023-04-18,36.31,36.45,35.69,36.16,87300
2023-04-19,35.96,36.2,35.85,35.96,59500
2023-04-20,35.57,35.98,35.32,35.89,84200
2023-04-21,36.0,36.56,35.86,36.29,87700
2023-04-24,36.24,36.89,36.14,36.42,111100
2023-04-25,36.09,36.28,35.7,35.82,79400
2023-04-26,35.65,35.7,35.06,35.29,131700
2023-04-27,35.29,35.78,35.05,35.73,48100
2023-04-28,35.68,36.18,35.56,36.01,144700
2023-05-01,35.88,36.68,35.88,36.28,52000
