Date,Open,High,Low,Close,Volume
2023-01-13,32.83,33.25,32.38,33.07,1018600
2023-01-17,33.52,33.75,33.06,33.5,1020100
2023-01-18,33.87,34.61,32.88,33.17,2155400
2023-01-19,32.8,33.67,31.84,33.45,2137400
2023-01-20,33.7,33.74,32.82,33.25,1524800
2023-01-23,33.56,34.27,33.27,34.02,1126300
2023-01-24,33.65,34.0,32.73,32.99,1294800
2023-01-25,32.73,32.97,31.99,32.91,1012900
2023-01-26,33.3,33.75,32.51,33.63,1105800
2023-01-27,33.92,34.15,33.14,33.15,1400800
2023-01-30,32.63,32.87,31.92,31.98,1042600
2023-01-31,31.89,32.93,31.5,32.87,1190200
2023-02-01,32.46,32.97,30.92,32.46,1600700
2023-02-02,32.58,33.26,31.57,32.15,1448400
2023-02-03,32.33,33.2,31.89,32.13,1583100
2023-02-06,32.01,32.43,30.84,31.4,1080000
2023-02-07,31.63,33.05,31.15,32.99,1263800
2023-02-08,33.0,33.38,32.1,32.53,1093800
2023-02-09,32.64,32.76,31.58,31.62,955000
2023-02-10,32.3,33.38,32.18,33.33,1286900
2023-02-13,32.95,33.28,32.43,33.07,812600
2023-02-14,32.5,33.71,32.13,33.43,2523200
2023-02-15,32.75,32.75,31.62,32.65,1700700
2023-02-16,32.4,33.03,31.49,31.5,2559900
2023-02-17,30.9,31.0,29.63,30.27,3211200
2023-02-21,29.96,30.38,29.29,29.53,1799500
2023-02-22,29.26,29.45,27.92,29.01,3355500
2023-02-23,29.48,30.28,28.11,29.35,3768400
2023-02-24,28.96,30.12,28.43,29.85,2021300
2023-02-27,29.93,30.49,29.55,29.83,1912800
2023-02-28,30.23,30.36,29.5,29.51,2497000
2023-03-01,29.05,30.62,29.01,30.51,2253200
2023-03-02,30.4,31.25,29.87,30.98,1433900
2023-03-03,30.7,32.23,30.38,31.9,1949700
2023-03-06,31.44,31.8,31.05,31.32,1944900
2023-03-07,31.07,31.25,30.49,30.65,1747500
2023-03-08,30.31,30.66,29.11,29.55,1892500
2023-03-09,30.03,30.48,28.84,28.88,2301200
2023-03-10,28.73,29.41,28.22,28.79,2585400
2023-03-13,27.72,29.07,27.13,28.48,3038200
2023-03-14,28.72,29.7,28.1,28.66,2366200
2023-03-15,27.12,27.6,25.06,25.65,3532200
2023-03-16,25.02,26.89,24.86,26.88,2409600
2023-03-17,26.87,26.96,25.27,25.32,5433100
2023-03-20,25.48,26.75,25.32,26.34,2516400
2023-03-21,27.14,27.54,26.65,27.22,2004800
2023-03-22,27.23,27.46,26.31,26.33,1940800
2023-03-23,26.58,27.04,25.39,25.53,1765800
2023-03-24,24.79,26.32,24.66,26.28,1590900
2023-03-27,26.78,27.98,26.11,27.72,1790000
2023-03-28,27.49,28.0,27.36,27.55,1728300
2023-03-29,28.3,28.4,27.39,27.76,1146200
2023-03-30,28.19,28.28,27.61,28.02,1373200
2023-03-31,28.21,28.51,28.01,28.16,1459500
2023-04-03,29.93,31.13,29.63,30.89,2579300
2023-04-04,31.16,31.19,29.35,29.97,1625200
2023-04-05,29.83,30.23,29.21,29.88,1131200
2023-04-06,29.71,29.93,29.24,29.62,1027100
2023-04-10,29.48,30.5,29.48,29.87,1630300
2023-04-11,30.18,30.21,29.31,29.86,2245200
2023-04-12,29.87,30.3,29.54,29.85,1629300
2023-04-13,29.74,31.2,29.65,30.96,2091100
2023-04-14,31.0,31.27,30.6,30.94,1242800
2023-04-17,30.94,30.94,29.94,29.95,1427900
2023-04-18,29.84,29.94,29.18,29.48,1163500
2023-04-19,28.74,29.06,28.34,29.05,1774700
2023-04-20,28.1,28.38,27.51,27.97,1710000
2023-04-21,27.95,28.05,27.24,27.29,1421600
2023-04-24,27.29,28.55,27.18,28.39,1512700
2023-04-25,27.72,28.1,27.15,27.2,1503800
2023-04-26,27.0,27.25,26.02,26.21,1938300
2023-04-27,26.24,27.08,26.02,26.85,2184300
2023-04-28,26.87,28.47,26.3,28.08,2560500
2023-05-01,27.46,28.36,27.24,28.04,2408800
2023-05-02,27.56,27.61,25.89,26.39,2175300
2023-05-03,25.81,26.35,25.52,25.7,3025000
2023-05-04,25.74,26.2,25.2,25.29,2594500
2023-05-05,26.48,27.04,26.44,26.92,1926500
2023-05-08,27.7,27.7,26.25,26.41,2270200
2023-05-09,25.98,26.56,25.74,26.1,1742700
2023-05-10,26.33,26.33,25.04,25.95,2614700
2023-05-11,25.45,26.04,25.2,26.0,1730300
2023-05-12,26.32,26.48,25.37,25.79,1527500
2023-05-15,25.97,26.71,25.86,26.54,1063700
2023-05-16,26.3,26.62,25.66,25.68,1056800
2023-05-17,26.04,26.66,25.47,26.56,1280900
2023-05-18,26.26,26.95,25.85,26.88,916700
2023-05-19,27.26,27.31,26.59,26.69,1329800
2023-05-22,26.82,28.43,26.82,28.15,2703700
2023-05-23,28.35,28.94,28.13,28.2,1658600
2023-05-24,28.41,29.41,28.18,28.77,1550300
2023-05-25,28.4,28.48,27.06,27.45,2214100
2023-05-26,27.53,27.67,27.08,27.52,1301700
2023-05-30,26.85,27.0,26.08,26.6,1268700
2023-05-31,25.95,26.44,25.84,26.29,1783500
2023-06-01,26.42,27.24,26.23,26.84,1260200
2023-06-02,27.45,28.43,27.28,28.21,1421600
2023-06-05,28.95,29.23,27.12,27.19,1903300
2023-06-06,26.84,28.36,26.53,28.17,1495900
2023-06-07,28.45,29.85,28.43,29.58,1616600
2023-06-08,29.65,29.9,28.94,29.54,1662600
2023-06-09,29.35,29.55,28.79,29.04,1241600
2023-06-12,28.4,28.97,27.79,28.1,1593800
2023-06-13,28.66,29.55,28.45,28.88,1618500
2023-06-14,29.27,29.45,27.89,28.4,2017300
2023-06-15,28.44,29.3,28.36,28.73,1658500
2023-06-16,29.04,29.04,28.33,28.92,2906200
2023-06-20,28.4,28.59,27.37,27.99,1574200
2023-06-21,28.44,30.38,28.27,29.76,2851300
2023-06-22,29.4,29.52,28.43,28.57,1419100
2023-06-23,28.0,29.38,27.98,29.09,7518800
2023-06-26,29.15,30.46,29.15,30.17,2106300
2023-06-27,29.98,30.76,29.65,30.47,2020700
2023-06-28,30.29,30.81,29.89,30.75,1380900
2023-06-29,30.78,31.48,30.41,31.31,1768700
2023-06-30,31.44,31.89,30.91,31.63,1915500
2023-07-03,31.68,32.14,31.53,32.02,947300
2023-07-05,32.22,32.25,31.57,31.57,1336000
2023-07-06,31.25,31.5,29.51,30.18,1254000
2023-07-07,30.06,32.4,30.06,32.18,1779000
2023-07-10,32.11,32.5,31.91,32.38,1683400
2023-07-11,32.82,33.59,32.34,33.28,1628200
2023-07-12,33.75,33.95,33.29,33.39,1452700
2023-07-13,33.45,34.56,33.07,34.22,1366700
2023-07-14,33.82,33.89,32.37,32.43,1334800
2023-07-17,32.37,32.92,32.21,32.66,994600
2023-07-18,33.05,35.17,32.97,34.51,2378600
2023-07-19,34.74,35.25,34.44,34.76,1568300
2023-07-20,35.05,35.05,34.01,34.61,1356400
2023-07-21,34.68,34.81,33.92,34.29,1011700
2023-07-24,34.49,35.01,34.25,34.57,1805100
2023-07-25,34.61,35.7,34.39,35.14,1331300
2023-07-26,34.65,35.44,34.55,35.19,1188000
2023-07-27,35.72,35.87,34.5,34.67,1418700
2023-07-28,35.0,35.93,34.55,35.83,1223400
2023-07-31,36.29,36.48,35.92,36.29,1524900
2023-08-01,35.87,36.25,35.06,36.09,1272300
2023-08-02,35.73,35.96,35.01,35.62,1676200
2023-08-03,35.84,37.89,35.46,37.3,2243200
2023-08-04,37.85,38.75,37.5,38.33,1593300
2023-08-07,38.2,38.84,37.8,38.83,1451300
2023-08-08,37.6,39.15,37.27,38.9,1831500
2023-08-09,39.25,40.4,38.98,39.8,2079500
2023-08-10,39.45,39.81,38.9,39.17,1473200
2023-08-11,39.05,39.92,39.05,39.75,1163200
2023-08-14,39.45,39.73,38.99,39.57,990800
2023-08-15,39.05,39.33,38.66,39.01,1348300
2023-08-16,39.79,40.57,39.27,39.45,1637600
2023-08-17,40.25,40.76,40.02,40.31,1668200
