Date,Open,High,Low,Close,Volume
2023-01-13,24.52,24.685,24.4,24.59,596000
2023-01-17,25.32,25.43,24.77,24.82,504000
2023-01-18,24.82,25.39,24.76,24.99,658600
2023-01-19,24.86,25.03,24.505,24.84,364600
2023-01-20,25.02,25.17,24.83,25.16,340100
2023-01-23,25.28,25.91,25.14,25.85,459400
2023-01-24,25.7,25.92,25.55,25.81,391500
2023-01-25,25.59,26.05,25.38,26.0,506200
2023-01-26,26.04,26.18,25.66,25.89,628700
2023-01-27,25.94,26.92,25.8,26.25,741600
2023-01-30,25.96,26.38,25.66,25.75,688800
2023-01-31,25.76,26.52,25.65,26.5,703200
2023-02-01,26.61,27.57,26.455,27.41,776100
2023-02-02,27.68,30.93,27.68,30.38,1807600
2023-02-03,30.07,30.43,29.55,29.66,1201700
2023-02-06,29.64,29.9,29.465,29.85,859000
2023-02-07,29.76,30.57,29.64,30.52,1113700
2023-02-08,30.43,30.57,29.77,30.16,804600
2023-02-09,30.31,30.47,29.1,29.16,983800
2023-02-10,28.99,29.24,28.707,28.79,612600
2023-02-13,28.73,29.21,28.54,29.19,522900
2023-02-14,29.02,29.37,28.7,29.15,850600
2023-02-15,28.92,29.02,28.65,28.86,822800
2023-02-16,28.5,29.14,28.18,28.88,667900
2023-02-17,28.83,29.0,28.65,28.85,588100
2023-02-21,28.5,28.8,28.07,28.09,587400
2023-02-22,28.27,28.35,27.88,27.93,472400
2023-02-23,28.24,28.32,27.895,28.18,333100
2023-02-24,27.85,28.15,27.62,28.04,431100
2023-02-27,28.42,28.52,27.955,28.05,788200
2023-02-28,28.04,28.34,27.95,28.06,703400
2023-03-01,27.96,28.32,27.915,27.98,486200
2023-03-02,27.79,28.86,27.7,28.78,503700
2023-03-03,28.85,29.26,28.784,29.21,527600
2023-03-06,29.26,29.3,28.41,28.5,592300
2023-03-07,28.52,28.8,28.19,28.24,555000
2023-03-08,28.2,28.605,28.1,28.52,406500
2023-03-09,28.56,28.81,28.08,28.16,367200
2023-03-10,28.13,28.22,27.49,27.66,521100
2023-03-13,27.23,27.23,26.36,26.74,654600
2023-03-14,27.26,27.35,25.96,26.35,1059200
2023-03-15,25.91,26.566,25.8,26.36,779900
2023-03-16,26.12,26.98,26.12,26.9,582800
2023-03-17,26.82,26.92,25.8,26.18,1045000
2023-03-20,26.26,26.32,25.51,25.91,1056600
2023-03-21,26.34,26.565,26.06,26.39,665600
2023-03-22,26.34,26.75,26.0,26.02,424900
2023-03-23,26.1,26.415,25.475,25.55,707200
2023-03-24,25.29,25.585,25.08,25.51,458100
2023-03-27,25.75,26.32,25.715,26.15,449700
2023-03-28,26.06,26.3,25.91,26.06,321100
2023-03-29,26.37,26.37,25.88,26.0,495300
2023-03-30,26.17,26.19,25.955,26.02,281900
2023-03-31,26.17,26.8,26.11,26.75,483600
2023-04-03,26.6,26.9,25.96,26.32,482800
2023-04-04,26.35,26.35,25.83,25.97,413800
2023-04-05,25.8,26.07,25.6,26.02,564300
2023-04-06,25.99,26.085,25.78,25.86,368500
2023-04-10,25.815,26.295,25.58,26.2,741500
2023-04-11,26.3,26.62,26.285,26.55,534300
2023-04-12,26.67,26.705,26.305,26.66,469400
2023-04-13,26.74,26.85,26.33,26.35,670800
2023-04-14,26.25,26.68,26.18,26.6,493900
2023-04-17,26.66,26.852,26.31,26.55,440300
2023-04-18,26.55,26.92,26.51,26.75,446600
2023-04-19,26.62,27.06,26.58,27.03,394600
2023-04-20,26.96,27.43,26.96,27.16,413100
2023-04-21,27.22,27.585,26.94,27.13,533400
2023-04-24,27.04,27.41,27.04,27.32,429200
2023-04-25,26.99,27.02,26.42,26.57,533000
2023-04-26,26.48,26.48,25.43,25.56,595500
2023-04-27,25.34,26.075,25.17,25.85,707200
2023-04-28,25.71,26.59,25.71,26.17,821700
2023-05-01,26.14,26.75,26.08,26.52,659500
2023-05-02,26.4,26.49,25.97,26.37,546000
2023-05-03,26.44,27.21,26.44,26.69,645400
2023-05-04,26.46,26.77,26.03,26.26,551000
2023-05-05,26.43,26.9,26.37,26.68,641200
2023-05-08,26.69,27.13,26.32,26.5,595200
2023-05-09,26.33,26.335,25.68,26.17,454400
2023-05-10,26.47,26.59,26.0,26.25,504000
2023-05-11,26.37,26.52,25.999,26.45,438500
2023-05-12,26.51,26.74,26.21,26.43,298200
2023-05-15,26.46,26.535,26.22,26.4,535200
2023-05-16,26.27,26.27,25.71,25.91,409300
2023-05-17,25.92,26.27,25.69,26.22,454500
2023-05-18,26.22,26.48,25.98,26.3,294900
2023-05-19,26.49,26.49,26.035,26.13,558500
2023-05-22,26.39,26.4,25.93,26.13,778000
2023-05-23,26.0,26.26,25.87,25.93,776800
2023-05-24,25.79,25.8,25.28,25.48,582300
2023-05-25,25.51,26.28,25.5,26.24,423400
2023-05-26,26.25,26.49,26.15,26.26,353300
2023-05-30,26.31,26.65,26.24,26.55,287400
2023-05-31,26.45,26.54,25.88,25.92,547700
2023-06-01,25.93,26.25,25.79,26.16,380800
2023-06-02,26.29,26.86,26.29,26.65,347900
2023-06-05,26.57,26.57,26.03,26.04,339100
2023-06-06,25.96,26.57,25.76,26.54,345700
2023-06-07,26.68,27.35,26.47,27.15,408400
2023-06-08,27.0,27.23,26.751,27.06,341700
2023-06-09,27.1,27.115,26.47,26.55,502500
2023-06-12,26.59,26.59,26.01,26.28,641600
2023-06-13,26.39,26.87,26.3,26.58,662400
2023-06-14,26.61,27.18,26.52,27.01,917700
2023-06-15,26.91,27.505,26.88,27.36,944500
2023-06-16,27.39,27.52,26.84,27.05,1178400
2023-06-20,26.95,27.05,26.47,26.63,823600
2023-06-21,26.49,26.815,26.33,26.79,595000
2023-06-22,26.75,27.195,26.67,27.1,488300
2023-06-23,26.93,27.225,26.84,27.13,977700
2023-06-26,27.11,27.8,27.11,27.66,663800
2023-06-27,27.65,28.49,27.65,28.06,763000
2023-06-28,28.06,28.33,27.68,28.32,626400
2023-06-29,28.86,29.04,28.43,28.96,541400
2023-06-30,28.97,29.04,28.5,28.72,739800
2023-07-03,28.52,28.92,28.47,28.65,250100
2023-07-05,28.25,28.59,27.8,28.03,536200
2023-07-06,27.52,27.85,27.13,27.8,832300
2023-07-07,27.77,28.39,27.77,27.99,563500
2023-07-10,27.9,28.51,27.9,28.33,619400
2023-07-11,28.32,28.84,28.32,28.8,446500
2023-07-12,29.09,29.15,28.615,28.71,516600
2023-07-13,28.77,28.86,28.5,28.62,525400
2023-07-14,28.71,28.71,28.24,28.32,356800
2023-07-17,28.07,28.07,27.66,27.77,527600
2023-07-18,28.0,29.03,27.955,28.89,823400
2023-07-19,29.2,30.04,29.17,29.9,780800
2023-07-20,29.98,30.1,29.62,29.68,528500
2023-07-21,29.755,30.0,29.56,29.68,559000
2023-07-24,29.3,29.85,29.07,29.79,365700
2023-07-25,29.76,30.1,29.68,29.83,403900
2023-07-26,30.0,30.67,29.96,30.58,497500
2023-07-27,30.63,30.81,30.31,30.38,405300
2023-07-28,30.7,31.235,30.485,31.2,419300
2023-07-31,31.2,31.305,30.7,30.81,792000
2023-08-01,30.75,30.88,30.37,30.87,378000
2023-08-02,30.91,31.17,30.75,30.82,531100
2023-08-03,31.06,31.74,30.583,31.47,872800
2023-08-04,31.58,31.69,30.82,31.03,570100
2023-08-07,31.16,31.53,30.662,30.86,400300
2023-08-08,30.53,30.77,30.414,30.74,285100
2023-08-09,30.59,30.75,30.48,30.48,286200
2023-08-10,30.61,31.04,30.59,30.63,367400
2023-08-11,30.49,30.905,30.44,30.89,373100
2023-08-14,30.81,30.93,30.49,30.81,291500
2023-08-15,30.68,30.68,30.27,30.44,475000
2023-08-16,30.47,30.79,29.84,29.89,363900
2023-08-17,29.98,30.09,29.17,29.17,315800
2023-08-18,29.0,29.43,28.91,29.19,410500
2023-08-21,29.18,29.54,29.16,29.27,234600
2023-08-22,29.3,29.36,28.85,28.88,860100
2023-08-23,28.76,29.18,28.433,29.16,480100
2023-08-24,29.22,29.375,29.07,29.09,282700
2023-08-25,29.06,29.18,28.55,29.03,432500
2023-08-28,29.2,29.55,29.02,29.07,299600
2023-08-29,29.1,29.44,29.03,29.4,319200
2023-08-30,29.49,29.6,29.28,29.33,790100
2023-08-31,29.27,29.27,28.72,28.91,494600
2023-09-01,29.14,29.295,28.91,29.15,523300
2023-09-05,29.06,29.095,28.44,28.51,593800
2023-09-06,28.47,28.67,27.72,28.06,574400
2023-09-07,28.0,28.26,27.75,27.99,544900
2023-09-08,27.97,28.24,27.79,27.87,410100
2023-09-11,27.96,28.14,27.87,27.96,296900
2023-09-12,27.84,28.03,27.41,27.53,454400
2023-09-13,27.51,28.17,27.34,27.96,629500
2023-09-14,28.19,28.5,28.055,28.31,658600
2023-09-15,28.23,28.445,28.14,28.23,858300
2023-09-18,28.32,28.71,28.18,28.42,729200
2023-09-19,28.42,28.56,27.943,28.21,345500
2023-09-20,28.38,28.58,28.25,28.29,396400
2023-09-21,28.3,28.34,27.88,27.9,345700
2023-09-22,27.94,28.14,27.71,27.73,267500
2023-09-25,27.64,28.365,27.64,28.12,429100
2023-09-26,27.98,28.1,27.43,27.43,682500
