Date,Open,High,Low,Close,Volume
2023-01-13,17.92,18.15,17.87,18.09,765900
2023-01-17,18.01,18.27,18.01,18.02,999400
2023-01-18,18.21,18.41,18.09,18.27,1332200
2023-01-19,18.17,18.27,17.92,18.13,1212000
2023-01-20,18.26,18.39,18.1,18.31,1148900
2023-01-23,18.42,18.47,18.19,18.35,1317300
2023-01-24,18.14,18.33,18.02,18.22,1211000
2023-01-25,17.98,18.55,17.9,18.49,1200400
2023-01-26,18.68,18.83,18.22,18.48,727600
2023-01-27,18.41,18.63,18.41,18.55,1444800
2023-01-30,18.35,18.68,18.31,18.49,1309200
2023-01-31,18.52,18.64,18.35,18.44,1561000
2023-02-01,18.49,18.71,18.18,18.65,1563200
2023-02-02,18.83,19.75,18.8,19.45,3280200
2023-02-03,19.06,19.46,18.84,18.91,1693300
2023-02-06,18.66,18.66,17.92,18.05,5217300
2023-02-07,17.98,18.63,17.83,18.58,6383800
2023-02-08,18.39,18.7,17.79,17.86,4091500
2023-02-09,20.59,21.39,19.91,20.8,9495000
2023-02-10,20.58,20.61,19.66,20.09,4130800
2023-02-13,20.14,21.23,19.94,21.21,3483800
2023-02-14,21.05,21.24,20.81,21.17,2055400
2023-02-15,21.15,21.56,21.03,21.45,1896700
2023-02-16,21.22,21.44,21.0,21.0,1678600
2023-02-17,20.89,20.89,20.37,20.62,1890900
2023-02-21,20.25,20.5,19.73,19.73,1690100
2023-02-22,19.78,19.93,19.56,19.66,1774300
2023-02-23,19.87,19.9,19.53,19.69,1314200
2023-02-24,19.35,19.45,19.15,19.28,1195700
2023-02-27,19.41,19.59,19.24,19.32,1309700
2023-02-28,19.32,19.72,19.32,19.43,1454000
2023-03-01,19.38,19.75,19.23,19.71,1245700
2023-03-02,19.5,20.08,19.35,19.86,1161500
2023-03-03,19.99,20.55,19.92,20.34,2013100
2023-03-06,20.34,20.56,20.07,20.2,1349100
2023-03-07,20.24,20.4,19.76,19.77,1174000
2023-03-08,19.79,19.83,19.5,19.78,1128200
2023-03-09,19.88,20.24,19.57,19.63,1135100
2023-03-10,19.59,19.59,18.92,19.14,1388300
2023-03-13,18.9,19.3,18.47,19.18,1268300
2023-03-14,19.5,19.51,19.03,19.3,1101500
2023-03-15,18.76,19.24,18.73,19.23,1609300
2023-03-16,19.12,19.59,19.08,19.55,961400
2023-03-17,19.45,19.66,19.27,19.37,2162200
2023-03-20,19.22,19.43,19.05,19.29,1004900
2023-03-21,19.48,19.69,19.36,19.54,1020500
2023-03-22,19.53,19.65,19.04,19.05,1004700
2023-03-23,19.15,19.59,19.01,19.24,920000
2023-03-24,19.14,19.37,19.05,19.29,953000
2023-03-27,19.36,19.41,18.81,18.94,1583200
2023-03-28,18.9,18.98,18.66,18.68,854600
2023-03-29,18.93,19.02,18.8,18.95,726300
2023-03-30,19.03,19.28,18.94,19.04,984600
2023-03-31,19.14,19.66,19.03,19.62,1311600
2023-04-03,19.49,19.71,19.13,19.63,1794200
2023-04-04,19.63,20.52,19.61,20.21,2818700
2023-04-05,20.09,20.45,19.67,19.8,2196100
2023-04-06,19.7,20.14,19.52,19.88,1665100
2023-04-10,19.73,20.22,19.64,20.11,1179800
2023-04-11,20.3,20.39,20.06,20.17,1726100
2023-04-12,20.43,20.86,20.2,20.39,1320500
2023-04-13,20.55,20.85,20.47,20.62,1026100
2023-04-14,20.65,20.85,20.14,20.28,831800
2023-04-17,20.29,20.38,20.21,20.33,877500
2023-04-18,20.4,20.54,20.23,20.47,1117200
2023-04-19,20.34,20.45,20.25,20.41,826400
2023-04-20,20.29,20.56,20.29,20.36,831700
2023-04-21,20.36,20.61,20.2,20.45,1365100
2023-04-24,20.44,20.83,20.28,20.75,1809000
2023-04-25,20.55,20.82,20.28,20.29,1187700
2023-04-26,20.38,20.54,20.28,20.39,900700
2023-04-27,20.59,20.83,20.48,20.74,1914900
2023-04-28,20.68,21.41,20.67,21.14,2658900
2023-05-01,21.11,21.47,20.95,21.19,1216800
2023-05-02,21.14,21.34,20.79,21.33,1452900
2023-05-03,21.4,21.61,21.21,21.29,1539900
2023-05-04,21.26,21.46,21.08,21.2,704800
2023-05-05,21.33,21.66,21.33,21.61,2340300
2023-05-08,21.55,21.8,21.4,21.77,1887300
2023-05-09,21.61,21.81,21.53,21.78,1614600
2023-05-10,21.97,21.98,20.94,21.15,3857000
2023-05-11,17.0,17.69,15.68,16.14,16390800
2023-05-12,15.94,16.34,15.42,15.67,6044400
2023-05-15,15.6,15.86,15.26,15.53,3470100
2023-05-16,15.34,15.49,15.11,15.19,2427700
2023-05-17,15.17,15.38,15.1,15.18,2080000
2023-05-18,15.15,15.39,14.99,15.21,1985900
2023-05-19,15.2,15.35,15.1,15.22,2167000
2023-05-22,15.15,15.22,14.85,14.97,2567600
2023-05-23,14.91,15.29,14.85,15.08,2433200
2023-05-24,15.06,15.09,14.47,14.49,2581300
2023-05-25,14.45,14.58,14.2,14.39,1969900
2023-05-26,14.38,14.6,14.3,14.5,2317700
2023-05-30,14.68,15.53,14.51,15.42,2940200
2023-05-31,15.27,15.34,14.48,14.53,3102700
2023-06-01,14.53,14.62,14.27,14.31,2834000
2023-06-02,14.48,14.7,14.34,14.68,2523000
2023-06-05,14.66,15.45,14.6,15.4,2670500
2023-06-06,15.45,16.07,15.35,15.98,2655200
2023-06-07,16.08,16.23,15.8,15.9,1870000
2023-06-08,15.94,16.05,15.81,15.99,1301000
2023-06-09,16.02,16.07,15.52,15.79,2088400
2023-06-12,15.96,16.08,15.85,16.02,1559500
2023-06-13,16.16,16.36,16.12,16.29,1837200
2023-06-14,16.2,16.37,15.59,15.7,2565200
2023-06-15,15.59,16.17,15.51,16.14,1716300
2023-06-16,16.32,16.43,16.12,16.22,2943800
2023-06-20,16.03,16.31,16.0,16.02,2450800
2023-06-21,15.86,16.09,15.75,15.85,1856700
2023-06-22,15.74,15.76,15.5,15.76,1616200
2023-06-23,15.62,15.67,15.11,15.2,2511700
2023-06-26,15.13,15.4,14.95,15.27,2200100
2023-06-27,15.41,15.75,15.23,15.66,1395300
2023-06-28,15.59,15.71,15.5,15.67,1104500
2023-06-29,15.59,16.05,15.59,16.03,1876300
2023-06-30,16.09,16.47,15.99,16.33,1724800
2023-07-03,16.42,16.57,16.24,16.24,825700
2023-07-05,16.22,16.22,15.76,15.98,1638100
2023-07-06,15.7,16.16,15.62,15.9,1976700
2023-07-07,15.95,16.38,15.95,16.21,1602400
2023-07-10,16.22,16.69,16.2,16.66,1825400
2023-07-11,16.79,17.24,16.74,16.88,1652800
2023-07-12,17.09,17.19,16.91,17.15,1523300
2023-07-13,17.2,17.51,17.09,17.44,1679600
2023-07-14,17.41,17.41,16.95,17.13,1532000
2023-07-17,17.02,17.42,16.91,17.28,1473600
2023-07-18,17.25,17.67,17.22,17.41,1751000
2023-07-19,17.52,17.59,17.25,17.31,1031300
2023-07-20,17.22,17.25,16.27,16.3,1981600
2023-07-21,16.44,16.6,16.06,16.12,1128600
2023-07-24,16.12,16.65,16.1,16.57,1158900
2023-07-25,16.59,16.91,16.53,16.84,1132600
2023-07-26,16.8,17.5,16.8,17.31,1668000
2023-07-27,17.45,17.52,17.01,17.08,1002400
2023-07-28,17.32,17.45,16.94,17.07,1591800
2023-07-31,17.09,17.29,17.02,17.14,1222000
2023-08-01,17.03,17.32,16.89,17.29,931700
2023-08-02,17.07,17.12,16.71,16.72,1209300
2023-08-03,16.56,16.8,16.33,16.76,1275700
2023-08-04,16.82,16.85,16.18,16.26,1367200
2023-08-07,16.26,16.35,15.71,16.0,2431800
2023-08-08,15.9,15.9,15.43,15.87,2353900
2023-08-09,15.84,15.87,15.21,15.64,3553700
2023-08-10,16.58,17.08,14.61,14.64,8322800
2023-08-11,14.55,14.71,14.03,14.14,3977400
2023-08-14,14.03,14.11,13.69,13.99,2442900
2023-08-15,13.99,14.53,13.95,14.48,3849600
2023-08-16,14.36,14.48,13.85,13.87,2006800
2023-08-17,13.88,14.09,13.79,13.86,2706500
2023-08-18,13.64,14.0,13.55,13.75,1823600
2023-08-21,13.77,14.11,13.73,13.76,2189000
2023-08-22,13.8,14.03,13.77,13.89,2697500
2023-08-23,13.89,14.06,13.77,13.78,1949700
2023-08-24,13.75,13.89,13.56,13.59,1875300
2023-08-25,13.6,13.78,13.45,13.68,1563100
2023-08-28,13.69,13.83,13.55,13.64,979600
2023-08-29,13.62,13.97,13.57,13.87,2654500
2023-08-30,13.85,13.95,13.7,13.75,1482000
2023-08-31,13.76,13.92,13.65,13.78,1715800
2023-09-01,13.88,14.02,13.48,13.57,1744200
2023-09-05,13.51,13.57,13.29,13.5,1808300
2023-09-06,13.57,13.75,13.3,13.41,1572900
2023-09-07,13.28,13.32,13.13,13.22,1690300
2023-09-08,13.48,13.57,13.2,13.32,1331600
2023-09-11,13.36,13.4,13.17,13.3,1264000
2023-09-12,13.29,13.51,13.19,13.28,1324900
2023-09-13,13.29,13.34,13.09,13.14,1216000
2023-09-14,13.19,13.32,13.12,13.16,1652500
2023-09-15,13.25,13.67,12.92,13.3,6679000
2023-09-18,13.24,13.26,12.8,12.84,3123200
2023-09-19,12.81,13.01,12.78,12.95,1207600
2023-09-20,13.25,13.54,13.17,13.23,1822200
2023-09-21,13.06,13.11,12.9,12.92,1102800
2023-09-22,12.95,13.02,12.81,12.82,1133200
2023-09-25,12.75,12.86,12.68,12.85,836600
2023-09-26,12.72,12.75,12.56,12.6,1086700
2023-09-27,12.63,12.72,12.44,12.6,1443300
2023-09-28,12.65,12.7,12.51,12.63,1207600
2023-09-29,12.76,12.98,12.71,12.91,1227800
2023-10-02,12.86,12.93,12.7,12.81,1254500
2023-10-03,12.76,12.85,12.71,12.74,1244600
2023-10-04,12.78,12.84,12.46,12.61,1331300
2023-10-05,12.62,12.68,12.32,12.59,1461400
2023-10-06,12.45,12.55,12.34,12.46,1131600
2023-10-09,12.31,12.32,12.11,12.19,1612500
2023-10-10,12.21,12.42,12.11,12.11,1353700
2023-10-11,12.16,12.25,11.85,11.85,1556200
2023-10-12,11.82,11.82,11.41,11.43,1959800
2023-10-13,11.43,11.45,10.82,10.97,2540700
2023-10-16,11.05,11.39,10.92,11.28,1626500
2023-10-17,11.22,11.83,11.22,11.7,2131500
2023-10-18,11.58,11.59,11.33,11.37,1430200
2023-10-19,11.31,11.5,11.09,11.33,1936400
2023-10-20,11.36,11.4,11.18,11.19,1754800
2023-10-23,11.1,11.18,10.91,11.05,1991700
2023-10-24,11.08,11.22,10.84,10.85,1938500
2023-10-25,10.8,10.8,9.84,9.89,4006700
2023-10-26,9.9,10.27,9.89,10.01,2838900
2023-10-27,10.04,10.1,9.78,9.86,2230700
2023-10-30,9.98,10.42,9.97,10.38,1951300
2023-10-31,10.37,10.83,10.35,10.78,1730200
2023-11-01,10.7,10.81,10.35,10.66,1908400
2023-11-02,10.84,11.13,10.73,11.11,1613700
2023-11-03,11.32,11.4,11.09,11.34,1803700
2023-11-06,11.45,11.45,11.24,11.3,1684500
2023-11-07,10.69,10.84,10.1,10.78,2886200
2023-11-08,10.79,10.89,10.51,10.81,1869300
2023-11-09,10.83,10.83,10.25,10.36,2385900
2023-11-10,10.41,10.7,10.35,10.68,1898200
2023-11-13,10.67,10.77,10.49,10.61,1637100
2023-11-14,11.0,11.42,10.97,11.26,3227500
2023-11-15,11.27,11.69,11.23,11.35,3873500
2023-11-16,11.87,13.48,11.54,13.29,12414300
2023-11-17,13.4,13.74,13.23,13.71,4903000
2023-11-20,13.71,14.41,13.66,14.32,3493300
2023-11-21,14.27,14.27,13.78,14.03,3189600
2023-11-22,14.35,14.54,14.15,14.24,1949400
2023-11-24,14.25,14.58,14.08,14.52,1445700
2023-11-27,14.42,14.85,14.21,14.68,2404200
2023-11-28,14.64,14.98,14.46,14.95,2041100
2023-11-29,15.0,15.34,14.98,15.14,2854400
