Date,Open,High,Low,Close,Volume
2023-01-13,60.98,61.39,60.31,61.19,323600
2023-01-17,61.56,61.67,60.24,60.43,452400
2023-01-18,60.6,60.6,59.22,59.23,262700
2023-01-19,59.0,59.38,58.33,58.38,348800
2023-01-20,58.44,59.26,58.25,59.26,324300
2023-01-23,59.26,60.35,58.89,59.84,435300
2023-01-24,60.09,60.47,59.29,59.92,237300
2023-01-25,59.82,60.82,59.68,60.77,421000
2023-01-26,60.79,61.24,60.15,60.56,263400
2023-01-27,60.52,60.84,60.2,60.26,258200
2023-01-30,60.04,60.76,59.78,59.83,268000
2023-01-31,60.16,61.11,59.97,61.11,1296700
2023-02-01,60.63,61.61,59.8,61.2,401100
2023-02-02,61.2,62.24,61.09,62.15,330100
2023-02-03,61.98,62.29,61.45,61.93,449700
2023-02-06,61.63,62.0,61.07,61.22,317700
2023-02-07,60.62,60.62,59.7,60.34,426800
2023-02-08,59.9,60.26,59.25,59.57,469600
2023-02-09,59.88,61.7,59.52,60.18,668000
2023-02-10,59.94,60.02,58.75,59.53,567200
2023-02-13,59.75,60.79,59.58,60.57,369200
2023-02-14,61.26,61.59,60.47,60.51,467900
2023-02-15,60.22,60.84,59.81,60.53,305000
2023-02-16,59.87,60.61,59.82,60.57,356000
2023-02-17,60.6,61.27,60.27,61.07,521000
2023-02-21,60.11,60.3,57.32,57.62,639800
2023-02-22,57.74,58.4,57.74,57.84,462400
2023-02-23,58.14,59.05,58.14,58.83,649600
2023-02-24,58.36,59.16,58.01,58.99,314200
2023-02-27,59.58,59.99,59.14,59.36,295400
2023-02-28,59.21,59.6,59.06,59.06,616400
2023-03-01,58.79,60.01,58.56,59.9,519700
2023-03-02,59.66,59.98,59.4,59.72,389600
2023-03-03,59.94,60.51,59.49,60.36,312500
2023-03-06,60.15,60.23,58.69,58.81,391400
2023-03-07,58.81,59.08,58.3,58.31,261300
2023-03-08,58.28,58.64,58.0,58.3,301300
2023-03-09,58.4,58.56,57.48,57.56,406100
2023-03-10,57.49,57.49,55.63,56.35,469800
2023-03-13,55.92,57.01,55.59,56.59,574000
