Date,Open,High,Low,Close,Volume
2023-01-13,127.86,133.07,127.86,132.9,67200
2023-01-17,133.25,134.99,131.58,134.18,121100
2023-01-18,133.99,136.45,132.27,133.07,125600
2023-01-19,132.18,134.41,131.23,134.12,100200
2023-01-20,135.38,136.51,133.77,135.99,116900
2023-01-23,135.45,139.02,134.76,138.93,99000
2023-01-24,138.81,140.46,137.86,139.47,96000
2023-01-25,137.82,138.0,131.14,136.55,101200
2023-01-26,138.57,141.41,135.13,136.71,92200
2023-01-27,135.13,138.92,135.04,136.82,104300
2023-01-30,135.07,136.5,132.66,133.1,126600
2023-01-31,133.48,136.65,133.48,136.08,131400
2023-02-01,134.98,139.69,132.8,137.9,192900
2023-02-02,138.75,143.15,138.75,142.98,179900
2023-02-03,140.82,146.09,140.82,144.4,167200
2023-02-06,142.63,144.2,138.34,138.57,117400
2023-02-07,137.66,142.2,136.49,141.75,69900
2023-02-08,140.64,141.53,136.47,137.28,98400
2023-02-09,139.29,142.14,136.1,137.52,98900
2023-02-10,149.37,149.37,141.0,145.58,203900
2023-02-13,146.76,148.33,144.2,147.88,141500
2023-02-14,147.44,152.21,144.88,150.58,139600
2023-02-15,149.23,157.46,149.23,156.05,227900
2023-02-16,153.98,154.89,149.04,150.76,190200
2023-02-17,151.1,153.65,149.53,151.86,258300
2023-02-21,149.62,151.56,149.06,150.12,122900
2023-02-22,150.0,151.18,145.53,146.66,271900
2023-02-23,147.23,151.66,146.07,150.95,165400
2023-02-24,148.1,149.61,147.23,148.25,115300
2023-02-27,149.21,149.9,146.09,147.69,139200
2023-02-28,146.93,152.1,146.8,150.64,318600
2023-03-01,150.26,151.33,147.5,149.3,122900
2023-03-02,148.72,150.98,147.66,150.29,104600
2023-03-03,149.97,150.98,146.76,149.66,152300
2023-03-06,149.93,154.25,149.43,150.67,196600
2023-03-07,150.76,152.31,146.76,146.99,143900
2023-03-08,147.11,147.73,145.26,146.24,112100
2023-03-09,146.77,149.65,143.59,143.59,148000
2023-03-10,142.8,145.04,140.48,141.4,112600
2023-03-13,139.51,144.21,137.53,141.34,98500
2023-03-14,144.53,146.48,142.98,146.24,131600
2023-03-15,144.2,147.01,143.41,146.67,249700
2023-03-16,145.14,150.13,145.14,148.76,252800
2023-03-17,148.23,149.99,144.13,145.25,488800
2023-03-20,146.02,149.74,145.68,148.76,217400
2023-03-21,149.51,151.64,146.28,148.44,151600
2023-03-22,147.6,149.43,144.1,144.35,109500
2023-03-23,145.37,147.03,143.18,144.42,127700
2023-03-24,143.1,146.45,141.08,145.83,105500
2023-03-27,147.13,147.68,145.02,147.15,99400
2023-03-28,146.4,147.84,144.57,147.15,148300
2023-03-29,148.24,148.66,145.97,148.56,187300
