Date,Open,High,Low,Close,Volume
2023-01-13,72.68,73.4,71.99,73.12,161700
2023-01-17,72.57,73.38,71.25,71.64,222900
2023-01-18,71.64,72.36,70.11,70.39,203300
2023-01-19,70.13,70.66,69.53,70.16,264000
2023-01-20,70.38,70.53,68.9,70.0,229600
2023-01-23,70.29,71.01,69.73,70.4,182600
2023-01-24,70.29,71.28,69.58,71.03,186500
2023-01-25,70.45,71.42,70.13,71.06,221600
2023-01-26,70.9,71.31,70.66,71.06,132700
2023-01-27,71.2,71.68,70.81,71.31,153700
2023-01-30,71.11,71.76,70.86,70.94,182800
2023-01-31,71.3,72.71,71.13,72.22,636800
2023-02-01,75.75,75.75,72.05,74.25,759200
2023-02-02,74.25,75.83,73.81,74.5,473900
2023-02-03,74.54,75.62,72.89,75.59,352400
2023-02-06,75.3,75.61,74.11,75.21,248000
2023-02-07,74.05,74.85,73.2,74.44,230500
2023-02-08,73.7,74.07,72.5,72.67,232400
2023-02-09,72.73,73.19,71.38,71.68,179100
2023-02-10,71.75,72.87,71.53,72.77,239500
2023-02-13,72.77,73.28,71.86,73.09,202800
2023-02-14,72.73,72.73,71.33,71.57,212900
2023-02-15,71.0,72.25,70.52,71.99,243100
2023-02-16,71.1,72.56,70.5,71.81,212400
2023-02-17,72.31,73.06,71.51,72.92,255900
2023-02-21,72.21,72.44,71.5,71.67,167400
2023-02-22,71.99,72.54,71.54,72.1,227600
2023-02-23,72.2,72.65,71.51,71.91,248400
2023-02-24,71.23,71.76,70.56,71.64,176200
2023-02-27,71.96,72.59,70.93,71.23,144300
2023-02-28,70.89,71.72,70.28,70.4,346300
2023-03-01,70.01,70.63,69.06,70.45,293200
2023-03-02,70.05,70.05,69.2,69.71,276400
2023-03-03,70.13,70.22,69.27,69.98,390500
2023-03-06,69.89,70.48,68.68,68.77,888100
2023-03-07,68.9,68.95,67.5,68.04,427700
2023-03-08,68.25,68.77,67.75,68.33,251800
2023-03-09,67.68,68.15,67.11,67.23,296900
2023-03-10,67.17,67.2,65.6,66.48,281700
2023-03-13,65.98,68.86,65.98,67.89,276800
2023-03-14,68.94,70.37,68.69,69.65,487000
2023-03-15,68.92,70.14,68.49,69.54,323900
2023-03-16,69.07,71.82,69.07,71.06,392400
2023-03-17,70.84,70.86,69.28,70.01,677600
2023-03-20,70.48,71.64,70.28,70.31,252400
2023-03-21,70.66,70.83,68.11,68.88,240600
2023-03-22,69.01,69.36,67.34,67.41,231900
2023-03-23,67.21,68.25,66.44,66.82,243200
2023-03-24,66.82,69.22,66.68,69.21,204700
2023-03-27,69.8,70.05,69.11,69.28,231600
2023-03-28,68.8,69.8,68.72,69.24,195600
2023-03-29,69.15,70.67,69.15,70.28,262600
2023-03-30,70.56,70.92,69.97,70.83,227200
2023-03-31,71.18,71.44,69.76,70.14,461000
2023-04-03,69.8,70.3,69.37,69.64,254400
2023-04-04,69.74,69.86,68.87,69.57,216500
2023-04-05,69.77,71.58,69.77,71.52,398600
2023-04-06,71.97,71.97,70.63,71.09,227300
2023-04-10,70.69,71.51,70.49,71.34,255400
2023-04-11,71.35,72.07,70.77,71.07,178400
2023-04-12,71.31,71.54,69.67,69.74,250600
2023-04-13,69.5,69.85,67.77,69.31,303900
2023-04-14,69.1,69.33,67.89,68.01,264200
2023-04-17,68.19,70.15,68.11,69.66,268800
2023-04-18,69.57,69.8,68.1,69.02,197700
2023-04-19,69.39,70.05,69.15,69.95,170700
2023-04-20,70.6,70.6,69.5,69.78,165100
2023-04-21,70.17,70.33,69.23,69.91,160700
2023-04-24,70.2,70.24,69.34,69.63,142900
2023-04-25,69.25,70.0,69.16,69.83,155100
2023-04-26,69.25,69.56,67.1,67.65,314600
2023-04-27,67.71,68.76,67.29,68.74,174200
2023-04-28,68.74,68.96,67.5,67.73,253400
2023-05-01,67.78,68.74,67.58,67.64,199200
2023-05-02,67.1,67.61,65.93,66.64,301000
2023-05-03,67.44,69.19,67.2,67.7,490600
2023-05-04,67.51,68.45,66.41,68.39,234100
2023-05-05,68.71,69.67,67.92,69.56,321100
2023-05-08,69.55,69.93,68.04,68.32,210900
2023-05-09,68.33,68.6,67.48,68.44,195900
2023-05-10,69.13,69.99,68.39,69.32,320100
2023-05-11,69.12,69.37,68.14,68.61,168800
2023-05-12,68.92,69.23,68.08,69.09,216300
2023-05-15,69.34,69.34,67.87,68.03,178500
2023-05-16,68.19,68.54,67.01,67.24,204500
2023-05-17,67.55,68.17,67.16,68.05,245800
2023-05-18,67.58,67.98,67.27,67.79,260700
2023-05-19,68.32,68.4,67.61,68.0,210300
2023-05-22,68.02,68.35,67.58,67.89,184500
2023-05-23,67.91,68.94,67.1,68.03,193200
2023-05-24,67.91,67.98,66.01,66.04,335200
2023-05-25,66.0,66.32,64.69,65.65,256000
2023-05-26,65.67,65.87,64.67,65.72,198700
2023-05-30,65.76,65.9,64.53,64.88,211100
2023-05-31,65.03,65.04,64.11,64.57,273800
2023-06-01,64.82,64.82,63.47,63.59,236400
2023-06-02,63.73,65.57,63.58,65.51,312100
2023-06-05,65.11,65.35,64.19,64.64,232200
2023-06-06,65.04,65.9,64.6,65.49,292800
2023-06-07,65.86,68.04,65.58,68.01,378300
2023-06-08,67.77,67.77,66.64,67.31,262400
2023-06-09,66.62,66.62,65.68,66.09,268500
2023-06-12,66.0,66.37,65.09,65.66,247300
2023-06-13,65.37,66.58,65.37,66.11,201300
2023-06-14,64.3,65.22,63.75,63.97,980900
2023-06-15,63.85,64.05,63.34,63.69,526500
2023-06-16,64.11,64.14,62.97,63.49,611300
2023-06-20,63.45,63.75,62.62,63.0,484200
2023-06-21,62.97,64.25,62.27,63.93,330600
2023-06-22,64.01,64.11,63.4,63.82,369400
2023-06-23,63.77,64.12,62.37,62.71,476000
2023-06-26,62.91,63.59,62.43,62.98,328300
2023-06-27,62.95,63.59,62.56,63.09,240500
2023-06-28,62.71,63.5,62.4,62.58,284400
2023-06-29,62.42,63.13,62.32,63.02,320600
2023-06-30,63.43,63.94,63.04,63.44,443800
2023-07-03,63.03,63.83,63.03,63.5,139600
2023-07-05,63.36,64.34,63.13,63.65,272300
2023-07-06,63.1,63.22,62.28,62.45,447100
2023-07-07,62.27,62.81,61.78,62.14,467900
2023-07-10,62.24,63.07,62.2,62.98,346200
2023-07-11,63.17,63.37,62.74,63.19,809100
2023-07-12,64.13,64.56,63.7,63.86,522900
2023-07-13,63.66,64.16,63.62,63.85,602500
2023-07-14,63.64,63.73,62.41,63.03,457000
2023-07-17,63.03,63.53,62.4,63.16,315800
2023-07-18,63.21,64.22,62.5,63.51,849100
2023-07-19,63.86,64.37,63.38,64.27,482800
2023-07-20,64.56,65.5,64.28,65.43,230100
2023-07-21,65.68,65.94,65.02,65.23,547100
2023-07-24,65.23,65.51,64.55,65.37,291500
2023-07-25,65.18,65.51,64.65,65.15,656700
2023-07-26,65.15,65.89,64.75,65.24,580500
2023-07-27,65.19,65.41,63.51,63.89,544000
2023-07-28,64.34,64.34,63.28,63.42,221000
2023-07-31,63.64,63.94,63.02,63.57,343400
2023-08-01,63.47,63.82,62.0,62.05,301700
2023-08-02,61.3,62.0,59.48,61.34,844200
2023-08-03,60.99,61.32,60.2,60.68,518100
2023-08-04,60.59,61.33,60.36,60.77,407200
2023-08-07,60.77,61.18,60.23,60.84,260700
2023-08-08,60.69,60.88,59.58,60.05,266400
2023-08-09,59.82,60.71,59.78,60.24,292000
2023-08-10,60.24,60.71,59.96,59.98,333200
2023-08-11,60.16,60.3,59.82,59.98,174500
2023-08-14,59.98,59.98,58.75,58.88,275600
2023-08-15,58.5,58.76,58.0,58.63,303300
2023-08-16,58.84,59.2,58.73,59.03,361600
2023-08-17,59.04,59.48,59.01,59.24,340600
2023-08-18,59.37,59.87,59.02,59.15,272800
2023-08-21,59.0,59.24,58.37,58.9,304900
2023-08-22,58.47,59.18,58.41,58.99,250300
2023-08-23,59.08,59.11,58.5,58.85,413000
2023-08-24,58.56,59.34,58.5,58.57,265900
2023-08-25,58.77,59.06,58.47,58.85,267000
2023-08-28,58.87,59.4,58.79,59.07,299600
2023-08-29,59.26,59.56,58.94,59.47,277500
2023-08-30,59.5,59.97,59.2,59.26,239900
2023-08-31,59.17,59.5,58.32,58.41,417900
2023-09-01,58.8,59.16,58.44,58.73,258300
2023-09-05,58.3,58.36,57.28,57.47,426400
2023-09-06,57.6,58.49,57.29,58.46,457500
2023-09-07,59.22,60.11,58.97,59.39,347100
2023-09-08,58.68,59.11,58.48,58.95,234800
2023-09-11,59.08,59.93,59.08,59.37,474000
2023-09-12,59.29,59.9,59.14,59.77,209000
2023-09-13,59.87,60.56,59.72,60.37,565800
2023-09-14,60.75,61.19,60.34,60.68,317900
2023-09-15,60.49,61.18,60.26,60.65,1025300
2023-09-18,60.55,60.58,59.76,59.89,259000
2023-09-19,60.02,60.25,58.98,59.0,332100
2023-09-20,59.26,59.69,58.73,58.76,253100
2023-09-21,59.01,59.07,58.24,58.53,371300
2023-09-22,58.34,58.87,58.12,58.37,300200
2023-09-25,58.1,58.66,57.56,58.54,283900
2023-09-26,58.25,58.51,57.19,57.24,405300
2023-09-27,57.13,57.35,56.09,56.3,412700
2023-09-28,56.49,56.58,55.34,55.9,388800
2023-09-29,57.05,57.78,56.35,56.58,414200
2023-10-02,56.46,56.46,54.41,54.75,618600
2023-10-03,54.53,55.46,53.77,55.32,443100
2023-10-04,55.41,56.11,54.92,55.73,468200
2023-10-05,55.58,56.93,55.3,56.84,374000
2023-10-06,56.39,57.85,56.02,57.5,480600
2023-10-09,57.5,58.51,57.44,57.96,350800
2023-10-10,58.17,58.66,58.14,58.39,273200
