Date,Open,High,Low,Close,Volume
2023-01-13,97.61,100.49,97.61,99.55,121700
2023-01-17,99.25,100.34,98.68,98.8,101600
2023-01-18,98.75,100.18,96.55,96.66,109300
2023-01-19,96.55,96.62,95.0,95.83,109400
2023-01-20,96.58,99.43,95.55,99.42,188300
2023-01-23,99.14,101.32,99.14,101.25,157900
2023-01-24,101.34,102.61,100.36,102.47,116400
2023-01-25,101.6,102.42,101.1,102.42,94900
2023-01-26,102.7,104.1,100.83,102.13,79300
2023-01-27,102.57,104.09,101.35,103.2,130400
2023-01-30,102.25,103.83,102.1,103.21,141000
2023-01-31,103.86,107.16,103.86,107.11,190500
2023-02-01,106.25,111.01,105.56,109.06,198600
2023-02-02,109.8,113.18,109.8,112.67,190300
2023-02-03,111.2,113.17,110.41,111.28,220300
2023-02-06,109.94,110.25,105.72,106.09,276600
2023-02-07,110.91,115.29,109.14,114.34,539000
2023-02-08,113.26,115.45,111.26,112.02,203800
2023-02-09,112.84,114.02,109.79,110.23,168100
2023-02-10,109.56,110.93,109.19,109.74,139600
2023-02-13,109.8,113.14,109.8,112.82,114900
2023-02-14,112.1,112.55,109.6,111.87,146300
2023-02-15,110.85,112.66,110.85,111.92,218100
2023-02-16,109.79,113.34,109.71,111.45,156800
2023-02-17,111.77,112.23,110.28,111.11,221200
2023-02-21,109.38,109.8,106.87,107.26,146800
2023-02-22,107.98,108.79,106.82,107.47,147700
2023-02-23,108.07,108.66,106.61,107.63,99300
2023-02-24,105.86,107.41,105.78,106.84,189200
2023-02-27,108.08,109.0,107.25,108.05,103600
2023-02-28,107.56,108.75,107.56,107.86,149400
2023-03-01,107.95,109.61,107.0,108.42,95500
2023-03-02,107.41,109.78,107.03,109.71,93400
2023-03-03,110.44,112.37,108.79,112.15,143600
2023-03-06,112.29,112.29,108.75,109.2,96400
2023-03-07,109.27,109.75,107.75,107.95,137900
2023-03-08,108.61,109.34,107.76,108.85,83300
2023-03-09,109.38,109.75,107.35,107.4,104200
2023-03-10,107.03,107.03,102.68,103.74,190900
2023-03-13,101.93,104.26,101.56,102.48,127400
2023-03-14,105.64,105.64,102.08,104.25,151600
2023-03-15,101.63,103.15,101.28,102.03,131100
2023-03-16,100.84,105.52,100.84,105.39,201800
2023-03-17,105.0,105.13,102.5,103.12,402500
2023-03-20,104.4,105.6,103.0,105.27,131500
2023-03-21,107.01,108.2,104.47,106.0,181900
2023-03-22,105.95,107.05,103.66,103.74,120500
2023-03-23,104.27,105.91,102.53,104.08,140800
2023-03-24,102.81,104.32,101.74,104.31,96900
2023-03-27,105.68,106.14,103.66,105.32,138900
2023-03-28,104.82,105.74,104.21,105.01,172300
2023-03-29,106.13,106.3,104.12,105.41,134300
2023-03-30,106.52,107.24,105.42,105.54,82100
2023-03-31,106.38,110.0,106.38,109.64,310900
2023-04-03,109.42,110.05,107.63,109.96,141500
2023-04-04,109.76,109.76,104.23,104.98,124200
2023-04-05,103.92,104.49,102.78,103.59,159200
2023-04-06,103.87,104.96,102.13,103.91,155200
2023-04-10,103.28,106.8,103.28,106.36,160200
2023-04-11,106.81,108.58,106.53,108.01,148800
2023-04-12,109.57,109.78,108.41,108.95,134400
2023-04-13,109.98,110.28,108.35,110.24,150100
2023-04-14,110.04,111.49,108.42,109.19,119900
2023-04-17,109.1,109.97,108.7,109.32,97700
2023-04-18,109.69,111.04,109.14,110.78,132100
2023-04-19,110.63,113.1,110.4,113.0,171100
2023-04-20,112.6,117.08,112.6,115.11,465900
2023-04-21,115.24,115.24,111.29,113.23,166000
2023-04-24,113.69,114.67,112.38,112.98,135900
2023-04-25,119.6,128.04,119.42,123.58,510000
2023-04-26,121.92,123.32,119.77,120.02,225600
2023-04-27,121.2,125.06,120.96,124.99,189400
2023-04-28,125.18,126.6,124.63,125.78,189900
2023-05-01,125.78,126.96,124.77,125.88,169900
2023-05-02,125.87,126.5,123.56,124.37,176400
2023-05-03,125.11,128.08,124.65,125.45,173600
2023-05-04,124.86,124.86,122.05,123.25,142500
2023-05-05,125.65,125.65,123.62,125.46,144300
2023-05-08,125.61,125.61,123.76,125.35,95200
2023-05-09,125.3,126.5,124.71,124.75,123600
2023-05-10,126.29,126.29,123.08,125.34,88900
2023-05-11,124.34,124.79,123.1,123.68,100500
2023-05-12,123.9,124.37,122.6,123.22,91000
2023-05-15,123.42,125.22,122.61,124.9,115400
2023-05-16,124.37,125.44,122.92,124.95,79100
2023-05-17,125.28,127.24,124.58,126.77,129700
2023-05-18,126.41,127.7,124.78,127.43,105000
2023-05-19,128.82,128.82,125.03,125.35,100000
2023-05-22,125.56,125.91,123.86,124.0,206400
2023-05-23,123.05,123.65,121.99,122.95,216400
2023-05-24,123.17,123.59,121.76,121.79,142400
2023-05-25,122.75,122.75,120.34,121.08,128400
2023-05-26,120.81,121.69,119.49,121.34,116600
2023-05-30,121.58,121.58,119.82,120.84,95700
2023-05-31,120.76,121.4,117.09,118.19,252000
2023-06-01,117.94,121.01,117.63,120.25,107200
2023-06-02,122.07,126.8,120.93,126.6,144300
2023-06-05,125.18,125.57,122.84,124.94,100100
2023-06-06,124.75,129.65,124.75,129.23,150200
2023-06-07,129.83,133.45,129.83,132.24,191800
2023-06-08,131.58,132.68,129.55,130.39,114500
2023-06-09,130.02,130.35,128.5,129.28,89700
2023-06-12,129.3,130.12,128.19,129.52,105300
2023-06-13,129.52,131.19,129.52,130.41,95900
2023-06-14,130.56,130.7,127.13,128.43,121800
2023-06-15,128.1,131.97,127.55,131.9,204000
2023-06-16,132.69,132.69,128.6,130.11,455400
2023-06-20,129.99,133.67,129.99,133.44,239900
2023-06-21,133.14,136.22,132.4,133.98,132900
2023-06-22,133.66,134.42,132.02,133.84,140400
2023-06-23,132.15,135.07,131.6,132.23,277300
2023-06-26,131.32,134.38,131.32,132.79,77000
2023-06-27,133.81,137.33,133.38,135.66,130100
2023-06-28,135.74,136.81,134.91,136.7,90600
2023-06-29,136.47,140.15,136.47,139.63,163300
2023-06-30,140.49,140.83,138.47,138.5,157800
2023-07-03,136.96,137.28,133.28,136.35,101600
2023-07-05,135.12,136.68,133.97,136.18,176900
2023-07-06,134.72,135.18,132.28,133.38,98100
2023-07-07,133.62,134.81,132.9,133.27,113700
2023-07-10,132.82,136.23,132.82,135.97,132000
2023-07-11,136.21,138.86,136.21,138.0,108600
2023-07-12,140.46,143.15,139.3,140.97,160200
2023-07-13,141.6,144.03,140.72,143.74,184500
2023-07-14,142.96,145.17,141.65,145.11,268100
2023-07-17,144.91,148.76,144.62,147.73,201600
2023-07-18,148.5,151.65,147.8,151.38,211000
2023-07-19,152.38,152.38,149.39,151.82,143100
2023-07-20,152.55,152.55,149.84,150.64,311000
2023-07-21,151.3,151.3,148.54,149.4,254700
2023-07-24,149.17,151.44,149.17,149.8,240900
2023-07-25,153.0,160.53,152.0,159.43,410900
2023-07-26,159.1,164.69,158.41,163.42,285700
2023-07-27,164.71,166.03,160.03,161.36,243400
2023-07-28,162.99,162.99,157.45,158.07,266900
2023-07-31,158.1,158.91,156.45,158.0,263400
2023-08-01,157.63,158.8,157.21,158.0,174200
2023-08-02,156.81,158.2,155.54,157.52,146300
2023-08-03,157.45,157.45,153.89,154.14,220700
2023-08-04,155.29,156.49,154.14,155.28,157600
2023-08-07,155.37,157.22,155.37,157.05,107900
2023-08-08,155.52,156.26,152.85,155.59,127600
2023-08-09,155.98,157.34,154.71,155.9,130900
2023-08-10,155.91,157.5,154.13,155.02,174500
2023-08-11,155.66,157.73,155.66,156.69,112000
2023-08-14,156.7,157.51,155.24,156.54,108400
2023-08-15,156.72,156.97,155.05,156.64,112500
2023-08-16,156.93,158.5,155.25,156.58,105200
2023-08-17,156.9,157.0,150.38,150.84,128600
2023-08-18,150.44,153.66,150.43,152.79,142700
2023-08-21,152.38,153.11,149.22,152.49,143200
2023-08-22,152.99,154.58,152.65,153.32,109900
2023-08-23,154.67,157.21,153.36,156.35,109700
2023-08-24,155.02,156.51,153.18,153.27,103300
2023-08-25,153.84,155.25,151.48,154.05,150300
2023-08-28,154.8,156.95,154.12,154.62,119400
2023-08-29,153.74,158.65,153.7,158.15,109400
2023-08-30,157.58,160.3,157.58,158.69,91000
2023-08-31,158.64,160.9,158.64,159.76,132000
2023-09-01,160.87,163.74,160.38,163.18,155900
2023-09-05,161.9,162.36,156.28,156.79,151100
2023-09-06,157.42,158.83,155.54,156.56,118200
2023-09-07,156.78,156.78,153.94,155.42,112000
2023-09-08,154.98,156.37,154.25,154.29,103600
2023-09-11,156.02,159.65,155.64,158.72,137800
2023-09-12,157.72,158.95,156.76,157.07,103600
2023-09-13,156.71,156.71,152.72,153.33,166500
2023-09-14,154.27,157.36,153.87,156.8,141900
2023-09-15,156.41,156.41,151.13,152.0,711800
2023-09-18,152.62,153.71,151.5,152.41,158600
2023-09-19,152.03,153.42,151.35,152.51,111800
2023-09-20,153.61,154.69,150.68,150.91,118900
2023-09-21,149.76,149.76,146.43,146.49,210200
2023-09-22,147.27,148.25,146.68,146.83,159300
2023-09-25,146.0,148.76,145.77,147.97,107800
2023-09-26,147.28,149.16,146.31,146.34,153700
2023-09-27,147.96,149.19,147.13,149.16,137000
2023-09-28,149.37,150.85,147.6,150.69,160300
2023-09-29,151.63,151.63,149.36,149.81,186200
2023-10-02,148.6,150.42,148.22,148.74,197200
2023-10-03,148.47,149.57,145.57,145.85,218000
2023-10-04,145.0,147.57,143.64,146.62,234200
2023-10-05,146.33,147.67,145.79,146.06,222300
2023-10-06,144.59,144.76,139.28,140.79,396800
2023-10-09,139.1,140.47,138.69,139.12,325300
2023-10-10,139.65,143.53,138.74,143.06,512300
2023-10-11,143.54,144.93,140.48,141.34,181600
2023-10-12,141.39,144.6,135.82,137.41,223900
2023-10-13,136.79,137.87,134.58,135.1,155100
2023-10-16,137.38,139.5,136.86,138.8,157300
2023-10-17,137.75,140.23,137.75,138.28,218500
2023-10-18,136.37,136.93,133.71,134.37,132200
2023-10-19,134.37,136.67,132.59,133.08,220600
2023-10-20,133.7,134.09,130.42,131.9,258100
2023-10-23,131.84,134.39,131.77,132.54,250600
2023-10-24,130.82,131.63,123.93,125.92,441600
2023-10-25,125.13,128.65,124.5,127.47,249400
2023-10-26,128.9,130.38,126.83,128.56,284000
2023-10-27,128.67,130.0,127.24,128.62,260000
2023-10-30,129.59,133.17,128.76,131.75,390100
2023-10-31,132.83,135.04,132.83,133.18,328700
2023-11-01,133.11,137.0,132.19,136.78,324800
2023-11-02,139.71,142.39,138.44,140.5,231600
2023-11-03,143.55,145.17,143.0,143.45,281500
2023-11-06,143.22,146.54,143.22,145.27,272900
2023-11-07,145.06,146.12,143.51,143.91,213100
2023-11-08,144.57,145.07,140.74,142.37,179100
2023-11-09,143.57,143.83,140.62,141.47,95700
2023-11-10,142.86,145.63,142.01,145.37,105900
2023-11-13,144.66,147.03,144.32,145.51,151900
2023-11-14,150.27,156.75,150.27,156.61,307500
2023-11-15,156.19,159.36,155.4,155.66,244200
2023-11-16,156.43,156.43,152.93,154.92,143600
2023-11-17,155.79,157.39,155.79,156.94,210000
2023-11-20,156.64,158.59,153.6,158.53,204200
2023-11-21,156.92,161.27,156.92,160.18,305300
2023-11-22,161.97,163.27,160.73,162.48,216200
2023-11-24,161.83,164.3,161.83,163.34,67600
2023-11-27,162.33,164.78,161.32,164.29,192900
2023-11-28,164.0,164.29,161.2,161.45,317900
2023-11-29,163.87,166.78,163.09,166.02,333200
2023-11-30,165.96,167.46,165.26,166.97,241500
2023-12-01,167.38,172.88,167.38,172.49,332600
2023-12-04,172.46,175.31,172.03,175.15,232000
2023-12-05,174.75,176.28,174.12,175.46,233800
2023-12-06,176.27,180.69,176.27,178.18,393100
2023-12-07,178.35,180.51,176.58,179.18,229600
2023-12-08,178.95,182.3,178.95,182.18,183600
2023-12-11,182.08,183.67,180.53,181.75,186100
2023-12-12,181.97,184.8,180.51,183.5,161900
2023-12-13,183.32,186.81,178.9,186.44,393300
2023-12-14,189.0,195.81,188.9,194.88,292800
2023-12-15,194.76,196.79,191.83,192.32,472700
2023-12-18,194.54,194.54,188.43,189.33,185900
2023-12-19,191.96,197.15,191.96,196.28,394900
2023-12-20,195.82,197.67,192.42,192.63,218500
2023-12-21,195.56,195.72,193.23,195.57,209800
2023-12-22,196.83,199.41,196.06,197.6,164100
2023-12-26,197.82,200.32,197.03,199.32,114800
2023-12-27,199.86,202.14,199.61,200.67,130300
2023-12-28,200.13,200.97,198.86,200.91,118900
2023-12-29,200.0,201.17,197.88,197.98,167300
2024-01-02,195.45,196.42,191.77,193.68,203000
2024-01-03,194.93,194.93,185.98,186.75,238800
2024-01-04,185.92,188.19,185.51,185.79,214400
2024-01-05,184.51,187.62,183.14,183.76,230700
2024-01-08,184.25,187.16,183.06,187.09,178200
2024-01-09,184.58,184.72,183.41,183.92,160400
2024-01-10,184.59,186.16,183.0,183.6,198000
2024-01-11,183.52,185.33,179.77,184.22,289200
2024-01-12,187.1,187.1,180.6,182.19,179200
2024-01-16,180.05,180.91,178.13,180.84,166800
2024-01-17,178.29,181.62,178.29,181.13,149600
2024-01-18,182.88,183.91,179.62,183.7,139200
2024-01-19,184.07,184.07,179.83,182.33,137300
2024-01-22,184.16,186.53,184.16,186.09,181700
2024-01-23,186.4,186.4,180.57,181.75,175300
2024-01-24,183.73,183.73,179.45,179.89,144800
2024-01-25,182.09,183.3,180.56,182.38,154200
2024-01-26,183.2,183.37,181.55,182.35,155600
2024-01-29,182.86,187.05,182.86,186.88,159800
2024-01-30,186.69,189.18,186.3,188.4,174100
2024-01-31,187.34,187.43,180.43,180.99,272700
2024-02-01,183.62,186.14,181.36,185.8,219000
2024-02-02,182.29,188.14,181.61,187.19,217100
2024-02-05,184.25,186.19,181.51,183.75,249800
2024-02-06,187.54,193.95,175.6,180.69,511400
2024-02-07,182.53,185.43,179.58,182.69,247300
2024-02-08,183.66,190.89,182.5,190.42,409400
2024-02-09,190.13,194.35,188.63,192.4,291000
2024-02-12,192.48,195.87,191.84,194.82,292900
2024-02-13,186.48,190.7,184.61,186.01,347400
2024-02-14,188.73,190.96,186.76,190.77,178400
2024-02-15,192.65,196.07,190.8,196.0,217600
2024-02-16,193.92,195.35,191.6,193.79,184800
2024-02-20,190.83,193.05,190.32,192.91,156000
2024-02-21,192.93,193.51,191.36,193.02,191200
2024-02-22,194.21,198.09,192.33,195.22,208200
2024-02-23,196.08,200.72,195.82,199.96,202200
2024-02-26,199.17,201.24,198.52,199.57,207700
2024-02-27,202.0,207.32,201.56,207.25,365300
2024-02-28,206.0,209.45,205.53,208.84,215400
2024-02-29,210.0,210.72,206.77,208.68,201300
2024-03-01,207.95,210.86,206.55,209.3,216300
2024-03-04,210.85,215.01,210.85,212.19,273800
2024-03-05,210.67,213.1,208.98,209.1,248900
2024-03-06,211.23,212.77,210.2,212.26,201000
2024-03-07,213.3,216.46,213.3,214.83,123200
2024-03-08,215.18,218.38,211.54,211.58,179700
2024-03-11,210.08,210.08,203.9,205.41,194000
2024-03-12,205.08,205.95,201.64,201.82,229000
2024-03-13,200.88,204.22,200.39,201.27,250400
2024-03-14,200.11,200.36,195.31,196.65,273000
