Date,Open,High,Low,Close,Volume
2023-01-13,28.02,29.35,27.52,28.75,119800
2023-01-17,28.55,28.83,28.24,28.65,280400
2023-01-18,28.75,29.56,28.12,28.18,188600
2023-01-19,27.79,28.2,27.26,28.07,186200
2023-01-20,28.39,28.51,28.01,28.09,289500
2023-01-23,28.2,29.05,27.92,28.47,218100
2023-01-24,28.36,28.6,28.2,28.28,117700
2023-01-25,28.03,28.17,27.56,28.08,94700
2023-01-26,28.37,28.385,27.87,28.01,305400
2023-01-27,28.08,29.65,27.76,29.1,532500
2023-01-30,28.77,29.171,28.48,28.62,181700
2023-01-31,28.78,29.23,28.55,29.19,376800
2023-02-01,29.14,29.86,28.48,29.64,339400
2023-02-02,30.02,31.12,29.82,30.79,463000
2023-02-03,30.36,31.265,30.29,30.64,283600
2023-02-06,30.3,30.315,29.835,30.15,214100
2023-02-07,29.76,31.07,29.06,30.94,396100
2023-02-08,30.78,31.29,30.44,30.49,281100
2023-02-09,30.91,31.11,29.79,29.79,320300
2023-02-10,28.72,30.13,28.27,29.6,302900
2023-02-13,29.62,29.62,27.73,28.96,437100
2023-02-14,28.85,29.37,28.33,28.97,549800
2023-02-15,28.86,29.51,28.609,29.44,458700
2023-02-16,28.96,29.435,28.87,29.13,305100
2023-02-17,29.19,29.35,28.805,29.13,280800
2023-02-21,28.67,28.81,28.3,28.52,331800
2023-02-22,28.55,29.11,28.2,28.59,362600
2023-02-23,28.8,28.98,28.51,28.85,344000
2023-02-24,28.46,28.81,27.985,28.24,304600
2023-02-27,28.27,28.74,28.04,28.3,150100
2023-02-28,28.34,29.1,28.33,28.6,344500
2023-03-01,28.6,29.06,28.13,29.02,226300
2023-03-02,28.7,29.4,28.53,28.92,149400
2023-03-03,29.07,29.38,28.97,29.34,208200
2023-03-06,29.52,31.016,29.0,29.14,265300
2023-03-07,29.01,29.175,28.14,28.19,203000
2023-03-08,28.26,28.64,28.01,28.58,149900
2023-03-09,28.48,28.85,27.13,27.13,192800
2023-03-10,26.98,26.98,23.4,23.6,1324300
2023-03-13,22.9,23.935,21.98,23.11,663200
2023-03-14,24.28,24.32,23.25,23.45,551300
2023-03-15,22.76,24.15,22.578,24.08,438200
2023-03-16,23.77,24.49,23.55,24.31,334200
2023-03-17,24.1,24.23,23.53,23.9,376700
2023-03-20,24.19,24.285,23.69,24.02,165400
2023-03-21,24.65,25.09,24.36,25.02,160900
2023-03-22,24.91,25.14,24.085,24.12,248900
2023-03-23,24.18,24.5,23.577,23.78,266000
2023-03-24,23.44,23.73,23.14,23.62,183500
2023-03-27,24.04,24.12,23.56,23.87,248700
2023-03-28,23.73,24.0,23.39,23.94,339800
2023-03-29,24.17,24.17,23.68,23.95,474200
2023-03-30,24.11,24.22,23.24,23.32,231000
2023-03-31,23.53,24.41,23.53,24.27,412200
2023-04-03,24.33,24.33,23.43,23.64,166700
2023-04-04,23.67,23.685,23.15,23.49,182800
2023-04-05,23.23,23.23,22.52,22.88,399700
2023-04-06,22.86,23.215,22.52,23.0,242000
2023-04-10,22.85,23.17,22.72,22.96,245700
2023-04-11,23.04,23.73,22.99,23.29,307400
2023-04-12,23.46,23.65,22.99,23.21,278000
2023-04-13,23.25,23.45,23.06,23.19,323800
2023-04-14,23.19,23.39,22.705,22.85,175800
2023-04-17,22.68,22.81,22.47,22.63,145200
2023-04-18,22.77,23.02,22.045,22.08,228800
2023-04-19,22.02,22.8,21.99,22.72,398600
2023-04-20,22.48,22.68,22.41,22.59,304800
2023-04-21,22.58,23.27,22.45,23.24,496000
2023-04-24,23.23,23.4,22.94,23.18,312500
2023-04-25,22.91,23.51,22.55,22.76,218900
2023-04-26,22.57,22.79,21.94,22.06,306200
2023-04-27,22.16,22.39,21.23,21.84,476000
2023-04-28,21.86,22.17,21.68,22.03,380800
2023-05-01,22.05,22.85,22.05,22.43,273900
2023-05-02,22.2,22.2,21.34,21.88,209700
2023-05-03,21.97,22.12,21.42,21.54,267800
2023-05-04,21.35,21.455,20.75,21.1,222700
2023-05-05,21.75,22.14,21.344,22.1,253400
2023-05-08,22.3,22.3,21.78,21.85,321400
2023-05-09,21.78,21.99,21.57,21.91,140300
2023-05-10,22.3,22.64,21.61,21.76,137400
2023-05-11,21.54,22.115,21.44,21.65,146500
2023-05-12,21.76,21.95,21.415,21.8,114000
2023-05-15,21.87,22.07,21.785,22.0,223700
2023-05-16,21.86,22.0,21.591,21.64,117800
2023-05-17,21.82,22.53,21.61,22.49,292100
2023-05-18,22.48,22.5,22.14,22.19,204300
2023-05-19,22.47,22.58,22.19,22.46,193000
2023-05-22,22.57,22.71,22.36,22.58,203600
2023-05-23,22.52,23.16,22.26,22.28,247600
2023-05-24,22.07,22.29,21.75,21.89,287500
2023-05-25,21.45,21.45,19.83,21.14,354100
2023-05-26,21.2,21.82,21.2,21.66,297800
2023-05-30,21.69,21.76,21.08,21.47,393700
2023-05-31,21.35,21.81,21.255,21.51,300200
2023-06-01,22.19,23.41,22.16,22.98,544500
2023-06-02,23.25,23.92,22.51,23.48,404900
2023-06-05,23.37,23.65,23.23,23.41,253500
2023-06-06,23.63,25.066,23.53,24.7,274400
2023-06-07,24.84,25.3,24.64,25.07,308800
2023-06-08,24.95,25.24,24.78,25.16,239900
2023-06-09,25.13,25.13,24.81,24.95,277800
2023-06-12,24.95,25.11,24.81,25.0,278900
2023-06-13,25.07,25.45,24.61,24.8,479000
2023-06-14,24.54,24.74,24.13,24.2,289700
2023-06-15,24.13,24.81,24.08,24.77,713400
2023-06-16,24.98,25.16,24.56,24.82,478400
2023-06-20,24.59,24.695,24.175,24.47,241300
2023-06-21,24.31,24.53,24.135,24.27,174900
2023-06-22,24.15,24.18,23.425,23.84,241200
2023-06-23,23.47,23.595,22.975,23.05,739300
2023-06-26,22.99,23.71,22.99,23.5,296500
2023-06-27,23.64,23.89,23.395,23.63,265700
2023-06-28,23.66,23.755,23.5,23.6,215200
2023-06-29,23.65,24.365,23.55,24.21,243900
2023-06-30,24.53,24.84,24.43,24.81,468700
2023-07-03,24.72,24.83,24.49,24.72,220900
2023-07-05,24.61,24.61,24.09,24.1,203800
2023-07-06,23.72,23.845,23.24,23.36,146000
2023-07-07,23.5,24.03,23.5,23.86,152500
2023-07-10,23.86,24.31,23.83,24.28,134900
2023-07-11,24.31,24.485,24.08,24.43,163600
2023-07-12,24.94,24.96,24.6,24.86,248600
2023-07-13,25.05,25.73,24.99,25.72,160600
2023-07-14,25.69,25.77,25.095,25.7,213700
2023-07-17,25.63,26.75,25.63,26.65,285700
2023-07-18,26.63,27.22,26.57,27.2,181800
2023-07-19,27.2,27.79,27.2,27.59,236000
2023-07-20,27.56,27.78,27.34,27.74,219500
2023-07-21,27.88,28.01,27.32,27.89,481900
2023-07-24,27.82,28.14,27.76,27.8,188500
2023-07-25,27.76,27.97,27.56,27.72,175300
2023-07-26,27.62,28.29,27.59,28.02,302400
2023-07-27,28.27,28.27,27.54,27.68,162700
2023-07-28,28.09,28.35,27.93,28.16,280200
2023-07-31,28.17,28.26,27.96,28.07,185900
2023-08-01,27.88,28.2,27.72,28.13,213700
2023-08-02,27.83,28.46,27.535,28.31,677600
2023-08-03,28.18,28.57,28.01,28.34,688600
2023-08-04,28.96,30.04,28.93,29.58,296500
2023-08-07,29.83,30.165,29.28,29.9,342100
2023-08-08,29.31,30.13,28.58,28.82,211400
2023-08-09,28.82,29.29,27.99,29.09,180900
2023-08-10,29.13,29.69,29.12,29.4,251000
2023-08-11,29.3,29.69,29.26,29.67,135500
2023-08-14,29.43,29.79,29.43,29.71,132200
2023-08-15,29.48,29.57,28.86,28.94,156100
2023-08-16,28.94,29.59,28.92,29.45,157600
2023-08-17,29.5,29.76,28.8,28.94,152300
2023-08-18,28.62,29.35,28.62,29.29,157700
2023-08-21,29.25,29.39,28.73,29.21,161600
2023-08-22,29.35,29.35,28.9,29.0,204600
2023-08-23,29.09,29.67,29.08,29.63,176900
2023-08-24,29.48,29.87,29.04,29.22,223900
2023-08-25,29.36,29.61,29.18,29.27,337500
2023-08-28,29.38,29.93,29.38,29.69,237200
2023-08-29,29.67,30.56,29.64,30.54,182700
2023-08-30,30.33,30.92,30.3,30.85,159000
2023-08-31,30.92,31.04,30.03,30.87,518300
2023-09-01,31.16,31.34,30.73,30.83,335100
2023-09-05,30.69,31.102,30.34,30.87,254200
2023-09-06,30.82,31.15,30.73,30.84,261900
2023-09-07,30.59,31.29,30.46,31.21,266500
2023-09-08,31.18,31.645,29.29,31.06,175600
2023-09-11,31.18,31.63,30.948,31.41,250700
2023-09-12,31.39,31.83,31.1,31.78,321800
2023-09-13,31.74,32.05,31.55,31.66,448100
2023-09-14,31.8,31.85,30.61,31.24,263000
2023-09-15,31.26,32.36,30.67,32.2,663000
2023-09-18,32.12,32.34,31.39,31.86,193300
2023-09-19,31.87,32.385,31.61,31.85,145400
2023-09-20,31.98,32.045,31.32,31.44,150400
2023-09-21,31.14,31.37,30.66,31.1,173300
2023-09-22,31.12,31.37,30.65,30.91,212900
2023-09-25,30.78,31.31,30.67,31.1,181000
2023-09-26,30.76,31.2,30.76,30.89,191300
2023-09-27,31.05,31.36,30.57,31.21,241700
2023-09-28,31.15,31.815,31.15,31.78,170900
2023-09-29,31.9,32.237,31.52,31.58,275200
2023-10-02,31.37,31.73,30.34,30.56,485000
2023-10-03,30.64,30.65,30.01,30.12,277200
2023-10-04,30.25,30.43,29.84,30.11,176400
2023-10-05,30.21,30.689,29.97,30.55,273700
2023-10-06,30.5,30.85,30.1,30.57,248300
2023-10-09,30.22,31.006,30.22,30.59,273100
2023-10-10,30.6,30.92,30.508,30.78,232200
2023-10-11,30.84,31.17,30.72,30.84,257200
2023-10-12,30.86,30.86,29.84,29.93,214800
2023-10-13,30.16,30.31,29.515,30.0,193400
2023-10-16,30.37,30.73,29.97,30.13,173400
2023-10-17,29.96,30.7,29.96,30.47,171500
2023-10-18,30.24,30.24,28.99,29.13,226800
2023-10-19,29.11,29.38,28.5,28.67,235200
2023-10-20,28.69,28.99,27.59,28.23,493000
2023-10-23,28.16,28.68,28.0,28.25,205000
2023-10-24,28.53,28.72,28.18,28.23,128100
2023-10-25,27.92,28.265,27.75,27.93,232300
2023-10-26,28.07,28.54,27.865,28.06,108900
2023-10-27,27.97,28.02,27.29,28.01,172000
2023-10-30,28.37,29.01,28.3,28.91,192500
2023-10-31,28.85,29.1,28.11,28.3,227400
2023-11-01,28.37,28.6,27.8,28.2,249600
2023-11-02,28.57,28.67,28.24,28.5,183700
2023-11-03,29.08,29.541,28.96,29.0,701100
2023-11-06,29.13,29.13,28.325,28.5,628300
2023-11-07,28.21,28.85,26.41,26.97,384700
2023-11-08,26.58,27.31,26.48,26.87,300000
2023-11-09,27.06,27.155,26.31,26.43,229900
2023-11-10,26.52,26.52,26.06,26.31,333400
2023-11-13,26.22,26.4,25.83,25.84,303500
2023-11-14,26.33,27.67,26.33,27.35,437100
2023-11-15,27.38,28.135,26.94,27.01,322100
2023-11-16,26.89,27.02,26.195,26.23,245600
2023-11-17,26.44,26.81,26.305,26.54,310200
2023-11-20,26.6,26.94,26.01,26.59,212200
2023-11-21,26.39,26.59,25.57,25.64,224500
2023-11-22,25.85,26.15,25.61,25.74,210600
2023-11-24,25.66,26.198,25.07,25.84,89000
2023-11-27,25.67,25.74,25.35,25.48,151700
2023-11-28,25.48,25.6,25.12,25.16,252700
2023-11-29,25.22,25.77,25.205,25.6,189800
2023-11-30,25.73,25.92,25.34,25.62,261000
2023-12-01,25.6,25.8,25.37,25.78,275700
2023-12-04,25.7,25.93,25.305,25.55,247700
2023-12-05,25.52,25.52,25.06,25.15,205700
2023-12-06,25.38,25.91,25.26,25.39,178300
2023-12-07,25.36,25.91,25.273,25.87,133800
2023-12-08,25.83,26.16,25.74,26.0,92300
2023-12-11,26.0,26.44,25.91,26.2,140000
2023-12-12,26.31,26.62,25.88,26.59,150200
2023-12-13,26.66,27.96,26.49,27.85,302200
2023-12-14,28.35,29.26,28.35,29.11,631500
2023-12-15,29.25,29.37,28.47,28.67,699900
2023-12-18,28.75,29.31,28.58,29.29,243600
2023-12-19,29.43,30.08,29.353,30.06,363300
2023-12-20,30.08,30.73,29.34,30.3,416200
2023-12-21,30.46,30.95,29.17,30.7,469400
2023-12-22,30.94,31.55,30.77,31.39,275400
2023-12-26,31.5,31.93,31.34,31.86,142500
2023-12-27,31.99,32.3,31.2,32.26,153400
2023-12-28,32.05,32.15,31.52,32.04,220100
2023-12-29,31.89,32.05,30.77,31.83,276800
2024-01-02,31.65,31.83,31.38,31.72,281300
2024-01-03,31.5,31.59,30.51,31.18,305100
2024-01-04,31.19,31.64,30.97,31.24,366300
2024-01-05,30.93,31.61,30.46,31.5,372200
2024-01-08,31.63,32.42,31.43,32.4,336100
2024-01-09,32.0,32.09,30.56,31.75,281500
2024-01-10,31.62,32.09,31.5,32.07,187200
2024-01-11,31.85,32.295,31.56,31.89,232600
2024-01-12,32.33,32.49,31.7,32.04,221700
