Date,Open,High,Low,Close,Volume
2023-02-10,5.61,5.66,5.45,5.46,125000
2023-02-13,5.57,5.57,5.345,5.5,187800
2023-02-14,5.57,6.036,5.41,5.86,275900
2023-02-15,5.95,6.01,5.81,5.93,173100
2023-02-16,5.9,6.05,5.675,5.9,183900
2023-02-17,5.81,5.92,5.72,5.86,329800
2023-02-21,5.82,5.93,5.58,5.73,214700
2023-02-22,5.785,5.815,5.55,5.59,101000
2023-02-23,5.63,6.15,5.0,5.03,382700
2023-02-24,4.99,5.31,4.84,5.25,280800
2023-02-27,5.35,5.48,5.212,5.43,308900
2023-02-28,5.41,5.76,5.41,5.69,161200
2023-03-01,5.76,5.81,5.399,5.51,148000
2023-03-02,5.45,5.52,5.22,5.22,99700
2023-03-03,5.52,5.62,5.1,5.27,423400
2023-03-06,5.27,5.42,5.08,5.21,120000
2023-03-07,4.76,4.76,4.12,4.21,704100
2023-03-08,4.18,4.25,3.62,3.75,1029500
2023-03-09,3.77,3.97,3.43,3.51,788500
2023-03-10,3.5,3.58,2.95,3.17,1060000
2023-03-13,3.21,3.28,2.92,2.92,425200
2023-03-14,2.96,3.1,2.9,3.04,379900
2023-03-15,2.94,3.11,2.921,3.06,169000
2023-03-16,3.1,3.21,2.865,2.96,808100
2023-03-17,2.93,3.06,2.82,2.83,192000
2023-03-20,2.83,2.9,2.71,2.88,277500
2023-03-21,3.03,3.19,2.97,3.16,95700
2023-03-22,3.2,3.32,2.92,2.92,143700
2023-03-23,2.97,3.18,2.85,2.93,273000
2023-03-24,2.95,3.01,2.65,2.81,215700
2023-03-27,2.87,2.99,2.87,2.93,102600
2023-03-28,2.94,2.99,2.85,2.86,86300
2023-03-29,2.92,3.01,2.855,2.92,87300
2023-03-30,2.95,3.02,2.87,2.91,67500
2023-03-31,2.93,2.94,2.75,2.91,147000
2023-04-03,2.92,2.92,2.57,2.63,250200
2023-04-04,2.67,2.76,2.63,2.69,122300
2023-04-05,2.7,2.72,2.53,2.56,118100
2023-04-06,2.57,2.57,2.23,2.32,972600
2023-04-10,2.31,2.49,2.26,2.44,219700
2023-04-11,2.44,2.61,2.44,2.47,155100
2023-04-12,2.49,2.53,2.31,2.36,144400
2023-04-13,2.37,2.42,2.27,2.31,143200
2023-04-14,2.3,2.35,2.18,2.22,104500
2023-04-17,2.2,2.23,2.15,2.17,80900
2023-04-18,2.16,2.172,2.01,2.07,104400
2023-04-19,2.06,2.19,2.06,2.18,126500
2023-04-20,2.15,2.21,2.13,2.16,105000
2023-04-21,2.17,2.24,2.15,2.2,94900
2023-04-24,2.2,2.24,2.12,2.22,154000
2023-04-25,2.2,2.26,2.2,2.23,95600
2023-04-26,2.24,2.295,2.211,2.23,116400
2023-04-27,2.24,2.3,2.184,2.26,251100
2023-04-28,2.28,2.33,2.19,2.29,518900
2023-05-01,2.27,2.37,2.25,2.3,99600
2023-05-02,2.3,2.33,2.16,2.25,131400
2023-05-03,2.26,2.31,2.21,2.25,42700
2023-05-04,2.2,2.309,2.17,2.25,94500
2023-05-05,2.26,2.32,2.2,2.27,68000
2023-05-08,2.3,2.376,2.16,2.2,190600
2023-05-09,2.49,3.18,2.46,2.8,1387500
2023-05-10,2.84,3.14,2.8,2.81,325500
2023-05-11,2.85,2.85,2.641,2.745,103400
2023-05-12,2.75,2.87,2.6,2.78,120100
2023-05-15,2.78,2.83,2.6,2.82,64800
2023-05-16,2.82,2.83,2.68,2.7,41600
2023-05-17,2.72,2.97,2.64,2.76,171500
2023-05-18,2.75,2.76,2.5,2.57,121800
2023-05-19,2.58,2.74,2.53,2.71,128500
2023-05-22,2.72,2.8,2.57,2.74,129400
2023-05-23,2.71,2.84,2.53,2.71,69200
2023-05-24,2.69,2.78,2.6,2.78,99800
2023-05-25,2.74,2.77,2.57,2.75,101000
2023-05-26,2.8,3.09,2.76,2.92,201100
2023-05-30,2.97,3.033,2.59,2.77,90300
2023-05-31,2.77,2.83,2.62,2.73,77800
2023-06-01,2.74,2.83,2.67,2.77,34500
2023-06-02,2.85,2.85,2.62,2.71,55200
2023-06-05,2.73,2.73,2.51,2.57,71000
2023-06-06,2.53,2.606,2.37,2.56,91900
2023-06-07,2.55,2.62,2.46,2.46,85700
2023-06-08,2.474,2.51,2.29,2.42,111400
2023-06-09,2.43,2.49,2.37,2.37,110000
2023-06-12,2.4,2.54,2.3,2.39,156400
2023-06-13,2.33,2.45,2.33,2.37,170400
2023-06-14,2.4,2.51,2.36,2.38,219800
2023-06-15,2.41,2.43,2.34,2.34,66900
2023-06-16,2.375,2.4,2.2,2.2,124500
2023-06-20,2.19,2.31,2.08,2.13,467600
2023-06-21,2.13,2.21,2.02,2.17,142600
2023-06-22,2.18,2.25,2.11,2.15,115600
2023-06-23,2.11,2.183,2.01,2.09,105000
2023-06-26,2.08,2.3,2.05,2.145,66300
2023-06-27,2.13,2.161,2.06,2.08,187900
2023-06-28,2.08,2.18,2.08,2.15,35200
2023-06-29,2.16,2.24,2.1,2.16,59800
2023-06-30,2.16,2.22,2.105,2.15,116800
2023-07-03,2.15,2.22,2.15,2.22,38500
2023-07-05,2.24,2.27,2.13,2.21,71500
2023-07-06,2.19,2.23,2.12,2.15,86400
2023-07-07,2.24,2.24,2.05,2.07,134100
2023-07-10,2.15,2.294,2.12,2.17,63600
2023-07-11,2.18,2.205,2.1,2.16,68500
2023-07-12,2.18,2.19,2.0,2.09,275100
2023-07-13,2.08,2.17,2.075,2.16,78100
2023-07-14,2.18,2.18,2.03,2.04,171200
2023-07-17,2.09,2.12,2.01,2.04,241600
2023-07-18,2.08,2.179,2.02,2.09,95700
2023-07-19,2.17,2.17,1.96,2.0,537800
2023-07-20,2.05,2.12,2.02,2.06,48500
2023-07-21,2.06,2.1,2.01,2.06,111900
2023-07-24,2.06,2.1,1.9,1.92,174300
2023-07-25,2.02,2.02,1.98,1.98,107900
2023-07-26,1.99,2.0,1.92,2.0,70700
2023-07-27,1.99,2.04,1.981,2.02,28500
2023-07-28,2.03,2.05,1.92,1.97,102900
2023-07-31,1.95,2.0,1.94,1.97,115000
2023-08-01,1.99,2.0,1.92,1.96,65100
2023-08-02,1.96,2.015,1.92,1.95,93200
2023-08-03,1.98,2.01,1.9,1.95,50000
2023-08-04,1.94,1.96,1.87,1.92,87700
2023-08-07,1.9,1.919,1.8,1.9,198500
2023-08-08,2.13,2.16,1.75,1.89,485400
2023-08-09,1.91,2.0,1.78,1.83,289800
2023-08-10,1.88,1.9,1.71,1.84,150000
2023-08-11,1.82,1.82,1.7,1.76,184600
2023-08-14,1.8,1.84,1.62,1.735,517200
2023-08-15,1.71,1.838,1.66,1.8,80500
2023-08-16,1.82,1.89,1.76,1.78,46100
2023-08-17,1.77,1.77,1.68,1.74,75400
2023-08-18,1.73,1.73,1.66,1.68,39600
2023-08-21,1.67,1.686,1.615,1.64,296300
2023-08-22,1.63,1.65,1.561,1.63,254400
2023-08-23,1.62,1.64,1.598,1.6,59800
2023-08-24,1.6,1.63,1.56,1.63,174900
2023-08-25,1.658,1.67,1.595,1.61,52400
2023-08-28,1.61,1.69,1.58,1.62,88400
2023-08-29,1.62,1.715,1.56,1.64,92000
2023-08-30,1.65,1.67,1.63,1.63,69200
2023-08-31,1.6,1.67,1.58,1.64,86400
2023-09-01,1.735,1.735,1.601,1.63,36400
2023-09-05,1.61,1.665,1.589,1.64,77200
2023-09-06,1.66,1.66,1.57,1.6,29900
2023-09-07,1.61,1.61,1.45,1.53,198200
2023-09-08,1.51,1.58,1.46,1.485,89000
2023-09-11,1.48,1.54,1.46,1.52,115200
2023-09-12,1.52,1.52,1.46,1.48,326700
2023-09-13,1.48,1.48,1.45,1.46,207500
