Date,Open,High,Low,Close,Volume
2023-02-06,158.18,159.79,157.39,159.63,283500
2023-02-07,158.61,162.2,157.39,160.59,669400
2023-02-08,160.24,162.45,159.0,160.0,455400
2023-02-09,160.59,161.45,157.61,158.03,272500
2023-02-10,157.12,158.41,156.86,158.09,239400
2023-02-13,158.3,159.22,157.56,157.91,232600
2023-02-14,157.73,159.26,156.43,158.92,335600
2023-02-15,158.29,159.09,157.45,158.77,296300
2023-02-16,156.51,158.74,155.7,157.88,287700
2023-02-17,157.4,158.73,155.72,158.05,352400
2023-02-21,155.68,158.04,154.51,155.7,438900
2023-02-22,156.51,157.43,152.6,153.8,684100
2023-02-23,149.5,150.71,143.82,147.79,1562300
2023-02-24,146.47,147.26,145.34,146.55,544600
2023-02-27,148.2,148.98,144.72,145.19,721400
2023-02-28,145.27,146.56,142.92,143.14,1046200
2023-03-01,142.01,142.23,137.67,138.97,554700
2023-03-02,137.87,142.07,137.87,141.8,560200
2023-03-03,142.68,146.26,142.54,145.8,684100
2023-03-06,146.65,146.94,143.7,145.75,573700
2023-03-07,145.8,145.8,139.84,140.5,458600
2023-03-08,140.28,142.62,140.28,141.19,449900
2023-03-09,141.43,142.3,136.97,137.69,726400
2023-03-10,137.5,138.27,132.98,134.01,628700
2023-03-13,133.35,139.45,132.9,139.0,918200
2023-03-14,140.36,141.98,137.42,138.64,767400
2023-03-15,137.3,139.0,135.71,138.26,579300
2023-03-16,137.46,137.77,134.84,135.69,649600
2023-03-17,135.74,135.83,132.36,134.14,1130300
2023-03-20,134.26,136.63,132.51,135.88,557800
2023-03-21,136.49,136.76,132.74,133.57,580000
2023-03-22,132.48,133.11,129.04,129.45,632800
2023-03-23,130.1,132.0,128.91,129.7,775800
2023-03-24,129.43,133.84,129.34,133.35,807600
2023-03-27,133.98,134.79,132.7,132.76,434800
2023-03-28,131.81,133.65,131.61,133.42,424200
2023-03-29,134.5,137.59,134.5,137.06,584100
2023-03-30,137.79,139.39,137.57,139.37,619700
2023-03-31,139.92,141.62,139.59,140.88,892100
2023-04-03,140.62,141.89,138.67,139.13,889700
2023-04-04,139.83,140.07,138.38,139.65,861300
2023-04-05,139.57,140.28,138.85,139.31,451500
2023-04-06,139.72,140.83,138.7,140.61,474700
2023-04-10,140.55,140.55,138.86,140.41,276000
2023-04-11,140.76,142.64,140.62,141.8,537500
2023-04-12,143.32,143.99,139.73,139.88,521600
2023-04-13,140.02,140.62,138.0,138.76,436500
2023-04-14,138.76,139.31,135.21,136.56,444700
2023-04-17,136.73,138.18,136.38,138.02,705200
2023-04-18,138.32,139.1,137.37,138.01,793900
2023-04-19,136.94,139.89,136.86,139.34,652900
2023-04-20,139.32,139.95,138.44,138.99,807600
2023-04-21,139.74,140.22,137.78,139.62,543200
2023-04-24,139.66,140.33,137.43,138.63,432000
2023-04-25,138.38,139.39,137.51,138.76,626000
2023-04-26,139.0,139.92,136.12,137.11,466800
2023-04-27,134.0,136.7,132.0,135.5,1253800
2023-04-28,136.14,139.47,136.14,138.93,672700
2023-05-01,138.77,140.44,137.99,139.18,681700
2023-05-02,138.96,139.0,133.0,134.52,1013600
2023-05-03,135.1,136.8,133.49,133.81,544500
2023-05-04,133.89,135.83,132.9,133.86,420200
2023-05-05,134.7,136.8,134.4,136.74,380900
2023-05-08,136.19,136.76,135.47,135.65,285600
2023-05-09,134.82,135.61,133.31,134.21,521700
2023-05-10,135.89,136.8,134.2,136.15,462100
2023-05-11,135.35,136.54,134.46,135.95,555700
2023-05-12,136.04,136.36,133.35,134.69,259500
2023-05-15,134.53,134.9,133.38,134.32,380200
2023-05-16,134.06,134.06,130.75,130.86,489400
2023-05-17,130.8,131.33,128.99,130.62,560300
2023-05-18,130.09,130.74,127.06,127.85,506700
2023-05-19,128.47,130.09,128.27,129.13,448900
2023-05-22,129.26,130.87,128.43,130.7,410300
2023-05-23,130.38,131.03,128.56,129.15,489700
2023-05-24,128.51,129.26,126.58,126.99,501300
2023-05-25,127.03,127.91,124.98,126.87,489700
2023-05-26,126.91,128.51,126.17,128.25,389500
2023-05-30,127.63,129.22,127.0,127.42,757700
2023-05-31,128.48,128.48,124.94,126.63,1246100
2023-06-01,126.25,128.31,124.2,128.06,770600
2023-06-02,129.36,132.8,128.19,132.57,752900
2023-06-05,131.95,132.28,129.56,130.3,604700
2023-06-06,131.08,132.86,129.59,132.35,414600
2023-06-07,132.62,133.26,130.91,131.17,624100
2023-06-08,130.57,131.75,129.69,131.22,719200
2023-06-09,131.86,132.68,130.42,130.44,933700
2023-06-12,130.2,132.53,127.52,132.22,870700
2023-06-13,131.38,134.54,130.62,134.51,832600
2023-06-14,134.85,135.54,133.29,133.78,861200
2023-06-15,133.09,134.81,132.32,133.91,681100
2023-06-16,134.25,135.6,133.81,134.87,1110000
2023-06-20,133.73,134.34,132.25,133.56,640700
2023-06-21,132.78,132.92,131.34,132.03,723100
2023-06-22,132.42,132.42,127.27,128.93,501800
2023-06-23,128.89,129.24,124.93,125.13,1157000
2023-06-26,124.78,128.3,124.78,127.58,508900
2023-06-27,128.2,129.76,127.18,129.61,530600
2023-06-28,129.5,130.18,127.95,129.2,666100
2023-06-29,127.78,128.97,127.36,128.57,433700
2023-06-30,129.8,130.77,128.17,130.46,1232700
2023-07-03,130.4,133.14,129.57,131.89,271000
2023-07-05,131.05,132.95,129.74,131.04,729500
2023-07-06,129.04,132.49,126.52,132.18,549500
2023-07-07,131.36,132.52,130.71,131.81,475300
2023-07-10,130.95,132.7,130.09,131.84,451400
2023-07-11,132.22,132.66,130.97,132.63,862400
