Date,Open,High,Low,Close,Volume
2023-01-13,107.19,109.88,107.19,109.75,70800
2023-01-17,110.28,111.09,109.67,110.99,59800
2023-01-18,111.03,112.26,110.34,111.02,92200
2023-01-19,110.51,111.2,106.97,106.98,75100
2023-01-20,108.0,108.0,106.42,107.01,74900
2023-01-23,106.76,107.4,105.66,105.86,39600
2023-01-24,105.0,107.64,104.72,107.07,50600
2023-01-25,106.71,107.89,106.12,107.49,40400
2023-01-26,107.9,108.6,106.97,108.52,38200
2023-01-27,110.03,111.33,109.23,110.96,39100
2023-01-30,110.12,111.86,110.12,111.01,63700
2023-01-31,110.93,115.75,110.53,115.57,62400
2023-02-01,114.57,120.48,114.57,119.15,74900
2023-02-02,120.3,121.85,119.64,120.87,68900
2023-02-03,119.23,121.69,117.21,118.54,132000
2023-02-06,117.69,118.18,116.28,117.5,66800
2023-02-07,117.18,120.56,116.23,120.31,74000
2023-02-08,119.22,120.04,117.28,117.83,63000
2023-02-09,118.51,119.5,115.81,115.91,79300
2023-02-10,115.57,117.1,115.3,116.4,53100
2023-02-13,116.76,118.05,116.15,117.65,52600
2023-02-14,117.22,117.22,114.65,116.13,92900
2023-02-15,115.4,116.81,114.73,116.64,65800
2023-02-16,114.88,116.07,113.27,115.45,78500
2023-02-17,115.97,117.67,114.7,116.92,60700
2023-02-21,115.6,116.05,114.21,114.57,75400
2023-02-22,114.57,116.0,113.79,114.75,84300
2023-02-23,115.32,115.97,113.3,114.3,41200
2023-02-24,112.83,114.03,112.41,114.03,37400
2023-02-27,115.38,115.99,114.47,115.38,45800
2023-02-28,114.92,116.55,114.89,115.68,87700
2023-03-01,116.12,117.69,115.35,117.52,44800
2023-03-02,116.6,118.77,115.9,118.47,40400
2023-03-03,118.99,121.25,117.6,120.76,58600
2023-03-06,121.01,121.01,115.03,116.64,70800
2023-03-07,117.23,118.07,115.5,117.63,72900
2023-03-08,117.79,118.43,117.21,117.93,42700
2023-03-09,118.09,118.91,117.41,117.81,65400
2023-03-10,117.05,117.05,113.22,114.5,67300
2023-03-13,112.68,114.31,111.78,113.31,63700
2023-03-14,115.97,117.36,115.35,116.45,56000
2023-03-15,113.72,114.2,111.14,112.97,82700
2023-03-16,111.51,116.27,111.02,115.41,63800
2023-03-17,114.83,115.11,113.36,114.22,250100
2023-03-20,115.01,116.62,113.99,114.1,53700
2023-03-21,116.06,119.44,116.06,118.2,118100
2023-03-22,118.42,118.42,113.96,114.17,69000
2023-03-23,114.45,117.27,114.26,115.16,60400
2023-03-24,114.13,116.46,112.85,116.35,75700
2023-03-27,117.87,118.55,116.41,117.66,86100
2023-03-28,117.08,118.74,117.01,118.73,50100
2023-03-29,119.8,119.8,118.02,119.32,55400
2023-03-30,120.0,121.11,118.79,120.8,38400
2023-03-31,121.77,122.46,120.11,122.44,105000
2023-04-03,122.66,122.97,119.83,121.88,81200
2023-04-04,122.61,122.61,116.33,116.65,75600
2023-04-05,115.78,116.57,113.89,114.96,51700
2023-04-06,115.5,117.09,114.15,116.31,61000
2023-04-10,115.62,118.69,115.29,118.0,99100
2023-04-11,118.91,119.89,118.07,118.6,53700
2023-04-12,119.98,121.25,118.71,121.02,41400
2023-04-13,121.65,121.65,119.13,121.34,38000
2023-04-14,120.84,121.59,118.13,119.29,49000
2023-04-17,120.27,121.13,119.1,121.0,30700
2023-04-18,121.0,122.35,119.42,120.25,36500
2023-04-19,120.01,120.23,118.6,119.61,41500
2023-04-20,118.84,121.07,118.84,120.73,47100
2023-04-21,121.45,121.45,119.24,120.51,47800
2023-04-24,120.16,121.84,119.9,121.61,41500
2023-04-25,120.39,121.83,119.84,119.94,63600
2023-04-26,118.89,120.1,117.24,118.7,80600
2023-04-27,118.71,121.86,117.72,121.65,57300
2023-04-28,121.65,124.15,121.65,122.81,57400
2023-05-01,122.8,125.65,122.8,125.17,49400
2023-05-02,124.89,127.0,124.01,126.3,68000
2023-05-03,125.59,127.5,124.23,124.35,67500
2023-05-04,123.06,123.31,119.14,119.76,63900
2023-05-05,125.3,130.37,124.93,129.27,104400
2023-05-08,128.6,133.6,128.27,133.07,92200
2023-05-09,133.17,137.48,131.84,134.94,125900
2023-05-10,136.39,137.49,135.65,136.75,93800
2023-05-11,135.91,138.94,135.53,138.61,74900
2023-05-12,139.67,141.56,137.9,137.99,123500
2023-05-15,138.49,138.55,136.42,136.8,41300
2023-05-16,136.37,137.1,135.1,137.1,45400
2023-05-17,137.75,139.49,137.2,139.33,63800
2023-05-18,139.33,141.84,139.11,141.55,39500
2023-05-19,143.09,143.09,139.28,139.72,70400
2023-05-22,139.96,141.98,139.53,141.9,43800
2023-05-23,141.27,142.13,140.35,141.05,68700
2023-05-24,140.8,140.8,137.98,138.0,54000
2023-05-25,137.46,140.01,137.46,139.07,51400
2023-05-26,138.79,140.83,138.32,140.73,29200
2023-05-30,140.9,141.54,139.81,140.32,28800
2023-05-31,139.65,139.84,136.14,136.19,47400
2023-06-01,136.61,139.63,135.53,139.08,55400
2023-06-02,140.96,144.36,137.6,144.07,54100
2023-06-05,144.57,144.57,137.68,138.87,55200
2023-06-06,139.78,144.35,139.62,142.25,71800
2023-06-07,143.34,147.4,143.34,146.29,64500
2023-06-08,145.81,145.96,142.99,142.99,80100
2023-06-09,142.44,143.09,140.85,141.01,54400
2023-06-12,141.55,142.25,140.41,140.85,73500
2023-06-13,141.02,142.02,139.18,139.8,114400
2023-06-14,139.79,140.24,136.63,137.25,82600
2023-06-15,136.61,138.37,135.58,137.96,59900
2023-06-16,139.23,139.34,136.15,137.47,188400
2023-06-20,136.88,139.29,136.64,139.04,51000
2023-06-21,138.45,140.59,138.45,139.11,65400
2023-06-22,139.21,139.21,136.38,136.5,90300
2023-06-23,135.31,137.56,133.72,135.54,468900
2023-06-26,135.62,138.31,135.26,136.04,59900
2023-06-27,136.69,138.64,136.69,137.66,37300
2023-06-28,137.26,138.96,137.26,138.89,63200
2023-06-29,139.28,142.34,139.28,140.65,56500
2023-06-30,141.85,142.9,141.18,141.47,78400
2023-07-03,140.0,141.07,139.25,140.99,30400
2023-07-05,139.15,142.5,138.87,140.59,65300
2023-07-06,139.16,139.16,134.59,136.86,44600
2023-07-07,136.65,138.21,135.13,135.13,38700
