Date,Open,High,Low,Close,Volume
2023-01-13,109.14,113.69,108.02,113.4,387300
2023-01-17,113.45,116.38,112.48,113.36,344100
2023-01-18,114.98,117.85,113.02,113.15,384600
2023-01-19,111.54,111.93,108.55,109.72,517300
2023-01-20,111.95,115.41,110.92,115.35,399100
2023-01-23,116.32,124.42,116.28,124.19,657500
2023-01-24,122.26,125.41,121.93,122.82,397400
2023-01-25,119.47,124.52,118.2,124.05,341900
2023-01-26,125.93,126.89,123.09,126.74,262200
2023-01-27,124.44,127.6,123.75,125.46,391800
2023-01-30,122.77,124.52,121.02,121.46,399600
2023-01-31,120.8,125.44,120.8,125.03,444000
2023-02-01,125.63,135.27,125.59,132.82,763900
2023-02-02,135.76,142.14,135.0,139.84,908100
2023-02-03,126.0,131.14,124.24,124.97,1189900
2023-02-06,123.11,127.14,121.02,122.64,514500
2023-02-07,122.47,131.16,122.47,130.17,741600
2023-02-08,128.61,130.15,124.21,125.14,494800
2023-02-09,128.15,129.0,123.83,124.5,317100
2023-02-10,123.04,124.87,122.28,123.65,389200
2023-02-13,124.03,126.64,122.63,125.43,424900
2023-02-14,122.82,128.52,121.73,127.66,482200
2023-02-15,125.72,129.34,124.11,129.19,335900
2023-02-16,126.16,128.49,124.0,124.07,337100
2023-02-17,123.84,124.02,121.16,122.04,520600
2023-02-21,119.36,120.97,116.18,116.24,453000
2023-02-22,117.17,118.6,116.5,118.46,335500
2023-02-23,122.42,125.91,119.41,124.8,652200
2023-02-24,122.05,122.14,117.86,118.81,414200
2023-02-27,121.64,121.64,118.39,118.83,255400
2023-02-28,118.19,120.46,117.56,117.61,409500
2023-03-01,118.77,120.25,117.86,118.12,203100
2023-03-02,115.69,118.78,114.54,117.77,317700
2023-03-03,117.92,119.91,115.93,119.33,487400
2023-03-06,119.68,119.68,113.51,114.36,500600
2023-03-07,114.28,114.91,110.68,111.19,547300
2023-03-08,111.66,114.43,110.72,113.52,519600
2023-03-09,113.05,115.7,109.99,110.53,505500
2023-03-10,111.15,111.57,106.56,107.51,459400
2023-03-13,105.81,108.38,104.09,105.97,472900
2023-03-14,109.38,109.92,104.59,107.29,482500
2023-03-15,104.58,105.24,101.99,104.39,489600
2023-03-16,103.32,108.57,102.43,107.94,733600
2023-03-17,108.79,108.96,105.5,105.85,756800
2023-03-20,106.7,108.36,105.32,107.91,589100
2023-03-21,109.74,111.29,108.05,110.04,462000
2023-03-22,110.25,111.79,105.96,106.08,481900
2023-03-23,108.72,112.12,107.23,109.22,406800
