Date,Open,High,Low,Close,Volume
2023-01-13,19.95,21.155,19.51,20.96,877200
2023-01-17,21.25,21.51,20.62,20.82,1103600
2023-01-18,20.95,21.13,19.1,19.1,898100
2023-01-19,18.88,20.2,18.88,20.07,776400
2023-01-20,20.29,20.46,19.75,20.18,794500
2023-01-23,20.56,21.085,20.27,20.99,1003400
2023-01-24,21.1,21.3,20.6,20.68,598100
2023-01-25,20.53,20.72,19.98,20.55,747700
2023-01-26,20.91,21.18,20.39,20.94,1005200
2023-01-27,20.82,21.19,20.43,20.44,472800
2023-01-30,19.94,19.94,19.39,19.41,566000
2023-01-31,19.39,19.93,19.04,19.81,1003300
2023-02-01,19.59,19.795,18.6,19.43,975200
2023-02-02,19.42,19.52,18.52,18.87,1232300
2023-02-03,18.9,19.8,18.65,18.69,927200
2023-02-06,19.32,19.42,18.4,18.8,2089500
2023-02-07,18.97,19.045,18.25,18.91,1745700
2023-02-08,18.91,18.99,18.27,18.49,862600
2023-02-09,18.38,18.42,17.86,18.19,1523600
2023-02-10,18.65,19.51,18.5,19.51,849400
2023-02-13,19.36,19.5,18.95,19.0,999900
2023-02-14,18.91,19.21,18.64,18.76,1411400
2023-02-15,18.52,18.66,18.17,18.66,1780500
2023-02-16,18.5,18.895,18.38,18.48,1356000
2023-02-17,18.11,18.125,17.53,17.57,1173600
2023-02-21,17.5,17.7,16.7,16.72,1403200
2023-02-22,16.76,16.86,16.43,16.6,1662100
2023-02-23,17.11,17.19,16.67,17.06,2313500
2023-02-24,16.96,17.89,16.73,17.8,1207800
2023-02-27,17.95,18.255,17.617,18.06,995600
2023-02-28,18.21,18.45,17.805,17.81,1328400
2023-03-01,16.87,17.045,15.49,15.91,3183200
2023-03-02,16.0,16.16,15.67,16.1,2535900
2023-03-03,15.92,16.82,15.77,16.67,1567700
2023-03-06,16.41,16.41,15.71,15.76,2092500
2023-03-07,15.62,15.64,15.11,15.46,1630200
2023-03-08,15.43,15.5,14.84,15.04,1667600
2023-03-09,15.08,15.42,14.42,14.45,1686700
2023-03-10,14.49,14.88,13.94,14.0,2609400
2023-03-13,13.42,14.04,13.14,13.62,2013800
2023-03-14,13.74,14.029,13.27,13.33,2425600
2023-03-15,12.71,12.95,11.67,12.02,3333100
2023-03-16,11.81,12.565,11.67,12.54,2083400
2023-03-17,12.31,12.36,11.74,11.89,4523400
2023-03-20,12.49,13.47,12.39,12.93,3658800
2023-03-21,13.2,13.93,13.1,13.79,2617500
2023-03-22,13.69,13.825,13.25,13.26,1805100
2023-03-23,13.41,13.82,13.085,13.28,2370300
2023-03-24,12.83,14.08,12.76,13.94,2373100
2023-03-27,13.99,14.55,13.84,14.44,1744100
2023-03-28,14.28,14.71,14.24,14.66,1561600
2023-03-29,14.83,15.15,14.695,15.11,1505800
2023-03-30,15.34,15.34,14.61,14.69,1702700
2023-03-31,14.86,14.945,14.64,14.84,1564600
2023-04-03,15.8,16.11,15.39,15.73,2191500
2023-04-04,15.72,15.77,14.925,15.25,1762300
2023-04-05,15.3,15.34,14.865,15.22,1113100
2023-04-06,15.03,15.07,14.79,14.8,1367700
2023-04-10,15.0,15.199,14.76,14.94,1881300
2023-04-11,15.0,15.025,14.68,14.94,2144300
2023-04-12,15.0,15.05,14.755,14.88,1579400
2023-04-13,14.76,15.02,14.76,14.83,1411600
2023-04-14,14.94,15.1,14.77,15.06,2277800
2023-04-17,15.1,15.21,14.4,14.5,1976800
2023-04-18,14.48,14.82,14.405,14.67,1448700
2023-04-19,14.31,14.69,14.274,14.67,1596600
2023-04-20,14.5,14.93,13.6,13.98,3604500
2023-04-21,14.38,14.405,13.735,13.83,1082600
2023-04-24,13.55,13.878,13.455,13.75,1407600
2023-04-25,13.49,13.49,12.97,12.98,1300200
2023-04-26,12.84,13.01,12.44,12.58,1274800
2023-04-27,12.75,12.92,12.52,12.7,2198000
