Date,Open,High,Low,Close,Volume
2023-01-13,61.45,62.83,60.31,62.45,402200
2023-01-17,62.17,62.53,61.58,62.2,487400
2023-01-18,61.64,61.67,59.35,59.66,557100
2023-01-19,61.05,63.7,60.42,63.02,1401800
2023-01-20,63.85,64.95,61.02,63.59,818900
2023-01-23,63.42,64.97,63.42,64.09,483700
2023-01-24,64.06,64.32,62.82,63.0,463200
2023-01-25,62.56,62.85,61.08,62.09,442700
2023-01-26,62.52,63.49,61.75,62.87,383300
2023-01-27,63.03,63.78,62.66,63.31,336500
2023-01-30,62.83,63.45,62.52,62.72,264800
2023-01-31,62.97,66.12,62.88,66.07,497900
2023-02-01,65.71,68.29,65.71,67.41,630800
2023-02-02,67.76,68.9,67.48,68.5,379500
2023-02-03,68.07,69.27,67.18,68.58,473800
2023-02-06,68.37,68.49,67.57,68.35,245700
2023-02-07,68.03,68.9,67.59,68.63,340100
2023-02-08,68.29,68.88,67.44,68.39,282200
2023-02-09,68.39,68.89,66.97,66.99,311300
2023-02-10,66.54,67.15,66.02,66.66,290500
2023-02-13,66.52,67.32,66.3,67.02,270500
2023-02-14,67.02,67.72,65.79,66.45,287600
2023-02-15,65.81,67.31,65.81,66.55,310800
2023-02-16,65.9,66.13,64.97,65.45,416300
2023-02-17,65.77,66.44,65.32,66.14,306100
2023-02-21,65.8,66.38,64.86,65.84,341200
2023-02-22,65.91,66.24,64.48,65.1,395400
2023-02-23,65.35,66.5,64.81,65.48,280600
2023-02-24,64.93,65.67,64.3,65.59,286000
2023-02-27,66.04,66.91,65.53,65.92,220400
2023-02-28,65.75,66.71,65.55,66.23,399900
2023-03-01,65.73,66.15,65.0,65.53,378100
2023-03-02,64.99,65.7,63.82,65.55,492700
2023-03-03,65.86,66.76,65.21,66.7,337200
2023-03-06,66.99,67.62,65.93,66.31,358000
2023-03-07,65.93,66.24,64.23,64.47,384800
2023-03-08,64.64,65.4,64.01,64.75,314800
2023-03-09,64.1,64.22,61.01,61.83,731000
2023-03-10,60.24,63.04,57.75,61.13,1654700
2023-03-13,54.91,54.91,45.81,51.4,3526300
2023-03-14,56.35,60.02,54.3,55.47,1657400
2023-03-15,50.94,55.72,50.93,55.28,1361200
2023-03-16,53.39,59.51,52.41,57.92,1490400
2023-03-17,56.19,56.79,53.36,53.96,2211300
2023-03-20,55.61,56.29,53.12,53.5,858800
2023-03-21,56.43,57.98,54.58,55.33,956800
2023-03-22,55.2,55.2,51.38,51.41,660000
2023-03-23,51.48,51.71,48.68,48.94,935300
2023-03-24,48.05,50.22,47.81,50.05,1491800
2023-03-27,52.37,52.65,49.9,50.3,731500
2023-03-28,49.98,50.52,49.33,49.7,508000
2023-03-29,50.49,50.59,49.32,50.28,836000
2023-03-30,51.21,51.65,48.67,48.71,568400
2023-03-31,49.18,52.56,48.11,48.96,635700
2023-04-03,48.98,50.13,48.34,49.26,534500
2023-04-04,49.22,49.22,46.92,48.28,749900
2023-04-05,47.52,48.33,47.11,47.74,466100
2023-04-06,47.5,49.06,47.18,48.22,394100
2023-04-10,47.68,49.26,47.68,49.16,515300
2023-04-11,49.32,49.84,48.82,49.47,342800
2023-04-12,49.34,49.79,48.7,49.36,485900
2023-04-13,49.63,50.63,48.81,50.17,389100
2023-04-14,50.83,51.05,48.58,48.88,423300
2023-04-17,48.66,49.88,48.17,49.84,493700
2023-04-18,49.83,50.26,48.51,49.05,327700
2023-04-19,49.21,51.71,48.61,51.01,527300
2023-04-20,51.5,54.54,51.0,52.3,1075400
2023-04-21,52.22,52.79,51.19,51.86,621100
2023-04-24,51.59,52.14,51.0,51.12,398600
2023-04-25,50.2,50.89,48.84,49.17,449500
2023-04-26,49.71,51.24,49.55,50.2,482400
2023-04-27,50.63,51.28,50.07,50.66,391100
2023-04-28,50.84,51.58,49.98,50.25,506400
2023-05-01,50.55,50.97,48.79,49.1,462100
2023-05-02,49.33,49.58,46.35,47.29,862300
2023-05-03,47.78,49.31,46.57,46.8,556300
2023-05-04,45.11,45.98,43.37,45.16,776500
2023-05-05,47.49,48.64,46.27,48.35,614200
2023-05-08,49.08,49.55,46.56,46.91,398300
2023-05-09,46.66,47.29,45.68,46.72,317200
2023-05-10,47.69,47.69,45.43,45.97,314700
2023-05-11,45.3,45.72,43.7,43.75,512600
2023-05-12,44.19,44.19,42.79,43.8,377100
2023-05-15,44.16,45.85,43.66,45.36,212200
2023-05-16,45.65,47.52,45.37,46.93,615900
2023-05-17,47.85,51.97,47.77,51.76,783500
2023-05-18,51.62,52.09,50.76,51.14,584500
2023-05-19,51.8,51.84,48.77,49.08,496200
2023-05-22,49.98,51.71,49.29,51.46,377300
2023-05-23,51.46,53.09,51.02,51.45,584300
2023-05-24,50.75,50.88,49.67,50.19,356800
2023-05-25,49.84,50.6,48.46,49.37,385300
2023-05-26,49.34,49.59,48.49,49.53,317400
2023-05-30,49.56,49.82,48.56,49.17,294800
2023-05-31,49.02,49.18,46.54,47.3,770000
2023-06-01,47.61,48.5,46.67,47.58,568900
2023-06-02,48.62,51.65,48.58,51.46,524900
2023-06-05,51.11,51.11,48.48,49.3,540200
2023-06-06,49.26,52.6,48.98,52.09,588600
2023-06-07,52.93,54.85,52.34,53.66,614700
2023-06-08,53.21,54.09,52.14,53.67,362200
2023-06-09,53.57,53.57,52.09,52.23,266100
2023-06-12,52.34,54.09,52.24,52.78,348400
2023-06-13,52.78,55.44,52.17,55.4,643500
2023-06-14,55.25,55.43,53.02,53.28,398000
2023-06-15,52.61,54.69,52.61,54.41,291500
2023-06-16,54.93,54.93,53.16,53.45,850800
2023-06-20,53.85,53.85,52.69,53.07,241700
2023-06-21,52.63,52.64,51.79,52.15,249900
2023-06-22,51.8,52.15,49.7,49.81,321600
2023-06-23,48.95,49.86,48.41,48.94,443000
2023-06-26,49.24,50.62,49.24,49.69,236400
