Date,Open,High,Low,Close,Volume
2023-01-13,38.2,39.45,37.6,39.05,546600
2023-01-17,39.5,41.01,38.63,41.0,983600
2023-01-18,41.68,43.16,40.07,40.51,1339000
2023-01-19,40.22,41.87,39.65,41.0,806500
2023-01-20,41.69,42.55,40.74,42.52,724500
2023-01-23,42.52,43.38,42.09,42.6,885300
2023-01-24,42.36,42.67,40.85,42.49,767600
2023-01-25,42.8,43.8,41.97,43.33,736400
2023-01-26,43.74,44.21,42.56,43.0,637200
2023-01-27,43.23,44.01,42.84,43.25,474100
2023-01-30,42.99,43.52,42.08,42.42,603700
2023-01-31,42.42,43.82,42.09,43.4,659500
2023-02-01,43.19,44.82,42.47,44.39,865400
2023-02-02,44.19,44.19,41.23,42.03,1126400
2023-02-03,41.85,44.69,41.84,43.7,614900
2023-02-06,43.99,44.42,43.04,43.7,448300
2023-02-07,43.73,45.23,43.45,45.11,709100
2023-02-08,45.25,46.78,45.21,45.82,735400
2023-02-09,45.57,45.81,44.32,44.47,536500
2023-02-10,44.87,45.51,44.59,45.28,647300
2023-02-13,44.67,45.25,43.56,45.07,426100
2023-02-14,44.54,46.32,44.03,46.01,611700
2023-02-15,45.58,46.34,44.78,45.96,524900
2023-02-16,45.7,47.12,45.04,45.06,827500
2023-02-17,44.43,45.75,43.72,44.01,603500
2023-02-21,43.76,44.3,42.48,42.87,810900
2023-02-22,42.53,43.08,40.88,41.49,870900
2023-02-23,42.76,43.96,42.53,43.39,1457700
2023-02-24,42.63,44.15,42.16,43.81,1031900
2023-02-27,43.81,45.48,43.5,45.25,840200
2023-02-28,46.27,51.65,46.2,48.84,1519200
2023-03-01,48.81,49.32,47.56,48.88,750300
2023-03-02,48.51,49.09,47.36,48.04,589600
2023-03-03,47.57,49.72,47.45,49.5,743600
2023-03-06,49.06,49.58,48.08,48.94,708100
2023-03-07,50.13,51.88,50.0,51.78,1436400
2023-03-08,51.57,51.71,48.94,50.44,950700
2023-03-09,50.34,51.37,47.11,47.11,749100
2023-03-10,47.36,48.35,45.54,45.84,724800
2023-03-13,44.16,44.98,42.45,42.71,1265200
2023-03-14,43.09,45.29,42.87,43.4,696200
2023-03-15,40.82,41.29,38.32,39.27,1507900
2023-03-16,38.55,40.14,38.52,39.81,994400
2023-03-17,39.74,39.97,37.76,39.71,1584000
