Date,Open,High,Low,Close,Volume
2023-01-13,46.4,48.11,46.07,48.04,683400
2023-01-17,48.12,48.5,46.33,47.0,887200
2023-01-18,48.21,48.51,47.22,47.34,1081900
2023-01-19,46.72,47.08,45.07,45.5,441300
2023-01-20,45.88,46.95,45.42,46.94,535000
2023-01-23,46.97,47.96,46.62,47.83,715200
2023-01-24,47.91,49.42,47.32,49.14,568300
2023-01-25,48.5,48.8,47.57,48.51,606400
2023-01-26,49.12,49.68,48.53,49.64,485600
2023-01-27,49.48,50.55,49.33,50.31,611700
2023-01-30,49.94,50.87,49.74,50.37,593700
2023-01-31,50.22,51.22,50.01,50.97,859700
2023-02-01,50.52,52.45,50.31,51.7,880900
2023-02-02,51.8,52.5,51.07,52.49,765700
2023-02-03,51.94,53.37,51.79,52.8,1023200
2023-02-06,52.51,52.84,51.61,52.14,1166100
2023-02-07,51.94,52.48,51.31,52.28,820300
2023-02-08,51.58,52.24,51.34,51.46,576300
2023-02-09,52.5,52.73,51.18,51.47,800800
2023-02-10,51.5,54.69,51.5,54.32,1733200
2023-02-13,54.81,57.48,54.32,57.47,1361400
2023-02-14,56.9,57.17,55.25,56.62,1278600
2023-02-15,55.92,56.75,55.28,56.15,780300
2023-02-16,55.39,56.39,55.05,55.61,582800
2023-02-17,55.91,57.01,55.5,56.93,991300
2023-02-21,56.15,56.41,55.42,55.87,1200400
2023-02-22,55.99,56.55,55.52,55.75,1476400
2023-02-23,56.0,57.88,56.0,57.58,1479300
2023-02-24,56.62,58.4,56.43,58.35,1261400
2023-02-27,58.97,59.16,57.31,57.67,1339700
2023-02-28,57.99,59.64,57.78,59.21,1315400
2023-03-01,58.97,60.01,58.89,59.99,785800
2023-03-02,59.26,60.08,59.08,59.91,682400
2023-03-03,59.92,60.39,59.29,60.32,736600
2023-03-06,60.0,60.85,59.16,59.4,690700
2023-03-07,59.34,59.97,58.41,58.57,851500
2023-03-08,58.77,59.7,57.59,59.2,731200
2023-03-09,59.53,60.15,57.53,57.6,628700
2023-03-10,57.01,57.23,52.95,53.23,1537200
2023-03-13,52.0,52.57,50.42,51.12,1112900
2023-03-14,52.74,53.73,51.99,52.84,852800
2023-03-15,51.01,51.54,48.41,49.64,1231200
2023-03-16,48.87,50.37,48.09,49.68,1081400
2023-03-17,48.39,48.39,45.07,45.31,2280700
2023-03-20,46.42,47.7,46.19,47.04,1344500
2023-03-21,48.68,49.71,48.09,49.28,1346600
2023-03-22,49.13,49.24,47.3,47.45,1284100
2023-03-23,47.51,48.83,46.07,46.61,930800
2023-03-24,45.32,46.02,44.25,46.0,983100
2023-03-27,46.3,46.9,45.52,46.36,844300
2023-03-28,46.23,47.04,45.93,46.74,814300
2023-03-29,47.44,47.57,46.88,47.01,673500
2023-03-30,47.6,47.97,47.14,47.36,506500
2023-03-31,47.98,48.75,47.86,48.38,818300
2023-04-03,48.34,49.11,47.29,47.73,1036700
2023-04-04,47.93,47.93,42.5,44.11,3263800
2023-04-05,43.48,43.7,42.44,42.88,1620700
2023-04-06,42.86,42.97,41.89,42.31,1402400
2023-04-10,42.39,43.69,42.33,42.85,1179200
2023-04-11,43.03,43.99,42.97,43.33,1058200
2023-04-12,44.1,45.02,43.9,44.82,1548000
2023-04-13,44.98,45.57,43.33,44.5,1032300
2023-04-14,44.64,45.77,44.42,44.84,663800
2023-04-17,45.09,46.27,45.09,46.0,961000
2023-04-18,46.0,46.59,46.0,46.14,767400
2023-04-19,45.89,46.29,45.25,45.77,582300
2023-04-20,45.28,45.97,44.98,45.33,701700
2023-04-21,45.12,45.27,44.11,45.22,1070000
2023-04-24,45.22,46.41,45.22,46.35,851200
2023-04-25,45.7,46.02,44.47,44.49,781300
2023-04-26,44.08,45.0,43.96,44.11,658900
2023-04-27,43.98,44.24,42.5,43.67,873200
2023-04-28,43.39,44.97,43.39,44.59,1012600
2023-05-01,44.73,46.19,44.66,46.0,1744600
2023-05-02,48.3,49.5,45.75,48.25,3263900
2023-05-03,49.45,51.19,48.91,49.68,1936500
2023-05-04,49.39,49.7,45.6,45.78,1637400
2023-05-05,47.08,48.13,47.08,47.87,1174100
2023-05-08,48.59,48.6,46.39,47.51,1301900
2023-05-09,46.97,47.91,46.56,47.48,491300
2023-05-10,48.37,48.61,46.57,47.67,598000
2023-05-11,46.76,47.43,46.42,46.89,595800
2023-05-12,47.31,47.63,46.22,46.86,431100
2023-05-15,47.09,47.96,46.61,47.51,637800
2023-05-16,47.0,47.33,45.97,46.0,649000
2023-05-17,46.59,48.58,46.58,48.03,808800
2023-05-18,47.71,48.85,47.34,48.71,591100
2023-05-19,49.55,49.7,47.75,48.45,721500
2023-05-22,48.52,49.02,47.53,48.57,648900
2023-05-23,48.25,49.38,47.65,47.97,602700
2023-05-24,47.53,47.66,46.61,47.2,390100
2023-05-25,46.84,48.07,46.59,47.93,405800
2023-05-26,48.24,48.45,47.51,48.23,375700
2023-05-30,48.31,48.63,47.4,47.87,641800
2023-05-31,47.46,47.85,45.91,46.37,692200
2023-06-01,46.43,48.11,46.24,47.69,528900
2023-06-02,49.19,52.11,49.19,51.91,954100
2023-06-05,51.18,51.6,50.04,50.98,561500
2023-06-06,50.66,54.85,50.56,54.35,1164900
2023-06-07,54.73,56.51,54.4,56.19,773800
2023-06-08,55.84,56.31,54.87,55.67,781900
2023-06-09,55.78,55.96,54.19,54.5,809200
2023-06-12,54.51,56.08,54.2,55.87,716900
2023-06-13,56.08,58.27,56.07,57.77,946600
2023-06-14,57.9,58.63,56.24,57.23,819400
2023-06-15,56.63,58.11,56.44,58.05,674800
2023-06-16,58.85,58.85,57.04,58.1,1092200
2023-06-20,57.6,57.87,56.57,57.48,865800
2023-06-21,56.89,58.41,56.51,57.36,596600
2023-06-22,57.2,57.46,56.19,56.91,538600
2023-06-23,56.0,56.0,55.2,55.78,1370600
2023-06-26,55.93,57.73,55.93,56.9,658800
2023-06-27,56.86,58.92,56.56,58.73,558100
2023-06-28,58.62,59.23,57.91,58.74,413100
2023-06-29,59.18,60.09,58.89,59.37,507200
2023-06-30,60.25,60.35,59.2,59.83,616300
2023-07-03,59.67,61.01,59.67,61.01,342000
2023-07-05,60.35,60.59,58.98,58.98,572200
2023-07-06,58.27,58.41,56.74,57.56,638700
2023-07-07,57.38,59.48,57.31,58.52,572400
2023-07-10,58.38,59.58,58.36,58.99,564700
2023-07-11,59.32,60.97,58.76,60.89,705900
2023-07-12,62.61,63.91,62.02,62.93,915500
2023-07-13,62.91,63.61,62.18,63.29,656000
2023-07-14,63.31,63.31,60.97,62.03,641500
2023-07-17,61.62,63.08,61.62,62.4,479600
2023-07-18,62.42,65.64,62.42,65.38,986200
2023-07-19,64.98,65.58,63.07,63.5,992900
2023-07-20,63.99,64.11,61.83,61.91,782600
2023-07-21,62.37,62.37,61.14,61.49,601000
2023-07-24,61.45,62.17,60.91,61.12,504500
2023-07-25,60.71,60.85,58.89,59.09,1135700
2023-07-26,58.74,59.27,56.96,57.7,1216200
2023-07-27,57.94,58.05,56.57,56.76,825500
2023-07-28,57.4,58.56,56.94,57.39,635100
2023-07-31,57.75,58.75,57.64,58.63,580700
2023-08-01,59.48,62.21,59.45,62.03,2321800
2023-08-02,60.95,64.94,60.95,63.74,1947700
2023-08-03,64.53,64.63,62.21,63.33,1193400
2023-08-04,63.58,63.7,61.45,62.75,1139200
2023-08-07,63.32,64.14,62.41,63.11,912300
2023-08-08,62.18,62.65,60.84,62.39,684100
2023-08-09,63.0,63.0,61.03,61.24,717200
2023-08-10,61.85,62.39,59.55,60.85,1002600
2023-08-11,60.68,61.0,60.03,60.68,778800
2023-08-14,60.31,60.88,59.49,60.78,388100
2023-08-15,60.17,60.53,59.57,60.0,546700
2023-08-16,60.0,62.1,58.42,58.46,982900
2023-08-17,58.82,59.18,56.79,57.0,740500
