Date,Open,High,Low,Close,Volume
2023-01-13,236.67,242.98,236.67,240.98,262800
2023-01-17,240.46,242.6,238.02,241.1,338200
2023-01-18,241.4,243.26,235.19,236.44,241800
2023-01-19,235.51,237.73,234.79,235.2,366000
2023-01-20,235.63,236.47,232.98,235.69,354100
2023-01-23,236.18,239.35,236.09,238.28,276600
2023-01-24,237.4,239.61,235.29,235.62,185200
2023-01-25,233.07,240.37,231.64,240.36,173300
2023-01-26,241.6,241.85,237.88,241.01,196200
2023-01-27,240.11,245.12,239.4,243.86,197700
2023-01-30,241.91,243.22,239.32,241.04,185700
2023-01-31,241.03,243.59,240.55,243.42,180200
2023-02-01,243.5,250.76,242.45,250.18,223700
2023-02-02,250.72,265.24,250.09,262.22,475600
2023-02-03,259.15,264.25,258.45,258.47,476900
2023-02-06,256.29,256.29,251.3,253.41,242700
2023-02-07,251.58,257.64,249.87,257.5,185400
2023-02-08,256.36,257.41,251.82,253.95,180000
2023-02-09,254.8,255.34,248.41,248.47,171400
2023-02-10,247.94,248.83,243.3,245.48,286800
2023-02-13,246.43,247.25,244.53,245.9,155100
2023-02-14,245.7,248.21,241.82,245.26,193000
2023-02-15,243.74,247.62,243.04,247.17,245300
2023-02-16,243.46,247.1,243.0,246.35,208000
2023-02-17,245.68,248.24,244.89,247.47,230100
2023-02-21,245.18,245.18,239.8,241.33,251000
2023-02-22,242.54,244.67,239.27,240.75,403100
2023-02-23,229.8,240.0,229.64,235.77,676500
2023-02-24,232.56,237.44,230.56,235.18,666600
2023-02-27,237.02,240.2,235.36,238.93,402100
2023-02-28,238.93,240.58,238.13,238.23,574800
2023-03-01,235.85,237.22,231.19,233.66,315700
2023-03-02,231.53,235.71,230.77,235.67,252600
2023-03-03,237.99,239.65,235.38,239.19,347400
2023-03-06,239.2,240.0,233.48,233.66,240800
2023-03-07,233.54,234.36,228.14,230.38,418900
2023-03-08,229.31,230.38,226.96,227.58,250900
2023-03-09,228.81,231.88,227.75,228.85,464200
2023-03-10,228.68,229.31,221.48,222.88,394600
2023-03-13,221.09,226.87,221.09,223.03,361300
2023-03-14,226.67,231.09,224.02,227.06,687700
2023-03-15,223.08,226.56,222.09,225.49,464500
2023-03-16,223.49,235.13,222.12,232.22,592300
2023-03-17,232.15,236.93,229.69,235.84,630500
2023-03-20,234.86,237.76,234.09,237.32,293600
2023-03-21,238.68,245.96,237.33,244.87,556700
2023-03-22,244.95,247.04,240.64,240.8,494700
2023-03-23,241.71,245.78,240.62,241.34,343000
2023-03-24,241.01,249.15,239.28,248.93,288100
2023-03-27,251.43,253.68,246.8,247.02,338800
2023-03-28,246.14,248.84,245.58,246.36,244200
2023-03-29,247.62,249.17,245.95,246.33,290300
2023-03-30,248.92,250.54,247.51,248.95,201500
2023-03-31,250.0,253.64,249.14,253.31,211900
2023-04-03,252.42,253.6,250.09,251.84,220100
2023-04-04,252.52,256.42,252.01,256.09,193000
2023-04-05,256.18,263.06,254.14,262.17,331100
2023-04-06,262.49,264.75,259.04,262.49,312000
2023-04-10,260.6,262.62,259.35,261.6,155500
2023-04-11,262.91,267.22,261.42,266.5,211600
2023-04-12,268.65,269.38,260.77,261.55,240100
2023-04-13,263.32,265.08,260.42,262.7,257500
2023-04-14,262.39,264.77,260.44,263.83,156700
2023-04-17,264.39,264.39,257.91,260.65,220000
2023-04-18,261.96,263.08,258.12,259.69,249900
2023-04-19,258.76,269.48,257.98,268.49,473200
2023-04-20,267.54,268.22,264.19,267.53,295600
2023-04-21,268.87,271.31,268.36,269.21,264000
2023-04-24,270.28,273.23,268.93,269.32,156700
2023-04-25,267.73,270.17,267.5,268.34,163100
2023-04-26,263.03,266.4,261.66,265.68,325800
2023-04-27,264.83,269.86,263.68,268.66,214000
2023-04-28,269.25,274.02,269.25,272.52,284100
2023-05-01,271.5,276.2,271.09,274.11,262200
2023-05-02,273.67,275.64,268.17,268.7,316700
2023-05-03,271.12,276.43,268.47,272.12,441900
2023-05-04,261.0,261.0,244.47,248.9,888000
2023-05-05,250.98,258.32,250.82,257.95,437300
2023-05-08,256.85,259.53,249.23,259.18,422300
2023-05-09,258.74,258.74,251.04,251.99,355100
2023-05-10,253.0,253.0,244.7,249.51,287400
2023-05-11,248.56,249.93,245.14,249.69,213200
2023-05-12,249.45,251.13,247.66,249.59,241100
2023-05-15,250.1,250.7,247.89,248.31,160200
2023-05-16,246.76,248.37,245.72,246.71,180400
2023-05-17,247.45,247.45,241.69,245.48,206900
2023-05-18,245.88,246.36,243.02,245.19,197200
2023-05-19,246.33,247.59,243.12,243.78,195000
2023-05-22,243.61,247.05,243.4,245.34,185800
2023-05-23,243.79,244.64,236.55,237.27,195700
2023-05-24,235.81,235.81,232.58,233.09,209800
2023-05-25,231.2,233.43,227.94,233.17,262300
2023-05-26,233.81,235.34,231.92,232.35,186500
2023-05-30,232.29,234.45,230.86,232.06,181100
2023-05-31,231.89,236.49,231.14,234.75,436800
2023-06-01,234.68,235.82,230.39,233.77,266000
2023-06-02,234.84,236.59,233.43,236.47,317600
2023-06-05,236.38,240.67,234.45,240.67,317100
2023-06-06,240.59,242.69,233.59,235.98,333600
2023-06-07,236.8,241.01,234.75,240.09,309600
2023-06-08,240.54,241.25,237.72,238.56,190300
2023-06-09,238.95,238.95,236.2,237.06,197600
2023-06-12,237.19,238.55,235.01,235.44,239000
2023-06-13,234.85,240.08,234.44,239.06,249000
2023-06-14,242.78,252.48,240.26,244.53,459700
2023-06-15,244.16,250.2,241.9,248.8,314000
2023-06-16,250.95,253.29,249.03,252.4,443200
2023-06-20,250.29,255.62,248.49,252.98,374400
2023-06-21,245.36,246.72,240.02,244.89,515000
2023-06-22,245.66,246.5,242.91,243.43,380200
2023-06-23,241.48,242.45,235.01,237.3,688000
2023-06-26,237.45,240.04,234.75,239.53,268200
2023-06-27,239.18,239.18,234.8,236.62,237000
2023-06-28,236.77,237.05,232.91,234.94,300600
2023-06-29,233.6,236.24,232.45,234.95,182500
2023-06-30,237.53,244.46,237.53,242.03,342100
2023-07-03,240.96,242.67,237.37,238.73,100400
2023-07-05,237.66,238.47,236.13,237.61,140000
2023-07-06,235.77,235.87,233.36,234.38,183100
2023-07-07,233.77,238.04,233.07,235.92,153000
2023-07-10,236.67,240.5,236.04,239.12,174300
2023-07-11,240.03,243.5,239.19,242.98,180000
2023-07-12,245.09,248.11,242.83,246.64,162100
2023-07-13,246.75,248.92,244.92,247.07,212400
2023-07-14,247.12,249.9,245.24,245.86,301300
2023-07-17,244.87,247.25,242.17,247.25,199600
