Date,Open,High,Low,Close,Volume
2023-01-13,70.6,73.05,70.15,71.99,141400
2023-01-17,71.88,72.95,71.65,71.86,62600
2023-01-18,72.4,73.52,72.13,72.96,87100
2023-01-19,72.51,72.51,70.47,71.49,79300
2023-01-20,72.32,73.29,70.69,72.55,99000
2023-01-23,72.67,73.16,72.02,72.97,77800
2023-01-24,72.65,73.22,71.96,73.1,75700
2023-01-25,72.09,72.22,68.52,68.52,118800
2023-01-26,69.39,71.03,68.76,71.0,90200
2023-01-27,70.99,73.03,70.85,72.0,58800
2023-01-30,71.5,73.02,71.15,72.34,96000
2023-01-31,72.47,74.44,72.34,74.43,193300
2023-02-01,74.14,76.0,73.52,75.28,174900
2023-02-02,75.5,76.13,73.32,73.99,335700
2023-02-03,73.35,74.88,72.48,73.4,329500
2023-02-06,73.09,74.16,71.21,73.15,96900
2023-02-07,72.8,74.33,71.97,74.21,113700
2023-02-08,73.45,74.65,73.23,73.68,95600
2023-02-09,74.33,75.54,72.2,72.66,112400
2023-02-10,72.42,73.43,70.78,71.23,79000
2023-02-13,71.37,72.86,70.48,72.46,82400
2023-02-14,72.19,72.83,71.17,71.91,90000
2023-02-15,71.14,72.88,70.8,72.04,97300
2023-02-16,71.1,73.38,70.28,72.36,89800
2023-02-17,72.38,73.29,71.4,73.19,119400
2023-02-21,72.08,72.87,70.19,70.19,112300
2023-02-22,67.04,68.51,61.0,65.38,568800
2023-02-23,65.3,67.12,63.95,65.13,384300
2023-02-24,64.04,64.74,63.11,63.55,206900
2023-02-27,64.3,65.0,63.74,63.78,165600
2023-02-28,63.65,64.15,62.96,63.51,239300
2023-03-01,63.58,64.7,62.91,64.28,139100
2023-03-02,63.65,64.83,63.26,64.8,137000
2023-03-03,65.36,67.82,65.27,66.63,211100
2023-03-06,66.74,67.43,64.08,64.33,123500
2023-03-07,64.05,64.07,62.88,63.05,97900
2023-03-08,63.23,64.45,62.68,64.0,209700
2023-03-09,64.04,64.56,62.04,62.29,159400
2023-03-10,61.88,62.61,59.07,59.63,151000
2023-03-13,58.4,58.99,56.81,58.47,238500
2023-03-14,60.07,60.3,58.99,59.91,208200
2023-03-15,58.28,59.85,57.53,59.38,213900
2023-03-16,58.5,60.76,58.5,60.08,221500
2023-03-17,59.47,59.74,57.9,58.35,461900
2023-03-20,58.58,60.25,58.58,58.85,118800
2023-03-21,59.74,60.71,59.34,59.34,117000
2023-03-22,59.32,59.88,57.77,57.92,115500
2023-03-23,58.29,58.76,56.8,57.39,243100
2023-03-24,57.03,58.14,56.43,57.75,143500
