Date,Open,High,Low,Close,Volume
2023-01-13,76.23,77.79,76.23,77.3,17000
2023-01-17,76.94,76.94,75.65,76.52,17200
2023-01-18,76.0,76.25,74.19,74.75,32600
2023-01-19,74.05,74.85,73.93,74.04,23600
2023-01-20,75.2,75.61,74.19,75.26,42000
2023-01-23,75.01,75.46,74.82,75.15,22900
2023-01-24,75.0,75.18,74.5,74.5,21300
2023-01-25,74.18,74.94,74.18,74.48,19600
2023-01-26,74.48,74.69,74.27,74.69,14800
2023-01-27,76.59,76.63,75.35,75.35,16300
2023-01-30,74.84,74.91,74.28,74.28,22000
2023-01-31,74.42,76.17,74.42,75.33,56600
2023-02-01,74.72,76.47,74.27,75.08,35200
2023-02-02,75.58,77.77,75.58,77.77,124600
2023-02-03,77.0,78.92,77.0,78.47,46900
2023-02-06,77.1,77.67,76.34,77.42,193800
2023-02-07,76.89,79.48,76.57,79.14,155600
2023-02-08,78.71,79.02,77.08,77.23,116500
2023-02-09,77.3,77.3,75.85,76.21,25100
2023-02-10,75.88,76.79,75.55,76.28,28300
2023-02-13,77.01,77.35,76.53,76.58,26800
2023-02-14,76.89,76.91,75.62,75.62,19000
2023-02-15,76.03,77.99,75.6,77.53,47000
2023-02-16,76.77,77.04,76.08,76.43,21700
2023-02-17,76.1,77.45,75.79,77.36,45100
2023-02-21,76.82,76.82,75.82,75.83,35900
2023-02-22,76.01,76.2,75.16,75.62,42600
2023-02-23,75.82,76.1,74.97,75.57,16100
2023-02-24,74.93,75.69,74.83,75.3,26100
2023-02-27,75.7,75.7,74.6,75.21,21400
2023-02-28,74.48,75.53,74.48,74.79,51400
2023-03-01,75.11,75.11,74.12,74.45,29100
2023-03-02,73.81,74.81,73.31,73.6,31600
2023-03-03,74.38,74.95,73.55,74.56,30300
2023-03-06,74.18,74.92,73.41,73.49,52900
2023-03-07,72.79,74.16,72.41,72.82,48300
2023-03-08,72.97,73.3,72.31,73.13,50700
2023-03-09,72.55,72.55,69.56,69.93,50700
2023-03-10,68.0,75.93,68.0,71.64,130200
2023-03-13,68.82,71.63,66.29,66.53,175500
2023-03-14,70.37,72.36,67.63,68.19,78600
2023-03-15,66.75,69.18,66.08,68.31,68700
2023-03-16,67.3,72.79,66.94,71.7,59000
2023-03-17,70.99,70.99,67.05,68.36,196700
2023-03-20,68.71,69.91,67.55,67.61,78800
2023-03-21,69.03,70.94,68.91,69.46,43000
2023-03-22,68.97,69.7,66.12,66.12,43700
2023-03-23,67.45,67.5,64.22,65.33,46000
2023-03-24,65.0,67.86,64.52,67.47,40100
2023-03-27,68.0,68.15,66.9,66.9,40000
2023-03-28,66.73,67.51,66.14,66.67,30700
2023-03-29,67.01,67.37,66.5,67.19,38400
2023-03-30,67.73,67.73,64.94,65.48,24700
2023-03-31,65.43,66.43,65.06,66.21,42800
2023-04-03,66.02,66.31,64.67,65.27,43900
2023-04-04,65.48,65.48,62.58,63.55,44800
2023-04-05,62.92,63.96,62.92,63.54,33100
2023-04-06,63.18,64.31,63.18,63.61,35800
2023-04-10,63.61,64.75,63.07,63.73,42200
2023-04-11,63.95,64.45,63.3,63.33,26000
2023-04-12,64.2,64.2,62.1,62.63,22800
2023-04-13,62.12,63.43,62.12,62.97,25800
2023-04-14,63.58,63.58,60.0,60.75,39200
2023-04-17,59.85,62.6,59.66,62.48,59800
2023-04-18,62.63,62.63,60.03,60.1,35300
2023-04-19,60.45,62.29,60.0,61.41,45100
2023-04-20,61.01,61.01,60.02,60.82,41200
2023-04-21,60.51,60.51,58.74,59.45,42400
2023-04-24,59.63,60.31,59.58,60.23,37500
2023-04-25,59.7,59.7,57.56,58.02,32300
2023-04-26,57.61,58.6,57.23,58.24,37900
2023-04-27,58.45,59.2,58.07,59.03,28600
2023-04-28,59.0,60.02,58.08,58.62,66300
2023-05-01,58.21,59.4,58.09,58.28,37300
2023-05-02,57.9,58.89,54.48,54.95,80000
2023-05-03,54.77,55.88,52.91,53.33,44900
2023-05-04,52.95,53.0,48.68,52.21,61800
2023-05-05,54.15,55.28,53.06,55.02,41000
2023-05-08,55.19,55.34,52.6,53.03,25700
2023-05-09,52.68,54.5,51.44,51.81,59000
2023-05-10,53.33,53.64,51.21,52.11,43200
2023-05-11,50.86,52.32,50.32,50.57,25900
2023-05-12,51.2,51.2,49.46,50.83,32400
2023-05-15,50.88,52.0,50.35,51.18,51500
2023-05-16,50.9,53.58,50.9,52.22,59300
2023-05-17,53.52,56.24,53.02,55.83,64300
2023-05-18,55.51,56.27,54.27,54.62,49800
2023-05-19,56.58,56.58,52.55,53.7,42000
2023-05-22,54.54,54.96,53.81,54.89,31700
2023-05-23,55.11,56.88,55.11,55.65,45500
2023-05-24,55.7,55.7,54.69,54.78,28900
2023-05-25,54.56,54.66,53.5,53.86,20800
2023-05-26,53.84,54.52,53.15,54.25,34600
2023-05-30,55.04,55.04,53.3,53.95,20900
2023-05-31,53.54,53.64,51.51,52.3,45900
2023-06-01,53.16,54.05,52.09,53.83,46600
2023-06-02,53.95,57.54,53.72,57.39,50400
2023-06-05,56.73,56.73,54.4,54.63,42300
2023-06-06,54.57,58.96,54.39,58.26,52800
2023-06-07,59.21,61.3,58.59,60.87,71800
2023-06-08,60.58,61.28,59.45,61.08,51400
2023-06-09,61.37,61.37,59.73,60.49,40100
2023-06-12,60.63,60.63,58.61,58.95,61600
2023-06-13,58.49,60.7,58.49,60.57,42800
2023-06-14,60.96,61.43,58.24,58.67,73800
2023-06-15,59.17,60.3,58.5,60.1,37000
2023-06-16,60.52,60.52,58.6,59.85,121500
2023-06-20,59.57,59.57,58.77,58.88,42900
2023-06-21,59.31,59.31,57.34,57.45,56000
2023-06-22,58.22,58.22,55.7,56.61,62000
2023-06-23,55.88,57.04,55.5,56.93,101900
2023-06-26,56.3,56.82,53.34,56.13,42700
2023-06-27,56.15,57.96,56.15,57.09,36700
2023-06-28,56.86,56.86,56.02,56.26,26300
2023-06-29,56.92,57.44,56.64,56.68,35300
2023-06-30,56.5,56.75,55.56,55.7,35900
2023-07-03,55.28,56.99,55.27,56.99,21100
2023-07-05,56.03,56.74,55.22,55.45,47300
2023-07-06,54.84,55.0,53.45,54.24,47000
2023-07-07,54.71,56.03,54.3,55.0,46900
2023-07-10,55.0,56.73,55.0,55.38,37100
2023-07-11,55.59,56.34,55.0,56.13,38000
2023-07-12,56.94,58.0,56.32,56.58,38900
2023-07-13,57.44,57.73,56.18,56.84,43700
2023-07-14,57.25,57.25,55.5,56.12,30300
