Date,Open,High,Low,Close,Volume
2023-01-13,67.11,68.24,67.11,67.51,78600
2023-01-17,67.81,68.49,67.77,68.11,36300
2023-01-18,68.28,68.59,66.85,66.92,30600
2023-01-19,66.61,67.28,65.93,66.59,40800
2023-01-20,67.06,68.15,66.66,67.46,56500
2023-01-23,67.29,68.57,67.29,67.82,39700
2023-01-24,67.15,67.96,66.84,67.56,25300
2023-01-25,67.19,68.21,66.86,67.97,24500
2023-01-26,68.28,68.28,66.75,67.11,48900
2023-01-27,66.87,68.18,66.87,67.4,30000
2023-01-30,67.26,67.87,67.09,67.2,30600
2023-01-31,67.5,70.24,67.5,70.13,78500
2023-02-01,70.04,71.92,69.47,70.59,59800
2023-02-02,71.04,71.97,70.86,71.18,56600
2023-02-03,71.0,72.01,70.62,70.66,81500
2023-02-06,70.35,70.66,69.75,70.27,50900
2023-02-07,69.87,70.43,68.98,69.88,56900
2023-02-08,69.34,69.78,68.19,68.25,65700
2023-02-09,68.58,68.79,66.41,66.55,83700
2023-02-10,66.27,67.72,66.05,66.77,127700
2023-02-13,67.11,68.55,66.5,68.16,43300
2023-02-14,67.68,68.5,67.15,67.95,48100
2023-02-15,67.74,68.97,67.5,68.58,44100
2023-02-16,68.06,69.31,67.55,68.81,46400
2023-02-17,69.19,70.33,68.99,69.83,54600
2023-02-21,69.12,69.56,67.57,68.01,205000
2023-02-22,68.43,69.91,68.05,68.46,185300
2023-02-23,69.5,73.41,68.86,73.0,191400
2023-02-24,71.41,72.84,70.59,71.8,91200
2023-02-27,72.45,74.18,72.45,72.88,153300
2023-02-28,71.84,72.7,70.24,70.82,76500
2023-03-01,70.8,71.8,70.39,71.52,95700
2023-03-02,70.86,72.17,70.73,72.0,95500
2023-03-03,72.34,72.44,71.53,72.24,128600
2023-03-06,72.11,72.14,70.61,71.27,165600
2023-03-07,71.16,71.72,70.33,70.6,70500
2023-03-08,70.88,70.9,69.41,70.35,69200
2023-03-09,70.43,70.71,69.45,69.55,61500
2023-03-10,69.12,69.12,66.91,67.52,80500
2023-03-13,66.44,66.85,64.58,65.0,101200
2023-03-14,66.65,67.29,65.6,66.72,59500
2023-03-15,65.08,65.21,63.9,64.71,81800
2023-03-16,63.86,66.46,63.47,65.88,77800
2023-03-17,65.53,65.53,64.08,64.87,308100
2023-03-20,65.48,66.72,65.08,65.32,76800
2023-03-21,66.34,67.45,65.81,66.1,83200
2023-03-22,66.26,66.37,64.49,64.53,58900
2023-03-23,64.58,65.58,63.66,64.3,62900
2023-03-24,63.62,64.84,63.3,64.66,62200
2023-03-27,65.54,65.61,64.88,65.17,51900
2023-03-28,64.85,66.26,64.85,66.2,56400
2023-03-29,66.66,66.92,65.96,66.82,78000
2023-03-30,67.14,67.45,66.43,66.98,65100
2023-03-31,67.53,68.61,67.26,68.53,89000
2023-04-03,68.38,69.56,68.38,69.1,93200
2023-04-04,69.4,69.4,65.64,66.31,53000
2023-04-05,65.77,66.24,65.43,65.64,47500
2023-04-06,65.65,65.89,65.14,65.52,32000
