Date,Open,High,Low,Close,Volume
2023-01-13,19.29,20.035,19.29,19.91,3063900
2023-01-17,19.95,20.95,19.68,20.17,4441500
2023-01-18,20.76,21.02,19.955,20.3,3840100
2023-01-19,19.88,20.0,18.92,19.28,3863100
2023-01-20,19.51,20.87,19.435,20.77,3009700
2023-01-23,21.03,22.36,20.77,22.34,7487500
2023-01-24,21.5,22.269,21.167,21.46,4519000
2023-01-25,20.88,22.145,20.04,22.06,6166400
2023-01-26,22.78,22.99,21.96,22.44,5449700
2023-01-27,22.2,23.075,22.15,22.77,5551200
2023-01-30,22.21,22.52,21.89,22.04,3776100
2023-01-31,22.14,22.55,21.84,22.31,4887600
2023-02-01,22.38,23.225,21.98,23.15,6142700
2023-02-02,23.99,24.74,23.82,24.74,9771000
2023-02-03,23.73,24.405,23.39,23.85,5033700
2023-02-06,23.46,24.02,23.105,23.26,4100900
2023-02-07,23.41,24.05,23.125,23.91,3753600
2023-02-08,23.84,24.44,23.41,23.44,2927100
2023-02-09,23.52,23.93,22.545,22.83,7739900
2023-02-10,22.3,22.82,21.96,22.8,4015800
2023-02-13,23.57,24.465,23.36,23.94,8486300
2023-02-14,23.6,25.78,23.42,25.11,12061500
2023-02-15,25.0,26.035,24.89,25.96,11195600
2023-02-16,21.04,21.83,19.52,20.03,36920600
2023-02-17,20.01,20.02,18.85,19.48,17489400
2023-02-21,19.03,19.63,18.61,19.53,8515500
2023-02-22,19.58,20.28,19.345,20.16,7053200
2023-02-23,20.45,20.67,20.0,20.51,5160700
2023-02-24,20.01,20.01,19.0,19.46,8904800
2023-02-27,19.69,19.78,18.92,19.02,5690400
2023-02-28,19.0,19.25,18.84,18.92,7915400
2023-03-01,18.82,18.96,18.105,18.41,7954100
2023-03-02,18.16,18.4,17.92,18.25,6455700
2023-03-03,18.45,19.04,18.45,18.8,4672800
2023-03-06,18.87,19.025,18.39,18.41,5048000
2023-03-07,18.49,19.03,18.22,18.41,6137700
2023-03-08,18.74,19.27,18.56,19.14,8061300
2023-03-09,18.93,19.3,18.025,18.29,6760200
2023-03-10,18.25,18.27,17.045,17.33,10068300
2023-03-13,17.01,17.52,16.51,17.38,9529100
2023-03-14,17.73,17.9,17.45,17.73,7562400
2023-03-15,17.42,17.58,16.99,17.19,12059700
2023-03-16,17.15,17.59,16.81,17.41,9223700
2023-03-17,17.11,17.24,16.56,17.11,8451200
2023-03-20,16.9,17.07,16.43,16.67,5513800
2023-03-21,16.95,17.47,16.825,17.3,4575600
2023-03-22,17.34,17.4,16.535,16.56,4889600
2023-03-23,16.67,16.9,15.98,16.11,7319200
2023-03-24,15.9,16.37,15.77,16.23,5072300
2023-03-27,16.45,16.6,16.215,16.47,3662500
2023-03-28,16.32,16.505,16.065,16.24,3153600
2023-03-29,16.62,16.87,16.52,16.85,3298700
2023-03-30,17.24,17.335,16.88,17.02,2431500
2023-03-31,17.14,17.78,16.94,17.75,5174700
2023-04-03,17.66,17.87,17.395,17.86,2996500
2023-04-04,17.99,18.04,17.41,17.57,3248500
2023-04-05,17.34,17.42,16.305,16.37,5597000
2023-04-06,16.11,16.625,16.095,16.55,4413900
2023-04-10,16.365,17.365,16.35,17.25,7134200
2023-04-11,17.4,18.01,17.33,17.66,7645400
2023-04-12,18.01,18.15,17.62,17.75,7625200
2023-04-13,17.94,18.29,17.88,17.97,3481600
2023-04-14,17.76,17.93,17.24,17.57,3744500
2023-04-17,17.54,17.82,17.46,17.77,3357200
2023-04-18,18.01,18.03,17.24,17.56,3359000
2023-04-19,17.81,18.33,17.21,18.05,7444900
2023-04-20,17.76,18.225,17.67,17.78,2855800
2023-04-21,17.79,17.99,17.63,17.92,2711800
2023-04-24,17.91,18.13,17.3,17.68,3182700
2023-04-25,17.58,17.72,17.22,17.25,3903500
2023-04-26,17.68,18.265,17.595,17.86,4402900
2023-04-27,18.21,18.37,17.8,18.27,4901100
2023-04-28,18.06,18.31,17.81,18.2,2476200
2023-05-01,18.14,18.41,17.28,17.52,5209300
2023-05-02,17.36,17.47,16.975,17.22,4623400
2023-05-03,17.16,18.1,17.06,17.53,3977100
2023-05-04,17.8,18.05,17.48,17.6,6971700
2023-05-05,17.91,18.49,17.875,18.43,7250100
2023-05-08,18.5,19.76,18.44,19.35,10982500
2023-05-09,19.03,19.77,18.96,19.46,9306700
2023-05-10,20.45,21.2,19.71,21.12,18446100
2023-05-11,20.87,21.04,20.52,20.8,9632200
2023-05-12,20.835,20.835,19.23,19.49,7749700
2023-05-15,19.44,19.68,18.99,19.43,7257100
2023-05-16,19.29,19.3,18.44,18.73,6935500
2023-05-17,19.25,20.69,19.04,20.43,8504200
2023-05-18,20.59,21.16,20.53,21.05,6653500
2023-05-19,20.96,20.98,20.475,20.81,5035300
2023-05-22,20.86,21.6,20.76,21.3,4625800
2023-05-23,20.99,21.585,20.455,20.52,10944700
2023-05-24,20.22,21.37,20.05,21.36,7842000
2023-05-25,21.67,21.98,21.18,21.32,5459400
2023-05-26,21.43,22.215,21.4,21.42,4702700
2023-05-30,21.88,22.16,21.38,21.74,5846300
2023-05-31,21.54,21.72,20.745,20.97,12713000
2023-06-01,21.2,21.84,20.89,21.58,10883500
2023-06-02,21.58,21.67,20.31,21.07,9870300
2023-06-05,20.93,22.01,20.84,21.96,5777600
2023-06-06,21.84,22.485,21.755,22.25,5270700
2023-06-07,22.28,22.6,21.725,21.8,5371400
2023-06-08,21.69,21.98,21.49,21.93,4382500
2023-06-09,22.23,22.48,21.72,21.86,4051100
2023-06-12,22.25,23.25,22.25,23.18,8883400
