Date,Open,High,Low,Close,Volume
2023-01-13,27.87,28.23,27.59,28.11,283300
2023-01-17,27.99,28.24,27.81,27.84,258000
2023-01-18,28.0,28.52,27.67,27.7,236300
2023-01-19,27.59,27.59,27.02,27.23,281000
2023-01-20,27.6,27.6,27.15,27.39,348200
2023-01-23,27.49,27.68,27.25,27.35,372800
2023-01-24,27.13,27.9,26.98,27.61,270900
2023-01-25,27.42,28.1,27.4,27.96,277700
2023-01-26,28.18,28.45,27.62,28.25,239700
2023-01-27,28.25,28.43,28.05,28.31,267200
2023-01-30,28.13,28.28,27.72,27.79,249400
2023-01-31,28.04,28.78,27.75,28.77,434600
2023-02-01,28.61,28.97,28.4,28.42,663100
2023-02-02,28.57,28.69,27.64,28.6,622400
2023-02-03,28.52,28.8,28.35,28.74,476300
2023-02-06,28.59,28.73,27.72,28.13,443100
2023-02-07,27.92,28.56,27.69,28.38,563100
2023-02-08,28.1,28.34,27.57,27.65,410600
2023-02-09,27.81,27.81,26.91,27.12,479700
2023-02-10,27.08,27.37,26.79,27.35,334700
2023-02-13,27.41,27.84,27.29,27.8,240900
2023-02-14,27.63,27.91,27.07,27.38,264300
2023-02-15,27.08,27.61,26.87,27.47,295100
2023-02-16,27.06,28.19,27.02,27.75,403400
2023-02-17,28.13,28.56,27.8,28.38,588500
2023-02-21,27.39,27.6,24.48,26.08,1433900
2023-02-22,25.92,26.17,25.26,25.65,784500
2023-02-23,25.81,26.62,25.81,26.61,499600
2023-02-24,26.42,26.91,26.11,26.82,504300
2023-02-27,27.22,27.48,27.14,27.37,388000
2023-02-28,27.42,28.22,27.31,27.91,680600
2023-03-01,27.82,28.2,27.74,27.92,449800
2023-03-02,27.6,27.86,27.18,27.85,378300
2023-03-03,28.19,28.39,27.0,28.06,989300
2023-03-06,27.92,28.13,27.01,27.2,497500
2023-03-07,26.91,27.01,25.88,25.88,534100
2023-03-08,25.92,26.51,25.78,26.29,432200
2023-03-09,26.4,26.58,25.78,25.81,310800
2023-03-10,25.62,25.64,24.81,25.01,593900
2023-03-13,24.62,24.62,23.21,23.22,834500
2023-03-14,24.01,24.02,23.0,23.31,1504600
2023-03-15,22.51,22.86,21.99,22.61,1249200
2023-03-16,22.21,23.29,21.87,23.01,623200
2023-03-17,22.7,22.77,22.0,22.06,1504600
2023-03-20,22.38,23.32,22.29,23.03,680800
2023-03-21,23.63,23.96,23.38,23.83,747900
2023-03-22,24.38,24.69,23.55,23.57,774800
2023-03-23,23.71,23.95,22.67,22.87,680700
2023-03-24,22.49,23.25,22.26,23.23,466900
2023-03-27,23.61,23.9,23.46,23.55,385200
2023-03-28,23.51,23.93,23.51,23.74,323800
2023-03-29,24.15,24.22,23.66,23.92,316100
2023-03-30,24.31,24.5,23.75,23.9,269700
2023-03-31,24.13,24.37,23.99,24.36,377900
2023-04-03,24.54,24.76,24.12,24.39,294100
2023-04-04,24.46,24.46,23.52,23.78,302200
2023-04-05,23.58,23.88,23.29,23.52,328500
2023-04-06,23.68,23.7,23.24,23.36,247300
2023-04-10,23.78,24.4,23.58,24.13,478300
2023-04-11,24.25,24.76,24.25,24.45,387100
2023-04-12,24.79,24.79,24.42,24.54,260200
2023-04-13,24.34,24.4,24.01,24.07,414700
2023-04-14,24.07,24.33,23.68,23.71,430500
2023-04-17,23.81,24.28,23.81,24.19,373500
2023-04-18,24.29,24.4,23.72,23.83,345200
2023-04-19,23.68,24.0,23.59,23.97,232100
2023-04-20,23.78,24.01,23.7,23.94,298600
2023-04-21,24.1,24.1,23.64,23.94,289800
2023-04-24,23.97,24.3,23.92,24.03,258100
2023-04-25,23.72,23.95,23.58,23.8,296000
2023-04-26,23.58,23.78,23.06,23.21,306600
2023-04-27,23.19,23.82,23.1,23.76,298900
2023-04-28,23.73,24.28,23.73,23.95,366800
2023-05-01,24.06,24.6,23.78,23.83,372800
2023-05-02,22.54,23.15,20.07,21.67,972600
2023-05-03,21.68,21.98,21.13,21.76,775300
2023-05-04,21.55,21.66,20.4,20.7,539200
2023-05-05,21.07,21.64,21.07,21.53,343000
2023-05-08,21.77,21.77,21.02,21.32,305100
2023-05-09,21.11,21.21,20.91,21.08,313600
2023-05-10,21.44,21.44,20.56,20.94,347000
2023-05-11,20.75,20.97,20.59,20.93,254400
2023-05-12,21.07,21.11,20.45,20.73,296700
2023-05-15,20.86,21.03,20.68,20.83,343400
2023-05-16,20.62,20.75,20.42,20.61,334400
2023-05-17,20.95,21.38,20.87,21.25,437200
2023-05-18,21.18,21.39,20.85,21.37,380400
2023-05-19,21.78,21.78,21.14,21.4,299900
2023-05-22,21.39,21.57,21.0,21.45,383300
2023-05-23,21.34,21.81,21.34,21.56,347300
2023-05-24,21.52,21.52,20.91,21.0,249500
2023-05-25,20.77,21.19,20.58,21.17,301000
2023-05-26,21.14,21.55,21.05,21.51,225100
2023-05-30,21.55,21.63,21.31,21.52,276700
2023-05-31,21.33,21.44,20.92,21.15,390400
2023-06-01,21.31,21.57,21.06,21.46,367300
2023-06-02,21.96,22.89,21.79,22.78,355700
2023-06-05,22.67,22.68,21.48,21.93,368300
2023-06-06,21.74,22.5,21.74,22.3,1005500
2023-06-07,22.52,23.64,21.87,23.57,707000
2023-06-08,23.48,23.49,22.92,23.09,429600
2023-06-09,23.09,23.09,22.68,22.96,334500
2023-06-12,22.85,23.21,22.42,23.05,427800
2023-06-13,23.25,23.77,23.18,23.5,383100
2023-06-14,23.64,23.81,23.32,23.48,381500
2023-06-15,23.45,23.9,23.36,23.9,434200
2023-06-16,24.08,24.08,23.52,23.89,1532200
2023-06-20,23.66,23.84,23.36,23.62,368700
2023-06-21,23.49,23.97,23.37,23.93,344600
2023-06-22,23.95,23.95,23.39,23.61,388300
2023-06-23,23.28,23.69,22.96,23.49,1377700
2023-06-26,23.51,23.87,23.47,23.72,294600
2023-06-27,23.61,24.15,23.5,24.0,334600
2023-06-28,24.03,24.13,23.74,24.1,278500
2023-06-29,24.66,25.69,24.66,25.57,512300
2023-06-30,25.78,26.03,25.54,25.71,386400
2023-07-03,25.58,25.96,25.55,25.8,295300
2023-07-05,25.57,25.65,25.37,25.43,456700
2023-07-06,25.16,25.32,24.64,25.07,353300
2023-07-07,25.12,25.8,25.12,25.49,272400
2023-07-10,25.34,25.81,25.34,25.69,389900
2023-07-11,25.83,26.02,25.6,25.82,297800
2023-07-12,26.15,26.19,25.67,25.72,330800
2023-07-13,25.55,25.87,25.3,25.73,218100
2023-07-14,25.66,25.66,25.13,25.62,215200
2023-07-17,25.58,25.86,25.47,25.5,350900
2023-07-18,25.44,25.84,25.26,25.62,319000
2023-07-19,25.76,25.95,25.54,25.88,296300
2023-07-20,26.0,26.1,25.76,25.93,215100
2023-07-21,26.0,26.0,25.45,25.49,266600
2023-07-24,25.36,25.78,25.26,25.7,185000
2023-07-25,25.7,25.86,25.55,25.74,222300
2023-07-26,25.86,26.23,25.82,25.85,232700
2023-07-27,25.95,26.08,25.65,25.69,333700
2023-07-28,25.98,26.13,25.77,25.79,337700
2023-07-31,26.01,26.31,26.01,26.22,430100
2023-08-01,24.01,25.6,23.83,25.58,686900
2023-08-02,25.68,26.89,25.68,26.87,502900
2023-08-03,26.79,26.79,26.07,26.16,325600
2023-08-04,26.26,26.26,25.68,25.71,291900
2023-08-07,25.69,26.31,25.69,26.26,203700
2023-08-08,25.77,26.18,25.5,26.15,245900
2023-08-09,26.13,26.3,25.87,26.03,244300
2023-08-10,26.01,26.5,26.01,26.25,280900
2023-08-11,26.2,26.3,25.98,26.23,250200
2023-08-14,26.16,26.18,25.66,26.01,256600
2023-08-15,25.87,25.87,25.43,25.48,188000
2023-08-16,25.47,25.76,25.21,25.22,205700
2023-08-17,25.22,25.56,25.22,25.33,195800
2023-08-18,25.14,25.47,25.08,25.22,281300
2023-08-21,25.14,25.17,24.78,24.89,244600
2023-08-22,24.98,25.21,24.69,24.71,183700
2023-08-23,24.89,25.17,24.73,25.11,203400
2023-08-24,24.95,25.26,24.91,24.95,254100
2023-08-25,25.13,25.24,24.66,24.86,155800
2023-08-28,24.92,25.31,24.9,24.93,183500
2023-08-29,24.97,25.31,24.77,25.16,239600
2023-08-30,25.21,25.36,24.95,25.01,220800
2023-08-31,25.06,25.26,24.95,25.07,288600
2023-09-01,25.29,25.59,25.29,25.55,267900
2023-09-05,25.21,25.21,24.05,24.11,448700
2023-09-06,24.15,24.42,23.78,23.87,287400
2023-09-07,24.07,24.07,23.08,23.38,341600
2023-09-08,23.31,23.64,23.14,23.57,215600
2023-09-11,23.69,23.96,23.53,23.79,248000
2023-09-12,23.71,23.96,23.64,23.79,198300
2023-09-13,23.79,23.79,23.46,23.58,245900
2023-09-14,23.83,24.36,23.83,24.35,318400
2023-09-15,24.22,24.36,23.88,24.02,1055100
2023-09-18,24.18,24.37,23.99,24.02,245700
2023-09-19,24.11,24.76,24.11,24.6,468200
2023-09-20,24.78,25.3,24.76,24.86,412500
2023-09-21,24.75,25.5,24.44,25.35,644200
2023-09-22,25.39,25.57,24.99,25.29,400700
2023-09-25,25.09,25.9,25.09,25.36,440700
2023-09-26,25.17,25.34,24.59,24.59,368400
2023-09-27,24.84,25.02,24.58,24.81,306700
2023-09-28,24.71,25.26,24.71,25.01,417000
2023-09-29,25.19,25.19,24.24,24.35,449800
2023-10-02,24.16,24.16,23.54,23.58,476900
2023-10-03,23.51,23.6,23.19,23.34,302300
2023-10-04,22.43,22.73,21.0,21.24,775000
2023-10-05,21.26,21.77,21.11,21.39,654100
2023-10-06,21.46,21.8,21.0,21.6,528400
2023-10-09,21.47,22.04,21.34,21.97,472500
2023-10-10,22.12,22.58,22.08,22.23,337600
2023-10-11,22.25,22.58,22.18,22.58,353600
2023-10-12,22.38,22.38,21.85,22.0,243800
2023-10-13,22.2,22.28,21.84,21.91,258600
2023-10-16,23.28,23.57,22.5,22.94,485300
2023-10-17,22.78,23.33,22.78,23.06,494900
2023-10-18,22.71,22.73,22.22,22.27,357900
2023-10-19,22.15,22.43,21.71,21.76,372500
2023-10-20,21.86,21.97,21.53,21.58,429600
2023-10-23,21.51,21.76,21.24,21.3,335900
2023-10-24,21.55,21.55,21.04,21.04,291600
2023-10-25,20.6,20.68,20.04,20.12,735800
2023-10-26,20.39,20.67,20.19,20.65,567000
2023-10-27,20.65,20.65,20.22,20.29,422000
2023-10-30,20.55,20.85,20.35,20.8,400900
2023-10-31,20.74,20.91,20.57,20.83,295700
2023-11-01,20.65,20.88,20.43,20.7,416900
2023-11-02,21.64,22.92,21.18,22.75,529500
2023-11-03,23.23,24.27,23.15,24.0,619900
2023-11-06,23.91,23.96,23.41,23.93,422800
2023-11-07,23.81,23.81,23.44,23.53,292000
2023-11-08,23.52,23.6,22.92,23.09,323600
2023-11-09,23.37,23.46,22.99,23.08,249100
2023-11-10,23.3,23.49,23.0,23.36,244900
2023-11-13,23.23,23.53,23.16,23.32,231900
2023-11-14,23.5,24.3,23.5,24.28,565400
2023-11-15,24.35,24.89,24.35,24.71,329200
2023-11-16,24.66,24.71,24.11,24.43,300800
2023-11-17,24.79,25.06,24.64,24.92,511000
2023-11-20,24.76,24.93,24.6,24.85,378700
2023-11-21,24.72,24.81,24.5,24.57,193000
2023-11-22,24.76,24.76,24.39,24.64,171800
2023-11-24,24.72,24.86,24.55,24.74,89200
2023-11-27,24.53,24.84,24.34,24.64,330700
2023-11-28,24.49,24.61,24.2,24.23,340100
2023-11-29,24.58,24.78,24.45,24.6,288800
2023-11-30,24.68,24.99,24.39,24.96,430800
2023-12-01,24.96,25.65,24.95,25.62,397900
2023-12-04,25.5,26.22,25.5,26.16,407500
2023-12-05,26.06,26.06,25.36,25.54,397100
2023-12-06,25.84,26.16,25.57,25.58,324800
2023-12-07,25.75,26.34,25.71,26.34,386600
2023-12-08,26.35,26.84,26.35,26.56,284400
2023-12-11,26.59,26.68,26.34,26.56,344400
2023-12-12,26.5,26.78,26.28,26.64,329400
2023-12-13,26.61,27.61,26.3,27.47,638700
2023-12-14,28.0,28.75,27.98,28.61,444900
2023-12-15,28.65,28.86,28.11,28.33,972900
2023-12-18,28.46,28.46,27.12,27.19,654300
2023-12-19,27.54,27.74,27.2,27.37,1059700
2023-12-20,27.34,27.46,25.84,25.86,1240200
2023-12-21,26.26,26.45,25.91,26.36,537200
2023-12-22,26.58,26.84,26.17,26.35,446400
2023-12-26,26.51,26.73,26.36,26.51,522200
2023-12-27,26.49,26.63,26.31,26.45,401700
2023-12-28,26.25,26.77,26.2,26.77,365600
2023-12-29,26.75,26.9,26.29,26.59,329000
2024-01-02,26.44,26.76,26.32,26.59,512500
2024-01-03,26.3,26.47,25.8,26.11,461900
2024-01-04,26.09,26.47,25.92,25.95,581000
2024-01-05,26.06,26.83,26.01,26.23,480200
2024-01-08,26.07,26.54,25.89,26.52,380200
2024-01-09,26.1,26.1,25.51,25.52,497800
2024-01-10,25.33,25.48,25.11,25.37,525100
2024-01-11,24.97,25.0,24.51,24.93,483300
2024-01-12,25.24,25.24,24.69,24.84,231400
2024-01-16,24.49,24.65,24.31,24.42,295700
2024-01-17,23.93,24.19,23.79,23.84,364800
2024-01-18,23.89,23.98,23.4,23.84,346100
2024-01-19,23.94,24.7,23.64,24.69,480300
2024-01-22,24.96,25.72,24.87,25.5,500300
2024-01-23,25.9,26.18,25.5,25.57,454500
2024-01-24,26.06,26.06,25.28,25.47,362100
2024-01-25,25.82,26.12,25.57,25.86,355400
2024-01-26,26.05,26.15,25.73,25.87,304700
2024-01-29,25.87,25.94,25.44,25.92,343900
2024-01-30,25.67,26.03,25.62,26.01,424400
2024-01-31,26.07,26.26,25.1,25.14,799900
2024-02-01,25.22,25.43,24.85,25.4,422400
2024-02-02,25.01,25.77,24.82,25.57,436100
2024-02-05,25.18,25.51,24.94,25.31,325300
2024-02-06,25.25,26.0,25.25,25.87,410100
2024-02-07,25.99,25.99,25.36,25.53,435500
2024-02-08,25.51,26.04,25.43,26.0,357900
2024-02-09,26.04,26.34,25.6,26.32,319300
2024-02-12,26.31,27.04,26.19,26.74,559400
2024-02-13,25.92,25.98,25.38,25.76,605100
2024-02-14,26.15,26.6,25.94,26.46,415100
2024-02-15,26.67,27.34,26.67,27.31,485000
2024-02-16,26.89,27.21,26.51,26.54,427400
2024-02-20,26.11,26.49,26.02,26.31,522100
2024-02-21,26.33,26.61,26.09,26.53,484600
2024-02-22,25.93,26.21,24.53,25.43,739600
2024-02-23,25.17,25.17,23.67,24.59,676700
2024-02-26,24.41,24.5,24.11,24.25,629700
2024-02-27,24.45,24.67,24.21,24.58,429800
2024-02-28,24.29,24.91,24.29,24.4,464100
2024-02-29,24.75,25.46,24.69,25.38,628600
2024-03-01,25.29,25.29,24.89,25.04,347800
2024-03-04,25.02,25.18,24.65,24.67,505600
2024-03-05,24.54,25.44,24.49,25.11,465000
2024-03-06,25.31,25.76,25.09,25.5,481700
2024-03-07,25.65,25.88,25.61,25.88,358600
2024-03-08,26.0,26.63,26.0,26.25,521300
2024-03-11,26.24,26.53,25.56,26.03,508000
2024-03-12,26.03,26.16,25.62,25.8,379400
2024-03-13,25.74,26.27,25.74,26.0,502500
2024-03-14,25.74,25.87,25.17,25.47,556500
2024-03-15,25.26,26.2,25.26,25.98,1781200
2024-03-18,25.85,26.14,25.68,25.82,581400
2024-03-19,25.77,26.18,25.76,26.05,559700
2024-03-20,25.94,26.56,25.65,26.35,399500
2024-03-21,26.41,27.37,26.41,26.73,480100
2024-03-22,26.79,26.83,26.2,26.39,384700
