Date,Open,High,Low,Close,Volume
2023-01-13,38.12,38.76,38.07,38.7,64000
2023-01-17,38.61,38.7,38.29,38.46,70300
2023-01-18,38.45,38.81,37.32,37.32,46000
2023-01-19,37.28,37.34,36.81,36.98,77900
2023-01-20,37.24,37.52,37.17,37.44,90900
2023-01-23,37.28,37.41,36.77,36.79,76300
2023-01-24,37.07,37.49,36.77,37.35,63300
2023-01-25,35.96,36.37,32.65,33.06,251900
2023-01-26,33.01,33.77,33.0,33.66,109000
2023-01-27,33.58,34.74,33.58,34.53,131300
2023-01-30,34.76,35.34,34.54,34.84,167100
2023-01-31,34.96,35.94,34.65,35.91,107400
2023-02-01,35.89,36.63,35.72,36.17,135100
2023-02-02,36.0,36.89,35.96,36.89,82500
2023-02-03,36.78,37.72,36.51,37.6,130400
2023-02-06,37.64,37.76,36.73,37.13,83100
2023-02-07,36.97,37.78,36.96,37.41,62100
2023-02-08,37.16,37.41,37.1,37.2,61800
2023-02-09,37.27,37.41,36.35,36.61,64400
2023-02-10,36.46,36.7,36.29,36.62,54800
2023-02-13,36.54,37.14,36.48,37.07,88000
2023-02-14,36.9,37.07,36.2,36.46,45500
2023-02-15,36.23,36.9,36.23,36.58,66100
2023-02-16,36.24,36.73,36.03,36.61,45200
2023-02-17,36.61,37.29,36.61,37.04,70000
2023-02-21,36.83,37.11,36.65,36.7,164200
2023-02-22,36.8,37.05,36.62,36.74,146800
2023-02-23,36.7,37.15,36.63,37.04,55200
2023-02-24,36.74,37.06,36.67,36.87,51500
2023-02-27,36.96,37.37,36.96,37.14,51700
2023-02-28,37.1,37.8,37.1,37.46,87600
2023-03-01,37.35,37.41,37.01,37.21,56700
2023-03-02,36.69,36.94,36.37,36.74,51400
2023-03-03,36.98,37.37,36.69,37.13,57800
2023-03-06,37.14,37.14,36.39,36.57,82300
2023-03-07,36.55,36.55,35.84,36.24,99300
2023-03-08,36.22,36.34,35.83,36.2,57300
2023-03-09,36.02,36.02,34.85,35.23,118900
2023-03-10,34.95,35.27,33.75,34.53,151900
2023-03-13,33.25,33.33,31.66,32.59,188600
2023-03-14,33.83,34.57,32.78,33.1,188500
