Date,Open,High,Low,Close,Volume
2023-01-13,52.86,54.805,52.4,54.62,379800
2023-01-17,54.36,56.44,54.219,56.01,336900
2023-01-18,56.68,57.343,53.1,53.16,434100
2023-01-19,51.97,52.284,50.06,51.58,372200
2023-01-20,52.53,54.53,51.47,54.47,355100
2023-01-23,55.0,57.76,54.59,55.89,304100
2023-01-24,55.07,56.62,54.22,54.76,196600
2023-01-25,52.92,55.2,50.94,54.27,368000
2023-01-26,56.03,56.03,53.77,54.58,258700
2023-01-27,53.77,58.35,53.6,57.31,477300
2023-01-30,56.11,57.79,55.17,55.59,367700
2023-01-31,55.69,59.26,55.69,59.02,438400
2023-02-01,58.73,62.66,57.53,61.17,480600
2023-02-02,62.72,68.92,62.705,67.82,861900
2023-02-03,64.81,69.15,64.17,65.07,550200
2023-02-06,63.59,64.51,59.73,59.88,518500
2023-02-07,59.05,61.115,56.81,60.27,455600
2023-02-08,59.76,60.96,58.66,58.96,255700
2023-02-09,60.29,61.16,57.43,57.5,383900
2023-02-10,56.67,58.15,56.095,57.1,584400
2023-02-13,57.45,59.14,56.45,59.05,564800
2023-02-14,58.03,60.0,56.41,59.91,513500
2023-02-15,59.62,63.07,59.29,62.96,623400
2023-02-16,60.12,60.51,56.44,59.87,1623100
2023-02-17,59.62,59.97,55.89,58.04,824500
2023-02-21,56.04,56.44,53.05,53.06,486200
2023-02-22,53.21,55.0,52.38,54.56,419900
2023-02-23,55.77,56.67,53.69,56.37,542600
2023-02-24,54.14,56.82,53.52,56.53,392900
2023-02-27,56.28,57.38,55.32,56.96,419700
2023-02-28,56.65,60.76,56.22,59.38,641600
2023-03-01,59.21,60.01,57.14,57.91,423500
2023-03-02,56.69,58.69,55.88,57.6,426000
2023-03-03,58.29,60.04,57.28,59.78,465500
2023-03-06,60.07,62.21,57.81,57.99,431300
2023-03-07,57.99,59.91,57.22,57.78,357600
2023-03-08,57.92,58.46,56.72,57.77,229000
2023-03-09,57.96,58.81,54.21,54.42,314100
2023-03-10,53.66,54.14,49.285,51.11,635700
2023-03-13,50.04,51.43,47.57,50.28,425600
2023-03-14,52.84,53.83,51.74,52.43,434100
2023-03-15,50.92,55.26,50.92,54.09,605000
2023-03-16,54.43,58.22,53.663,56.77,658100
2023-03-17,56.2,56.5,54.42,55.34,1148100
2023-03-20,56.11,58.16,55.54,58.03,423000
2023-03-21,59.0,60.333,57.915,58.86,379800
2023-03-22,59.26,59.83,56.13,56.19,321300
2023-03-23,48.55,50.0,40.53,41.19,4801000
2023-03-24,38.41,40.17,37.12,38.35,2739700
2023-03-27,38.35,39.48,36.14,38.49,1447000
2023-03-28,38.4,40.07,37.55,37.64,1212700
2023-03-29,38.4,40.23,37.58,39.67,931500
2023-03-30,40.7,41.82,39.97,41.06,1101100
2023-03-31,41.99,44.895,41.95,42.89,1476400
2023-04-03,42.82,42.82,40.51,42.39,859300
2023-04-04,42.95,43.44,40.6,41.08,565300
2023-04-05,40.0,40.3,38.49,40.06,658800
2023-04-06,39.8,41.28,38.98,41.15,538300
2023-04-10,40.72,42.45,40.72,42.36,516000
2023-04-11,42.88,44.31,42.564,44.12,490800
2023-04-12,44.87,45.5,42.77,42.89,938500
2023-04-13,43.7,44.065,41.86,42.26,660000
2023-04-14,42.55,42.73,41.225,41.56,424800
2023-04-17,41.56,41.56,35.36,36.03,1892200
2023-04-18,36.37,36.45,34.11,34.78,1730500
2023-04-19,34.28,35.78,33.57,35.76,929700
2023-04-20,34.94,35.67,33.88,34.29,787000
2023-04-21,33.74,34.03,32.76,33.38,891400
2023-04-24,33.2,34.14,32.92,33.06,918500
2023-04-25,32.61,32.61,31.29,31.62,857800
2023-04-26,31.88,32.42,30.34,31.0,1244600
2023-04-27,31.89,35.49,31.23,33.775,2198900
2023-04-28,33.66,35.19,33.0,35.11,604200
2023-05-01,35.0,37.71,34.44,37.16,1103100
2023-05-02,36.72,37.13,34.4,34.67,796200
2023-05-03,35.37,36.5,34.48,35.0,643900
2023-05-04,35.1,36.82,34.03,35.95,1131400
2023-05-05,24.0,29.83,23.35,28.88,7566700
2023-05-08,26.76,26.76,24.03,25.55,4414600
2023-05-09,25.2,25.96,23.89,24.22,1709200
2023-05-10,24.68,25.19,23.075,23.57,1585000
2023-05-11,23.52,24.14,22.12,22.3,1163400
2023-05-12,22.23,22.23,20.8,21.16,1783300
2023-05-15,21.27,21.73,19.83,20.37,2241800
2023-05-16,20.2,20.419,19.7,20.13,1309900
2023-05-17,20.24,20.78,19.64,20.73,1288400
2023-05-18,20.7,21.706,20.24,21.62,1081400
2023-05-19,21.69,22.12,20.395,20.95,1573700
2023-05-22,21.0,24.33,20.92,24.04,1811700
2023-05-23,23.83,24.16,21.18,21.42,3089800
2023-05-24,21.24,21.6,20.32,21.38,869200
2023-05-25,21.38,21.38,20.44,20.64,825500
