Date,Open,High,Low,Close,Volume
2023-01-13,99.85,101.18,99.0,100.97,705000
2023-01-17,100.4,101.31,99.09,100.34,733500
2023-01-18,100.75,102.21,100.2,101.14,1362300
2023-01-19,100.98,101.34,97.51,97.87,891500
2023-01-20,98.63,99.41,97.55,98.76,782400
2023-01-23,98.77,100.08,98.5,100.02,722400
2023-01-24,100.18,100.3,98.25,98.84,603000
2023-01-25,97.89,98.49,95.73,97.73,580100
2023-01-26,98.16,99.13,98.11,99.04,403600
2023-01-27,99.08,99.33,98.46,98.96,591600
2023-01-30,99.12,99.66,98.36,98.97,613700
2023-01-31,99.48,100.48,99.03,100.43,810100
2023-02-01,100.47,102.04,99.3,101.53,1021900
2023-02-02,102.05,105.13,102.05,104.28,1351900
2023-02-03,103.46,103.97,101.12,102.09,836200
2023-02-06,101.86,102.79,101.38,102.08,544500
2023-02-07,101.53,104.81,101.08,104.78,796900
2023-02-08,104.45,104.83,102.89,103.24,599900
2023-02-09,103.97,104.07,101.2,101.55,631900
2023-02-10,101.0,101.85,100.36,100.92,670900
2023-02-13,101.24,102.54,101.03,102.32,590000
2023-02-14,102.15,105.42,101.95,104.93,1296200
2023-02-15,104.65,105.39,103.39,104.32,874100
2023-02-16,102.81,107.31,102.81,105.15,1956800
2023-02-17,100.0,105.99,99.34,104.32,2729600
2023-02-21,104.08,105.21,102.92,104.58,1095400
2023-02-22,104.06,106.54,104.02,106.43,892800
2023-02-23,106.11,106.21,103.57,105.21,1029800
2023-02-24,104.97,105.29,103.55,103.82,824400
2023-02-27,104.42,104.66,102.14,102.2,784300
2023-02-28,102.23,103.03,101.54,101.54,699900
2023-03-01,101.32,102.04,100.56,101.88,681400
2023-03-02,101.88,104.54,101.49,103.91,729200
2023-03-03,104.62,104.62,103.46,103.73,549200
2023-03-06,103.7,105.1,103.18,104.86,836600
2023-03-07,104.59,106.03,104.23,104.52,901600
2023-03-08,104.6,104.78,103.26,104.41,505600
2023-03-09,104.85,105.3,102.21,102.31,679400
2023-03-10,102.39,104.33,101.21,101.61,769700
2023-03-13,100.47,104.01,99.74,102.74,896800
2023-03-14,104.71,105.77,103.26,104.6,956200
2023-03-15,103.11,104.87,102.75,104.69,1081200
2023-03-16,104.22,108.17,103.96,108.02,932100
2023-03-17,107.37,107.37,104.08,105.32,1391500
2023-03-20,106.0,107.75,105.6,106.27,770800
2023-03-21,107.44,108.01,106.01,106.4,728500
2023-03-22,106.4,108.4,106.23,106.26,712100
2023-03-23,106.64,107.09,103.64,104.92,830600
2023-03-24,104.47,105.34,103.34,104.1,774600
2023-03-27,104.93,105.35,104.06,104.57,401200
2023-03-28,104.76,106.38,104.76,106.23,510500
2023-03-29,106.73,108.25,106.32,107.92,859100
2023-03-30,108.04,108.62,107.42,108.26,716100
2023-03-31,108.78,109.3,107.84,108.06,817800
2023-04-03,107.78,109.55,107.41,109.09,688100
2023-04-04,109.32,110.7,108.36,108.98,782800
2023-04-05,108.54,109.28,107.29,109.11,594900
2023-04-06,109.37,110.18,108.25,110.01,706200
2023-04-10,109.1,111.46,109.1,110.71,832600
2023-04-11,110.71,112.97,110.71,112.49,555900
2023-04-12,113.13,113.2,110.92,111.04,536700
2023-04-13,111.86,111.86,110.24,110.59,549500
2023-04-14,110.54,112.3,109.43,109.89,837700
2023-04-17,108.5,109.22,106.47,108.95,1285700
2023-04-18,109.56,110.22,108.12,108.74,723100
2023-04-19,108.58,110.03,108.33,109.23,633200
2023-04-20,109.22,109.83,108.73,109.12,509800
2023-04-21,109.49,110.75,109.36,109.98,696400
2023-04-24,109.92,110.03,107.17,108.23,962200
2023-04-25,107.72,108.65,107.0,107.95,821300
2023-04-26,107.82,109.05,107.82,108.35,711000
2023-04-27,108.86,110.59,108.35,110.25,1127000
2023-04-28,111.99,112.47,109.71,110.62,680000
2023-05-01,110.44,113.07,110.25,112.21,1121300
2023-05-02,111.6,113.56,110.7,113.3,1103300
2023-05-03,113.26,113.3,112.1,112.66,1126300
2023-05-04,112.72,113.03,111.11,112.03,1374900
2023-05-05,109.76,110.8,107.3,108.31,2227100
2023-05-08,107.96,110.41,107.51,107.71,785700
2023-05-09,107.97,109.12,107.35,107.55,809100
