Date,Open,High,Low,Close,Volume
2023-01-13,11.02,11.54,10.99,11.49,6857600
2023-01-17,11.56,12.11,11.52,11.91,9560500
2023-01-18,12.0,12.16,11.77,11.86,6563100
2023-01-19,11.64,11.66,11.2,11.41,5269600
2023-01-20,11.52,11.76,11.37,11.67,5588200
2023-01-23,11.69,12.04,11.63,11.94,8048000
2023-01-24,11.95,11.95,11.67,11.72,5140100
2023-01-25,11.5,11.76,11.38,11.7,5218400
2023-01-26,11.86,11.97,11.47,11.85,7889300
2023-01-27,11.77,12.32,11.71,12.2,5917300
2023-01-30,12.04,12.22,12.0,12.13,7227200
2023-01-31,12.23,12.41,12.11,12.39,7350200
2023-02-01,12.4,12.9,12.33,12.78,7314500
2023-02-02,12.82,13.05,12.62,12.78,7275600
2023-02-03,12.5,13.0,12.46,12.66,6875800
2023-02-06,12.52,12.6,12.1,12.23,10062100
2023-02-07,12.2,12.45,11.95,12.22,11117700
2023-02-08,12.34,12.34,10.85,11.22,23263700
2023-02-09,11.31,11.44,10.85,10.94,12439800
2023-02-10,10.69,10.84,10.52,10.59,7499700
2023-02-13,10.52,10.79,10.5,10.74,9206500
2023-02-14,10.61,10.87,10.55,10.69,6779500
2023-02-15,10.5,10.85,10.5,10.8,5486300
2023-02-16,10.63,10.78,10.35,10.38,8104600
2023-02-17,10.3,10.61,10.19,10.51,7352300
2023-02-21,10.31,10.37,10.0,10.09,7215700
2023-02-22,10.1,10.24,9.97,10.06,6334700
2023-02-23,10.11,10.16,9.81,10.0,7107700
2023-02-24,9.81,9.86,9.68,9.72,7526800
2023-02-27,9.91,10.03,9.66,9.67,10055300
2023-02-28,9.71,10.25,9.71,9.93,9977300
2023-03-01,9.9,10.1,9.77,9.81,6215300
2023-03-02,9.72,10.05,9.7,9.97,6489300
2023-03-03,10.04,10.11,9.9,10.05,5944000
2023-03-06,10.15,10.15,9.52,9.59,8214600
2023-03-07,9.63,9.78,9.49,9.51,6129000
2023-03-08,9.53,9.57,9.36,9.49,5887500
2023-03-09,9.46,9.55,9.21,9.23,7954700
2023-03-10,9.25,9.25,8.82,8.91,8020800
2023-03-13,8.58,8.58,8.12,8.24,12238800
2023-03-14,8.5,8.62,8.27,8.33,10603300
2023-03-15,8.06,8.19,7.94,8.07,9169300
2023-03-16,8.16,8.68,8.09,8.58,8812000
2023-03-17,8.5,8.72,8.39,8.63,18518600
2023-03-20,8.69,8.8,8.47,8.68,8648800
2023-03-21,8.9,8.95,8.71,8.8,5564400
2023-03-22,8.77,9.14,8.73,8.74,7599000
2023-03-23,8.87,9.09,8.75,8.94,7741800
2023-03-24,8.82,8.92,8.73,8.87,5316400
2023-03-27,8.98,8.99,8.78,8.93,6071900
2023-03-28,8.98,9.07,8.86,8.97,4353300
2023-03-29,9.14,9.31,9.08,9.29,6291800
2023-03-30,9.43,9.5,9.27,9.3,5912000
2023-03-31,9.36,9.54,9.34,9.49,5836200
2023-04-03,9.5,9.59,9.32,9.44,6429100
2023-04-04,9.51,9.56,9.26,9.31,4509100
2023-04-05,9.17,9.21,8.98,9.09,6318600
2023-04-06,9.0,9.1,8.84,9.05,4525700
2023-04-10,8.97,9.24,8.97,9.19,6854600
2023-04-11,9.24,9.29,9.1,9.19,5452200
2023-04-12,9.27,9.33,8.87,9.07,5480800
2023-04-13,9.19,9.21,9.07,9.13,4092700
2023-04-14,9.16,9.4,9.11,9.19,5666300
2023-04-17,9.12,9.17,8.9,9.05,4205400
2023-04-18,9.16,9.21,9.0,9.17,5055700
2023-04-19,9.09,9.13,8.96,9.0,3721200
2023-04-20,8.89,9.11,8.84,8.86,4591600
2023-04-21,8.84,8.89,8.78,8.84,4234600
2023-04-24,8.86,8.95,8.8,8.95,4857200
2023-04-25,8.79,8.86,8.56,8.62,6487400
2023-04-26,8.69,8.81,8.65,8.71,6887900
2023-04-27,8.82,8.85,8.65,8.78,5033200
2023-04-28,8.76,8.94,8.72,8.87,4284200
2023-05-01,8.86,8.94,8.6,8.62,7297300
2023-05-02,8.36,8.47,8.29,8.43,6234500
2023-05-03,8.45,8.64,8.41,8.5,5328200
2023-05-04,8.44,8.51,8.25,8.29,6905700
2023-05-05,8.46,8.74,8.42,8.64,8096900
2023-05-08,8.74,8.84,8.59,8.65,13919300
2023-05-09,8.06,8.4,7.87,8.16,16020400
2023-05-10,8.27,8.34,7.48,7.71,14483600
2023-05-11,7.71,7.8,7.51,7.65,11181100
2023-05-12,7.65,7.76,7.48,7.59,8399500
2023-05-15,7.53,7.72,7.52,7.67,6554400
2023-05-16,7.55,7.58,7.32,7.33,7167400
2023-05-17,7.36,7.51,7.3,7.42,5597000
2023-05-18,7.46,7.63,7.41,7.62,6683100
2023-05-19,7.39,7.45,7.23,7.3,10312400
2023-05-22,7.3,7.44,7.27,7.39,6821500
2023-05-23,7.4,7.61,7.3,7.39,8023000
2023-05-24,7.39,7.45,7.03,7.1,8059200
2023-05-25,7.13,7.19,6.97,7.05,6336700
2023-05-26,7.07,7.18,7.02,7.11,5560500
2023-05-30,7.2,7.32,7.03,7.31,7978400
2023-05-31,7.25,7.25,7.02,7.21,8929700
2023-06-01,7.21,7.44,7.09,7.34,8400000
2023-06-02,7.55,7.85,7.42,7.84,10161000
2023-06-05,7.78,7.85,7.43,7.51,8780700
2023-06-06,7.56,7.82,7.53,7.75,6490700
2023-06-07,7.73,7.95,7.7,7.71,8155600
2023-06-08,7.7,7.73,7.47,7.52,6629200
2023-06-09,7.52,7.56,7.34,7.43,6166900
2023-06-12,7.49,7.62,7.34,7.62,6633300
2023-06-13,7.68,7.71,7.49,7.59,6484100
2023-06-14,7.65,7.78,7.58,7.69,6145200
2023-06-15,7.65,7.81,7.59,7.81,5041000
2023-06-16,7.87,7.89,7.72,7.83,8315200
2023-06-20,7.81,7.85,7.49,7.53,6740600
2023-06-21,7.46,7.55,7.41,7.45,3735700
2023-06-22,7.43,7.44,7.27,7.35,3834000
2023-06-23,7.02,7.18,6.97,7.14,6892800
2023-06-26,7.14,7.32,7.14,7.17,4749500
2023-06-27,7.22,7.34,7.14,7.29,3899900
2023-06-28,7.26,7.26,7.03,7.13,6741300
2023-06-29,7.12,7.24,7.08,7.14,6637800
2023-06-30,7.23,7.29,7.11,7.22,7791000
2023-07-03,7.29,7.5,7.26,7.35,4329400
2023-07-05,7.3,7.32,7.16,7.25,5108000
2023-07-06,7.12,7.22,7.03,7.21,6494300
2023-07-07,7.16,7.45,7.16,7.35,6632500
2023-07-10,7.38,7.59,7.37,7.51,5498000
2023-07-11,7.58,7.86,7.49,7.85,6835300
2023-07-12,7.99,8.03,7.84,7.98,6410400
2023-07-13,8.02,8.11,7.81,7.81,6733000
2023-07-14,7.83,7.85,7.51,7.61,5881900
2023-07-17,7.55,7.78,7.43,7.73,5886500
2023-07-18,7.72,8.08,7.69,8.07,7474500
2023-07-19,8.09,8.44,8.05,8.41,8480200
2023-07-20,8.39,8.4,8.04,8.15,6963100
2023-07-21,8.26,8.26,7.99,8.06,5413200
2023-07-24,8.08,8.25,8.05,8.1,5428900
2023-07-25,8.1,8.15,7.86,7.87,6558600
2023-07-26,7.83,8.12,7.83,8.07,5729000
2023-07-27,8.12,8.18,7.83,7.89,4817700
2023-07-28,8.0,8.01,7.84,7.94,4545100
2023-07-31,8.01,8.21,8.01,8.06,6141200
2023-08-01,8.0,8.03,7.84,7.91,6995800
2023-08-02,7.77,7.77,7.63,7.69,6179800
2023-08-03,7.67,7.84,7.63,7.82,6609600
2023-08-04,7.85,8.03,7.76,7.83,4979500
2023-08-07,7.87,7.93,7.69,7.72,9557600
2023-08-08,7.79,7.89,7.59,7.73,10834900
2023-08-09,7.73,8.11,7.72,7.81,8359000
2023-08-10,7.93,8.12,7.92,7.96,9700500
2023-08-11,7.88,7.96,7.74,7.84,5744300
2023-08-14,7.78,7.93,7.73,7.91,6315300
2023-08-15,7.76,7.92,7.74,7.77,4569300
2023-08-16,7.73,7.93,7.7,7.83,4954300
2023-08-17,7.88,7.93,7.73,7.85,8220500
2023-08-18,7.75,7.97,7.71,7.93,8004500
2023-08-21,7.94,7.96,7.35,7.37,11200300
2023-08-22,7.29,7.33,7.14,7.2,6448800
2023-08-23,7.06,7.15,6.99,7.13,6431800
2023-08-24,7.11,7.19,7.01,7.12,6641300
2023-08-25,7.18,7.25,7.01,7.2,5903300
