Date,Open,High,Low,Close,Volume
2023-01-13,40.6,41.0,40.19,40.87,304100
2023-01-17,40.61,40.73,40.18,40.62,364300
2023-01-18,40.35,40.35,38.91,38.96,444900
2023-01-19,38.99,38.99,38.5,38.77,397700
2023-01-20,39.25,39.48,38.85,39.44,546200
2023-01-23,39.63,39.79,39.29,39.39,317600
2023-01-24,39.57,39.57,38.9,39.2,438800
2023-01-25,39.23,39.25,38.62,38.85,492300
2023-01-26,39.02,39.81,38.63,39.6,483200
2023-01-27,39.42,39.73,39.04,39.37,439900
2023-01-30,38.95,39.64,38.95,39.03,641300
2023-01-31,39.23,40.35,39.21,40.2,2475000
2023-02-01,40.01,41.04,39.87,40.62,725800
2023-02-02,40.73,42.18,40.57,42.17,845500
2023-02-03,41.97,42.45,41.78,42.3,599700
2023-02-06,42.0,42.33,41.53,41.7,415300
2023-02-07,41.48,42.18,41.24,42.02,392100
2023-02-08,41.66,41.97,41.06,41.35,349600
2023-02-09,41.44,41.69,40.85,41.05,335100
2023-02-10,41.04,41.34,40.89,41.3,381400
2023-02-13,41.2,41.78,41.17,41.76,323600
2023-02-14,41.73,41.77,41.04,41.37,306500
2023-02-15,41.04,41.93,40.98,41.88,313300
2023-02-16,41.6,41.71,41.31,41.36,348900
2023-02-17,41.56,41.82,41.17,41.63,445800
2023-02-21,41.23,41.32,40.85,40.86,424700
2023-02-22,40.88,41.08,40.5,40.85,475700
2023-02-23,40.98,41.22,40.71,40.98,322000
2023-02-24,40.58,40.97,40.42,40.94,365700
2023-02-27,41.02,41.4,40.68,40.81,303000
2023-02-28,40.95,41.21,40.73,40.77,785100
2023-03-01,40.6,40.82,40.21,40.45,423700
2023-03-02,40.16,40.18,39.27,39.6,384400
2023-03-03,39.68,40.11,39.26,40.04,391800
2023-03-06,40.02,40.38,39.69,39.97,465300
2023-03-07,39.72,39.72,38.56,38.66,409900
2023-03-08,38.77,38.98,38.57,38.79,372800
2023-03-09,38.13,38.13,36.55,36.72,660400
2023-03-10,35.78,36.55,34.85,36.18,1477100
2023-03-13,34.22,39.21,33.35,36.13,2807500
2023-03-14,38.66,38.97,36.04,36.38,1932200
2023-03-15,34.48,36.51,34.48,35.32,1868600
2023-03-16,34.94,37.75,34.63,37.18,1427200
2023-03-17,36.46,36.46,35.28,35.79,3129700
2023-03-20,36.35,37.23,35.4,35.52,982500
2023-03-21,36.97,37.5,36.55,37.36,906100
2023-03-22,37.29,37.4,35.55,35.63,807000
2023-03-23,35.96,36.34,35.06,35.45,841800
2023-03-24,34.83,36.67,34.83,36.63,815600
2023-03-27,37.44,37.5,36.61,36.74,658900
2023-03-28,36.44,37.02,36.03,36.74,704700
2023-03-29,36.95,37.0,36.08,36.56,596900
2023-03-30,36.94,36.99,34.88,35.03,694000
2023-03-31,35.27,35.49,34.85,35.2,896400
2023-04-03,35.33,35.61,34.55,34.9,672100
2023-04-04,34.7,34.83,33.27,33.82,653800
2023-04-05,33.51,33.94,33.4,33.76,621800
2023-04-06,33.9,34.59,33.9,34.38,470900
2023-04-10,34.23,35.07,34.05,34.56,647300
2023-04-11,34.79,34.85,34.45,34.59,475000
2023-04-12,34.77,35.02,34.08,34.39,465200
2023-04-13,34.38,34.91,33.99,34.58,429600
2023-04-14,35.09,35.15,33.58,33.89,512300
2023-04-17,33.89,35.0,33.65,34.98,645100
2023-04-18,34.92,35.14,33.77,34.1,525400
2023-04-19,34.09,35.07,34.04,34.79,508800
2023-04-20,34.35,34.65,33.93,34.05,885600
2023-04-21,33.99,33.99,33.07,33.8,1114100
2023-04-24,33.42,34.35,33.01,33.73,662000
2023-04-25,33.25,33.49,32.41,32.71,1018700
2023-04-26,32.05,32.98,30.9,31.19,1271300
2023-04-27,31.36,32.67,31.34,32.57,944300
2023-04-28,32.5,33.29,32.26,33.13,3427100
2023-05-01,32.85,32.98,31.8,31.93,876200
2023-05-02,31.82,31.86,30.04,30.38,925900
2023-05-03,30.65,31.38,30.04,30.17,998200
2023-05-04,29.29,29.94,28.29,29.63,1163600
2023-05-05,30.81,31.43,29.91,30.41,1011600
2023-05-08,30.85,30.85,29.55,29.6,710900
2023-05-09,29.45,29.71,28.85,29.28,705900
2023-05-10,29.84,29.84,28.6,28.95,453100
2023-05-11,28.47,28.86,28.0,28.07,629800
2023-05-12,28.38,28.52,27.68,27.93,649000
2023-05-15,28.02,28.64,27.9,28.53,935400
2023-05-16,28.49,28.82,28.21,28.22,729200
2023-05-17,28.76,30.12,28.7,30.03,1018700
2023-05-18,29.9,30.4,29.67,30.12,710300
2023-05-19,30.52,30.52,29.22,29.56,754800
2023-05-22,29.88,30.41,29.23,30.23,482500
2023-05-23,30.1,31.05,30.1,30.4,608000
2023-05-24,30.12,30.12,29.66,29.86,394700
2023-05-25,29.57,29.79,28.82,29.47,493100
2023-05-26,29.51,30.06,29.0,30.0,446200
2023-05-30,29.93,30.18,29.28,30.11,489600
2023-05-31,30.04,30.04,28.93,29.42,557300
2023-06-01,29.65,30.43,29.38,30.06,378900
2023-06-02,30.59,32.29,30.35,32.2,913300
2023-06-05,31.91,32.09,31.07,31.2,795800
2023-06-06,31.23,33.42,31.05,32.71,998100
2023-06-07,33.09,34.78,32.77,34.01,1482400
2023-06-08,33.46,33.65,32.63,33.28,755200
2023-06-09,33.28,33.35,32.61,32.93,343800
2023-06-12,32.92,33.48,30.86,31.68,1591000
2023-06-13,31.75,32.61,31.0,32.35,970200
2023-06-14,32.38,32.6,31.18,31.41,780900
2023-06-15,31.18,32.1,31.06,31.85,708700
2023-06-16,32.14,32.14,31.15,31.76,2177600
2023-06-20,31.75,31.75,30.92,31.07,836800
2023-06-21,31.01,31.06,30.48,30.52,780200
2023-06-22,30.47,30.47,29.44,29.81,662100
2023-06-23,29.42,30.01,29.33,29.54,1163600
2023-06-26,29.68,30.3,29.66,29.7,661600
2023-06-27,29.75,30.35,29.5,30.0,561200
2023-06-28,29.75,29.86,29.33,29.58,830400
2023-06-29,29.93,30.33,29.84,30.09,550300
2023-06-30,30.51,30.63,29.63,29.67,744900
2023-07-03,29.71,30.55,29.71,30.28,524100
2023-07-05,30.13,30.13,29.34,29.37,719500
2023-07-06,28.93,29.0,28.28,28.56,813800
2023-07-07,28.27,28.63,27.69,28.38,2411500
2023-07-10,28.37,29.1,28.14,28.47,1174900
2023-07-11,28.69,28.94,28.4,28.86,1105300
2023-07-12,29.28,29.71,28.93,29.07,1244100
2023-07-13,29.22,29.93,29.13,29.87,919100
2023-07-14,30.16,30.16,28.79,29.09,1192800
2023-07-17,29.09,30.05,28.97,29.84,897300
2023-07-18,29.88,32.08,29.88,31.88,1643000
2023-07-19,32.03,32.43,31.82,32.29,1176100
2023-07-20,32.28,32.28,31.23,31.93,923700
2023-07-21,32.13,32.13,31.26,31.46,1156300
2023-07-24,31.5,32.09,31.4,32.0,1286100
2023-07-25,31.93,32.35,31.59,31.89,1225700
2023-07-26,32.33,33.25,32.11,33.19,1352200
2023-07-27,33.74,34.3,33.04,33.2,1709600
2023-07-28,33.69,33.69,32.76,33.07,1101000
2023-07-31,33.29,33.83,33.03,33.44,11094400
2023-08-01,33.33,33.33,32.51,33.08,785600
2023-08-02,32.5,33.09,32.37,33.03,732500
2023-08-03,32.96,33.24,32.56,33.16,1114400
2023-08-04,33.0,33.5,32.88,33.4,595500
2023-08-07,33.38,33.86,33.28,33.81,721300
2023-08-08,32.98,33.68,32.48,33.65,644500
2023-08-09,33.45,33.72,33.07,33.45,636500
2023-08-10,33.46,33.92,32.93,33.11,704000
2023-08-11,32.92,33.31,32.82,33.3,523400
2023-08-14,32.89,33.1,32.44,32.98,522500
2023-08-15,32.4,32.65,31.5,31.57,805600
2023-08-16,31.5,31.82,30.89,31.01,478000
2023-08-17,31.24,31.5,30.56,30.79,610000
2023-08-18,30.5,30.93,30.43,30.71,1584000
2023-08-21,30.76,30.86,29.86,29.99,1145000
2023-08-22,29.89,30.11,28.92,28.95,671000
2023-08-23,28.97,29.34,28.8,28.99,538500
2023-08-24,28.87,29.51,28.87,29.11,617200
2023-08-25,29.11,29.49,28.74,29.13,742300
2023-08-28,29.36,29.72,29.26,29.48,623000
2023-08-29,29.45,30.06,29.2,29.87,460200
2023-08-30,29.81,30.12,29.51,29.71,451200
2023-08-31,29.74,30.24,29.74,30.08,830000
