Date,Open,High,Low,Close,Volume
2023-01-13,34.5,35.25,33.84,35.1,571000
2023-01-17,35.11,35.13,34.59,34.84,662400
2023-01-18,35.22,35.22,31.65,32.02,1427200
2023-01-19,30.88,31.72,30.74,31.01,946900
2023-01-20,31.43,31.96,31.06,31.92,794800
2023-01-23,31.87,32.15,31.71,32.05,621500
2023-01-24,32.2,32.2,31.55,31.76,379600
2023-01-25,31.78,31.91,31.15,31.8,505900
2023-01-26,31.95,32.16,31.48,31.67,490100
2023-01-27,31.67,32.0,31.46,31.94,535000
2023-01-30,31.65,32.0,31.52,31.54,379600
2023-01-31,31.54,32.54,31.49,32.54,612500
2023-02-01,32.13,33.14,31.97,32.69,673000
2023-02-02,32.83,33.88,32.69,33.85,467000
2023-02-03,33.8,34.4,33.56,34.12,580000
2023-02-06,33.91,34.1,33.22,33.32,479100
2023-02-07,33.22,33.88,33.11,33.74,363600
2023-02-08,33.38,33.68,33.16,33.26,340600
2023-02-09,33.36,33.45,32.6,32.63,292500
2023-02-10,32.49,33.13,32.41,32.5,377400
2023-02-13,32.43,32.96,32.14,32.89,281500
2023-02-14,32.89,33.1,32.34,32.61,358500
2023-02-15,32.46,33.52,32.43,33.43,415100
2023-02-16,33.32,33.39,32.38,33.1,424600
2023-02-17,33.15,33.45,32.77,33.33,466000
2023-02-21,32.99,33.32,32.48,32.65,423700
2023-02-22,32.58,32.84,32.32,32.51,604300
2023-02-23,32.56,33.19,32.04,33.02,430900
2023-02-24,32.79,33.3,32.42,33.29,390400
2023-02-27,33.47,33.81,32.93,33.08,450400
2023-02-28,33.22,33.39,32.92,33.11,724000
2023-03-01,32.86,33.15,32.24,33.04,527100
2023-03-02,32.79,32.96,31.71,32.02,393700
2023-03-03,32.17,32.48,31.79,32.28,377100
2023-03-06,32.53,33.17,32.42,32.9,939400
2023-03-07,32.69,32.85,32.01,32.13,599300
2023-03-08,32.24,32.31,31.64,31.87,472800
2023-03-09,31.49,31.49,29.66,29.77,711900
2023-03-10,29.01,29.78,27.88,29.36,1418200
2023-03-13,27.48,28.97,26.4,27.37,1682900
2023-03-14,29.95,30.16,26.81,27.16,1622200
2023-03-15,25.79,27.38,25.13,27.02,1481900
2023-03-16,26.63,28.87,26.27,28.45,1370400
2023-03-17,27.49,27.7,26.26,26.51,2982700
2023-03-20,27.96,28.38,27.2,27.58,1376800
2023-03-21,28.81,29.16,28.15,28.48,1002500
2023-03-22,28.39,28.78,27.2,27.46,915200
2023-03-23,27.5,27.88,26.89,27.04,1097200
2023-03-24,26.64,28.24,26.48,28.19,1059700
2023-03-27,29.12,29.13,28.52,28.62,1033300
2023-03-28,28.39,28.75,27.5,28.33,621600
2023-03-29,28.66,28.82,28.01,28.32,1186000
2023-03-30,28.65,28.7,27.63,27.73,484300
2023-03-31,27.98,28.27,27.8,28.12,651200
2023-04-03,28.21,28.45,27.65,27.89,521000
2023-04-04,28.3,28.3,27.06,27.68,536300
2023-04-05,27.26,27.7,27.26,27.53,664900
2023-04-06,27.65,27.91,27.56,27.83,616600
2023-04-10,27.77,28.32,27.46,27.95,761500
2023-04-11,28.08,28.24,27.61,27.84,653100
2023-04-12,28.05,28.07,27.37,27.58,413600
2023-04-13,27.76,27.76,27.17,27.51,660100
2023-04-14,27.44,27.82,26.54,26.82,768700
2023-04-17,26.77,27.82,26.43,27.81,669400
2023-04-18,28.09,28.09,26.9,27.22,854100
2023-04-19,26.4,27.79,26.1,27.52,1031800
2023-04-20,27.11,27.72,27.11,27.45,899800
2023-04-21,27.29,27.47,26.39,26.41,910700
2023-04-24,26.23,26.75,26.04,26.1,635400
2023-04-25,25.72,26.01,24.68,24.79,761400
2023-04-26,24.85,25.17,24.2,24.48,607000
2023-04-27,24.53,24.85,24.18,24.6,896300
2023-04-28,24.6,25.04,24.17,24.9,691700
2023-05-01,25.05,25.08,24.43,24.58,564700
2023-05-02,24.4,24.43,22.53,22.71,673800
2023-05-03,22.86,23.49,22.13,22.31,732100
2023-05-04,21.57,21.85,20.37,21.56,753000
2023-05-05,22.59,22.97,21.85,22.41,565100
2023-05-08,22.78,23.2,21.6,21.65,626000
2023-05-09,21.53,22.42,21.21,21.55,480500
2023-05-10,22.09,22.09,21.32,21.79,477200
2023-05-11,21.39,21.69,21.09,21.15,441600
2023-05-12,21.36,21.86,20.78,21.11,420600
2023-05-15,21.16,21.77,21.06,21.57,385400
2023-05-16,21.59,21.81,21.08,21.09,383400
2023-05-17,21.6,22.97,21.4,22.76,658400
2023-05-18,22.77,23.16,22.42,23.01,597700
2023-05-19,23.24,23.57,21.96,22.41,762200
2023-05-22,22.73,23.47,22.31,23.31,494000
2023-05-23,23.34,24.18,22.99,23.41,611000
2023-05-24,23.24,23.24,22.79,23.07,437800
2023-05-25,22.8,23.09,22.4,22.94,381100
2023-05-26,22.91,23.35,22.4,23.32,340600
2023-05-30,23.4,23.5,22.32,23.35,389300
2023-05-31,23.22,23.31,22.24,22.61,829200
2023-06-01,22.78,23.59,22.51,23.33,415400
2023-06-02,23.83,25.11,23.57,24.93,598000
2023-06-05,25.11,25.17,23.58,24.2,540000
2023-06-06,24.21,26.13,23.81,25.79,1325100
2023-06-07,26.23,27.28,25.97,26.95,763500
2023-06-08,26.82,26.92,26.12,26.83,611800
2023-06-09,26.87,27.07,26.26,26.58,448600
2023-06-12,26.73,27.17,25.94,26.27,615600
2023-06-13,26.37,27.12,26.22,26.84,424800
2023-06-14,26.54,26.89,25.69,25.91,551400
2023-06-15,25.96,26.76,25.93,26.63,553600
2023-06-16,26.77,26.77,25.96,26.37,1484800
2023-06-20,26.26,26.33,25.96,26.2,698700
2023-06-21,25.93,26.21,25.43,25.47,801000
2023-06-22,25.33,25.38,24.21,24.76,707900
2023-06-23,24.36,24.93,23.96,24.12,2445500
2023-06-26,24.25,25.07,24.25,24.34,562500
2023-06-27,24.45,25.0,24.12,24.6,496000
2023-06-28,24.44,24.71,24.19,24.62,369600
2023-06-29,24.82,25.37,24.82,25.23,384100
2023-06-30,25.52,25.52,24.97,24.99,449000
2023-07-03,25.01,25.8,25.01,25.69,310900
