Date,Open,High,Low,Close,Volume
2023-01-13,85.27,87.41,84.58,86.81,174600
2023-01-17,86.49,87.23,86.11,86.25,153400
2023-01-18,86.95,87.79,85.23,85.43,207800
2023-01-19,85.2,85.2,83.29,84.25,186700
2023-01-20,84.72,86.67,83.86,86.49,194800
2023-01-23,86.78,88.53,86.55,88.09,168800
2023-01-24,88.2,88.96,87.45,87.81,182700
2023-01-25,86.96,89.29,86.42,88.96,220700
2023-01-26,89.95,90.77,88.5,89.5,178500
2023-01-27,89.44,91.0,88.78,90.71,96500
2023-01-30,89.8,90.83,89.5,89.6,151600
2023-01-31,90.07,93.64,90.07,93.55,313900
2023-02-01,93.3,97.26,92.4,96.33,377800
2023-02-02,96.94,99.4,96.84,98.37,366600
2023-02-03,97.15,98.82,96.54,97.32,319900
2023-02-06,96.17,96.83,94.75,95.74,173100
2023-02-07,95.3,97.33,91.19,96.81,290400
2023-02-08,95.82,96.5,94.23,94.82,193500
2023-02-09,95.91,96.45,94.38,94.61,153300
2023-02-10,94.59,94.99,93.69,94.29,180100
2023-02-13,94.89,97.12,93.79,96.94,216800
2023-02-14,96.37,96.97,94.78,96.82,155800
2023-02-15,95.67,97.46,95.37,96.24,204700
2023-02-16,94.43,95.63,93.76,94.27,301200
2023-02-17,90.1,90.1,85.67,86.86,2125000
2023-02-21,86.03,86.25,80.87,81.73,919700
2023-02-22,84.16,84.19,80.62,83.63,17550900
2023-02-23,84.33,85.55,84.06,85.28,743800
2023-02-24,84.27,85.77,83.97,85.04,482600
2023-02-27,86.0,86.49,85.05,86.13,487700
2023-02-28,85.9,86.64,85.35,85.53,520200
2023-03-01,85.56,85.73,84.61,85.59,385900
2023-03-02,84.91,86.34,84.17,85.89,274900
2023-03-03,86.78,86.97,85.57,86.86,290600
2023-03-06,87.04,87.24,84.5,84.6,311300
2023-03-07,84.65,84.83,83.21,83.48,582900
2023-03-08,84.08,84.39,83.06,84.09,315900
2023-03-09,84.32,84.83,82.83,83.04,340600
2023-03-10,83.04,83.04,78.73,79.15,422600
2023-03-13,78.25,78.98,76.52,77.39,552700
2023-03-14,79.48,80.35,78.09,79.18,499600
2023-03-15,77.55,78.9,76.97,78.34,605200
2023-03-16,77.71,80.43,77.47,79.28,565000
2023-03-17,78.85,78.85,76.96,77.34,1601000
2023-03-20,78.48,79.38,77.99,78.32,368400
2023-03-21,79.54,80.57,78.99,79.62,447500
2023-03-22,79.38,79.7,76.93,77.04,245900
2023-03-23,77.39,78.5,75.78,76.62,394500
2023-03-24,75.92,76.52,75.01,76.3,235900
2023-03-27,77.28,77.93,76.04,77.75,327400
2023-03-28,77.85,78.92,77.14,77.68,297500
2023-03-29,78.57,78.85,77.24,78.04,240200
2023-03-30,78.89,79.24,77.18,77.25,165500
2023-03-31,78.05,79.72,77.75,79.47,392900
2023-04-03,79.55,80.07,78.15,79.78,318100
2023-04-04,80.17,80.17,76.12,76.56,239200
2023-04-05,76.06,76.78,75.65,76.67,379500
2023-04-06,76.98,77.4,75.88,76.05,276200
2023-04-10,75.71,77.88,75.71,77.51,279900
2023-04-11,77.1,79.22,77.1,78.91,211200
2023-04-12,79.62,80.0,77.97,78.3,150900
2023-04-13,78.92,79.22,77.5,78.95,173200
2023-04-14,78.65,79.76,77.71,78.56,185200
2023-04-17,78.25,79.83,78.25,79.63,251100
2023-04-18,80.14,80.69,78.92,79.74,232400
2023-04-19,79.66,80.45,79.11,80.06,233000
2023-04-20,79.87,81.51,79.75,80.93,269000
2023-04-21,80.79,80.99,80.24,80.5,302800
2023-04-24,80.53,81.06,79.78,80.11,189000
2023-04-25,79.53,80.21,78.19,78.19,374800
2023-04-26,78.02,79.47,76.01,76.18,358300
2023-04-27,76.6,77.58,76.08,77.33,254200
2023-04-28,76.94,78.77,76.84,78.52,422700
2023-05-01,78.75,79.5,78.47,79.36,297000
2023-05-02,79.01,79.35,76.89,78.14,391200
2023-05-03,81.44,84.02,80.16,82.26,835100
2023-05-04,82.14,82.14,78.95,79.47,513400
2023-05-05,80.93,81.5,80.28,81.43,681800
2023-05-08,81.75,82.76,81.51,82.59,311000
2023-05-09,82.34,83.53,82.14,82.73,255900
2023-05-10,83.9,84.48,82.62,83.5,268200
2023-05-11,83.5,83.5,81.26,81.67,200500
2023-05-12,82.08,82.85,80.61,81.5,193500
2023-05-15,81.78,83.81,80.81,82.9,360400
2023-05-16,82.31,82.71,81.61,82.23,271900
2023-05-17,82.71,84.01,82.21,83.88,227500
2023-05-18,83.58,85.17,83.32,84.98,202300
2023-05-19,85.93,85.93,82.25,82.66,310700
2023-05-22,82.99,83.56,82.19,82.86,275500
2023-05-23,82.62,83.1,80.94,81.88,268500
2023-05-24,81.85,81.91,80.13,80.34,233400
2023-05-25,80.18,81.19,79.76,80.53,237700
