Date,Open,High,Low,Close,Volume
2023-01-13,116.8,119.18,115.76,117.88,67800
2023-01-17,118.36,121.69,117.41,118.48,66500
2023-01-18,119.07,120.3,114.07,114.9,98200
2023-01-19,114.79,116.16,113.13,116.14,73700
2023-01-20,117.29,118.36,116.12,118.36,72100
2023-01-23,118.88,121.78,118.36,119.9,88100
2023-01-24,119.34,119.75,113.99,113.99,67500
2023-01-25,113.17,113.17,107.5,111.6,85700
2023-01-26,112.24,113.32,106.3,107.25,67400
2023-01-27,106.12,108.17,105.4,105.73,46900
2023-01-30,105.73,108.73,105.5,107.52,92700
2023-01-31,107.52,113.88,107.52,113.73,92900
2023-02-01,113.58,115.7,108.28,110.05,124800
2023-02-02,109.89,113.75,109.39,112.16,77700
2023-02-03,110.71,115.09,110.31,114.23,48400
2023-02-06,113.03,115.25,112.64,113.12,87700
2023-02-07,112.41,113.05,110.57,112.97,84700
2023-02-08,113.06,114.03,110.19,111.71,82800
2023-02-09,111.17,113.51,108.39,109.35,80300
2023-02-10,109.81,111.88,109.09,111.21,61200
2023-02-13,111.72,114.37,110.52,113.95,74500
2023-02-14,113.31,114.35,111.4,111.54,84000
2023-02-15,110.3,112.98,110.01,112.4,35900
2023-02-16,111.56,113.47,110.74,112.0,42100
2023-02-17,112.66,119.7,111.6,117.93,133700
2023-02-21,117.85,119.32,116.3,117.21,92300
2023-02-22,117.17,118.51,112.57,114.88,102600
2023-02-23,115.21,119.84,115.02,116.31,102200
2023-02-24,115.83,117.51,113.31,116.99,67900
2023-02-27,119.99,120.84,116.8,117.76,93200
2023-02-28,117.45,119.4,116.77,117.72,136800
2023-03-01,116.6,118.58,116.6,117.96,64300
2023-03-02,118.01,119.77,116.36,119.3,82200
2023-03-03,118.81,123.39,117.96,122.95,93900
2023-03-06,122.62,122.85,103.64,108.03,209900
2023-03-07,108.0,115.82,106.53,114.8,161800
2023-03-08,116.08,122.54,114.75,119.73,99100
2023-03-09,119.74,120.48,112.7,114.31,112600
2023-03-10,113.41,114.51,109.66,111.17,108800
2023-03-13,109.11,113.84,108.39,110.71,63600
2023-03-14,113.0,116.66,111.25,115.38,66400
