Date,Open,High,Low,Close,Volume
2023-01-13,85.85,87.75,85.16,86.91,148900
2023-01-17,87.08,87.08,85.17,85.37,169800
2023-01-18,85.37,85.37,82.33,82.66,230400
2023-01-19,81.97,83.99,81.47,82.85,140200
2023-01-20,83.73,85.24,83.21,85.13,215700
2023-01-23,85.54,86.75,84.5,86.57,179400
2023-01-24,86.75,86.76,85.35,85.35,165000
2023-01-25,85.61,89.99,85.4,87.99,259800
2023-01-26,87.77,88.87,87.16,87.71,223100
2023-01-27,87.93,88.21,86.98,87.84,168200
2023-01-30,87.74,88.12,87.0,88.06,242100
2023-01-31,88.06,90.61,87.2,90.19,1060500
2023-02-01,89.69,91.61,89.01,90.2,248200
2023-02-02,90.27,91.37,88.87,91.28,383700
2023-02-03,90.81,92.49,90.0,91.16,331500
2023-02-06,91.25,91.91,90.44,91.49,198600
2023-02-07,90.83,92.68,90.6,91.96,191800
2023-02-08,91.31,92.5,90.24,91.51,122100
2023-02-09,91.95,92.48,90.36,90.94,161000
2023-02-10,90.62,91.82,90.43,90.83,154800
2023-02-13,90.87,91.77,90.82,91.77,110100
2023-02-14,91.34,91.83,89.98,91.19,195400
2023-02-15,90.83,91.96,90.32,91.43,139500
2023-02-16,90.66,91.25,89.82,90.76,140800
2023-02-17,91.25,91.88,90.49,91.67,354200
2023-02-21,91.3,91.3,90.0,90.99,153600
2023-02-22,90.71,91.29,89.98,90.79,187800
2023-02-23,90.88,91.58,90.28,91.26,175700
2023-02-24,90.71,91.19,89.89,91.17,159000
2023-02-27,91.34,92.07,90.78,91.06,167300
2023-02-28,91.38,91.99,90.03,90.66,249300
2023-03-01,90.22,90.65,89.59,89.95,168300
2023-03-02,89.23,89.23,87.02,88.03,151100
2023-03-03,88.33,89.09,87.33,88.85,121600
2023-03-06,88.82,89.21,87.89,88.32,124300
2023-03-07,88.04,88.41,85.33,85.81,115400
2023-03-08,86.0,86.5,85.39,86.17,193200
2023-03-09,85.85,85.85,79.75,79.76,253400
2023-03-10,77.75,79.84,75.56,77.09,404300
2023-03-13,72.55,72.55,51.28,65.08,2506900
2023-03-14,71.99,75.2,62.77,64.13,1256200
2023-03-15,62.55,64.79,60.95,64.5,1097200
2023-03-16,62.99,67.99,62.27,65.28,783700
2023-03-17,61.45,62.58,57.38,58.27,1703000
2023-03-20,60.36,64.76,60.27,60.46,730800
2023-03-21,64.43,66.47,62.38,64.19,594800
2023-03-22,64.1,64.58,60.28,60.44,405200
2023-03-23,61.08,61.42,58.46,58.68,548200
2023-03-24,57.96,59.49,57.4,59.31,997900
2023-03-27,62.03,63.01,59.11,59.25,644500
2023-03-28,59.01,61.25,58.32,58.88,574500
2023-03-29,60.27,60.27,58.33,59.67,562600
2023-03-30,60.45,60.66,58.56,58.64,357400
2023-03-31,59.29,59.59,56.85,57.72,774500
2023-04-03,58.18,58.86,57.0,57.28,430000
2023-04-04,57.77,59.0,56.0,57.54,580400
2023-04-05,56.51,58.46,56.25,58.19,648600
2023-04-06,57.71,58.72,57.71,58.25,412600
2023-04-10,57.74,59.29,57.48,58.15,517000
2023-04-11,59.26,59.99,57.65,57.71,279300
2023-04-12,57.95,58.27,57.16,57.48,389800
2023-04-13,57.74,59.78,57.14,59.36,409300
2023-04-14,59.9,60.13,57.67,58.19,286800
2023-04-17,57.72,60.08,57.17,60.03,325000
2023-04-18,60.19,60.19,57.98,58.11,214000
2023-04-19,58.48,60.35,57.7,59.78,368800
2023-04-20,59.05,59.41,57.86,58.33,307300
2023-04-21,58.22,58.31,57.38,58.27,282300
2023-04-24,58.33,59.11,57.51,57.93,417700
2023-04-25,56.93,57.26,55.7,55.8,557100
2023-04-26,60.91,63.0,60.0,61.55,729300
2023-04-27,61.78,63.8,61.78,63.18,749600
2023-04-28,62.47,64.58,62.19,63.61,3946500
2023-05-01,62.99,63.7,60.16,60.27,515500
2023-05-02,59.74,60.01,55.04,56.09,636600
2023-05-03,56.81,58.47,55.24,55.72,485200
2023-05-04,53.89,54.97,50.68,54.27,671000
2023-05-05,57.92,58.2,55.89,57.88,567400
2023-05-08,58.24,59.26,55.46,55.79,295700
2023-05-09,56.08,57.22,55.17,56.76,441500
2023-05-10,57.88,58.09,55.96,56.33,316800
2023-05-11,55.3,56.03,54.46,54.54,411100
2023-05-12,54.84,55.65,53.69,54.73,248900
2023-05-15,54.95,57.47,54.47,57.18,332400
2023-05-16,57.5,58.65,55.64,55.66,283800
2023-05-17,56.68,59.81,56.37,59.36,402200
2023-05-18,59.23,60.27,58.43,59.92,332500
2023-05-19,60.49,60.51,57.31,58.17,397200
2023-05-22,58.87,60.09,57.74,59.72,288200
2023-05-23,59.72,63.05,59.4,61.33,351900
2023-05-24,60.66,60.85,59.63,60.29,215300
2023-05-25,59.53,60.75,58.56,59.33,258300
2023-05-26,59.09,59.71,58.22,59.62,163400
2023-05-30,59.83,59.89,58.23,59.58,235300
2023-05-31,59.04,59.55,56.38,56.64,403500
2023-06-01,57.04,59.0,56.0,58.76,315300
2023-06-02,59.85,63.7,59.51,63.6,449500
2023-06-05,63.16,63.68,61.43,62.09,414300
2023-06-06,61.92,67.03,59.65,65.47,366200
2023-06-07,66.34,68.14,65.5,67.24,594900
2023-06-08,66.82,66.97,64.93,66.6,232800
2023-06-09,66.22,66.78,64.97,65.75,208800
2023-06-12,65.75,67.35,62.77,63.85,559200
2023-06-13,63.98,66.76,63.54,66.42,321700
2023-06-14,66.58,67.1,63.98,64.29,296200
2023-06-15,63.53,64.96,63.53,64.24,335700
2023-06-16,64.67,64.67,62.49,63.16,967700
2023-06-20,62.8,63.33,60.93,61.28,536800
2023-06-21,60.92,60.92,59.34,59.43,461600
2023-06-22,59.28,59.28,57.19,57.48,446400
2023-06-23,56.66,57.82,56.31,57.4,647800
2023-06-26,57.79,59.62,57.75,58.98,471700
2023-06-27,59.28,61.65,58.11,61.32,387300
2023-06-28,60.99,61.73,59.95,61.31,328300
2023-06-29,62.11,63.27,61.8,61.99,251100
2023-06-30,62.72,62.76,60.66,60.9,286600
2023-07-03,61.01,62.64,61.01,61.93,151800
2023-07-05,61.08,61.57,59.99,60.43,249600
2023-07-06,59.58,59.58,58.17,59.19,311100
2023-07-07,58.69,60.92,57.84,60.14,854400
2023-07-10,60.04,61.36,59.27,60.0,354600
2023-07-11,60.41,61.24,59.72,61.11,350500
2023-07-12,62.61,63.58,61.93,62.8,339900
2023-07-13,63.2,64.49,62.68,63.82,350400
2023-07-14,64.39,64.52,61.73,62.51,595300
2023-07-17,62.6,64.84,62.33,63.94,492300
2023-07-18,64.31,67.47,64.07,67.22,467300
2023-07-19,67.82,70.24,67.1,70.17,697200
2023-07-20,70.18,70.18,67.5,68.73,411600
2023-07-21,69.35,69.41,66.79,67.05,578700
2023-07-24,67.04,69.6,66.97,69.36,507400
2023-07-25,68.89,70.26,68.05,68.86,484600
2023-07-26,71.32,72.91,70.35,72.52,602000
2023-07-27,72.71,72.8,69.45,70.16,581700
2023-07-28,71.14,71.74,70.07,70.66,451500
2023-07-31,70.56,71.7,70.37,71.0,4825600
2023-08-01,71.0,71.0,68.48,69.48,539000
2023-08-02,68.0,69.47,67.29,69.34,517000
2023-08-03,69.08,70.92,68.56,70.69,332900
2023-08-04,70.49,72.22,70.49,71.72,279700
