Date,Open,High,Low,Close,Volume
2023-01-13,197.61,200.72,195.9,198.79,99600
2023-01-17,197.85,200.94,196.43,196.6,80900
2023-01-18,196.2,197.72,190.82,191.09,85700
2023-01-19,188.46,190.4,186.98,187.6,77000
2023-01-20,188.38,191.9,187.16,191.89,66700
2023-01-23,192.48,194.84,191.44,191.64,61400
2023-01-24,189.4,195.93,189.4,195.47,52600
2023-01-25,194.41,196.71,193.03,196.56,46600
2023-01-26,197.1,198.49,195.1,197.05,72300
2023-01-27,197.44,198.33,195.1,196.47,40800
2023-01-30,195.51,198.94,194.91,195.41,63900
2023-01-31,196.49,199.58,196.49,198.44,70400
2023-02-01,197.04,202.72,196.45,200.55,59700
2023-02-02,199.88,205.41,199.4,205.41,97500
2023-02-03,203.16,205.59,201.55,204.88,73600
2023-02-06,204.75,204.75,200.54,201.07,60500
2023-02-07,199.32,202.81,197.46,202.68,68200
2023-02-08,203.19,204.07,199.37,200.96,107500
2023-02-09,204.25,204.25,195.51,195.51,62600
2023-02-10,194.55,198.76,194.45,197.78,43000
2023-02-13,197.94,201.81,196.36,201.81,55300
2023-02-14,200.32,201.17,198.1,198.86,61700
2023-02-15,197.26,200.68,196.55,200.68,75000
2023-02-16,198.17,202.58,196.99,200.07,56500
2023-02-17,201.35,202.87,199.28,201.01,87100
2023-02-21,199.1,200.39,197.1,197.87,86800
2023-02-22,199.62,201.96,197.23,200.29,72500
2023-02-23,201.22,202.38,197.37,197.5,76600
2023-02-24,195.33,196.86,193.66,196.47,59400
2023-02-27,198.91,199.88,195.52,196.41,53800
2023-02-28,196.48,198.99,195.83,196.13,59900
2023-03-01,195.69,199.45,194.29,195.44,68300
2023-03-02,194.61,198.6,193.54,197.32,51000
2023-03-03,197.85,201.2,196.57,199.82,49500
2023-03-06,199.11,199.11,193.1,194.86,99900
2023-03-07,195.35,197.65,193.0,193.47,58100
2023-03-08,193.36,195.05,191.87,194.0,49200
2023-03-09,195.0,196.77,192.79,193.41,54100
2023-03-10,192.5,192.5,188.39,190.28,63600
2023-03-13,187.59,191.3,187.59,189.0,65400
2023-03-14,192.34,193.65,189.07,190.66,54800
2023-03-15,188.03,189.85,185.77,188.95,71900
2023-03-16,186.88,193.64,186.88,192.94,68500
2023-03-17,191.4,192.01,187.75,189.68,236900
2023-03-20,191.32,193.59,191.11,191.26,52000
2023-03-21,193.29,194.44,190.92,192.69,74600
2023-03-22,193.02,193.78,188.95,189.29,77800
2023-03-23,188.75,191.4,187.54,188.73,69000
2023-03-24,188.15,191.14,187.6,190.41,57700
2023-03-27,191.08,192.68,189.9,191.82,54400
2023-03-28,190.58,193.53,190.58,193.14,59100
2023-03-29,182.13,185.9,167.87,173.02,227800
2023-03-30,173.22,174.77,172.1,173.53,139400
2023-03-31,174.83,178.53,174.32,176.23,142400
2023-04-03,176.42,176.42,170.94,172.33,114800
2023-04-04,172.56,172.92,169.12,169.65,50800
2023-04-05,168.09,169.0,166.75,167.76,69500
2023-04-06,168.28,169.86,166.19,168.18,42700
2023-04-10,167.62,169.96,167.42,169.83,83400
2023-04-11,170.6,170.6,167.81,168.5,60200
2023-04-12,169.33,171.05,167.56,168.34,33500
2023-04-13,168.34,168.85,166.91,168.85,61300
2023-04-14,168.35,169.93,166.58,167.48,41800
2023-04-17,167.32,168.75,165.94,167.49,47100
2023-04-18,168.02,168.81,166.37,166.96,43300
2023-04-19,166.06,168.33,164.79,168.16,56800
2023-04-20,168.1,169.84,166.67,169.68,49900
2023-04-21,170.29,171.05,168.24,170.76,53300
2023-04-24,170.47,171.32,168.12,168.36,40100
