Date,Open,High,Low,Close,Volume
2023-01-13,24.76,25.36,24.71,25.06,443600
2023-01-17,25.28,25.28,24.62,24.71,280900
2023-01-18,24.8,25.8,24.44,24.52,418800
2023-01-19,24.17,24.5,23.09,23.49,480500
2023-01-20,23.68,24.97,23.0,24.68,663100
2023-01-23,24.81,25.92,24.74,25.72,515200
2023-01-24,25.68,25.89,25.31,25.49,356600
2023-01-25,24.91,25.49,24.49,25.4,368900
2023-01-26,25.54,26.0,25.31,25.62,233400
2023-01-27,25.79,26.29,25.38,26.26,391400
2023-01-30,26.1,26.4,25.69,26.05,295700
2023-01-31,26.06,26.94,26.06,26.89,562000
2023-02-01,26.75,28.0,26.33,27.67,686400
2023-02-02,28.16,30.0,27.98,29.99,1137500
2023-02-03,29.4,29.98,28.98,29.71,513100
2023-02-06,28.26,29.41,28.02,29.16,559300
2023-02-07,28.87,29.29,28.24,29.22,531900
2023-02-08,29.16,29.16,28.29,28.6,300600
2023-02-09,29.16,29.3,27.43,27.46,346900
2023-02-10,27.2,27.4,26.7,27.11,387400
2023-02-13,27.04,27.53,26.58,27.49,405500
2023-02-14,27.24,27.62,26.84,27.41,343300
2023-02-15,27.16,28.6,27.16,28.52,347000
2023-02-16,27.99,28.85,27.54,28.28,302500
2023-02-17,28.3,28.56,27.7,27.98,394500
2023-02-21,27.51,27.91,26.03,26.26,634200
2023-02-22,26.4,28.0,26.28,27.1,934800
2023-02-23,24.01,27.6,23.54,26.81,1081000
2023-02-24,26.27,26.87,24.96,26.78,866200
2023-02-27,29.45,29.45,26.69,27.06,418000
2023-02-28,27.28,27.68,26.85,26.85,666900
2023-03-01,26.71,27.44,26.43,26.97,499600
2023-03-02,25.92,27.06,25.47,26.85,343000
2023-03-03,27.13,27.63,26.8,27.56,399500
2023-03-06,27.7,27.76,26.46,26.9,610400
2023-03-07,26.92,27.3,26.61,26.98,328100
2023-03-08,27.11,27.26,26.41,27.1,524300
2023-03-09,26.96,27.18,26.39,26.53,681500
2023-03-10,26.35,26.43,25.46,25.82,686600
2023-03-13,25.31,25.33,24.51,24.84,915400
2023-03-14,25.04,25.5,24.58,24.68,571400
2023-03-15,23.99,24.6,23.81,24.55,605400
2023-03-16,24.22,24.81,23.87,24.69,770600
2023-03-17,24.39,24.39,22.97,23.04,1750800
2023-03-20,23.44,23.89,22.42,22.54,802400
2023-03-21,23.16,23.76,22.96,23.56,587900
2023-03-22,23.6,23.89,22.83,22.84,382600
2023-03-23,22.87,23.16,22.52,22.91,474000
2023-03-24,22.87,23.47,22.49,23.44,488000
2023-03-27,23.79,23.79,23.0,23.26,472600
2023-03-28,23.08,23.63,23.03,23.25,356100
2023-03-29,22.91,23.46,22.5,23.44,434100
2023-03-30,23.77,24.22,23.21,23.31,339700
2023-03-31,23.58,24.52,23.46,24.51,506800
2023-04-03,24.55,24.8,23.75,24.12,619500
2023-04-04,23.77,23.95,23.26,23.6,386400
2023-04-05,23.35,23.44,23.07,23.26,312600
2023-04-06,23.25,23.57,22.77,23.13,296200
2023-04-10,23.0,23.93,22.97,23.68,425000
2023-04-11,23.88,24.19,23.76,24.05,331800
2023-04-12,24.34,24.45,23.55,23.66,318700
2023-04-13,23.85,24.01,23.44,23.81,249300
2023-04-14,23.96,24.49,23.75,23.94,347000
2023-04-17,23.9,24.14,23.65,23.76,341200
2023-04-18,23.93,24.23,23.33,23.59,279700
2023-04-19,23.42,23.59,23.16,23.3,381800
2023-04-20,23.12,23.5,22.94,23.29,292800
2023-04-21,23.24,23.37,23.0,23.27,238600
2023-04-24,23.31,23.66,23.05,23.4,259900
2023-04-25,23.61,24.67,23.61,24.35,662000
2023-04-26,24.72,25.87,24.58,25.85,742000
2023-04-27,26.08,26.64,25.94,26.5,589400
2023-04-28,26.44,27.22,26.44,26.66,435700
2023-05-01,26.5,27.41,26.5,26.9,524100
2023-05-02,26.63,26.81,25.82,26.61,515600
2023-05-03,26.61,27.42,26.6,26.85,836000
2023-05-04,28.21,31.66,28.04,29.58,1729600
2023-05-05,30.33,31.37,29.96,31.34,585700
2023-05-08,31.5,31.5,30.82,31.34,538500
