Date,Open,High,Low,Close,Volume
2023-01-13,53.0,54.15,52.67,54.15,104200
2023-01-17,54.33,54.92,53.81,54.09,83300
2023-01-18,54.19,54.4,53.07,53.53,65600
2023-01-19,53.67,54.32,53.48,53.89,71300
2023-01-20,54.19,54.48,53.54,54.4,95400
2023-01-23,54.56,54.67,53.41,53.47,97600
2023-01-24,53.51,53.61,53.04,53.1,60300
2023-01-25,53.0,53.5,52.8,53.18,102000
2023-01-26,53.11,53.56,52.32,52.8,111600
2023-01-27,52.93,52.97,52.09,52.45,86300
2023-01-30,52.41,52.97,52.39,52.74,93100
2023-01-31,52.77,54.42,52.68,54.37,258700
2023-02-01,54.4,55.63,54.36,55.24,109600
2023-02-02,55.06,55.75,54.66,55.17,97500
2023-02-03,55.07,55.29,54.73,55.16,148500
2023-02-06,55.11,55.11,54.14,54.47,136100
2023-02-07,54.08,54.08,53.01,53.33,105200
2023-02-08,52.94,53.06,52.31,52.36,121600
2023-02-09,52.88,53.6,52.59,53.14,120000
2023-02-10,53.12,53.58,52.91,53.45,99000
2023-02-13,53.63,54.23,53.35,53.89,78000
2023-02-14,53.83,53.84,52.7,52.7,124200
2023-02-15,52.6,53.49,52.38,53.47,110200
2023-02-16,53.15,53.6,53.08,53.15,85400
2023-02-17,53.47,53.63,53.23,53.3,121100
2023-02-21,52.98,52.98,52.08,52.5,109200
2023-02-22,52.52,52.84,51.86,52.02,156800
2023-02-23,52.23,52.54,51.63,52.01,88100
2023-02-24,51.86,51.86,50.95,51.19,142700
2023-02-27,51.56,51.61,50.83,50.9,113600
2023-02-28,50.81,50.92,50.26,50.59,185000
2023-03-01,50.68,51.37,50.65,51.13,111000
2023-03-02,51.01,51.7,50.87,51.43,91600
2023-03-03,51.48,51.79,51.04,51.39,103000
2023-03-06,51.4,51.56,50.76,51.2,141600
2023-03-07,51.24,51.69,50.5,50.71,89700
2023-03-08,50.75,51.05,50.53,50.93,61300
2023-03-09,51.16,51.18,50.59,50.65,79400
2023-03-10,50.51,50.63,49.53,50.09,131000
2023-03-13,49.82,51.66,49.82,50.98,275900
2023-03-14,51.69,52.24,50.54,51.68,192100
2023-03-15,50.94,52.09,50.77,51.67,186900
2023-03-16,51.41,52.09,51.21,51.67,124300
2023-03-17,51.45,51.49,50.15,50.58,527800
2023-03-20,50.99,52.15,50.99,51.53,131500
2023-03-21,52.01,52.98,51.79,51.98,149300
2023-03-22,52.15,52.45,51.34,51.35,126700
2023-03-23,51.57,51.57,50.11,50.42,115300
2023-03-24,50.59,51.44,50.43,51.27,95600
2023-03-27,51.62,51.91,51.45,51.68,90400
2023-03-28,51.73,52.28,51.68,52.1,88200
2023-03-29,52.33,52.43,51.79,52.05,86900
2023-03-30,52.3,52.49,52.1,52.37,76100
2023-03-31,52.5,52.96,52.13,52.89,187300
2023-04-03,52.99,53.49,52.75,53.4,147200
2023-04-04,53.57,53.57,52.5,52.97,95000
2023-04-05,52.94,53.12,52.3,52.94,107900
2023-04-06,52.32,52.56,51.72,51.86,99800
2023-04-10,52.01,52.8,51.95,52.5,102600
2023-04-11,52.58,53.39,52.57,53.04,104400
2023-04-12,53.12,53.44,52.92,53.18,89700
2023-04-13,52.99,53.42,52.86,53.41,100400
2023-04-14,53.46,53.97,53.34,53.92,226900
2023-04-17,54.04,54.42,53.89,54.3,131100
2023-04-18,54.21,54.65,54.09,54.64,103000
2023-04-19,54.65,54.71,54.15,54.6,99500
2023-04-20,54.33,54.42,53.54,54.02,115500
2023-04-21,54.05,54.09,53.55,53.76,88500
2023-04-24,53.93,54.27,53.66,53.81,55700
2023-04-25,53.65,53.98,53.53,53.76,66100
2023-04-26,53.55,53.9,53.25,53.33,67600
2023-04-27,53.36,54.39,53.18,54.39,83400
2023-04-28,54.53,55.03,54.35,54.89,150700
2023-05-01,54.95,55.74,54.47,54.52,115300
2023-05-02,54.41,54.41,53.36,54.14,98800
2023-05-03,54.3,54.68,53.41,53.46,95900
2023-05-04,53.19,53.37,52.6,53.12,89000
2023-05-05,53.45,54.08,53.11,54.0,102000
2023-05-08,53.93,54.38,53.13,53.43,68900
2023-05-09,53.4,53.63,52.78,53.45,100400
2023-05-10,53.83,53.83,53.35,53.62,91400
2023-05-11,53.31,53.6,52.39,52.49,87900
2023-05-12,52.51,52.75,51.99,52.23,78900
2023-05-15,52.25,52.79,51.78,52.36,92600
2023-05-16,52.17,52.57,51.89,52.15,72700
2023-05-17,52.48,52.88,52.01,52.55,119100
2023-05-18,52.31,52.86,52.1,52.65,90400
2023-05-19,52.98,53.3,52.8,53.0,95300
2023-05-22,53.23,53.83,53.13,53.4,97400
2023-05-23,53.41,54.69,53.41,53.92,107800
2023-05-24,53.92,54.44,53.63,53.65,99000
2023-05-25,53.41,54.1,52.58,53.67,103100
2023-05-26,53.79,53.89,53.12,53.19,83100
2023-05-30,53.2,53.2,51.6,52.05,88800
2023-05-31,52.07,52.74,51.53,51.55,120000
2023-06-01,51.67,52.23,51.6,52.02,63800
2023-06-02,52.25,53.32,52.16,53.17,79400
2023-06-05,52.58,52.97,51.85,51.87,90400
2023-06-06,51.95,52.87,51.95,52.28,109400
2023-06-07,52.46,53.34,52.44,53.18,87100
2023-06-08,53.0,53.11,52.38,52.62,68600
2023-06-09,52.46,52.53,51.07,51.12,101500
2023-06-12,50.99,51.13,49.72,50.57,169900
2023-06-13,50.5,50.89,50.04,50.48,141200
2023-06-14,50.46,50.81,50.06,50.42,131800
2023-06-15,50.27,50.8,49.94,50.71,134400
2023-06-16,50.88,50.88,50.18,50.62,797100
2023-06-20,50.72,50.83,50.29,50.39,123700
2023-06-21,50.22,51.93,50.1,51.24,147200
2023-06-22,51.24,51.47,50.35,50.39,148200
2023-06-23,50.3,51.02,50.01,50.39,252200
2023-06-26,50.46,50.89,50.17,50.51,126500
2023-06-27,50.42,50.77,50.17,50.3,93400
2023-06-28,50.11,50.11,49.55,49.78,98600
2023-06-29,49.87,50.67,49.87,50.13,113800
2023-06-30,50.38,50.48,49.94,49.94,96300
2023-07-03,49.93,50.6,49.93,50.58,79800
2023-07-05,50.49,50.65,50.22,50.52,135600
2023-07-06,50.41,50.6,49.94,50.53,107800
2023-07-07,49.66,50.17,49.35,49.42,124000
2023-07-10,49.47,49.85,49.31,49.79,148200
2023-07-11,49.98,50.18,49.47,49.8,105400
2023-07-12,50.24,50.55,49.91,49.93,114800
2023-07-13,49.99,50.21,49.79,50.05,113000
2023-07-14,50.09,50.09,49.38,49.58,85100
2023-07-17,49.5,49.72,49.27,49.28,109100
2023-07-18,49.33,49.8,48.73,48.81,116000
2023-07-19,49.06,49.12,48.49,48.97,146300
2023-07-20,49.25,49.31,49.0,49.14,89500
2023-07-21,49.26,49.26,48.41,48.57,198800
2023-07-24,48.48,48.68,48.22,48.42,181700
2023-07-25,48.42,48.53,48.3,48.49,140400
2023-07-26,48.43,49.01,48.43,48.96,202800
2023-07-27,49.12,49.23,48.68,49.0,270500
2023-07-28,49.28,49.57,49.16,49.46,354500
2023-07-31,49.61,50.58,49.42,50.57,358600
2023-08-01,50.5,50.94,50.19,50.38,159300
2023-08-02,50.02,51.0,50.0,50.51,106700
2023-08-03,51.04,51.04,49.46,49.63,176700
2023-08-04,49.61,49.71,49.0,49.09,151300
2023-08-07,48.92,49.34,48.73,49.15,122800
2023-08-08,48.84,48.84,47.94,48.59,121100
2023-08-09,48.38,48.82,48.13,48.32,101400
2023-08-10,48.21,48.56,47.46,47.5,110900
2023-08-11,47.45,47.63,47.07,47.21,87500
2023-08-14,47.05,47.76,46.85,47.44,151000
2023-08-15,47.29,47.59,47.13,47.47,143500
2023-08-16,47.38,47.77,47.15,47.16,99300
2023-08-17,47.3,47.9,47.3,47.76,98900
2023-08-18,47.65,48.16,47.52,48.03,128300
2023-08-21,48.0,48.12,47.21,47.24,95000
2023-08-22,47.12,47.46,47.11,47.33,108500
2023-08-23,47.45,47.94,47.33,47.93,92900
2023-08-24,47.91,48.32,47.58,47.76,106300
2023-08-25,48.01,48.16,47.56,47.66,94600
2023-08-28,47.81,48.29,47.56,47.67,72300
2023-08-29,47.76,48.22,47.62,48.16,82700
2023-08-30,48.05,48.39,48.05,48.32,68400
2023-08-31,48.24,48.39,47.6,47.62,121500
2023-09-01,47.82,48.04,47.41,47.44,87700
2023-09-05,47.18,47.38,45.85,45.87,183800
2023-09-06,46.05,46.59,45.95,46.34,115800
2023-09-07,46.48,46.74,45.99,46.5,112900
2023-09-08,46.44,46.9,46.19,46.68,81700
2023-09-11,46.9,47.44,46.76,47.06,101900
2023-09-12,47.14,47.47,46.93,46.95,77600
2023-09-13,47.19,47.22,46.6,46.8,132700
2023-09-14,47.03,47.83,47.0,47.75,119800
2023-09-15,47.62,48.09,47.1,47.76,709900
2023-09-18,47.82,47.82,47.29,47.44,102100
2023-09-19,47.55,48.65,47.55,48.02,142800
2023-09-20,48.2,48.47,47.96,48.12,84300
2023-09-21,48.0,48.56,47.78,48.3,90500
2023-09-22,48.2,48.49,47.73,47.87,89000
2023-09-25,47.71,47.94,47.61,47.81,82300
2023-09-26,47.5,47.69,46.8,46.83,87200
2023-09-27,46.95,47.32,46.73,46.85,103200
2023-09-28,46.96,47.57,46.96,47.4,131800
2023-09-29,47.46,47.58,46.96,47.21,127800
2023-10-02,47.28,47.3,46.59,46.96,129100
2023-10-03,46.84,46.92,46.37,46.8,110800
2023-10-04,46.85,47.1,46.5,47.01,91900
2023-10-05,46.35,46.6,45.7,46.43,170300
2023-10-06,46.22,46.75,45.68,46.53,113400
2023-10-09,46.53,47.25,46.5,47.13,99700
2023-10-10,47.21,47.8,47.21,47.43,101200
2023-10-11,47.43,47.54,47.21,47.37,79700
2023-10-12,47.59,47.59,46.16,46.37,82400
2023-10-13,46.43,46.54,45.66,45.69,83700
2023-10-16,46.06,46.3,45.81,46.04,107600
2023-10-17,45.85,46.66,45.85,46.51,125300
2023-10-18,46.33,46.95,46.24,46.56,68000
2023-10-19,46.45,46.72,46.06,46.07,73200
2023-10-20,46.24,46.65,46.04,46.04,96300
2023-10-23,45.92,45.92,44.96,44.97,122500
2023-10-24,44.94,45.11,44.55,44.86,87700
2023-10-25,44.58,45.52,44.58,45.4,63900
2023-10-26,45.64,45.77,44.94,45.0,90200
2023-10-27,45.07,45.28,44.4,44.52,85300
2023-10-30,44.89,45.18,44.63,44.95,90700
2023-10-31,44.92,45.09,44.75,45.0,78300
2023-11-01,45.08,45.1,44.43,44.54,76300
2023-11-02,44.92,45.45,44.8,45.44,82900
2023-11-03,46.68,50.72,46.15,50.61,215900
2023-11-06,50.35,51.48,49.9,51.42,180600
2023-11-07,51.49,52.5,51.09,52.45,137200
2023-11-08,52.31,52.64,51.43,51.9,142400
2023-11-09,52.2,52.2,51.01,51.5,123100
2023-11-10,51.71,51.71,50.56,51.2,88700
2023-11-13,51.19,52.37,51.0,52.23,108000
2023-11-14,52.61,53.09,52.03,53.09,137100
2023-11-15,53.11,53.82,53.02,53.81,116200
2023-11-16,53.84,54.0,53.24,53.41,113300
2023-11-17,53.7,53.98,53.55,53.8,122700
2023-11-20,53.53,54.07,53.11,53.97,85900
2023-11-21,54.01,54.25,53.54,54.22,60900
2023-11-22,54.52,55.23,54.19,55.2,92200
2023-11-24,55.2,55.27,54.12,54.97,42500
2023-11-27,54.73,55.7,54.57,55.68,112600
2023-11-28,55.57,55.67,55.16,55.5,119200
2023-11-29,55.47,55.5,54.91,55.48,124000
2023-11-30,55.73,56.55,55.22,56.26,143500
2023-12-01,56.05,57.63,55.96,57.55,146800
2023-12-04,57.35,59.44,57.35,59.33,155800
2023-12-05,59.05,60.55,58.65,60.39,161100
2023-12-06,60.06,60.39,58.21,59.0,184600
2023-12-07,59.29,60.24,58.64,60.22,137100
2023-12-08,60.29,60.49,59.64,60.17,151400
2023-12-11,60.0,60.28,58.71,60.11,268900
2023-12-12,60.08,60.34,59.02,60.32,290100
2023-12-13,60.16,61.76,58.92,61.71,311900
2023-12-14,62.04,64.44,61.52,63.42,407100
2023-12-15,63.25,64.85,61.8,63.32,3033900
2023-12-18,63.32,63.35,61.95,62.14,258100
2023-12-19,62.55,64.5,62.39,64.12,178000
2023-12-20,64.16,65.35,63.62,64.16,160500
2023-12-21,64.09,64.72,63.76,64.7,140100
2023-12-22,65.2,65.89,64.77,65.12,88200
2023-12-26,65.35,66.48,65.01,66.39,96100
2023-12-27,66.66,67.4,66.47,66.95,92100
2023-12-28,66.66,67.32,66.42,67.28,95000
2023-12-29,66.99,67.5,66.79,67.32,173600
2024-01-02,67.0,67.8,66.86,67.18,198300
2024-01-03,67.0,67.42,65.05,65.26,214700
2024-01-04,65.7,66.14,64.86,65.22,226800
2024-01-05,63.92,64.32,62.69,62.76,155800
2024-01-08,62.35,62.36,61.51,61.84,161100
2024-01-09,61.32,61.32,60.41,60.93,122100
2024-01-10,61.04,61.33,60.35,60.75,166700
2024-01-11,60.66,60.91,60.38,60.86,142100
2024-01-12,60.89,61.3,59.77,60.32,134800
2024-01-16,60.25,60.25,58.73,58.89,122700
2024-01-17,58.36,59.19,58.21,58.59,111200
2024-01-18,58.58,58.79,57.7,58.39,117600
2024-01-19,58.59,58.61,57.65,58.6,127600
2024-01-22,58.73,59.78,58.64,59.48,144800
2024-01-23,59.92,60.1,58.81,58.82,147100
