Date,Open,High,Low,Close,Volume
2026-03-27,30.0,34.99,30.0,30.2,2800
2026-03-30,32.0,34.84,30.25,31.0,27400
2026-03-31,32.87,32.87,30.45,31.85,64600
2026-04-01,28.27,30.02,26.88,27.85,27163800
2026-04-02,27.21,30.13,27.05,28.1,6991800
2026-04-06,28.1,28.94,26.52,28.34,5758200
2026-04-07,27.8,28.14,26.49,26.94,9335000
2026-04-08,27.19,28.36,26.87,26.95,7166300
2026-04-09,26.55,30.0,26.34,29.49,4417300
2026-04-10,29.79,32.16,29.19,31.14,3204200
2026-04-13,31.44,31.5,29.78,30.52,2172700
2026-04-14,30.6,33.33,30.6,32.92,2809500
2026-04-15,32.78,34.55,32.25,34.21,1816800
2026-04-16,34.2,34.72,32.52,32.61,2054500
2026-04-17,33.75,35.08,33.14,34.7,3056100
2026-04-20,34.99,36.31,34.41,34.77,2181100
2026-04-21,35.38,36.87,34.0,35.01,2064400
2026-04-22,35.34,36.7,33.83,34.83,1416600
2026-04-23,34.66,35.26,33.85,34.31,988700
2026-04-24,34.22,36.03,33.02,34.96,1342600
2026-04-27,34.67,35.22,34.25,34.94,770500
2026-04-28,35.09,35.52,33.29,34.22,1295700
2026-04-29,34.29,35.04,33.86,34.34,1090200
2026-04-30,34.36,35.64,33.88,34.97,1071600
2026-05-01,34.99,37.08,34.87,37.07,1574000
2026-05-04,37.03,37.39,35.39,36.17,1629000
2026-05-05,36.23,37.68,35.91,37.5,1831400
2026-05-06,38.25,42.46,37.55,41.55,2841600
2026-05-07,41.8,41.8,38.8,39.0,1938500
2026-05-08,39.8,41.93,39.02,41.83,1173100
2026-05-11,42.13,43.87,41.75,43.72,1985300
2026-05-12,43.16,43.51,41.92,43.34,948100
2026-05-13,43.96,44.45,42.84,43.8,880100
2026-05-14,44.04,45.7,44.04,44.83,992800
2026-05-15,44.29,44.49,42.44,42.8,1282900
2026-05-18,43.49,47.27,42.96,44.45,1717800
2026-05-19,43.72,43.98,42.31,42.6,1047000
2026-05-20,42.7,43.43,41.42,42.59,656800
2026-05-21,42.59,42.59,40.8,40.87,1836300
2026-05-22,41.07,43.05,40.97,41.13,955800
2026-05-26,41.43,42.37,40.45,41.1,1288700
2026-05-27,41.3,44.26,40.64,44.13,1578300
2026-05-28,43.63,44.67,42.75,44.3,1043500
2026-05-29,44.05,45.69,43.39,44.12,1271100
2026-06-01,43.51,44.98,43.32,44.67,1075300
2026-06-02,45.41,47.15,44.74,45.16,1141800
2026-06-03,45.0,49.92,44.4,49.81,2825300
2026-06-04,49.32,50.66,47.98,50.17,1740900
2026-06-05,50.12,50.55,46.86,47.4,1639300
2026-06-08,48.2,49.66,47.76,49.07,1342600
2026-06-09,49.12,50.89,48.22,49.37,1030000
2026-06-10,49.03,49.55,47.32,47.38,1018800
2026-06-11,47.45,48.64,46.0,48.24,911700
2026-06-12,47.95,48.91,46.15,46.69,844400
2026-06-15,47.86,48.36,45.78,46.94,1252100
2026-06-16,46.79,48.25,45.95,46.21,929300
2026-06-17,46.95,47.56,44.76,45.16,1003800
2026-06-18,46.22,46.79,44.69,45.89,2125600
2026-06-22,45.54,47.19,44.85,45.43,1327100
2026-06-23,46.0,46.0,42.63,42.7,1507500
2026-06-24,42.33,42.97,41.36,42.22,1628400
2026-06-25,42.86,43.83,41.9,42.31,1151600
2026-06-26,41.46,42.25,39.71,41.4,12273600
2026-06-29,40.78,41.05,39.34,39.4,1977500
2026-06-30,39.74,42.3,39.74,42.01,1660300
2026-07-01,41.52,42.1,40.64,41.83,1310500
2026-07-02,41.47,43.0,39.64,40.2,1744200
2026-07-06,40.83,42.67,40.4,42.52,1448600
2026-07-07,42.47,42.47,39.55,39.8,1368100
2026-07-08,41.37,41.96,39.59,40.43,1572100
2026-07-09,40.52,41.5,40.0,40.72,1052400
2026-07-10,40.77,42.05,40.68,41.3,900300
2026-07-13,41.44,41.53,40.27,40.63,871500
2026-07-14,40.99,41.57,39.62,39.64,702500
2026-07-15,40.71,41.9,39.65,40.79,1010000
2026-07-16,40.35,41.13,38.8,40.27,1222200
2026-07-17,39.0,40.68,38.44,40.01,653700
2026-07-20,40.99,41.05,39.77,40.02,1043500
2026-07-23,40.72,41.11,40.02,41.08,1455600
2026-07-24,41.27,42.39,40.66,41.65,712400
2026-07-27,41.91,42.11,40.79,41.72,608500
2026-07-28,41.71,44.61,41.0,44.17,1238700
2026-07-29,43.72,44.68,42.85,43.02,715600
2026-07-30,43.28,43.55,41.28,41.89,785000
2026-08-03,41.35,42.97,41.06,42.04,1210700
2026-08-04,45.55,47.01,42.81,45.8,2472500
2026-08-05,46.08,46.71,44.8,45.03,1234100
2026-08-06,44.66,44.86,42.78,42.82,903600
2026-08-07,43.11,45.13,42.79,44.1,837100
2026-08-10,44.0,44.21,43.2,44.05,682400
2026-08-11,44.28,46.68,44.05,46.06,741800
2026-08-12,46.47,46.68,45.25,45.43,768400
2026-08-13,45.52,46.15,44.74,45.54,776500
2026-08-14,45.43,46.95,44.87,46.2,906900
2026-08-17,46.0,47.33,44.82,46.78,758000
2026-08-18,46.3,46.84,45.82,46.69,617600
2026-08-19,47.4,48.39,46.765,47.98,219297
